Edge Phase Noise; dBc/Hz; pm0 X,Edge Phase Noise; dBc/Hz; pm0 Y
10,-95.91717910525428
13.42637584296065,-97.11377291767695
18.02675682764374,-98.30998976127995
24.2034012397602,-99.50583243973099
32.49639617230002,-100.7012987554221
43.63088285510481,-101.8963801986582
58.58046315728254,-103.0910602144515
78.65233154043848,-104.2853119152607
105.6015764187076,-105.479095067562
141.7846454606699,-106.6723521277207
190.3653938715879,-107.8650030350503
255.5917325613177,-109.0569383834415
343.1670663721736,-110.2480104832885
460.7490010039027,-111.438021688334
618.6189256747053,-112.6267091940042
830.5810199677136,-113.8137253138397
1115.169294211613,-114.9986120136234
1497.268207261428,-116.1807682453769
2010.288568840785,-117.3594084141032
2699.088987806386,-118.5335102065636
3623.898318388478,-119.7017501572823
4865.582083935679,-120.8624259738632
6532.713375369616,-122.0133662095538
8771.066505204857,-123.1518310149318
11776.36354424838,-124.2744134002612
15811.3883008419,-125.3769600343027
21228.96419260944,-126.4545457299241
28502.80520067281,-127.5015580752484
38268.93752029267,-128.5119792310394
51381.31382582281,-129.4799902101894
68986.48307306076,-130.4010650814911
92623.8449822957,-131.2737560660445
124360.2554752427,-132.1023552362196
166970.7529937215,-132.9004242200709
224181.2084475852,-133.694448989951
300994.1161546385,-134.5249184584117
404126.0130011931,-135.4387589005524
542594.7738471222,-136.4660243076048
728508.1364097701,-137.5852835604519
978122.4044092422,-138.7070686238051
1313263.902201884,-139.7074784072168
1763237.473195562,-140.4949318994428
2367388.901551588,-141.049810754725
3178545.31586854,-141.409608411716
4267634.40447331,-141.6308579535998
5729886.347480823,-141.7631669635253
7693160.763872658,-141.8414623152846
10329126.78360726,-141.887708994216
13868273.83263024,-141.9148258658924
18620065.676999,-141.929835084905
25000000,-141.9352384814267
