digital_code,post_layout_power_uW
0,21.0958
1,21.4907
2,21.3423
3,22.0488
4,21.6085
5,21.9851
6,21.8202
7,23.0065
8,22.0593
9,22.4806
10,22.3076
11,23.0285
12,22.531
13,22.9312
14,22.8049
15,24.5946
16,23.0222
17,23.4602
18,23.2843
19,24.0048
20,23.5022
21,23.894
22,23.7355
23,25.0249
24,24.0108
25,24.3954
26,24.2309
27,24.9543
28,24.4569
29,24.8487
30,24.6894
31,27.5136
32,24.9873
33,25.375
34,25.2148
35,25.9391
36,25.441
37,25.8293
38,25.6684
39,26.9071
40,25.9033
41,26.2965
42,26.134
43,26.8601
44,26.3729
45,26.7637
46,26.6081
47,28.5145
48,26.9008
49,27.2938
50,27.1302
51,27.8612
52,27.3656
53,27.7565
54,27.5963
55,28.8301
56,27.8318
57,28.2188
58,28.0607
59,28.7857
60,28.2881
61,28.6761
62,28.5185
63,33.7079
64,28.7557
65,29.1446
66,28.9856
67,29.7172
68,29.2226
69,29.6116
70,29.4558
71,30.7029
72,29.6974
73,30.0996
74,29.9432
75,30.659
76,30.17
77,30.5532
78,30.397
79,32.2903
80,30.6385
81,31.0315
82,30.8749
83,31.5916
84,31.1014
85,31.5497
86,31.366
87,32.5864
88,31.5922
89,31.9744
90,31.8191
91,32.5259
92,32.0403
93,32.4802
94,32.3213
95,35.2911
96,32.5368
97,32.9234
98,32.7556
99,33.4358
100,32.9907
101,33.3615
102,33.2008
103,34.4354
104,33.4289
105,33.8227
106,33.6556
107,34.3716
108,33.8789
109,34.2723
110,34.1056
111,35.9935
112,34.3443
113,34.7373
114,34.5737
115,35.2946
116,34.8049
117,35.23
118,35.073
119,36.2904
120,35.2965
121,35.6804
122,35.5269
123,36.2374
124,35.7459
125,36.1298
126,35.9545
127,43.7123
128,36.2449
129,36.6279
130,36.4713
131,37.1959
132,36.7042
133,37.0855
134,36.9262
135,38.1479
136,37.214
137,37.5932
138,37.4284
139,38.1469
140,37.644
141,38.0189
142,37.8513
143,39.7204
144,38.0809
145,38.4642
146,38.301
147,39.0159
148,38.5268
149,38.9104
150,38.7555
151,39.9659
152,38.9847
153,39.3576
154,39.209
155,39.926
156,39.4386
157,39.8167
158,39.6597
159,42.6164
160,39.8949
161,40.2765
162,40.1604
163,40.8313
164,40.3507
165,40.7234
166,40.5766
167,41.7819
168,40.8051
169,41.1748
170,41.0224
171,41.7283
172,41.26
173,41.6211
174,41.4875
175,43.3596
176,41.7179
177,42.0774
178,41.9423
179,42.6332
180,42.1644
181,42.5425
182,42.4634
183,43.671
184,42.6774
185,43.0455
186,42.9025
187,43.5934
188,43.1177
189,43.4992
190,43.3369
191,48.7437
192,43.5615
193,43.9282
194,43.7841
195,44.5027
196,44.023
197,44.3843
198,44.2415
199,45.4545
200,44.4535
201,44.8125
202,44.6794
203,45.3903
204,44.9009
205,45.2835
206,45.0927
207,46.9571
208,45.3493
209,45.7258
210,45.5576
211,46.2605
212,45.7653
213,46.14
214,45.9912
215,47.1891
216,46.2076
217,46.5818
218,46.4228
219,47.127
220,46.6396
221,47.0154
222,46.8732
223,49.7926
224,47.0653
225,47.4455
226,47.3061
227,47.9874
228,47.5153
229,47.8509
230,47.7323
231,48.8983
232,47.9794
233,48.3661
234,48.1926
235,48.8779
236,48.417
237,48.8142
238,48.6152
239,50.4693
240,48.9195
241,49.3005
242,49.1369
243,49.8298
244,49.3829
245,49.7178
246,49.5599
247,50.7631
248,49.7817
249,50.1926
250,49.9938
251,50.6891
252,50.2446
253,50.581
254,50.6027
