cap_im_nmos (Vlow=1.1) X,cap_im_nmos (Vlow=1.1) Y,cap_im_nmos (Vlow=0) X,cap_im_nmos (Vlow=0) Y
0.55,4.722075549004364e-17,0.55,7.558823476444888e-17
0.6000000000000001,4.59391435318048e-17,0.6000000000000001,7.846749667139341e-17
0.6500000000000001,4.489887305782479e-17,0.6500000000000001,8.0241911085443e-17
0.7000000000000002,4.404698093571831e-17,0.7000000000000002,8.136766181602642e-17
0.7500000000000002,4.33435521579644e-17,0.7500000000000002,8.212136680279351e-17
0.8000000000000003,4.275887529588634e-17,0.8000000000000003,8.265862548694339e-17
0.8500000000000003,4.22709011440805e-17,0.8500000000000003,8.306505241892964e-17
0.9000000000000004,4.186319714259893e-17,0.9000000000000004,8.338809449308778e-17
0.9500000000000004,4.152330424449048e-17,0.9500000000000004,8.365474092189112e-17
1,4.124124175522152e-17,1,8.388096273848385e-17
1.05,4.100767672594414e-17,1.05,8.407668153623565e-17
1.1,4.081140460494034e-17,1.1,8.424839570520829e-17
