"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b10=0,b11=0,b12=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,jittereventtime=1.29312e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b10=0,b11=0,b12=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,jittereventtime=1.29312e-09) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b10=1,b11=1,b12=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,b8=1,b9=1,jittereventtime=6.43004e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b10=1,b11=1,b12=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,b8=1,b9=1,jittereventtime=6.43004e-09) Y"
10,-108.199087947592,10,-97.46833892689887
13.42637584296065,-109.5734113089265,13.42637584296065,-98.75332036617934
18.02675682764374,-110.9452867371315,18.02675682764374,-100.0350559259334
24.2034012397602,-112.3146197960197,24.2034012397602,-101.3135652272982
32.49639617230002,-113.6813080551152,32.49639617230002,-102.588864453027
43.63088285510481,-115.0452382106078,43.63088285510481,-103.8609636763594
58.58046315728254,-116.4062820944517,58.58046315728254,-105.1298633889399
78.65233154043848,-117.7642911914254,78.65233154043848,-106.3955499788985
105.6015764187076,-119.1190891309594,105.6015764187076,-107.6579898319146
141.7846454606699,-120.4704614249869,141.7846454606699,-108.9171216269518
190.3653938715879,-121.818141482501,190.3653938715879,-110.1728462688898
255.5917325613177,-123.1617916164857,255.5917325613177,-111.425013736418
343.1670663721736,-124.500977353271,343.1670663721736,-112.6734059195616
460.7490010039027,-125.83513287756,460.7490010039027,-113.9177142733049
618.6189256747053,-127.163514999559,618.6189256747053,-115.1575108233592
830.5810199677136,-128.4851429333394,830.5810199677136,-116.3922107394725
1115.169294211613,-129.7987222171661,1115.169294211613,-117.6210243740957
1497.268207261428,-131.1025546267414,1497.268207261428,-118.8428964203934
2010.288568840785,-132.3944421052674,2010.288568840785,-120.0564298071128
2699.088987806386,-133.6715936426754,2699.088987806386,-121.2597923514519
3623.898318388478,-134.9305182603189,3623.898318388478,-122.4506054116142
4865.582083935679,-136.1668399886354,4865.582083935679,-123.6258163794921
6532.713375369616,-137.3750059609221,6532.713375369616,-124.7815615753719
8771.066505204857,-138.5480223340306,8771.066505204857,-125.9130337554351
11776.36354424838,-139.6774078216804,11776.36354424838,-127.0143795020489
15811.3883008419,-140.7534163841967,15811.3883008419,-128.0786655900486
21228.96419260944,-141.7655132452506,21228.96419260944,-129.0979669531313
28502.80520067281,-142.7031273191978,28502.80520067281,-130.0636353231873
38268.93752029267,-143.5566798292107,38268.93752029267,-130.9667964923823
51381.31382582281,-144.3187712395697,51381.31382582281,-131.7990850312431
68986.48307306076,-144.9852767163456,68986.48307306076,-132.5535569054055
92623.8449822957,-145.5560480173315,92623.8449822957,-133.2256416855076
124360.2554752427,-146.0350056758417,124360.2554752427,-133.8139481372803
166970.7529937215,-146.4296077962215,166970.7529937215,-134.3207647032004
224181.2084475852,-146.7498978207471,224181.2084475852,-134.7522129679812
300994.1161546385,-147.0074501814464,300994.1161546385,-135.1181739800325
404126.0130011931,-147.2145031447217,404126.0130011931,-135.4322179872078
542594.7738471222,-147.3834123088939,542594.7738471222,-135.7116874032712
728508.1364097701,-147.5262934890236,728508.1364097701,-135.9775963954848
978122.4044092422,-147.6543423576964,978122.4044092422,-136.2528784346526
1313263.902201884,-147.7760285513755,1313263.902201884,-136.5562075408762
1763237.473195562,-147.8941081579904,1763237.473195562,-136.8902639582392
2367388.901551588,-148.0040136411184,2367388.901551588,-137.2322451922491
3178545.31586854,-148.0973140336053,3178545.31586854,-137.5419992925679
4267634.40447331,-148.1684308839276,4267634.40447331,-137.786978333147
5729886.347480823,-148.2178346734197,5729886.347480823,-137.958992260692
7693160.763872658,-148.2499960967821,7693160.763872658,-138.0695077835387
10329126.78360726,-148.27009997019,10329126.78360726,-138.1363196125421
13868273.83263024,-148.2822559638387,13868273.83263024,-138.174818637951
18620065.676999,-148.2890740528121,18620065.676999,-138.1952920331373
25000000,-148.2915351061473,25000000,-138.2023919669802
