"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b10=0,b11=0,b12=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,jittereventtime=7.87288e-10) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b10=0,b11=0,b12=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,jittereventtime=7.87288e-10) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b10=1,b11=1,b12=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,b8=1,b9=1,jittereventtime=6.03838e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b10=1,b11=1,b12=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,b8=1,b9=1,jittereventtime=6.03838e-09) Y"
10,-112.5012438548801,10,-97.74880780864979
13.42637584296065,-113.8584498987854,13.42637584296065,-99.02025598945261
18.02675682764374,-115.2126016913877,18.02675682764374,-100.288639520227
24.2034012397602,-116.5635908863955,24.2034012397602,-101.5539940694865
32.49639617230002,-117.9112947658965,32.49639617230002,-102.8163506581044
43.63088285510481,-119.2555697349422,43.63088285510481,-104.0757329417916
58.58046315728254,-120.5962424649198,58.58046315728254,-105.3321537118889
78.65233154043848,-121.9330988420678,78.65233154043848,-106.5856103691889
105.6015764187076,-123.2658728176702,105.6015764187076,-107.8360790487728
141.7846454606699,-124.5942416481806,141.7846454606699,-109.0835069749234
190.3653938715879,-125.91783964434,190.3653938715879,-110.3278024987264
255.5917325613177,-127.2362976986922,255.5917325613177,-111.56882211123
343.1670663721736,-128.5492757450574,343.1670663721736,-112.806353526533
460.7490010039027,-129.8563954994563,460.7490010039027,-114.040093688415
618.6189256747053,-131.1570278623262,618.6189256747053,-115.2696202725776
830.5810199677136,-132.4500685371645,830.5810199677136,-116.4943549463637
1115.169294211613,-133.7338520258598,1115.169294211613,-117.7135163412928
1497.268207261428,-135.0061517552399,1497.268207261428,-118.9260604592994
2010.288568840785,-136.2641369660526,2010.288568840785,-120.1306061998832
2699.088987806386,-137.5042487269228,2699.088987806386,-121.3253440861419
3623.898318388478,-138.7220282118037,3623.898318388478,-122.507927444134
4865.582083935679,-139.9119415968488,4865.582083935679,-123.6753477895708
6532.713375369616,-141.0672458039368,6532.713375369616,-124.8238007111008
8771.066505204857,-142.1799492598183,8771.066505204857,-125.9485558828603
11776.36354424838,-143.2409365443316,11776.36354424838,-127.0438554637858
15811.3883008419,-144.2403309800358,15811.3883008419,-128.1028784613489
21228.96419260944,-145.168147108795,21228.96419260944,-129.1178217963826
28502.80520067281,-146.0152207163721,28502.80520067281,-130.0801554047879
38268.93752029267,-146.774300165717,38268.93752029267,-130.981098772057
51381.31382582281,-147.4410745629323,51381.31382582281,-131.812329685127
68986.48307306076,-148.0148652892741,68986.48307306076,-132.5668708844663
92623.8449822957,-148.4987709995312,92623.8449822957,-133.2400238356587
124360.2554752427,-148.8992241088857,124360.2554752427,-133.830169802798
166970.7529937215,-149.2251087837689,166970.7529937215,-134.3392805962614
224181.2084475852,-149.4867085635034,224181.2084475852,-134.7730905984957
300994.1161546385,-149.6947513841437,300994.1161546385,-135.1410407533564
404126.0130011931,-149.8597277055177,404126.0130011931,-135.4562273461879
542594.7738471222,-149.991526857264,542594.7738471222,-135.7355473742623
728508.1364097701,-150.0992894542125,728508.1364097701,-135.9998305261025
978122.4044092422,-150.19118995159,978122.4044092422,-136.2727089257034
1313263.902201884,-150.273699262228,1313263.902201884,-136.5754744970775
1763237.473195562,-150.3501495525012,1763237.473195562,-136.9157103640763
2367388.901551588,-150.4196909485617,2367388.901551588,-137.2751670012882
3178545.31586854,-150.4787038882848,3178545.31586854,-137.6128938258727
4267634.40447331,-150.5243616089806,4267634.40447331,-137.8893833959901
5729886.347480823,-150.5568463661409,5729886.347480823,-138.088933657828
7693160.763872658,-150.5786341081779,7693160.763872658,-138.2196027887
10329126.78360726,-150.5927337248316,10329126.78360726,-138.2995378415963
13868273.83263024,-150.601591411939,13868273.83263024,-138.3459255580718
18620065.676999,-150.6067534847583,18620065.676999,-138.3707139572724
25000000,-150.6086704148696,25000000,-138.3793413504684
