"t_delay X","t_delay Y"
1e-06,8.308103883893307e-10
1.02e-06,8.485628347105382e-10
1.04e-06,8.668364643151832e-10
1.06e-06,8.84189885502364e-10
1.08e-06,9.036440916418721e-10
1.1e-06,9.215614019352636e-10
1.12e-06,9.398024891089959e-10
1.14e-06,9.577154871165957e-10
1.16e-06,9.775320869693554e-10
1.18e-06,9.963776865872657e-10
1.2e-06,1.015184207261762e-09
1.22e-06,1.033270165245949e-09
1.24e-06,1.052623067180109e-09
1.26e-06,1.071296418181676e-09
1.28e-06,1.090807811495042e-09
1.3e-06,1.108956157594966e-09
1.32e-06,1.13044980939812e-09
1.34e-06,1.15004411555351e-09
1.36e-06,1.169176962781879e-09
1.38e-06,1.187590013069927e-09
1.4e-06,1.207397148177398e-09
1.42e-06,1.226347239271227e-09
1.44e-06,1.245589503343142e-09
1.46e-06,1.265042148443944e-09
1.48e-06,1.285282742034409e-09
1.5e-06,1.304131745376177e-09
1.52e-06,1.323733484268327e-09
1.54e-06,1.342315900925632e-09
1.56e-06,1.362105478159036e-09
1.58e-06,1.381219080451398e-09
1.6e-06,1.400587231043997e-09
1.62e-06,1.419434614201162e-09
1.64e-06,1.441908189721017e-09
1.66e-06,1.460887833543278e-09
1.68e-06,1.480532297001899e-09
1.7e-06,1.499346657649883e-09
1.72e-06,1.519551568695107e-09
1.74e-06,1.538717013645405e-09
1.76e-06,1.558241515839832e-09
1.78e-06,1.577109529181091e-09
1.8e-06,1.597715463185859e-09
1.82e-06,1.616922824301444e-09
1.84e-06,1.636945332164296e-09
1.86e-06,1.655907452268525e-09
1.88e-06,1.675828505498252e-09
1.9e-06,1.695106668438881e-09
1.92e-06,1.714868955355744e-09
1.94e-06,1.733832903071193e-09
1.96e-06,1.756966903088635e-09
1.98e-06,1.776154224088717e-09
2e-06,1.796127761299939e-09
2.02e-06,1.814774776986361e-09
2.04e-06,1.835363799936707e-09
2.06e-06,1.8544866804145e-09
2.08e-06,1.8741718555764e-09
2.1e-06,1.893199920046461e-09
2.12e-06,1.914074611674232e-09
2.14e-06,1.933436754636967e-09
2.16e-06,1.953478105820588e-09
2.18e-06,1.972729204129069e-09
2.2e-06,1.992850790041178e-09
2.22e-06,2.012087447187019e-09
2.24e-06,2.031561727298336e-09
2.26e-06,2.05067717973532e-09
2.28e-06,2.069890181973694e-09
2.3e-06,2.08950207353405e-09
2.32e-06,2.109419872231144e-09
2.34e-06,2.128889299568591e-09
2.36e-06,2.149187224603822e-09
2.38e-06,2.168625764185717e-09
2.4e-06,2.188166247046743e-09
2.42e-06,2.207413997507211e-09
2.44e-06,2.228232735736869e-09
2.46e-06,2.248163392890289e-09
2.48e-06,2.268153339691349e-09
2.5e-06,2.287465803981208e-09
2.52e-06,2.30746071314351e-09
2.54e-06,2.327120963378104e-09
2.56e-06,2.346719515167393e-09
2.58e-06,2.366080628454822e-09
2.6e-06,2.388777240766499e-09
2.62e-06,2.408099062825787e-09
2.64e-06,2.428062370185837e-09
2.66e-06,2.447555569934866e-09
2.68e-06,2.467746143308311e-09
2.7e-06,2.488148125857864e-09
2.72e-06,2.507324179047841e-09
2.74e-06,2.526570088270853e-09
2.76e-06,2.547622143009971e-09
2.78e-06,2.56706048686449e-09
2.8e-06,2.587232786250483e-09
2.82e-06,2.606924509763001e-09
2.84e-06,2.62724096516093e-09
2.86e-06,2.647706382893651e-09
2.88e-06,2.667453511536239e-09
2.9e-06,2.686562181887077e-09
2.92e-06,2.705865205995131e-09
2.94e-06,2.725019334466246e-09
2.96e-06,2.745257460274998e-09
2.98e-06,2.763793158418535e-09
3e-06,2.784919383531923e-09
3.02e-06,2.804401081843909e-09
3.04e-06,2.824295316881293e-09
3.06e-06,2.84342333339708e-09
3.08e-06,2.864465874506959e-09
3.1e-06,2.883862122893783e-09
3.12e-06,2.903671448119819e-09
3.14e-06,2.922871361013121e-09
3.16e-06,2.943046919151566e-09
3.18e-06,2.962445757425275e-09
3.2e-06,2.982374395679027e-09
3.22e-06,3.001506877814646e-09
3.24e-06,3.024149463811948e-09
3.26e-06,3.043668308744063e-09
3.28e-06,3.0639734952774e-09
3.3e-06,3.08308044749206e-09
3.32e-06,3.103704838319202e-09
3.34e-06,3.123826350787117e-09
3.36e-06,3.143790727786503e-09
3.38e-06,3.163084728504646e-09
3.4e-06,3.1841156774303e-09
3.42e-06,3.203547206273926e-09
3.44e-06,3.223829073862562e-09
3.46e-06,3.242915277468773e-09
3.48e-06,3.263180505005015e-09
3.5e-06,3.282588283025757e-09
3.52e-06,3.301668367349697e-09
3.54e-06,3.320910302064997e-09
3.56e-06,3.345689995051566e-09
3.58e-06,3.365185256397855e-09
3.6e-06,3.3849291693455e-09
3.62e-06,3.404139314762167e-09
3.64e-06,3.424784724742145e-09
3.66e-06,3.444300584670745e-09
3.68e-06,3.464313993851982e-09
3.7e-06,3.483691080856376e-09
3.72e-06,3.505236005288415e-09
3.74e-06,3.524825621803917e-09
3.76e-06,3.544811222391718e-09
3.78e-06,3.564027867118343e-09
3.8e-06,3.584546974541612e-09
3.82e-06,3.604054477225594e-09
3.84e-06,3.624096716864143e-09
3.86e-06,3.643442916541245e-09
3.88e-06,3.665871977546446e-09
3.9e-06,3.684822799501812e-09
3.92e-06,3.705150191251121e-09
3.94e-06,3.72458573912864e-09
3.96e-06,3.745266000438803e-09
3.98e-06,3.764642272875042e-09
4e-06,3.784840097686436e-09
4.02e-06,3.804070249217744e-09
4.04e-06,3.824998242321467e-09
4.06e-06,3.844487749710308e-09
4.08e-06,3.864856375185219e-09
4.1e-06,3.884063603087359e-09
4.12e-06,3.90443118925617e-09
4.14e-06,3.923793342639252e-09
4.16e-06,3.943900951183379e-09
4.18e-06,3.963118925776988e-09
4.2e-06,3.98545599844588e-09
4.22e-06,4.00488730452309e-09
4.24e-06,4.025078466928578e-09
4.26e-06,4.044585726351606e-09
4.28e-06,4.065308709593946e-09
4.3e-06,4.084979937543732e-09
4.32e-06,4.104819537812094e-09
4.34e-06,4.123982708912319e-09
4.36e-06,4.144961321980549e-09
4.38e-06,4.164409974938556e-09
4.4e-06,4.184806890637253e-09
4.42e-06,4.203961030041378e-09
4.44e-06,4.224282975286907e-09
4.46e-06,4.243723110095062e-09
4.48e-06,4.263790147944053e-09
4.5e-06,4.282967975751874e-09
4.52e-06,4.305164893984479e-09
4.54e-06,4.324616854990803e-09
4.56e-06,4.344979027243552e-09
4.58e-06,4.364124653338449e-09
4.6e-06,4.384778941073426e-09
4.62e-06,4.404253486414031e-09
4.64e-06,4.424797002465278e-09
4.66e-06,4.444206921197983e-09
4.68e-06,4.465105737774323e-09
4.7e-06,4.484515350391439e-09
4.72e-06,4.504590945786545e-09
4.74e-06,4.523738522662462e-09
4.76e-06,4.544089112465384e-09
4.78e-06,4.563551526476113e-09
4.8e-06,4.583638093371977e-09
4.82e-06,4.602794700113292e-09
4.84e-06,4.623627925609255e-09
4.86e-06,4.642850736731823e-09
4.88e-06,4.663183073774999e-09
4.9e-06,4.6822630025385e-09
4.919999999999999e-06,4.702884526698686e-09
4.94e-06,4.722293703654941e-09
4.96e-06,4.742333613472442e-09
4.98e-06,4.761435920428452e-09
5e-06,4.782628060382843e-09
5.02e-06,4.801948954156701e-09
5.04e-06,4.822292273080018e-09
5.06e-06,4.84139536980759e-09
5.08e-06,4.861756028475629e-09
5.099999999999999e-06,4.881135155326789e-09
5.12e-06,4.900444271328634e-09
5.14e-06,4.919624219083315e-09
5.16e-06,4.942784283915733e-09
5.18e-06,4.96207000846378e-09
5.2e-06,4.981798816180073e-09
5.22e-06,5.000764787997253e-09
5.24e-06,5.021496918228038e-09
5.26e-06,5.041003467477541e-09
5.279999999999999e-06,5.06111924740146e-09
5.3e-06,5.080246581463484e-09
5.32e-06,5.10217586705969e-09
5.34e-06,5.121575320922043e-09
5.36e-06,5.142006763394201e-09
5.38e-06,5.161114220523485e-09
5.4e-06,5.18138029325448e-09
5.42e-06,5.200808192418344e-09
5.44e-06,5.220877197624767e-09
5.46e-06,5.240016445345145e-09
5.48e-06,5.257958013003658e-09
5.5e-06,5.277246823498761e-09
5.52e-06,5.297607889595493e-09
5.539999999999999e-06,5.316657468219424e-09
5.56e-06,5.337246040990183e-09
5.58e-06,5.356647617098498e-09
5.6e-06,5.376770707530788e-09
5.62e-06,5.395903795438812e-09
5.64e-06,5.417418842324787e-09
5.66e-06,5.436811240044024e-09
5.68e-06,5.456156127209989e-09
5.7e-06,5.475253326170032e-09
5.719999999999999e-06,5.495673999231178e-09
5.74e-06,5.514989805527289e-09
5.76e-06,5.535028319955683e-09
5.78e-06,5.553997332351057e-09
5.8e-06,5.577245113530026e-09
5.82e-06,5.596713677902561e-09
5.84e-06,5.617126693734715e-09
5.86e-06,5.636158320878291e-09
5.88e-06,5.656729248407802e-09
5.9e-06,5.67591169991399e-09
5.92e-06,5.695948262894847e-09
5.94e-06,5.714996306424208e-09
5.96e-06,5.735826582213874e-09
5.979999999999999e-06,5.755191205092619e-09
6e-06,5.775239447291046e-09
6.02e-06,5.794340409943427e-09
6.04e-06,5.814630810131581e-09
6.06e-06,5.834007888173033e-09
6.08e-06,5.854097528072148e-09
6.1e-06,5.873212934806071e-09
