"delay (b0=0,b1=0,b2=0,b3=0) X","delay (b0=0,b1=0,b2=0,b3=0) Y","delay (b0=0,b1=0,b2=0,b3=1) X","delay (b0=0,b1=0,b2=0,b3=1) Y","delay (b0=0,b1=0,b2=1,b3=0) X","delay (b0=0,b1=0,b2=1,b3=0) Y","delay (b0=0,b1=0,b2=1,b3=1) X","delay (b0=0,b1=0,b2=1,b3=1) Y","delay (b0=0,b1=1,b2=0,b3=0) X","delay (b0=0,b1=1,b2=0,b3=0) Y","delay (b0=0,b1=1,b2=0,b3=1) X","delay (b0=0,b1=1,b2=0,b3=1) Y","delay (b0=0,b1=1,b2=1,b3=0) X","delay (b0=0,b1=1,b2=1,b3=0) Y","delay (b0=0,b1=1,b2=1,b3=1) X","delay (b0=0,b1=1,b2=1,b3=1) Y","delay (b0=1,b1=0,b2=0,b3=0) X","delay (b0=1,b1=0,b2=0,b3=0) Y","delay (b0=1,b1=0,b2=0,b3=1) X","delay (b0=1,b1=0,b2=0,b3=1) Y","delay (b0=1,b1=0,b2=1,b3=0) X","delay (b0=1,b1=0,b2=1,b3=0) Y","delay (b0=1,b1=0,b2=1,b3=1) X","delay (b0=1,b1=0,b2=1,b3=1) Y","delay (b0=1,b1=1,b2=0,b3=0) X","delay (b0=1,b1=1,b2=0,b3=0) Y","delay (b0=1,b1=1,b2=0,b3=1) X","delay (b0=1,b1=1,b2=0,b3=1) Y","delay (b0=1,b1=1,b2=1,b3=0) X","delay (b0=1,b1=1,b2=1,b3=0) Y","delay (b0=1,b1=1,b2=1,b3=1) X","delay (b0=1,b1=1,b2=1,b3=1) Y"
1e-06,8.802143559475152e-10,1e-06,8.119738996406968e-10,1e-06,8.416341780335674e-10,1e-06,7.887294675352105e-10,1e-06,8.596562673940633e-10,1e-06,7.99753782086379e-10,1e-06,8.261227158749883e-10,1e-06,7.786733144765527e-10,1e-06,8.660021768398852e-10,1e-06,8.033064385883962e-10,1e-06,8.308103883893307e-10,1e-06,7.815543983380296e-10,1e-06,8.470713498059781e-10,1e-06,7.919432890573258e-10,1e-06,8.164102581499334e-10,1e-06,7.723150010065594e-10
1.02e-06,9.00840207841164e-10,1.02e-06,8.286653813844938e-10,1.02e-06,8.600422576225218e-10,1.02e-06,8.041510930561788e-10,1.02e-06,8.788328243800393e-10,1.02e-06,8.157354692147308e-10,1.02e-06,8.435719927873663e-10,1.02e-06,7.937253505333549e-10,1.02e-06,8.855827881905736e-10,1.02e-06,8.195465248131415e-10,1.02e-06,8.485628347105382e-10,1.02e-06,7.968075656301315e-10,1.02e-06,8.658110856150621e-10,1.02e-06,8.075594928588015e-10,1.02e-06,8.334292363080119e-10,1.02e-06,7.863011327557709e-10
1.04e-06,9.223356562404331e-10,1.04e-06,8.457478586051583e-10,1.04e-06,8.78879722242608e-10,1.04e-06,8.197381070949475e-10,1.04e-06,8.987095411308241e-10,1.04e-06,8.320079554476695e-10,1.04e-06,8.615415707611587e-10,1.04e-06,8.086301349800776e-10,1.04e-06,9.060689794348598e-10,1.04e-06,8.360699322720663e-10,1.04e-06,8.668364643151832e-10,1.04e-06,8.118862245339756e-10,1.04e-06,8.84920330539688e-10,1.04e-06,8.233594968741923e-10,1.04e-06,8.507519446429656e-10,1.04e-06,8.015115903452174e-10
1.06e-06,9.431730543474209e-10,1.06e-06,8.620800850757932e-10,1.06e-06,8.968932917713531e-10,1.06e-06,8.347405696679361e-10,1.06e-06,9.180030203759927e-10,1.06e-06,8.476997613172094e-10,1.06e-06,8.785701119260159e-10,1.06e-06,8.230714842570048e-10,1.06e-06,9.260814321553831e-10,1.06e-06,8.520072560849655e-10,1.06e-06,8.84189885502364e-10,1.06e-06,8.265008585152361e-10,1.06e-06,9.033978416926372e-10,1.06e-06,8.385594845667917e-10,1.06e-06,8.673825722531509e-10,1.06e-06,8.155967976091305e-10
1.08e-06,9.650709395378955e-10,1.08e-06,8.797262884642555e-10,1.08e-06,9.168014214938837e-10,1.08e-06,8.510011879082585e-10,1.08e-06,9.392289404944481e-10,1.08e-06,8.645756585520127e-10,1.08e-06,8.977472913582904e-10,1.08e-06,8.386577871989299e-10,1.08e-06,9.472314291893055e-10,1.08e-06,8.691744682073553e-10,1.08e-06,9.036440916418721e-10,1.08e-06,8.422619319725758e-10,1.08e-06,9.237182151102384e-10,1.08e-06,8.550346572718197e-10,1.08e-06,8.853927696887498e-10,1.08e-06,8.307989720650825e-10
1.1e-06,9.867110899797166e-10,1.1e-06,8.970983588606319e-10,1.1e-06,9.355574710175994e-10,1.1e-06,8.663193305297848e-10,1.1e-06,9.588393365897286e-10,1.1e-06,8.80685582152525e-10,1.1e-06,9.153014041974904e-10,1.1e-06,8.53623506680898e-10,1.1e-06,9.674296449495821e-10,1.1e-06,8.861828101917786e-10,1.1e-06,9.215614019352636e-10,1.1e-06,8.574291459049802e-10,1.1e-06,9.426905483089646e-10,1.1e-06,8.705806874413774e-10,1.1e-06,9.030561956556551e-10,1.1e-06,8.452378055531424e-10
1.12e-06,1.008861319328585e-09,1.12e-06,9.140886891087685e-10,1.12e-06,9.544605183811913e-10,1.12e-06,8.828182676200433e-10,1.12e-06,9.794887270540976e-10,1.12e-06,8.975260064142604e-10,1.12e-06,9.331643112121851e-10,1.12e-06,8.686999711506431e-10,1.12e-06,9.885257348080346e-10,1.12e-06,9.025862816982699e-10,1.12e-06,9.398024891089959e-10,1.12e-06,8.727763556779092e-10,1.12e-06,9.621848291860643e-10,1.12e-06,8.873182278088064e-10,1.12e-06,9.203404226166812e-10,1.12e-06,8.600665889304431e-10
1.14e-06,1.029760279181608e-09,1.14e-06,9.307502182315145e-10,1.14e-06,9.733539062180814e-10,1.14e-06,8.978031840042565e-10,1.14e-06,9.997119774787191e-10,1.14e-06,9.133394992354054e-10,1.14e-06,9.507573274249198e-10,1.14e-06,8.838334383039187e-10,1.14e-06,1.009074755038148e-09,1.14e-06,9.187258185720467e-10,1.14e-06,9.577154871165957e-10,1.14e-06,8.880657847616034e-10,1.14e-06,9.814555680318637e-10,1.14e-06,9.025210606940913e-10,1.14e-06,9.373133605487202e-10,1.14e-06,8.751337995260908e-10
1.16e-06,1.053029579744416e-09,1.16e-06,9.491506693775012e-10,1.16e-06,9.942184875644293e-10,1.16e-06,9.145487405312265e-10,1.16e-06,1.020992667180987e-09,1.16e-06,9.308335429389287e-10,1.16e-06,9.701931034046281e-10,1.16e-06,8.998586489374707e-10,1.16e-06,1.031209093109067e-09,1.16e-06,9.364652593177025e-10,1.16e-06,9.775320869693554e-10,1.16e-06,9.042900632035038e-10,1.16e-06,1.002673607448269e-09,1.16e-06,9.195064502217444e-10,1.16e-06,9.560539229508458e-10,1.16e-06,8.906439120235762e-10
1.18e-06,1.074851936264581e-09,1.18e-06,9.664608157205035e-10,1.18e-06,1.013008404265365e-09,1.18e-06,9.300978481920993e-10,1.18e-06,1.041370874741997e-09,1.18e-06,9.473725495173347e-10,1.18e-06,9.887782498466068e-10,1.18e-06,9.14880190107851e-10,1.18e-06,1.0519307082081e-09,1.18e-06,9.533263767456966e-10,1.18e-06,9.963776865872657e-10,1.18e-06,9.195064415698906e-10,1.18e-06,1.021996678023e-09,1.18e-06,9.352951788766926e-10,1.18e-06,9.735748252694982e-10,1.18e-06,9.053089841218727e-10
