delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
1e-06,4.661392123344313e-10,1e-06,6.010212423404017e-10,1e-06,8.308103883893307e-10,1e-06,9.820587113125488e-10,1e-06,1.151918214680718e-09
1.02e-06,4.719367957936969e-10,1.02e-06,6.125694671320158e-10,1.02e-06,8.485628347105382e-10,1.02e-06,1.002320432316653e-09,1.02e-06,1.173135879301193e-09
1.04e-06,4.777067404594547e-10,1.04e-06,6.245154593788563e-10,1.04e-06,8.668364643151832e-10,1.04e-06,1.022666732513379e-09,1.04e-06,1.195848365189335e-09
1.06e-06,4.832864853871611e-10,1.06e-06,6.360093926837591e-10,1.06e-06,8.84189885502364e-10,1.06e-06,1.042301917000926e-09,1.06e-06,1.217834290910314e-09
1.08e-06,4.895865555926285e-10,1.08e-06,6.486417115623571e-10,1.08e-06,9.036440916418721e-10,1.08e-06,1.063668959820953e-09,1.08e-06,1.241121378185868e-09
1.1e-06,4.952148711309216e-10,1.1e-06,6.617156129503976e-10,1.1e-06,9.215614019352636e-10,1.1e-06,1.084070160478498e-09,1.1e-06,1.264063498547438e-09
1.12e-06,5.015249381443657e-10,1.12e-06,6.74237427857262e-10,1.12e-06,9.398024891089959e-10,1.12e-06,1.105086590717456e-09,1.12e-06,1.286457047445262e-09
1.14e-06,5.0745870231921e-10,1.14e-06,6.867742986562033e-10,1.14e-06,9.577154871165957e-10,1.14e-06,1.124888311591222e-09,1.14e-06,1.30816902822633e-09
1.16e-06,5.140024374574128e-10,1.16e-06,7.007542536437464e-10,1.16e-06,9.775320869693554e-10,1.16e-06,1.147380958284928e-09,1.16e-06,1.332217333047809e-09
1.18e-06,5.204417521449472e-10,1.18e-06,7.141026356877148e-10,1.18e-06,9.963776865872657e-10,1.18e-06,1.167519291534013e-09,1.18e-06,1.354681967305311e-09
1.2e-06,5.272401626192341e-10,1.2e-06,7.280254690300372e-10,1.2e-06,1.015184207261762e-09,1.2e-06,1.188461024141158e-09,1.2e-06,1.377735475010074e-09
1.22e-06,5.338527886089025e-10,1.22e-06,7.415878583675607e-10,1.22e-06,1.033270165245949e-09,1.22e-06,1.208545008528593e-09,1.22e-06,1.401086969583802e-09
1.24e-06,5.414892092517337e-10,1.24e-06,7.56510611500131e-10,1.24e-06,1.052623067180109e-09,1.24e-06,1.229974203462124e-09,1.24e-06,1.42414266930393e-09
1.26e-06,5.484963657672801e-10,1.26e-06,7.703953462152045e-10,1.26e-06,1.071296418181676e-09,1.26e-06,1.250678293032074e-09,1.26e-06,1.446378010410007e-09
1.28e-06,5.560872932586603e-10,1.28e-06,7.846087149155409e-10,1.28e-06,1.090807811495042e-09,1.28e-06,1.272336542118017e-09,1.28e-06,1.469198436075732e-09
1.3e-06,5.632696574068259e-10,1.3e-06,7.987721294108605e-10,1.3e-06,1.108956157594966e-09,1.3e-06,1.292424200694781e-09,1.3e-06,1.491341633989555e-09
1.32e-06,5.71507735016449e-10,1.32e-06,8.154562083831283e-10,1.32e-06,1.13044980939812e-09,1.32e-06,1.316291644790907e-09,1.32e-06,1.517595009988843e-09
1.34e-06,5.792431039888639e-10,1.34e-06,8.299569188315527e-10,1.34e-06,1.15004411555351e-09,1.34e-06,1.336976438303559e-09,1.34e-06,1.539869938793432e-09
1.36e-06,5.874454425256302e-10,1.36e-06,8.452198226904541e-10,1.36e-06,1.169176962781879e-09,1.36e-06,1.358119865687386e-09,1.36e-06,1.563243199891079e-09
1.38e-06,5.953706408307805e-10,1.38e-06,8.598396727804154e-10,1.38e-06,1.187590013069927e-09,1.38e-06,1.378602153318533e-09,1.38e-06,1.585469246187042e-09
1.4e-06,6.035237767310206e-10,1.4e-06,8.760477153745442e-10,1.4e-06,1.207397148177398e-09,1.4e-06,1.400552070374473e-09,1.4e-06,1.609377882658991e-09
1.42e-06,6.119978456105912e-10,1.42e-06,8.908085548701148e-10,1.42e-06,1.226347239271227e-09,1.42e-06,1.422488589042183e-09,1.42e-06,1.632072488540712e-09
1.44e-06,6.208165261936378e-10,1.44e-06,9.060825654149336e-10,1.44e-06,1.245589503343142e-09,1.44e-06,1.443268453036521e-09,1.44e-06,1.656236841505403e-09
1.46e-06,6.298470285947211e-10,1.46e-06,9.209116903961408e-10,1.46e-06,1.265042148443944e-09,1.46e-06,1.463596187492653e-09,1.46e-06,1.678441867451551e-09
1.48e-06,6.398404263066925e-10,1.48e-06,9.372711857325588e-10,1.48e-06,1.285282742034409e-09,1.48e-06,1.485994558561772e-09,1.48e-06,1.702870586019428e-09
