"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,jittereventtime=1.0814e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,jittereventtime=1.0814e-09) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,jittereventtime=6.12792e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,jittereventtime=6.12792e-09) Y"
10,-110.9615106405769,10,-97.66474258825558
13.42637584296065,-112.3118662276971,13.42637584296065,-98.94237280403556
18.02675682764374,-113.6591581110341,18.02675682764374,-100.2168318267502
24.2034012397602,-115.0033000105255,24.2034012397602,-101.4881496920698
32.49639617230002,-116.3441976212161,32.49639617230002,-102.7563525735193
43.63088285510481,-117.6817449426114,43.63088285510481,-104.0214601313492
58.58046315728254,-119.0158191653831,58.58046315728254,-105.2834820895169
78.65233154043848,-120.3462736449751,78.65233154043848,-106.5424137998655
105.6015764187076,-121.6729283786503,105.6015764187076,-107.7982304768331
141.7846454606699,-122.9955571347877,141.7846454606699,-109.0508796883974
190.3653938715879,-124.3138700297356,190.3653938715879,-110.3002715639773
255.5917325613177,-125.6274899881789,255.5917325613177,-111.5462660217164
343.1670663721736,-126.9359211343727,343.1670663721736,-112.7886561203905
460.7490010039027,-128.2385068352169,460.7490010039027,-114.0271464013101
618.6189256747053,-129.5343752725845,618.6189256747053,-115.2613248038748
830.5810199677136,-130.8223720675454,830.5810199677136,-116.4906264258617
1115.169294211613,-132.1009841972281,1115.169294211613,-117.7142870866162
1497.268207261428,-133.3682668846012,1497.268207261428,-118.9312844034942
2010.288568840785,-134.6217838047593,2010.288568840785,-120.1402640335541
2699.088987806386,-135.8585331524942,2699.088987806386,-121.3394490812557
3623.898318388478,-137.0747706745129,3623.898318388478,-122.526531782895
4865.582083935679,-138.2656925327186,4865.582083935679,-123.6985489808812
6532.713375369616,-139.4251416036188,6532.713375369616,-124.8517473088034
8771.066505204857,-140.5455397596666,8771.066505204857,-125.9814512125355
11776.36354424838,-141.6180615054832,11776.36354424838,-127.081957462115
15811.3883008419,-142.6329972955846,15811.3883008419,-128.1464931922372
21228.96419260944,-143.5803313212077,21228.96419260944,-129.1672880699581
28502.80520067281,-144.4505714494512,28502.80520067281,-130.1358187258002
38268.93752029267,-145.2357787151838,38268.93752029267,-131.043275180359
51381.31382582281,-145.9306198911593,51381.31382582281,-131.8812641908662
68986.48307306076,-146.533184879584,68986.48307306076,-132.6427005292551
92623.8449822957,-147.0453311741867,92623.8449822957,-133.3227601819204
124360.2554752427,-147.4724532691221,124360.2554752427,-133.9197177194042
166970.7529937215,-147.822766965776,166970.7529937215,-134.4355087380732
224181.2084475852,-148.1063490616065,224181.2084475852,-134.8759655843421
300994.1161546385,-148.3342139576889,300994.1161546385,-135.2508336300853
404126.0130011931,-148.5176387496048,404126.0130011931,-135.5737919704438
542594.7738471222,-148.6677997720396,542594.7738471222,-135.8626286431884
728508.1364097701,-148.7955588224695,728508.1364097701,-136.1392225673786
978122.4044092422,-148.9109092666304,978122.4044092422,-136.4277905544712
1313263.902201884,-149.0213439963218,1313263.902201884,-136.7484221320229
1763237.473195562,-149.1291126652636,1763237.473195562,-137.1045068179626
2367388.901551588,-149.2297573665749,2367388.901551588,-137.4720563233418
3178545.31586854,-149.3153349242072,3178545.31586854,-137.8075745768893
4267634.40447331,-149.3806138248076,4267634.40447331,-138.0747282526799
5729886.347480823,-149.425987775374,5729886.347480823,-138.2632938247678
7693160.763872658,-149.4555539960942,7693160.763872658,-138.3848872684765
10329126.78360726,-149.4740718578645,10329126.78360726,-138.4585853607074
13868273.83263024,-149.4853111050357,13868273.83263024,-138.5011530889282
18620065.676999,-149.4916538168748,18620065.676999,-138.5238622764118
25000000,-149.4939580599956,25000000,-138.5317652966968
