"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1e-06,6.467906418454704e-06
1.00003125e-06,6.475818727882295e-06
1.000081134495523e-06,6.481363156907952e-06
1.000180903486569e-06,6.97996804475351e-06
1.000205852543545e-06,8.6333191460418e-06
1.000226170647628e-06,1.178905421464259e-05
1.000244309752449e-06,1.578362479475233e-05
1.000263264850472e-06,1.974577047136053e-05
1.00028318458385e-06,2.1727203019835e-05
1.00031135701889e-06,3.494284742882445e-05
1.000321620542054e-06,6.558842827418801e-05
1.000334522093042e-06,0.0001026034026015733
1.000343615953875e-06,0.0001129744061877568
1.000348416400305e-06,0.000138710367454867
1.000351581141216e-06,0.0001848237487848331
1.000354574151678e-06,0.0002541311336814393
1.000357849806549e-06,0.0003470804861995374
1.000360856683301e-06,0.0004318528650962498
1.000365589150913e-06,0.0005403503788360402
1.000369898757898e-06,0.0006057457454351395
1.000372041009513e-06,0.0006303346383735913
1.00037435076623e-06,0.0006585049887679032
1.000376197824222e-06,0.0006826975508727349
1.000377850267043e-06,0.0007025106910616793
1.000379758792682e-06,0.0007220104274369102
1.000381744362672e-06,0.0007381052107344396
1.000384480292457e-06,0.0007539902938087206
1.000388403001105e-06,0.0007657211480041524
1.000395110640632e-06,0.0007639809447466441
1.000403881167367e-06,0.0007367924067737285
1.000412959795281e-06,0.0006957732445871197
1.000423125058644e-06,0.0006464296665530979
1.000434947701193e-06,0.0005912309337801304
1.000450792579999e-06,0.0005241683339815923
1.000472659573979e-06,0.00044480348000272
1.0005e-06,0.0003633166190355515
1.000508620075928e-06,0.0003414233466108912
1.000522446788899e-06,0.0003085131575822639
1.000535600453468e-06,0.0002801901709038812
1.000561907782606e-06,0.0002311379002031835
1.000607853273391e-06,0.0001659561565959618
1.000687839180787e-06,0.000104137094575739
1.000758942383646e-06,9.051839773618995e-05
1.000820926891693e-06,8.964463499084116e-05
1.000894996458091e-06,8.77987111464037e-05
1.000957199965843e-06,9.707130652050404e-05
1.000976433027081e-06,0.0001118936387018813
1.000998246292984e-06,0.0001384229299559241
1.001023423190936e-06,0.0001657808550698737
1.00104300774059e-06,0.0001649617147155928
1.001068841836364e-06,0.0001473191522454686
1.001076736856347e-06,0.0001430411229988335
1.001081885694843e-06,0.0001411164824728622
1.001088824422603e-06,0.0001384117706430622
1.001093926032812e-06,0.0001354010159062547
1.001100026852778e-06,0.0001300108268153995
1.00110702706928e-06,0.0001217275748478536
1.001112588010074e-06,0.0001148584806686748
1.001116732937436e-06,0.000110822656223798
1.001120066108595e-06,0.0001083412129338437
1.001123064567903e-06,0.000106306695118563
1.001126489073222e-06,0.0001040557096269796
1.001130209587039e-06,0.0001016444683467685
1.001135356489804e-06,9.832306174625192e-05
1.001143449519655e-06,9.300093951636782e-05
1.001159635579357e-06,8.037772049449084e-05
1.001172789588024e-06,6.861658023847722e-05
1.001191191093753e-06,5.438842360826407e-05
1.00120609421422e-06,4.647296178549961e-05
1.001221492098956e-06,4.092801773531286e-05
