/out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.3e-07,0.0002095486065454389,8.3e-07,1.1,8.3e-07,0.4909657509876508,8.3e-07,0.6488704424996699,8.3e-07,11111111
8.300039062499999e-07,0.0001164107721359023,8.300039062499999e-07,1.091406250000076,8.300039062499999e-07,0.4908599461587738,8.300039062499999e-07,0.6487808881413057,8.303404004681884e-07,00101010
8.300116948297647e-07,8.851177433731654e-05,8.300116948297647e-07,1.074271374517725,8.300116948297647e-07,0.4908099599295544,8.300116948297647e-07,0.6487444889638632,8.503404576209825e-07,10001100
8.300147776172102e-07,8.908050023199859e-05,8.300147776172102e-07,1.067489242137597,8.300147776172102e-07,0.4908024119860156,8.300147776172102e-07,0.6487401171993544,8.703405426250813e-07,11110000
8.300177135410689e-07,8.91329247588208e-05,8.300177135410689e-07,1.061030209648495,8.300177135410689e-07,0.490794883035874,8.300177135410689e-07,0.6487354034775313,8.899999999999999e-07,11110000
8.30022816396037e-07,8.898533932361238e-05,8.30022816396037e-07,1.049803928718582,8.30022816396037e-07,0.4907820901121064,8.30022816396037e-07,0.6487274290903395,  ,  
8.300330221059733e-07,8.929245006523813e-05,8.300330221059733e-07,1.027351366858756,8.300330221059733e-07,0.4907601056071637,8.300330221059733e-07,0.6487140291971808,  ,  
8.300470270990234e-07,9.049505187360959e-05,8.300470270990234e-07,0.9965403821485895,8.300470270990234e-07,0.4907363988804395,8.300470270990234e-07,0.6486992246371481,  ,  
8.300655444276462e-07,9.219344433594246e-05,8.300655444276462e-07,0.9558022591782401,8.300655444276462e-07,0.4907126799445358,8.300655444276462e-07,0.6486829424305525,  ,  
8.300928150394104e-07,9.40077507563461e-05,8.300928150394104e-07,0.8958069132970508,8.300928150394104e-07,0.4906871680040805,8.300928150394104e-07,0.6486621926755393,  ,  
8.301416317736612e-07,9.586959032817731e-05,8.301416317736612e-07,0.7884100979453526,8.301416317736612e-07,0.4906552520876738,8.301416317736612e-07,0.6486293889340065,  ,  
8.301864934207656e-07,9.837693297219231e-05,8.301864934207656e-07,0.68971447431574,8.301864934207656e-07,0.4906345074380712,8.301864934207656e-07,0.6486035796432752,  ,  
8.302021080369416e-07,0.00010069441440399,8.302021080369416e-07,0.655362318728501,8.302021080369416e-07,0.4906297172555828,8.302021080369416e-07,0.6485966601571127,  ,  
8.302215431666153e-07,0.0001065926377454862,8.302215431666153e-07,0.6126050334462708,8.302215431666153e-07,0.4906270501360585,8.302215431666153e-07,0.648591233635557,  ,  
8.302347698177962e-07,0.0001129667628940002,8.302347698177962e-07,0.583506400848426,8.302347698177962e-07,0.4906282534059752,8.302347698177962e-07,0.6485898808265969,  ,  
8.302486398580686e-07,0.0001221973760363251,8.302486398580686e-07,0.5529923122491153,8.302486398580686e-07,0.4906336452805935,8.302486398580686e-07,0.6485909828391642,  ,  
8.302604872099814e-07,0.0001322059297347475,8.302604872099814e-07,0.5269281380408473,8.302604872099814e-07,0.4906428634150382,8.302604872099814e-07,0.648593953042472,  ,  
8.302704187312686e-07,0.0001415897772143871,8.302704187312686e-07,0.5050787912090444,8.302704187312686e-07,0.4906540064571166,8.302704187312686e-07,0.6485975661505633,  ,  
8.302803431234853e-07,0.0001512417421242542,8.302803431234853e-07,0.4832451283323027,8.302803431234853e-07,0.4906676979689378,8.302803431234853e-07,0.6486017381940185,  ,  
8.302919825051436e-07,0.0001641590173862568,8.302919825051436e-07,0.4576384886840351,8.302919825051436e-07,0.4906889105207854,8.302919825051436e-07,0.6486080703393476,  ,  
8.303055332609259e-07,0.0001833037184063198,8.303055332609259e-07,0.4278268259629219,8.303055332609259e-07,0.4907260782137268,8.303055332609259e-07,0.6486185254291266,  ,  
8.303223431592412e-07,0.0002155977631221783,8.303223431592412e-07,0.3908450496693175,8.303223431592412e-07,0.4907979601980089,8.303223431592412e-07,0.6486394003102844,  ,  
8.303267429889417e-07,0.0002167908843339656,8.303267429889417e-07,0.3811654243282062,8.303267429889417e-07,0.49080509183306,8.303267429889417e-07,0.6486441194033514,  ,  
8.303313017245199e-07,0.0002031850614243763,8.303313017245199e-07,0.3711362060562859,8.303313017245199e-07,0.4907798468402849,8.303313017245199e-07,0.6486454170379908,  ,  
8.303353117986264e-07,0.0001707582078189845,8.303353117986264e-07,0.3623140430219203,8.303353117986264e-07,0.4907056211424018,8.303353117986264e-07,0.6486402372800683,  ,  
8.303353972569093e-07,-0.0004416863639941613,8.303353972569093e-07,0.3621260347994706,8.303353972569093e-07,0.4900606966772256,8.303353972569093e-07,0.6479908741700613,  ,  
8.303354697343311e-07,-0.0008082356627352466,8.303354697343311e-07,0.3619665844714981,8.303354697343311e-07,0.4896890877854869,8.303354697343311e-07,0.647622780213489,  ,  
8.303355078174734e-07,-0.0009442156160875967,8.303355078174734e-07,0.3618828015585592,8.303355078174734e-07,0.4895528147068976,8.303355078174734e-07,0.6474899035766222,  ,  
8.303355486691998e-07,-0.001058042015578702,8.303355486691998e-07,0.3617929277604879,8.303355486691998e-07,0.489438823038706,8.303355486691998e-07,0.6473797472626112,  ,  
8.303355864498521e-07,-0.001142207527567769,8.303355864498521e-07,0.3617098103252521,8.303355864498521e-07,0.4893545246841574,8.303355864498521e-07,0.6472989074196959,  ,  
8.303356281858412e-07,-0.00121858559777139,8.303356281858412e-07,0.3616179911492577,8.303356281858412e-07,0.4892778521171182,8.303356281858412e-07,0.6472259180155898,  ,  
8.303356779744828e-07,-0.00129337156836225,8.303356779744828e-07,0.3615084561378866,8.303356779744828e-07,0.4892022631140249,8.303356779744828e-07,0.6471546007527044,  ,  
8.3033573693254e-07,-0.001365316502051966,8.3033573693254e-07,0.3613787484119145,8.3033573693254e-07,0.4891285653814385,8.3033573693254e-07,0.6470859152579441,  ,  
8.303358050438784e-07,-0.001432276344245595,8.303358050438784e-07,0.3612289034674641,8.303358050438784e-07,0.4890585030406468,8.303358050438784e-07,0.6470217462943854,  ,  
8.303358864225951e-07,-0.001496262532179789,8.303358864225951e-07,0.3610498702908,8.303358864225951e-07,0.4889895106069668,8.303358864225951e-07,0.6469601331922057,  ,  
8.303359872050995e-07,-0.001558970179211938,8.303359872050995e-07,0.3608281487810446,8.303359872050995e-07,0.4889191338402805,8.303359872050995e-07,0.6468996072160351,  ,  
8.303361132483724e-07,-0.001620468316693196,8.303361132483724e-07,0.3605508535805874,8.303361132483724e-07,0.4888465800788728,8.303361132483724e-07,0.6468406106943883,  ,  
8.303362640570566e-07,-0.001678434238449261,8.303362640570566e-07,0.3602190744753901,8.303362640570566e-07,0.4887742884150603,8.303362640570566e-07,0.6467862464246961,  ,  
8.303364377793416e-07,-0.001732097161093497,8.303364377793416e-07,0.3598368854483955,8.303364377793416e-07,0.4887036834964474,8.303364377793416e-07,0.6467380905044555,  ,  
8.303366330148966e-07,-0.001782186120047746,8.303366330148966e-07,0.359407367227487,8.303366330148966e-07,0.4886347878250069,8.303366330148966e-07,0.646695997470039,  ,  
8.30336893284106e-07,-0.001838841369609196,8.30336893284106e-07,0.358834774966804,8.30336893284106e-07,0.4885541553876577,8.30336893284106e-07,0.6466522740553972,  ,  
8.303371838044752e-07,-0.001893087220292662,8.303371838044752e-07,0.3581956301546111,8.303371838044752e-07,0.4884747975180434,8.303371838044752e-07,0.6466143370712704,  ,  
8.303374948778984e-07,-0.001943395555483855,8.303374948778984e-07,0.357511268623539,8.303374948778984e-07,0.4883992952124286,8.303374948778984e-07,0.6465822953117778,  ,  
8.303378270048188e-07,-0.001989873471041668,8.303378270048188e-07,0.3567805893986383,8.303378270048188e-07,0.48832729896286,8.303378270048188e-07,0.6465551712769046,  ,  
8.303381784638522e-07,-0.002032137197423464,8.303381784638522e-07,0.3560073795251257,8.303381784638522e-07,0.4882589865593336,8.303381784638522e-07,0.6465325922801121,  ,  
8.303385507942229e-07,-0.002070248926620341,8.303385507942229e-07,0.3551882527096547,8.303385507942229e-07,0.488193838037047,8.303385507942229e-07,0.6465143150396561,  ,  
8.30338949155602e-07,-0.002104228061069551,8.30338949155602e-07,0.3543118576755097,8.30338949155602e-07,0.4881313002707018,8.30338949155602e-07,0.6465009206600669,  ,  
8.303393923101898e-07,-0.002131039352105605,8.303393923101898e-07,0.3533369175824227,8.303393923101898e-07,0.4880731825824629,8.303393923101898e-07,0.6464974046755764,  ,  
8.303399719036707e-07,-0.002137279766780536,8.303399719036707e-07,0.3520618119243923,8.303399719036707e-07,0.4880271261820547,8.303399719036707e-07,0.646524168034635,  ,  
8.303404004681884e-07,-0.002112900588739167,8.303404004681884e-07,0.3511189699855146,8.303404004681884e-07,0.4880231285493335,8.303404004681884e-07,0.6465754642244188,  ,  
8.303407281251904e-07,-0.002074083885251918,8.303407281251904e-07,0.3503981245811716,8.303407281251904e-07,0.4880410235290871,8.303407281251904e-07,0.6466365055993718,  ,  
8.303410231045052e-07,-0.002024209014822075,8.303410231045052e-07,0.3497491700885423,8.303410231045052e-07,0.4880726263697072,8.303410231045052e-07,0.6467072780739638,  ,  
8.303412960418392e-07,-0.001966623976365607,8.303412960418392e-07,0.3491487079537449,8.303412960418392e-07,0.4881137144436161,8.303412960418392e-07,0.6467844570021171,  ,  
8.303415626074078e-07,-0.001901897878545865,8.303415626074078e-07,0.3485622637028918,8.303415626074078e-07,0.4881625276722923,8.303415626074078e-07,0.6468677801773518,  ,  
8.303418320945457e-07,-0.001830205135127574,8.303418320945457e-07,0.3479693919993178,8.303418320945457e-07,0.4882180776591155,8.303418320945457e-07,0.6469569179728076,  ,  
8.303421107283357e-07,-0.001751244858256051,8.303421107283357e-07,0.3473563976614998,8.303421107283357e-07,0.488280042480959,8.303421107283357e-07,0.6470518464876497,  ,  
8.303424055248811e-07,-0.001663608310106735,8.303424055248811e-07,0.3467078452615093,8.303424055248811e-07,0.4883491168817599,8.303424055248811e-07,0.6471537946236586,  ,  
8.303427310038547e-07,-0.001563879174202781,8.303427310038547e-07,0.3459917915197326,8.303427310038547e-07,0.4884275016285417,8.303427310038547e-07,0.647266211611584,  ,  
8.303431032571664e-07,-0.001449929838026907,8.303431032571664e-07,0.3451728342339038,8.303431032571664e-07,0.4885148615078383,8.303431032571664e-07,0.6473907314563295,  ,  
8.303435226227377e-07,-0.001324490045021185,8.303435226227377e-07,0.3442502299770328,8.303435226227377e-07,0.4886083180274603,8.303435226227377e-07,0.6475239784073037,  ,  
8.303439480424933e-07,-0.001198577126390292,8.303439480424933e-07,0.343314306514711,8.303439480424933e-07,0.4887006427683691,8.303439480424933e-07,0.6476550194107537,  ,  
8.303444510263938e-07,-0.001047265688058513,8.303444510263938e-07,0.3422077419336782,8.303444510263938e-07,0.4888113448674142,8.303444510263938e-07,0.6478103352919118,  ,  
8.303448814125101e-07,-0.0009156771171163234,8.303448814125101e-07,0.3412608924777285,8.303448814125101e-07,0.4889075714040377,8.303448814125101e-07,0.6479442138464583,  ,  
8.303453117986263e-07,-0.0007825278807452785,8.303453117986263e-07,0.3403140430220117,8.303453117986263e-07,0.4890049836655595,8.303453117986263e-07,0.648079095110729,  ,  
8.30345343900531e-07,-0.0004697213762862792,8.30345343900531e-07,0.3402434188318076,8.30345343900531e-07,0.4893407823489429,8.30345343900531e-07,0.6484229536615657,  ,  
8.303453719395213e-07,-0.0002341368909641286,8.303453719395213e-07,0.3401817330531506,8.303453719395213e-07,0.4895806149004686,8.303453719395213e-07,0.648666718349668,  ,  
8.303453995589587e-07,-4.97748975228501e-05,8.303453995589587e-07,0.3401209702908489,8.303453995589587e-07,0.4897638071738101,8.303453995589587e-07,0.6488508494718692,  ,  
8.303454263475659e-07,9.11733792166212e-05,8.303454263475659e-07,0.3400620353548989,8.303454263475659e-07,0.4899025778333996,8.303454263475659e-07,0.6489891355147988,  ,  
8.303454501259889e-07,0.0001929086932534712,8.303454501259889e-07,0.3400097228244343,8.303454501259889e-07,0.4900020088861339,8.303454501259889e-07,0.6490876813909819,  ,  
8.303454750562592e-07,0.0002825365534791044,8.303454750562592e-07,0.3399548762297155,8.303454750562592e-07,0.4900888562309736,8.303454750562592e-07,0.6491734637902656,  ,  
8.303455032374214e-07,0.0003684093386765743,8.303455032374214e-07,0.3398928776727923,8.303455032374214e-07,0.4901712336533354,8.303455032374214e-07,0.6492546072897355,  ,  
8.303455376692168e-07,0.000456755992481245,8.303455376692168e-07,0.3398171277229319,8.303455376692168e-07,0.4902550609597831,8.303455376692168e-07,0.6493369434374566,  ,  
8.30345578758526e-07,0.0005443290683963602,8.30345578758526e-07,0.3397267312427247,8.30345578758526e-07,0.4903372213242472,8.30345578758526e-07,0.649417371384297,  ,  
8.303456289653461e-07,0.0006319306179108061,8.303456289653461e-07,0.3396162762384822,8.303456289653461e-07,0.4904185288402422,8.303456289653461e-07,0.649496633698283,  ,  
8.303456926115501e-07,0.0007210338165357487,8.303456926115501e-07,0.3394762545896969,8.303456926115501e-07,0.4905004444759217,8.303456926115501e-07,0.6495760363345974,  ,  
8.303457784816241e-07,0.00081462609718862,8.303457784816241e-07,0.3392873404270549,8.303457784816241e-07,0.4905858304707101,8.303457784816241e-07,0.6496580284936798,  ,  
8.30345876895585e-07,0.0008964627108984831,8.30345876895585e-07,0.3390708297130285,8.30345876895585e-07,0.4906600287433379,8.30345876895585e-07,0.6497281591806764,  ,  
8.303459842368722e-07,0.0009652167300281835,8.303459842368722e-07,0.3388346788811426,8.303459842368722e-07,0.4907219852133912,8.303459842368722e-07,0.6497853064640011,  ,  
8.303461098951224e-07,0.001028169490030043,8.303461098951224e-07,0.3385582307307214,8.303461098951224e-07,0.4907781954184323,8.303461098951224e-07,0.6498353004087072,  ,  
8.303462586744006e-07,0.00108697114141041,8.303462586744006e-07,0.3382309163185497,8.303462586744006e-07,0.4908297474706684,8.303462586744006e-07,0.6498788661053029,  ,  
8.303464304669492e-07,0.001141147487369531,8.303464304669492e-07,0.3378529727116369,8.303464304669492e-07,0.490875738486686,8.303464304669492e-07,0.6499151857475998,  ,  
8.303466399241971e-07,0.001194301807377072,8.303466399241971e-07,0.3373921667662928,8.303466399241971e-07,0.4909185237316373,8.303466399241971e-07,0.6499463391989995,  ,  
8.303469072783181e-07,0.001248514022009334,8.303469072783181e-07,0.3368039877001242,8.303469072783181e-07,0.4909585483331838,8.303469072783181e-07,0.6499730577236289,  ,  
8.30347256337127e-07,0.001303605127546273,8.30347256337127e-07,0.3360360583206373,8.30347256337127e-07,0.4909937498173457,8.30347256337127e-07,0.6499950752534036,  ,  
8.303476429137089e-07,0.001349575883321148,8.303476429137089e-07,0.3351855898404232,8.303476429137089e-07,0.4910166659510771,8.303476429137089e-07,0.6500097581572268,  ,  
