"t_delay  X","t_delay  Y"
1e-06,6.16871946473235e-10
1.02e-06,6.339825584476652e-10
1.04e-06,6.521094931439575e-10
1.06e-06,6.708657129277515e-10
1.08e-06,6.885985221558619e-10
1.1e-06,7.074386788246954e-10
1.12e-06,7.254053694935051e-10
1.14e-06,7.440765745144294e-10
1.16e-06,7.624941262630546e-10
1.18e-06,7.814356013281595e-10
1.2e-06,7.999191503193763e-10
1.22e-06,8.188372453325913e-10
1.24e-06,8.380341367514486e-10
1.26e-06,8.565492695620629e-10
1.28e-06,8.751575453867509e-10
1.3e-06,8.940674412713873e-10
1.32e-06,9.129259383820899e-10
1.34e-06,9.319757546209167e-10
1.36e-06,9.509171596517229e-10
1.38e-06,9.699518411757339e-10
1.4e-06,9.890355583229997e-10
1.42e-06,1.007626453287819e-09
1.44e-06,1.027028122532814e-09
1.46e-06,1.045748596963989e-09
1.48e-06,1.065552442233765e-09
1.5e-06,1.084151311072448e-09
1.52e-06,1.103686599445989e-09
1.54e-06,1.122185530189705e-09
1.56e-06,1.141997309886228e-09
1.58e-06,1.160756215154328e-09
1.6e-06,1.180123320442535e-09
1.62e-06,1.199458257286492e-09
1.64e-06,1.218783984530757e-09
1.66e-06,1.23760058168102e-09
1.68e-06,1.257304429982869e-09
1.7e-06,1.276495082009222e-09
1.72e-06,1.295867799945417e-09
1.74e-06,1.31500192039501e-09
1.76e-06,1.334738129903887e-09
1.78e-06,1.354037204586374e-09
1.8e-06,1.373483875149306e-09
1.82e-06,1.392928359243158e-09
1.84e-06,1.412505833709955e-09
1.86e-06,1.431765550478346e-09
1.88e-06,1.451210896736511e-09
1.9e-06,1.470836151280766e-09
1.92e-06,1.490957588641962e-09
1.94e-06,1.509367863774515e-09
1.96e-06,1.529125251384408e-09
1.98e-06,1.549066792976797e-09
2e-06,1.56828363267597e-09
2.02e-06,1.587484493642917e-09
2.04e-06,1.607358861829101e-09
2.06e-06,1.62720510975738e-09
2.08e-06,1.64678144107322e-09
2.1e-06,1.666420440138027e-09
2.12e-06,1.685985840769021e-09
2.14e-06,1.705960901144112e-09
2.16e-06,1.725614597239385e-09
2.18e-06,1.745152339771162e-09
2.2e-06,1.764542349261268e-09
2.22e-06,1.784723395413585e-09
2.24e-06,1.804020088782002e-09
2.26e-06,1.82403019575462e-09
2.28e-06,1.844016836856445e-09
2.3e-06,1.86388332670496e-09
2.32e-06,1.883503895649901e-09
2.34e-06,1.903321003851843e-09
2.36e-06,1.923254037820111e-09
2.38e-06,1.943119209366903e-09
2.4e-06,1.963056251165967e-09
2.42e-06,1.982727719677682e-09
2.44e-06,2.002775238746405e-09
2.46e-06,2.022236749277457e-09
2.48e-06,2.042512049530216e-09
2.5e-06,2.062507232878194e-09
2.52e-06,2.081816977687551e-09
2.54e-06,2.102433545232805e-09
2.56e-06,2.122326810482776e-09
2.58e-06,2.14215841557959e-09
2.6e-06,2.162237850236185e-09
2.62e-06,2.181922036854101e-09
2.64e-06,2.202091500670635e-09
2.66e-06,2.221393940566809e-09
2.68e-06,2.242049946369381e-09
2.7e-06,2.261468013574783e-09
2.72e-06,2.281263166650809e-09
2.74e-06,2.301454353756243e-09
2.76e-06,2.322103427582131e-09
2.78e-06,2.341425172910414e-09
2.8e-06,2.361853009355327e-09
2.82e-06,2.381633484196547e-09
2.84e-06,2.401340255988515e-09
2.86e-06,2.421203360257182e-09
2.88e-06,2.441849369787588e-09
2.9e-06,2.461399532382196e-09
2.92e-06,2.48153810128946e-09
2.94e-06,2.501271268730797e-09
2.96e-06,2.522250749230666e-09
2.98e-06,2.541632857875336e-09
3e-06,2.561840590543611e-09
3.02e-06,2.582142917914641e-09
3.04e-06,2.602068226633855e-09
3.06e-06,2.622403078538191e-09
3.08e-06,2.641909027310479e-09
3.1e-06,2.663003258272815e-09
3.12e-06,2.682437544335188e-09
3.14e-06,2.702230416016803e-09
3.16e-06,2.723329652603569e-09
3.18e-06,2.742341307394191e-09
3.2e-06,2.763430304385342e-09
