"delay (b0=0,b1=0,b2=0,b3=0) X","delay (b0=0,b1=0,b2=0,b3=0) Y","delay (b0=0,b1=0,b2=0,b3=1) X","delay (b0=0,b1=0,b2=0,b3=1) Y","delay (b0=0,b1=0,b2=1,b3=0) X","delay (b0=0,b1=0,b2=1,b3=0) Y","delay (b0=0,b1=0,b2=1,b3=1) X","delay (b0=0,b1=0,b2=1,b3=1) Y","delay (b0=0,b1=1,b2=0,b3=0) X","delay (b0=0,b1=1,b2=0,b3=0) Y","delay (b0=0,b1=1,b2=0,b3=1) X","delay (b0=0,b1=1,b2=0,b3=1) Y","delay (b0=0,b1=1,b2=1,b3=0) X","delay (b0=0,b1=1,b2=1,b3=0) Y","delay (b0=0,b1=1,b2=1,b3=1) X","delay (b0=0,b1=1,b2=1,b3=1) Y","delay (b0=1,b1=0,b2=0,b3=0) X","delay (b0=1,b1=0,b2=0,b3=0) Y","delay (b0=1,b1=0,b2=0,b3=1) X","delay (b0=1,b1=0,b2=0,b3=1) Y","delay (b0=1,b1=0,b2=1,b3=0) X","delay (b0=1,b1=0,b2=1,b3=0) Y","delay (b0=1,b1=0,b2=1,b3=1) X","delay (b0=1,b1=0,b2=1,b3=1) Y","delay (b0=1,b1=1,b2=0,b3=0) X","delay (b0=1,b1=1,b2=0,b3=0) Y","delay (b0=1,b1=1,b2=0,b3=1) X","delay (b0=1,b1=1,b2=0,b3=1) Y","delay (b0=1,b1=1,b2=1,b3=0) X","delay (b0=1,b1=1,b2=1,b3=0) Y","delay (b0=1,b1=1,b2=1,b3=1) X","delay (b0=1,b1=1,b2=1,b3=1) Y"
1e-06,4.782833361366642e-10,1e-06,4.381858094701609e-10,1e-06,4.544388721576833e-10,1e-06,4.259147453838318e-10,1e-06,4.651442260826425e-10,1e-06,4.316676908227323e-10,1e-06,4.45650407831328e-10,1e-06,4.207713997293201e-10,1e-06,4.690869140410546e-10,1e-06,4.334876386932843e-10,1e-06,4.482066767613291e-10,1e-06,4.221563618002102e-10,1e-06,4.576514701090721e-10,1e-06,4.275523417154389e-10,1e-06,4.403223517356411e-10,1e-06,4.173392849707151e-10
1.02e-06,4.811436334124262e-10,1.02e-06,4.445916642704469e-10,1.02e-06,4.597774432266911e-10,1.02e-06,4.329111263615789e-10,1.02e-06,4.695072932340266e-10,1.02e-06,4.384798385852551e-10,1.02e-06,4.516110472652249e-10,1.02e-06,4.279164882402149e-10,1.02e-06,4.728535817858145e-10,1.02e-06,4.401371659951596e-10,1.02e-06,4.538934871928407e-10,1.02e-06,4.291993094604826e-10,1.02e-06,4.625671294138175e-10,1.02e-06,4.344595604235705e-10,1.02e-06,4.465485092223085e-10,1.02e-06,4.245015105065842e-10
1.04e-06,4.943589461289108e-10,1.04e-06,4.579740681409113e-10,1.04e-06,4.732366790266677e-10,1.04e-06,4.459177457094434e-10,1.04e-06,4.828348678816542e-10,1.04e-06,4.516126193457847e-10,1.04e-06,4.652048475366755e-10,1.04e-06,4.406625015052939e-10,1.04e-06,4.862119394891667e-10,1.04e-06,4.533029410516568e-10,1.04e-06,4.67369636354343e-10,1.04e-06,4.419866316971412e-10,1.04e-06,4.760541393241661e-10,1.04e-06,4.474884972967858e-10,1.04e-06,4.599294744194936e-10,1.04e-06,4.370899291990902e-10
1.06e-06,5.088225367833088e-10,1.06e-06,4.719267487054366e-10,1.06e-06,4.875793469883891e-10,1.06e-06,4.592599021831618e-10,1.06e-06,4.974873067103009e-10,1.06e-06,4.654615156353749e-10,1.06e-06,4.792991711966954e-10,1.06e-06,4.53813851512228e-10,1.06e-06,5.006765621600329e-10,1.06e-06,4.671327631408608e-10,1.06e-06,4.815344508330192e-10,1.06e-06,4.551858669736715e-10,1.06e-06,4.90406467066436e-10,1.06e-06,4.608899962906284e-10,1.06e-06,4.739004915589185e-10,1.06e-06,4.50086186513561e-10
1.08e-06,5.248863799570008e-10,1.08e-06,4.867544826695134e-10,1.08e-06,5.031163737050291e-10,1.08e-06,4.734380386369033e-10,1.08e-06,5.131960523817837e-10,1.08e-06,4.798286573441324e-10,1.08e-06,4.944623134356921e-10,1.08e-06,4.678431324847742e-10,1.08e-06,5.165941431379091e-10,1.08e-06,4.816022197378151e-10,1.08e-06,4.967739162959225e-10,1.08e-06,4.692636459288934e-10,1.08e-06,5.05990959481194e-10,1.08e-06,4.751572718055942e-10,1.08e-06,4.888237596035728e-10,1.08e-06,4.636244805431417e-10
1.1e-06,5.41770031187321e-10,1.1e-06,5.018996404514217e-10,1.1e-06,5.192163739354739e-10,1.1e-06,4.877397925961855e-10,1.1e-06,5.297749637678363e-10,1.1e-06,4.944949034317226e-10,1.1e-06,5.100615374094966e-10,1.1e-06,4.816183249239036e-10,1.1e-06,5.331013237475674e-10,1.1e-06,4.963882015865079e-10,1.1e-06,5.124876963523476e-10,1.1e-06,4.831383277461522e-10,1.1e-06,5.221656851596854e-10,1.1e-06,4.89526791594027e-10,1.1e-06,5.040626914203737e-10,1.1e-06,4.774241017151381e-10
1.12e-06,5.596188619528244e-10,1.12e-06,5.177670308796955e-10,1.12e-06,5.360159832519813e-10,1.12e-06,5.026595472121251e-10,1.12e-06,5.471601118781731e-10,1.12e-06,5.099499408105468e-10,1.12e-06,5.264308533846732e-10,1.12e-06,4.961138329494413e-10,1.12e-06,5.507529234204516e-10,1.12e-06,5.119917248171397e-10,1.12e-06,5.290106002224657e-10,1.12e-06,4.977818531017158e-10,1.12e-06,5.391306964617047e-10,1.12e-06,5.046356515638784e-10,1.12e-06,5.202118481993647e-10,1.12e-06,4.915790925873312e-10
1.14e-06,5.781442086175352e-10,1.14e-06,5.337479466953128e-10,1.14e-06,5.531506400305307e-10,1.14e-06,5.177370517827234e-10,1.14e-06,5.64980940864524e-10,1.14e-06,5.254855034580021e-10,1.14e-06,5.430764376351803e-10,1.14e-06,5.107377580945068e-10,1.14e-06,5.685736027076854e-10,1.14e-06,5.276413032800354e-10,1.14e-06,5.458034294529454e-10,1.14e-06,5.125412615042806e-10,1.14e-06,5.566890705480521e-10,1.14e-06,5.198446026887579e-10,1.14e-06,5.362359376060493e-10,1.14e-06,5.058964940173103e-10
1.16e-06,5.974501571792939e-10,1.16e-06,5.502282377656565e-10,1.16e-06,5.709955716131921e-10,1.16e-06,5.331879175566855e-10,1.16e-06,5.835771220726077e-10,1.16e-06,5.414314752929299e-10,1.16e-06,5.60075031988628e-10,1.16e-06,5.257038262360041e-10,1.16e-06,5.873470685690006e-10,1.16e-06,5.438065092922725e-10,1.16e-06,5.630253377005899e-10,1.16e-06,5.277003865683734e-10,1.16e-06,5.745408610903409e-10,1.16e-06,5.354149303310547e-10,1.16e-06,5.529127851754811e-10,1.16e-06,5.205909967251734e-10
1.18e-06,6.173060546055202e-10,1.18e-06,5.668004532317423e-10,1.18e-06,5.889854163692289e-10,1.18e-06,5.486823635901262e-10,1.18e-06,6.022710842847866e-10,1.18e-06,5.573154020772974e-10,1.18e-06,5.773860269109429e-10,1.18e-06,5.406104981102777e-10,1.18e-06,6.064540726749395e-10,1.18e-06,5.598701403084851e-10,1.18e-06,5.804120633271552e-10,1.18e-06,5.427336185544742e-10,1.18e-06,5.928169552005999e-10,1.18e-06,5.509779474525671e-10,1.18e-06,5.697040164636538e-10,1.18e-06,5.35170942407578e-10
1.2e-06,6.375575632103281e-10,1.2e-06,5.83940169090364e-10,1.2e-06,6.07394616702824e-10,1.2e-06,5.64369415597988e-10,1.2e-06,6.216291207586733e-10,1.2e-06,5.73771538299964e-10,1.2e-06,5.950691747517576e-10,1.2e-06,5.558916355806518e-10,1.2e-06,6.261601114357806e-10,1.2e-06,5.765020409256409e-10,1.2e-06,5.985378253938269e-10,1.2e-06,5.581566898977828e-10,1.2e-06,6.115988199992972e-10,1.2e-06,5.669615133335062e-10,1.2e-06,5.869949365528819e-10,1.2e-06,5.500956888060699e-10
1.22e-06,6.580683480463707e-10,1.22e-06,6.007797282692983e-10,1.22e-06,6.25891469236768e-10,1.22e-06,5.800833100273015e-10,1.22e-06,6.410383897250081e-10,1.22e-06,5.9006133968531e-10,1.22e-06,6.127022424858723e-10,1.22e-06,5.71046160160889e-10,1.22e-06,6.459996354532177e-10,1.22e-06,5.930978045046071e-10,1.22e-06,6.163862513291115e-10,1.22e-06,5.734955321117326e-10,1.22e-06,6.302877647933704e-10,1.22e-06,5.829210826256149e-10,1.22e-06,6.041346993173649e-10,1.22e-06,5.649707753055231e-10
1.24e-06,6.791700642234246e-10,1.24e-06,6.181016666447279e-10,1.24e-06,6.44927684049593e-10,1.24e-06,5.960819189932521e-10,1.24e-06,6.609645873790342e-10,1.24e-06,6.066703952027964e-10,1.24e-06,6.308296342119886e-10,1.24e-06,5.86524197480073e-10,1.24e-06,6.66181647477478e-10,1.24e-06,6.098239639478166e-10,1.24e-06,6.348292035209173e-10,1.24e-06,5.891432411896572e-10,1.24e-06,6.495912139422819e-10,1.24e-06,5.991240884905302e-10,1.24e-06,6.217160357869113e-10,1.24e-06,5.800665940823841e-10
1.26e-06,7.001709778548652e-10,1.26e-06,6.353719310936357e-10,1.26e-06,6.63780264967818e-10,1.26e-06,6.119424215263236e-10,1.26e-06,6.808011277709326e-10,1.26e-06,6.231761352797007e-10,1.26e-06,6.488320203050642e-10,1.26e-06,6.018021536894374e-10,1.26e-06,6.8641503631633e-10,1.26e-06,6.266045030653685e-10,1.26e-06,6.531088257355871e-10,1.26e-06,6.045892074172211e-10,1.26e-06,6.68917870937696e-10,1.26e-06,6.151629713926145e-10,1.26e-06,6.392098481866941e-10,1.26e-06,5.950527192531322e-10
1.28e-06,7.217687955196881e-10,1.28e-06,6.528693825934169e-10,1.28e-06,6.83011185244239e-10,1.28e-06,6.281013669061619e-10,1.28e-06,7.011687810056454e-10,1.28e-06,6.399923053110644e-10,1.28e-06,6.672414992143531e-10,1.28e-06,6.173612017932081e-10,1.28e-06,7.072206333695722e-10,1.28e-06,6.436755613562989e-10,1.28e-06,6.718265520941538e-10,1.28e-06,6.20339458880673e-10,1.28e-06,6.88446588392024e-10,1.28e-06,6.315916534003598e-10,1.28e-06,6.570284234602892e-10,1.28e-06,6.101987211063286e-10
1.3e-06,7.431166794721023e-10,1.3e-06,6.703218046603029e-10,1.3e-06,7.021675304920568e-10,1.3e-06,6.440613395432027e-10,1.3e-06,7.214216977402804e-10,1.3e-06,6.56623654657704e-10,1.3e-06,6.853412476305227e-10,1.3e-06,6.327347409952795e-10,1.3e-06,7.278972437511077e-10,1.3e-06,6.605460066503579e-10,1.3e-06,6.902551375232787e-10,1.3e-06,6.359527136896373e-10,1.3e-06,7.079865725372938e-10,1.3e-06,6.477907979327335e-10,1.3e-06,6.746838641892535e-10,1.3e-06,6.252099193070684e-10
