delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
1e-06,2.95509384256319e-10,1e-06,4.111405181736864e-10,1e-06,6.16871946473235e-10,1e-06,7.481977391973771e-10,1e-06,8.89430724636782e-10
1.02e-06,2.993321702379551e-10,1.02e-06,4.216687036238816e-10,1.02e-06,6.339825584476652e-10,1.02e-06,7.680676479430248e-10,1.02e-06,9.109784438185938e-10
1.04e-06,3.034748666676935e-10,1.04e-06,4.331395986562824e-10,1.04e-06,6.521094931439575e-10,1.04e-06,7.879871691324334e-10,1.04e-06,9.32950110355958e-10
1.06e-06,3.077109668820121e-10,1.06e-06,4.445365233629937e-10,1.06e-06,6.708657129277515e-10,1.06e-06,8.084968392472239e-10,1.06e-06,9.548617055545921e-10
1.08e-06,3.120401633906848e-10,1.08e-06,4.571471100070018e-10,1.08e-06,6.885985221558619e-10,1.08e-06,8.2842150986141e-10,1.08e-06,9.766834028693525e-10
1.1e-06,3.166470996683156e-10,1.1e-06,4.697552357076662e-10,1.1e-06,7.074386788246954e-10,1.1e-06,8.49196437689996e-10,1.1e-06,9.98596493077483e-10
1.12e-06,3.215219270235531e-10,1.12e-06,4.833340390005167e-10,1.12e-06,7.254053694935051e-10,1.12e-06,8.695505410031144e-10,1.12e-06,1.020948001939891e-09
1.14e-06,3.263218118461175e-10,1.14e-06,4.967176950015659e-10,1.14e-06,7.440765745144294e-10,1.14e-06,8.894257023967172e-10,1.14e-06,1.043502385855252e-09
1.16e-06,3.315282875142468e-10,1.16e-06,5.100650361456951e-10,1.16e-06,7.624941262630546e-10,1.16e-06,9.100430829904901e-10,1.16e-06,1.065504722693934e-09
1.18e-06,3.368251707934485e-10,1.18e-06,5.244298275265735e-10,1.18e-06,7.814356013281595e-10,1.18e-06,9.300180206807357e-10,1.18e-06,1.0876800080158e-09
1.2e-06,3.424505235965456e-10,1.2e-06,5.388080310174222e-10,1.2e-06,7.999191503193763e-10,1.2e-06,9.509057189330743e-10,1.2e-06,1.11015529523345e-09
1.22e-06,3.482236083005563e-10,1.22e-06,5.52835832660415e-10,1.22e-06,8.188372453325913e-10,1.22e-06,9.714596348084031e-10,1.22e-06,1.132478885845037e-09
1.24e-06,3.542622446851781e-10,1.24e-06,5.679960335981888e-10,1.24e-06,8.380341367514486e-10,1.24e-06,9.920302409320158e-10,1.24e-06,1.154364589490217e-09
1.26e-06,3.605516815990994e-10,1.26e-06,5.82632357311702e-10,1.26e-06,8.565492695620629e-10,1.26e-06,1.012335866506266e-09,1.26e-06,1.176858890961152e-09
1.28e-06,3.673153864952732e-10,1.28e-06,5.972138131996288e-10,1.28e-06,8.751575453867509e-10,1.28e-06,1.033156597273589e-09,1.28e-06,1.198675832554405e-09
1.3e-06,3.743345236737228e-10,1.3e-06,6.125369329531443e-10,1.3e-06,8.940674412713873e-10,1.3e-06,1.053359084852891e-09,1.3e-06,1.221439250798482e-09
1.32e-06,3.815919743184362e-10,1.32e-06,6.27797205800151e-10,1.32e-06,9.129259383820899e-10,1.32e-06,1.074139498713114e-09,1.32e-06,1.243880221806037e-09
1.34e-06,3.890813305539344e-10,1.34e-06,6.426857504020648e-10,1.34e-06,9.319757546209167e-10,1.34e-06,1.094596621456099e-09,1.34e-06,1.266236632545307e-09
1.36e-06,3.970266174815173e-10,1.36e-06,6.583848783337265e-10,1.36e-06,9.509171596517229e-10,1.36e-06,1.116167125697598e-09,1.36e-06,1.288952067167691e-09
1.38e-06,4.052352455046873e-10,1.38e-06,6.733021137091972e-10,1.38e-06,9.699518411757339e-10,1.38e-06,1.136327211175054e-09,1.38e-06,1.311266838756676e-09
1.4e-06,4.137961412455412e-10,1.4e-06,6.88978989699715e-10,1.4e-06,9.890355583229997e-10,1.4e-06,1.157525296651892e-09,1.4e-06,1.334277174064972e-09
1.42e-06,4.223527688536014e-10,1.42e-06,7.045006246935876e-10,1.42e-06,1.007626453287819e-09,1.42e-06,1.178276326738041e-09,1.42e-06,1.357093296073894e-09
1.44e-06,4.315597244357244e-10,1.44e-06,7.200885566734704e-10,1.44e-06,1.027028122532814e-09,1.44e-06,1.199139606889702e-09,1.44e-06,1.379583295745814e-09
1.46e-06,4.405304231836448e-10,1.46e-06,7.356985744186581e-10,1.46e-06,1.045748596963989e-09,1.46e-06,1.219724127384955e-09,1.46e-06,1.402261413538167e-09
1.48e-06,4.502309564833736e-10,1.48e-06,7.513669756738615e-10,1.48e-06,1.065552442233765e-09,1.48e-06,1.240971221498004e-09,1.48e-06,1.424607567199527e-09
1.5e-06,4.597614122652067e-10,1.5e-06,7.67081264271081e-10,1.5e-06,1.084151311072448e-09,1.5e-06,1.261994697567447e-09,1.5e-06,1.447345885548855e-09
1.52e-06,4.69980638956548e-10,1.52e-06,7.829693362910533e-10,1.52e-06,1.103686599445989e-09,1.52e-06,1.283395571613924e-09,1.52e-06,1.470026279038057e-09
1.54e-06,4.80365664924598e-10,1.54e-06,7.981725373663271e-10,1.54e-06,1.122185530189705e-09,1.54e-06,1.303692064261273e-09,1.54e-06,1.491887798405525e-09
1.56e-06,4.906411094917889e-10,1.56e-06,8.14590280522659e-10,1.56e-06,1.141997309886228e-09,1.56e-06,1.325153803337493e-09,1.56e-06,1.515010846991984e-09
