"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,jittereventtime=8.68008e-10) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,jittereventtime=8.68008e-10) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,jittereventtime=6.01806e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,jittereventtime=6.01806e-09) Y"
10,-112.2472907380868,10,-97.65577448746485
13.42637584296065,-113.5806097244202,13.42637584296065,-98.92395235627559
18.02675682764374,-114.910464581173,18.02675682764374,-100.1891196761973
24.2034012397602,-116.2367773238713,24.2034012397602,-101.4513152700718
32.49639617230002,-117.5594594758793,32.49639617230002,-102.7105729113445
43.63088285510481,-118.8784069235846,43.63088285510481,-103.9669185805057
58.58046315728254,-120.1934929076464,58.58046315728254,-105.2203669372568
78.65233154043848,-121.5045585156969,78.65233154043848,-106.4709167615931
105.6015764187076,-122.8113998252923,105.6015764187076,-107.7185450399535
141.7846454606699,-124.1137505632343,141.7846454606699,-108.9631992733232
190.3653938715879,-125.4112587953712,190.3653938715879,-110.204787457397
255.5917325613177,-126.7034557772577,255.5917325613177,-111.4431650248638
343.1670663721736,-127.9897148370427,343.1670663721736,-112.6781178412094
460.7490010039027,-129.269198497364,460.7490010039027,-113.9093401047665
618.6189256747053,-130.540794092621,618.6189256747053,-115.1364057208009
830.5810199677136,-131.8030437504857,830.5810199677136,-116.3587314107222
1115.169294211613,-133.0540838568964,1115.169294211613,-117.5755295140062
1497.268207261428,-134.2916099874031,1497.268207261428,-118.785748211386
2010.288568840785,-135.5128410476314,2010.288568840785,-119.9879968732676
2699.088987806386,-136.7143685779777,2699.088987806386,-121.1804546422361
3623.898318388478,-137.8918043597662,3623.898318388478,-122.3607615555066
4865.582083935679,-139.0394021581314,4865.582083935679,-123.5258940395433
6532.713375369616,-140.1499498427393,6532.713375369616,-124.6720311737296
8771.066505204857,-141.2149683305592,8771.066505204857,-125.7944254836632
11776.36354424838,-142.2250899748335,11776.36354424838,-126.8873026348101
15811.3883008419,-143.1705949998918,15811.3883008419,-127.9438276219708
21228.96419260944,-144.04215812571,21228.96419260944,-128.9561879681414
28502.80520067281,-144.8317892320302,28502.80520067281,-129.9158505964934
38268.93752029267,-145.5338281609341,38268.93752029267,-130.8140384320197
51381.31382582281,-146.1457621176402,51381.31382582281,-131.6424353979676
68986.48307306076,-146.6686325162655,68986.48307306076,-132.3940627005851
92623.8449822957,-147.1069045943231,92623.8449822957,-133.0641924403421
124360.2554752427,-147.4678444386194,124360.2554752427,-133.6511152201052
166970.7529937215,-147.7605982942709,166970.7529937215,-134.1565996197575
224181.2084475852,-147.9952290451253,224181.2084475852,-134.5859886117867
300994.1161546385,-148.1819267685582,300994.1161546385,-134.9480367968398
404126.0130011931,-148.3305171437819,404126.0130011931,-135.2547283366344
542594.7738471222,-148.4502885619261,542594.7738471222,-135.5213372726189
728508.1364097701,-148.5500495998689,728508.1364097701,-135.766771703452
978122.4044092422,-148.6381609432801,978122.4044092422,-136.0135449059106
1313263.902201884,-148.7220209017499,1313263.902201884,-136.2853228050378
1763237.473195562,-148.8063950797718,1763237.473195562,-136.5988514508569
2367388.901551588,-148.8909996062075,2367388.901551588,-136.9504089572092
3178545.31586854,-148.9700380835613,3178545.31586854,-137.3081462777765
4267634.40447331,-149.0360903317555,4267634.40447331,-137.6260985099255
5729886.347480823,-149.0853014135805,5729886.347480823,-137.8721829303533
7693160.763872658,-149.1187115484417,7693160.763872658,-138.0417317253576
10329126.78360726,-149.1399648768698,10329126.78360726,-138.1488622319516
13868273.83263024,-149.1528267781484,13868273.83263024,-138.2121548245827
18620065.676999,-149.1599924965478,18620065.676999,-138.2462496559974
25000000,-149.1625637987768,25000000,-138.2581439546657
