"P_inst (b0=1,b1=0,b2=1,b3=0) X","P_inst (b0=1,b1=0,b2=1,b3=0) Y"
1e-06,6.285457169179778e-06
1.00006578121732e-06,6.28652047206186e-06
1.000147626949143e-06,6.378497015859301e-06
1.000188549815054e-06,7.640734260196281e-06
1.000203922397735e-06,9.30172932876284e-06
1.000220602454619e-06,1.226472838978951e-05
1.00024081505689e-06,1.644761169601878e-05
1.000255908297815e-06,1.842708862859225e-05
1.000273930222179e-06,1.950470104499211e-05
1.000281555264411e-06,2.507948731023231e-05
1.000287160326864e-06,3.597355385984606e-05
1.000295212716181e-06,6.102754526107946e-05
1.000301010820558e-06,7.595148936861375e-05
1.000308160200535e-06,0.0001038757296753395
1.000309797764558e-06,0.0001324524826888892
1.000311809052261e-06,0.0001984434055354234
1.000313320353263e-06,0.0002737322897364731
1.000314927693036e-06,0.0003720922281874475
1.000316411680906e-06,0.0004694041740882918
1.000318384334383e-06,0.0005898382931453304
1.000319550605947e-06,0.0006496575764121485
1.00032023445425e-06,0.000681250117258566
1.000321167515974e-06,0.0007241349324088655
1.000321922935653e-06,0.0007614949752440121
1.000323215911272e-06,0.0008262153817404637
1.000324326466908e-06,0.0008755547233019254
1.000325266761581e-06,0.0009104546355077053
1.000326317780671e-06,0.0009420997150346747
1.000328365312421e-06,0.0009837301350227399
1.00033121794986e-06,0.001007769910196258
1.000335180879921e-06,0.001002455093496704
1.000338898535537e-06,0.0009780058642795296
1.000342993426022e-06,0.0009443446534749793
1.000347771785753e-06,0.0009031702811821827
1.000354503528322e-06,0.0008466561790787285
1.000363809653738e-06,0.0007735572615058392
1.000378322138671e-06,0.0006713890305998367
1.000405722383985e-06,0.0005117589240243082
1.000460425919104e-06,0.0002888996270198129
1.0005e-06,0.0001831064416789668
1.000513324074821e-06,0.0001574554444508152
1.000532644409314e-06,0.0001245070053880264
1.00054956015228e-06,0.0001036006997209167
1.000576469448146e-06,8.612573673100943e-05
1.000603957489146e-06,8.101322268400163e-05
1.000635673520966e-06,8.036544488041683e-05
1.000671743215568e-06,8.090649117359199e-05
1.000708156622736e-06,8.111308519656875e-05
1.000759275205758e-06,8.666929886278361e-05
1.000779309445547e-06,0.0001008723077233849
1.00080007166603e-06,0.0001338124999638048
1.000815265344286e-06,0.0001703304135716853
1.000833319026874e-06,0.0002011838116833458
1.000846329034361e-06,0.0001987424524642772
1.000857405049533e-06,0.0001899557098510659
1.000863955963652e-06,0.0001863402264839637
1.000867943411331e-06,0.0001854130841382946
1.000873271650029e-06,0.0001844456401264947
1.000877099466444e-06,0.0001826349245809268
1.000883231309092e-06,0.0001759893313882522
1.00088886730814e-06,0.0001661570917588292
1.000891778787823e-06,0.0001607890465073847
1.000894877578708e-06,0.000156240958284839
1.000897317262291e-06,0.0001536673168342731
1.000899887635352e-06,0.0001513352513972466
1.000902674170233e-06,0.0001488360341271903
1.000905512748717e-06,0.0001461747346315308
1.000909124737917e-06,0.0001425276312772213
1.000914357643444e-06,0.0001364098052909003
1.000921908550663e-06,0.0001245192812122707
1.000932171005966e-06,0.0001043818113977801
1.000946261010554e-06,7.907514451812537e-05
1.000956467034124e-06,6.522320173810874e-05
1.000969517023118e-06,5.251913035400665e-05
1.000991390882773e-06,4.0200738958061e-05
1.001021550696542e-06,3.271153507934735e-05
1.001061022024025e-06,2.839238603594383e-05
1.001116934014976e-06,2.482361501413865e-05
1.00118963135496e-06,2.157568502015222e-05
1.001280925688881e-06,1.865738274966322e-05
1.001409803370981e-06,1.585097176089707e-05
1.00153530725581e-06,1.38514925190092e-05
1.001632712703072e-06,1.260748856127749e-05
1.001748255272549e-06,1.139340058239321e-05
1.001939446238026e-06,9.917426588786446e-06
1.002276885347434e-06,8.340676893959159e-06
1.002762646123566e-06,7.233633439972969e-06
1.003332407642419e-06,6.678362126760628e-06
1.004021367136415e-06,6.420537821444806e-06
1.004878374238998e-06,6.316981233458389e-06
1.006009866379186e-06,6.28138342169799e-06
1.007359714077712e-06,6.273122101457047e-06
