"P_inst (d0=0,d1=0,d2=0,d3=0,d4=0) X","P_inst (d0=0,d1=0,d2=0,d3=0,d4=0) Y","P_inst (d0=0,d1=0,d2=0,d3=0,d4=1) X","P_inst (d0=0,d1=0,d2=0,d3=0,d4=1) Y","P_inst (d0=0,d1=0,d2=0,d3=1,d4=0) X","P_inst (d0=0,d1=0,d2=0,d3=1,d4=0) Y","P_inst (d0=0,d1=0,d2=0,d3=1,d4=1) X","P_inst (d0=0,d1=0,d2=0,d3=1,d4=1) Y","P_inst (d0=0,d1=0,d2=1,d3=0,d4=0) X","P_inst (d0=0,d1=0,d2=1,d3=0,d4=0) Y","P_inst (d0=0,d1=0,d2=1,d3=0,d4=1) X","P_inst (d0=0,d1=0,d2=1,d3=0,d4=1) Y","P_inst (d0=0,d1=0,d2=1,d3=1,d4=0) X","P_inst (d0=0,d1=0,d2=1,d3=1,d4=0) Y","P_inst (d0=0,d1=0,d2=1,d3=1,d4=1) X","P_inst (d0=0,d1=0,d2=1,d3=1,d4=1) Y","P_inst (d0=0,d1=1,d2=0,d3=0,d4=0) X","P_inst (d0=0,d1=1,d2=0,d3=0,d4=0) Y","P_inst (d0=0,d1=1,d2=0,d3=0,d4=1) X","P_inst (d0=0,d1=1,d2=0,d3=0,d4=1) Y","P_inst (d0=0,d1=1,d2=0,d3=1,d4=0) X","P_inst (d0=0,d1=1,d2=0,d3=1,d4=0) Y","P_inst (d0=0,d1=1,d2=0,d3=1,d4=1) X","P_inst (d0=0,d1=1,d2=0,d3=1,d4=1) Y","P_inst (d0=0,d1=1,d2=1,d3=0,d4=0) X","P_inst (d0=0,d1=1,d2=1,d3=0,d4=0) Y","P_inst (d0=0,d1=1,d2=1,d3=0,d4=1) X","P_inst (d0=0,d1=1,d2=1,d3=0,d4=1) Y","P_inst (d0=0,d1=1,d2=1,d3=1,d4=0) X","P_inst (d0=0,d1=1,d2=1,d3=1,d4=0) Y","P_inst (d0=0,d1=1,d2=1,d3=1,d4=1) X","P_inst (d0=0,d1=1,d2=1,d3=1,d4=1) Y","P_inst (d0=1,d1=0,d2=0,d3=0,d4=0) X","P_inst (d0=1,d1=0,d2=0,d3=0,d4=0) Y","P_inst (d0=1,d1=0,d2=0,d3=0,d4=1) X","P_inst (d0=1,d1=0,d2=0,d3=0,d4=1) Y","P_inst (d0=1,d1=0,d2=0,d3=1,d4=0) X","P_inst (d0=1,d1=0,d2=0,d3=1,d4=0) Y","P_inst (d0=1,d1=0,d2=0,d3=1,d4=1) X","P_inst (d0=1,d1=0,d2=0,d3=1,d4=1) Y","P_inst (d0=1,d1=0,d2=1,d3=0,d4=0) X","P_inst (d0=1,d1=0,d2=1,d3=0,d4=0) Y","P_inst (d0=1,d1=0,d2=1,d3=0,d4=1) X","P_inst (d0=1,d1=0,d2=1,d3=0,d4=1) Y","P_inst (d0=1,d1=0,d2=1,d3=1,d4=0) X","P_inst (d0=1,d1=0,d2=1,d3=1,d4=0) Y","P_inst (d0=1,d1=0,d2=1,d3=1,d4=1) X","P_inst (d0=1,d1=0,d2=1,d3=1,d4=1) Y","P_inst (d0=1,d1=1,d2=0,d3=0,d4=0) X","P_inst (d0=1,d1=1,d2=0,d3=0,d4=0) Y","P_inst (d0=1,d1=1,d2=0,d3=0,d4=1) X","P_inst (d0=1,d1=1,d2=0,d3=0,d4=1) Y","P_inst (d0=1,d1=1,d2=0,d3=1,d4=0) X","P_inst (d0=1,d1=1,d2=0,d3=1,d4=0) Y","P_inst (d0=1,d1=1,d2=0,d3=1,d4=1) X","P_inst (d0=1,d1=1,d2=0,d3=1,d4=1) Y","P_inst (d0=1,d1=1,d2=1,d3=0,d4=0) X","P_inst (d0=1,d1=1,d2=1,d3=0,d4=0) Y","P_inst (d0=1,d1=1,d2=1,d3=0,d4=1) X","P_inst (d0=1,d1=1,d2=1,d3=0,d4=1) Y","P_inst (d0=1,d1=1,d2=1,d3=1,d4=0) X","P_inst (d0=1,d1=1,d2=1,d3=1,d4=0) Y","P_inst (d0=1,d1=1,d2=1,d3=1,d4=1) X","P_inst (d0=1,d1=1,d2=1,d3=1,d4=1) Y"
0,-9.168213369297216e-10,0,-9.168213369297216e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297228e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297253e-10,0,-9.168213369297235e-10,0,-9.168213369297235e-10
1.242941342871087e-11,9.848962583920847e-06,1.242941342871087e-11,9.848962583920847e-06,1.242941342871087e-11,9.8489625899671e-06,1.242941342871087e-11,9.8489625899671e-06,1.242941342871087e-11,9.848962586944243e-06,1.242941342871087e-11,9.848962586944243e-06,1.242941342871087e-11,9.848962592990076e-06,1.242941342871087e-11,9.848962592990076e-06,1.242941342871087e-11,9.848962585432579e-06,1.242941342871087e-11,9.848962585432579e-06,1.242941342871087e-11,9.848962591478592e-06,1.242941342871087e-11,9.848962591478592e-06,1.242941342871087e-11,9.848962588455662e-06,1.242941342871087e-11,9.848962588455662e-06,1.242941342871087e-11,9.848962594501559e-06,1.242941342871087e-11,9.848962594501559e-06,1.242941342871087e-11,9.8489625846768e-06,1.242941342871087e-11,9.8489625846768e-06,1.242941342871087e-11,9.848962590722542e-06,1.242941342871087e-11,9.848962590722542e-06,1.242941342871087e-11,9.848962587699619e-06,1.242941342871087e-11,9.848962587699619e-06,1.242941342871087e-11,9.84896259374605e-06,1.242941342871087e-11,9.84896259374605e-06,1.242941342871087e-11,9.848962586188144e-06,1.242941342871087e-11,9.848962586188144e-06,1.242941342871087e-11,9.84896259223403e-06,1.242941342871087e-11,9.84896259223403e-06,1.242941342871087e-11,9.848962589211086e-06,1.242941342871087e-11,9.848962589211086e-06,1.242941342871087e-11,9.848962595257455e-06,1.242941342871087e-11,9.848962595257455e-06
2.069717306787955e-11,1.010565655812088e-05,2.069717306787955e-11,1.010565655812088e-05,2.069717306787955e-11,1.010565656466003e-05,2.069717306787955e-11,1.010565656466003e-05,2.069717306787955e-11,1.010565656139075e-05,2.069717306787955e-11,1.010565656139075e-05,2.069717306787955e-11,1.010565656792853e-05,2.069717306787955e-11,1.010565656792853e-05,2.069717306787955e-11,1.010565655975582e-05,2.069717306787955e-11,1.010565655975582e-05,2.069717306787955e-11,1.010565656629405e-05,2.069717306787955e-11,1.010565656629405e-05,2.069717306787955e-11,1.010565656302498e-05,2.069717306787955e-11,1.010565656302498e-05,2.069717306787955e-11,1.010565656956334e-05,2.069717306787955e-11,1.010565656956334e-05,2.069717306787955e-11,1.010565655893776e-05,2.069717306787955e-11,1.010565655893776e-05,2.069717306787955e-11,1.010565656547714e-05,2.069717306787955e-11,1.010565656547714e-05,2.069717306787955e-11,1.010565656220736e-05,2.069717306787955e-11,1.010565656220736e-05,2.069717306787955e-11,1.010565656874549e-05,2.069717306787955e-11,1.010565656874549e-05,2.069717306787955e-11,1.010565656057294e-05,2.069717306787955e-11,1.010565656057294e-05,2.069717306787955e-11,1.010565656711107e-05,2.069717306787955e-11,1.010565656711107e-05,2.069717306787955e-11,1.010565656384228e-05,2.069717306787955e-11,1.010565656384228e-05,2.069717306787955e-11,1.010565657038081e-05,2.069717306787955e-11,1.010565657038081e-05
3.723269234621692e-11,1.001026774991019e-05,3.723269234621692e-11,1.001026774991019e-05,3.723269234621692e-11,1.0010267756641e-05,3.723269234621692e-11,1.0010267756641e-05,3.723269234621692e-11,1.001026775327548e-05,3.723269234621692e-11,1.001026775327548e-05,3.723269234621692e-11,1.001026776000767e-05,3.723269234621692e-11,1.001026776000767e-05,3.723269234621692e-11,1.001026775159314e-05,3.723269234621692e-11,1.001026775159314e-05,3.723269234621692e-11,1.001026775832477e-05,3.723269234621692e-11,1.001026775832477e-05,3.723269234621692e-11,1.001026775495884e-05,3.723269234621692e-11,1.001026775495884e-05,3.723269234621692e-11,1.001026776169037e-05,3.723269234621692e-11,1.001026776169037e-05,3.723269234621692e-11,1.001026775075229e-05,3.723269234621692e-11,1.001026775075229e-05,3.723269234621692e-11,1.001026775748304e-05,3.723269234621692e-11,1.001026775748304e-05,3.723269234621692e-11,1.001026775411781e-05,3.723269234621692e-11,1.001026775411781e-05,3.723269234621692e-11,1.001026776084966e-05,3.723269234621692e-11,1.001026776084966e-05,3.723269234621692e-11,1.001026775243475e-05,3.723269234621692e-11,1.001026775243475e-05,3.723269234621692e-11,1.001026775916657e-05,3.723269234621692e-11,1.001026775916657e-05,3.723269234621692e-11,1.001026775580025e-05,3.723269234621692e-11,1.001026775580025e-05,3.723269234621692e-11,1.001026776253182e-05,3.723269234621692e-11,1.001026776253182e-05
6.311748946674328e-11,8.077037162103938e-06,6.311748946674328e-11,8.077037162103938e-06,6.311748946674328e-11,8.077037168020702e-06,6.311748946674328e-11,8.077037168020702e-06,6.311748946674328e-11,8.07703716506237e-06,6.311748946674328e-11,8.07703716506237e-06,6.311748946674328e-11,8.077037170977887e-06,6.311748946674328e-11,8.077037170977887e-06,6.311748946674328e-11,8.077037163582732e-06,6.311748946674328e-11,8.077037163582732e-06,6.311748946674328e-11,8.077037169498869e-06,6.311748946674328e-11,8.077037169498869e-06,6.311748946674328e-11,8.077037166540991e-06,6.311748946674328e-11,8.077037166540991e-06,6.311748946674328e-11,8.077037172456986e-06,6.311748946674328e-11,8.077037172456986e-06,6.311748946674328e-11,8.077037162842694e-06,6.311748946674328e-11,8.077037162842694e-06,6.311748946674328e-11,8.077037168759501e-06,6.311748946674328e-11,8.077037168759501e-06,6.311748946674328e-11,8.077037165801096e-06,6.311748946674328e-11,8.077037165801096e-06,6.311748946674328e-11,8.077037171716877e-06,6.311748946674328e-11,8.077037171716877e-06,6.311748946674328e-11,8.077037164322302e-06,6.311748946674328e-11,8.077037164322302e-06,6.311748946674328e-11,8.077037170237964e-06,6.311748946674328e-11,8.077037170237964e-06,6.311748946674328e-11,8.077037167280598e-06,6.311748946674328e-11,8.077037167280598e-06,6.311748946674328e-11,8.077037173196581e-06,6.311748946674328e-11,8.077037173196581e-06
7.625808513737526e-11,2.891672811535091e-06,7.625808513737526e-11,2.891672811535091e-06,7.625808513737525e-11,2.891672816742018e-06,7.625808513737525e-11,2.891672816742018e-06,7.625808513737526e-11,2.891672814138654e-06,7.625808513737526e-11,2.891672814138654e-06,7.625808513737525e-11,2.891672819346733e-06,7.625808513737525e-11,2.891672819346733e-06,7.625808513737526e-11,2.891672812837361e-06,7.625808513737526e-11,2.891672812837361e-06,7.625808513737525e-11,2.891672818044569e-06,7.625808513737525e-11,2.891672818044569e-06,7.625808513737526e-11,2.891672815440918e-06,7.625808513737526e-11,2.891672815440918e-06,7.625808513737525e-11,2.891672820648072e-06,7.625808513737525e-11,2.891672820648072e-06,7.625808513737526e-11,2.891672812186694e-06,7.625808513737526e-11,2.891672812186694e-06,7.625808513737526e-11,2.891672817393821e-06,7.625808513737526e-11,2.891672817393821e-06,7.625808513737526e-11,2.89167281479013e-06,7.625808513737526e-11,2.89167281479013e-06,7.625808513737525e-11,2.89167281999784e-06,7.625808513737525e-11,2.89167281999784e-06,7.625808513737526e-11,2.891672813488105e-06,7.625808513737526e-11,2.891672813488105e-06,7.625808513737525e-11,2.891672818695866e-06,7.625808513737525e-11,2.891672818695866e-06,7.625808513737525e-11,2.891672816091824e-06,7.625808513737525e-11,2.891672816091824e-06,7.625808513737525e-11,2.891672821299237e-06,7.625808513737525e-11,2.891672821299237e-06
8.812904256868764e-11,-7.38731415109841e-06,8.812904256868764e-11,-7.38731415109841e-06,8.812904256868763e-11,-7.387314146593634e-06,8.812904256868763e-11,-7.387314146593634e-06,8.812904256868764e-11,-7.387314148845981e-06,8.812904256868764e-11,-7.387314148845981e-06,8.812904256868763e-11,-7.38731414434275e-06,8.812904256868763e-11,-7.38731414434275e-06,8.812904256868764e-11,-7.387314149972445e-06,8.812904256868764e-11,-7.387314149972445e-06,8.812904256868763e-11,-7.387314145467984e-06,8.812904256868763e-11,-7.387314145467984e-06,8.812904256868764e-11,-7.387314147720442e-06,8.812904256868764e-11,-7.387314147720442e-06,8.812904256868763e-11,-7.387314143216096e-06,8.812904256868763e-11,-7.387314143216096e-06,8.812904256868764e-11,-7.387314150535958e-06,8.812904256868764e-11,-7.387314150535958e-06,8.812904256868764e-11,-7.387314146031171e-06,8.812904256868764e-11,-7.387314146031171e-06,8.812904256868764e-11,-7.387314148283806e-06,8.812904256868764e-11,-7.387314148283806e-06,8.812904256868763e-11,-7.387314143779797e-06,8.812904256868763e-11,-7.387314143779797e-06,8.812904256868764e-11,-7.38731414940944e-06,8.812904256868764e-11,-7.38731414940944e-06,8.812904256868763e-11,-7.387314144905388e-06,8.812904256868763e-11,-7.387314144905388e-06,8.812904256868763e-11,-7.387314147157404e-06,8.812904256868763e-11,-7.387314147157404e-06,8.812904256868763e-11,-7.387314142653484e-06,8.812904256868763e-11,-7.387314142653484e-06
9.406452128434383e-11,-1.370494607716216e-05,9.406452128434383e-11,-1.370494607716216e-05,9.406452128434382e-11,-1.370494607312103e-05,9.406452128434382e-11,-1.370494607312103e-05,9.406452128434383e-11,-1.37049460751425e-05,9.406452128434383e-11,-1.37049460751425e-05,9.406452128434382e-11,-1.370494607109854e-05,9.406452128434382e-11,-1.370494607109854e-05,9.406452128434383e-11,-1.370494607615167e-05,9.406452128434383e-11,-1.370494607615167e-05,9.406452128434382e-11,-1.370494607211001e-05,9.406452128434382e-11,-1.370494607211001e-05,9.406452128434383e-11,-1.3704946074131e-05,9.406452128434383e-11,-1.3704946074131e-05,9.406452128434382e-11,-1.370494607008967e-05,9.406452128434382e-11,-1.370494607008967e-05,9.406452128434383e-11,-1.370494607665682e-05,9.406452128434383e-11,-1.370494607665682e-05,9.406452128434383e-11,-1.370494607261516e-05,9.406452128434383e-11,-1.370494607261516e-05,9.406452128434383e-11,-1.370494607463609e-05,9.406452128434383e-11,-1.370494607463609e-05,9.406452128434382e-11,-1.370494607059397e-05,9.406452128434382e-11,-1.370494607059397e-05,9.406452128434383e-11,-1.370494607564677e-05,9.406452128434383e-11,-1.370494607564677e-05,9.406452128434382e-11,-1.370494607160457e-05,9.406452128434382e-11,-1.370494607160457e-05,9.406452128434382e-11,-1.370494607362548e-05,9.406452128434382e-11,-1.370494607362548e-05,9.406452128434382e-11,-1.370494606958357e-05,9.406452128434382e-11,-1.370494606958357e-05
1e-10,-1.868754109428547e-05,1e-10,-1.868754109428547e-05,1e-10,-1.868754109060382e-05,1e-10,-1.868754109060382e-05,1e-10,-1.868754109244388e-05,1e-10,-1.868754109244388e-05,1e-10,-1.86875410887657e-05,1e-10,-1.86875410887657e-05,1e-10,-1.868754109336517e-05,1e-10,-1.868754109336517e-05,1e-10,-1.8687541089685e-05,1e-10,-1.8687541089685e-05,1e-10,-1.868754109152416e-05,1e-10,-1.868754109152416e-05,1e-10,-1.868754108784358e-05,1e-10,-1.868754108784358e-05,1e-10,-1.868754109382519e-05,1e-10,-1.868754109382519e-05,1e-10,-1.868754109014526e-05,1e-10,-1.868754109014526e-05,1e-10,-1.868754109198423e-05,1e-10,-1.868754109198423e-05,1e-10,-1.868754108830509e-05,1e-10,-1.868754108830509e-05,1e-10,-1.868754109290502e-05,1e-10,-1.868754109290502e-05,1e-10,-1.868754108922504e-05,1e-10,-1.868754108922504e-05,1e-10,-1.868754109106446e-05,1e-10,-1.868754109106446e-05,1e-10,-1.868754108738487e-05,1e-10,-1.868754108738487e-05
1.022457791043853e-10,-2.016280243529678e-05,1.022457791043853e-10,-2.016280243529678e-05,1.022457791043853e-10,-2.016280243175655e-05,1.022457791043853e-10,-2.016280243175655e-05,1.022457791043853e-10,-2.0162802433527e-05,1.022457791043853e-10,-2.0162802433527e-05,1.022457791043853e-10,-2.016280242998771e-05,1.022457791043853e-10,-2.016280242998771e-05,1.022457791043853e-10,-2.016280243441185e-05,1.022457791043853e-10,-2.016280243441185e-05,1.022457791043853e-10,-2.016280243087145e-05,1.022457791043853e-10,-2.016280243087145e-05,1.022457791043853e-10,-2.016280243264134e-05,1.022457791043853e-10,-2.016280243264134e-05,1.022457791043853e-10,-2.016280242910199e-05,1.022457791043853e-10,-2.016280242910199e-05,1.022457791043853e-10,-2.01628024348541e-05,1.022457791043853e-10,-2.01628024348541e-05,1.022457791043853e-10,-2.016280243131471e-05,1.022457791043853e-10,-2.016280243131471e-05,1.022457791043853e-10,-2.016280243308405e-05,1.022457791043853e-10,-2.016280243308405e-05,1.022457791043853e-10,-2.016280242954505e-05,1.022457791043853e-10,-2.016280242954505e-05,1.022457791043853e-10,-2.016280243396906e-05,1.022457791043853e-10,-2.016280243396906e-05,1.022457791043853e-10,-2.016280243042949e-05,1.022457791043853e-10,-2.016280243042949e-05,1.022457791043853e-10,-2.016280243219906e-05,1.022457791043853e-10,-2.016280243219906e-05,1.022457791043853e-10,-2.016280242865947e-05,1.022457791043853e-10,-2.016280242865947e-05
