P_inst (k_TG=3) X,P_inst (k_TG=3) Y
0,-1.100491581929168e-06
1.3e-09,-1.10049158192919e-06
3.15e-09,-1.100491581929173e-06
5e-09,-1.100491581929186e-06
8.7e-09,-1.100491581929162e-06
1.435e-08,-1.100491581929176e-06
2e-08,-1.100491581929155e-06
2.003125e-08,-1.220827114716822e-06
2.008020518739482e-08,-1.226383519540584e-06
2.010098748825679e-08,-1.231595538790866e-06
2.012486851597112e-08,-1.234181182263321e-06
2.015928697670464e-08,-1.27084378729331e-06
2.019625708837965e-08,-1.611571030946087e-06
2.020895937521211e-08,-1.957637129608489e-06
2.022599278282165e-08,-2.686215227242506e-06
2.023864877441309e-08,-3.335500425342418e-06
2.02521970080631e-08,-3.949187139560835e-06
2.026402631157245e-08,-4.450504643663956e-06
2.027283847186872e-08,-4.830410966033015e-06
2.027846921128657e-08,-5.314390198133593e-06
2.028330939792316e-08,-5.942116817940879e-06
2.028851431471769e-08,-6.868511642406114e-06
2.029336265111346e-08,-8.695934944732467e-06
2.029585851885181e-08,-1.301515094563127e-05
2.029764746379871e-08,-1.653155857271323e-05
2.030011074527298e-08,-2.432917717738729e-05
2.030196826862958e-08,-2.923386048503971e-05
2.03044825609183e-08,-3.586530187201887e-05
2.030596739360881e-08,-4.378709621918665e-05
2.030687318783343e-08,-4.832062838187521e-05
2.030756988275059e-08,-5.14108366212541e-05
2.030831858580161e-08,-5.25699028280789e-05
2.030916392687229e-08,-5.2427573168306e-05
2.031021713976788e-08,-4.958056890469156e-05
2.031119051653961e-08,-4.44761435199627e-05
2.031204819046422e-08,-3.831322563530792e-05
2.031274788948051e-08,-3.213406894586428e-05
2.03135058322037e-08,-2.405529572401972e-05
2.031436994970829e-08,-1.753587517983953e-05
2.031534420298873e-08,-1.214098011182158e-05
2.031612318027077e-08,-1.000601386533848e-05
2.031701162554713e-08,-7.404022548300673e-06
2.031824385590677e-08,-6.0114985826579e-06
2.032012866596945e-08,-3.875642854778621e-06
2.032265233442583e-08,-3.425759335933421e-06
2.032582811932382e-08,-2.454042991134529e-06
2.033013147752388e-08,-2.784124586110388e-06
2.033675232669944e-08,-2.267788028082035e-06
2.034547297879416e-08,-2.919678101240838e-06
2.035773005570611e-08,-2.683632310821136e-06
2.037741112029991e-08,-3.765645036177265e-06
2.041085892353558e-08,-4.555654949236975e-06
2.044679726366022e-08,-6.70710130549759e-06
2.047626493789972e-08,-7.146104324865547e-06
2.048813246894986e-08,-7.84561299898214e-06
2.05e-08,-7.369243170989989e-06
2.050700435823667e-08,-7.177438918820093e-06
2.051587052142961e-08,-7.064049370365639e-06
2.052443818658179e-08,-6.98123353200939e-06
2.053877657429564e-08,-6.752437133224188e-06
2.05539617034469e-08,-6.516163427306526e-06
2.057977399961841e-08,-6.079772662256459e-06
2.060377905772489e-08,-5.715460390473792e-06
