leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) X,leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) Y
2e-08,3.327156654257832e-07
2.004172665405058e-08,3.985953870314635e-07
2.007496341131285e-08,3.979350535139049e-07
2.008399679637056e-08,3.990092543585831e-07
2.009406890441747e-08,3.976675758996425e-07
2.009855702432727e-08,3.986016358604755e-07
2.010139131995266e-08,3.975405961382741e-07
2.010296349004308e-08,3.986741868272358e-07
2.010391667650512e-08,3.969251869797314e-07
2.010478138867607e-08,3.996337318047139e-07
2.010539245065091e-08,3.953414853381117e-07
2.010592177644811e-08,4.015517305981311e-07
2.010626240172025e-08,3.936635704857438e-07
2.010646084174109e-08,4.009680542752729e-07
2.010664613064332e-08,3.965047542348087e-07
2.010682184755079e-08,4.005569624788345e-07
2.010696288920195e-08,3.930237305009946e-07
2.010707838320863e-08,4.008803187008222e-07
2.010719186119319e-08,3.965311242964167e-07
2.010730453978112e-08,4.019436496921744e-07
2.010741020348571e-08,3.939681654067096e-07
2.01075175427111e-08,4.001428192100579e-07
2.010760830816436e-08,3.931164117467878e-07
2.010772105015193e-08,4.026611347291006e-07
2.010781668934299e-08,3.960703972092563e-07
2.010790783333203e-08,4.014464266696747e-07
2.010803578398571e-08,3.934914470438484e-07
2.010812753217206e-08,4.000297226957419e-07
2.0108222212645e-08,3.944180489441542e-07
2.010830662433043e-08,4.019985819753851e-07
2.010839341183411e-08,3.967963536763527e-07
2.010848046555693e-08,4.004688873196126e-07
2.010856695452701e-08,3.94251383749398e-07
2.01086505729586e-08,3.996162808002863e-07
2.010874121383921e-08,3.943298341491171e-07
2.010884982552039e-08,4.016469584401347e-07
2.010893969831963e-08,3.964726756686054e-07
2.010904795183191e-08,4.009431474883071e-07
2.010915795448285e-08,3.93368397405789e-07
2.010925142216217e-08,4.005974562765779e-07
2.010935757564303e-08,3.942917341735635e-07
2.010947873084805e-08,4.025913861029074e-07
2.010957160641693e-08,3.95389978589248e-07
2.010968911321486e-08,4.002739626180009e-07
2.010980841216032e-08,3.934237050541219e-07
2.010990454812775e-08,4.012410915053771e-07
2.011003093663041e-08,3.953716200232344e-07
2.01101497101182e-08,4.01812894952345e-07
2.011025398740767e-08,3.945651855345477e-07
2.011038527927472e-08,3.992481338581174e-07
2.011050259539169e-08,3.95335263780833e-07
2.011062780353151e-08,4.015726738961546e-07
2.011073491079973e-08,3.954946176841322e-07
2.011084943237519e-08,4.003584557276116e-07
2.011098925907785e-08,3.938978704724926e-07
2.011109129120494e-08,4.005117311751099e-07
2.011121772962139e-08,3.962192684481413e-07
2.011134515876893e-08,4.010116201362636e-07
2.011146137682696e-08,3.939768531712047e-07
2.011157962744334e-08,4.004805426322554e-07
2.011169138787752e-08,3.941956249070692e-07
2.011179702672348e-08,4.023245528807457e-07
2.011190008227317e-08,3.951093520415468e-07
2.011200724985628e-08,4.005444990736165e-07
2.011215673934307e-08,3.936846574406092e-07
2.011226317641318e-08,4.013414614763272e-07
2.011239623160105e-08,3.949677451879613e-07
2.011252368794254e-08,4.01795538895082e-07
2.011265141166317e-08,3.936977561035107e-07
2.011277693484419e-08,4.001015683260393e-07
2.011289374852191e-08,3.954255304641929e-07
2.011300983139131e-08,4.012585372978859e-07
2.011312161466653e-08,3.951502288367591e-07
2.011323867426874e-08,4.001473445425521e-07
2.011336697835546e-08,3.940945421669079e-07
2.011348797238208e-08,4.010356210476399e-07
2.011362432811346e-08,3.95858671199566e-07
2.011374121957055e-08,4.002209824222281e-07
2.011391880670477e-08,3.944677632734003e-07
2.01140484239244e-08,4.004538618830769e-07
2.011418604433505e-08,3.953507605991709e-07
2.011432608483757e-08,4.014183552570439e-07
2.011448354585537e-08,3.935700921387627e-07
2.011463162364866e-08,4.008384628791328e-07
2.011476169946787e-08,3.950134258202753e-07
2.011491481457775e-08,4.013262663265908e-07
2.011505607009734e-08,3.941427595878588e-07
2.011523044195563e-08,4.004921235070315e-07
2.011536059772681e-08,3.94575772611384e-07
2.011552542074978e-08,4.019653330914434e-07
2.01156764823201e-08,3.935563195725069e-07
2.011582090218934e-08,4.008205125939778e-07
2.011595586562942e-08,3.944653589025138e-07
2.011610772864402e-08,4.014381844034456e-07
2.011624570887653e-08,3.947266470422122e-07
2.011642531161156e-08,3.999566251911264e-07
2.011656554282514e-08,3.947565452374448e-07
2.011671232654635e-08,4.014085887767821e-07
2.011686324962466e-08,3.944936362640391e-07
2.011704335432955e-08,4.003081909072091e-07
2.011719964575582e-08,3.946165345915451e-07
2.011735283601801e-08,4.010296649879347e-07
2.011750697561844e-08,3.951269495320565e-07
2.01176784378036e-08,3.995693709449583e-07
2.011784881703059e-08,3.951954569748979e-07
2.01180071077235e-08,4.008372645901996e-07
2.01181597974427e-08,3.947261137979127e-07
2.01183196555595e-08,4.002529219052469e-07
2.011849990286247e-08,3.944537763345304e-07
2.011867247422138e-08,4.013764610905192e-07
2.011883155135072e-08,3.943805810637676e-07
2.011899263032939e-08,4.001432812721179e-07
2.011915955854166e-08,3.948072689429245e-07
2.011938701375355e-08,4.009594354982893e-07
2.011955950863387e-08,3.942363855567969e-07
2.011975898396013e-08,4.005553169342564e-07
2.011992699663602e-08,3.944683196013225e-07
2.012015570595363e-08,4.013797643413587e-07
2.012035614392397e-08,3.933746910033728e-07
2.012058727713108e-08,4.014696040406164e-07
2.012078093208108e-08,3.942899958068346e-07
2.01209693247287e-08,4.008209113330155e-07
2.012117382339019e-08,3.939514781481586e-07
2.012135983307082e-08,4.010982418253148e-07
2.012155689888451e-08,3.945952088427925e-07
2.01217368377006e-08,4.002523387252718e-07
2.01219354752501e-08,3.943441568103112e-07
2.012210830178302e-08,4.012715189252866e-07
2.012230384488808e-08,3.940046053312611e-07
2.012252775736071e-08,4.00650854048278e-07
2.012273139393042e-08,3.944251667880414e-07
2.01229574476551e-08,4.009396617626559e-07
2.012314510043197e-08,3.940374099669547e-07
2.01233820586789e-08,4.004834909027017e-07
2.01235964564322e-08,3.950782121616926e-07
2.012385169268024e-08,3.998698487843551e-07
2.012411005974834e-08,3.947803576933864e-07
2.012432857616292e-08,4.005027461306633e-07
2.012457096417294e-08,3.945304130040296e-07
2.012478868079177e-08,4.001277264489544e-07
2.012500692309345e-08,3.947178841394296e-07
2.01253366350658e-08,4.005199092919259e-07
2.01255850902836e-08,3.939500899595559e-07
2.012585850747014e-08,4.009764402757359e-07
2.012612635412465e-08,3.941978041262451e-07
2.012635657587868e-08,4.002534108801215e-07
2.012660635846788e-08,3.946209702595687e-07
2.012686418863047e-08,4.004446768127165e-07
2.012711045779152e-08,3.942090609330203e-07
2.012747407706994e-08,4.004815964369749e-07
2.012776095563146e-08,3.945582840344878e-07
2.01280336135822e-08,4.000149146274555e-07
2.01283485091368e-08,3.946103786178168e-07
2.012861806961457e-08,4.005230292697444e-07
2.012888076222768e-08,3.937673900693793e-07
2.012919437811246e-08,4.010465347081792e-07
2.012953510626694e-08,3.93728392739318e-07
2.012986582554865e-08,4.007614011299531e-07
2.013021288416543e-08,3.939149699327842e-07
2.013058788841784e-08,4.008223185795746e-07
2.013089903426641e-08,3.935186089541577e-07
2.013120748897115e-08,4.012105609548484e-07
2.013156446941172e-08,3.93413355629406e-07
2.013188204613813e-08,4.008457307397268e-07
2.013220665004042e-08,3.939900102848123e-07
2.013261274775791e-08,4.003620856250406e-07
2.013311558407508e-08,3.941108510732316e-07
2.013353916629256e-08,4.004349814649346e-07
2.013396032061643e-08,3.938236156110772e-07
2.013438468387194e-08,4.007013254584376e-07
2.013483753607022e-08,3.93643736947946e-07
2.013524115823896e-08,4.006114218854099e-07
2.01356170917469e-08,3.938479206730236e-07
2.013599552886169e-08,4.003575951805122e-07
2.013644616980502e-08,3.939032516730295e-07
2.013688138213176e-08,4.004650273478258e-07
2.013733511702628e-08,3.935570783666569e-07
2.013781565087244e-08,4.008217214074306e-07
2.01383715258385e-08,3.932233153904785e-07
2.013898915879495e-08,4.009363689641572e-07
2.013953700584329e-08,3.931827379473086e-07
2.014006423335175e-08,4.007613757873984e-07
2.014056588571779e-08,3.934146069510746e-07
2.014105685045996e-08,4.00420548682221e-07
2.014158087727287e-08,3.936368659039098e-07
2.014207682641762e-08,4.002499419655808e-07
2.014253702707971e-08,3.936100367628423e-07
2.014298915913908e-08,4.003149111616852e-07
2.014347111863748e-08,3.934972181643849e-07
2.014414541747766e-08,4.002742386549556e-07
2.014481426162534e-08,3.935492018546169e-07
2.014549476381933e-08,4.000599110515481e-07
2.014617334971217e-08,3.937397097548014e-07
2.014685659240344e-08,3.997419830815597e-07
2.014758826744182e-08,3.939599273288324e-07
2.01484412933426e-08,3.994815666535294e-07
2.014925052448729e-08,3.94052408053428e-07
2.015002980372187e-08,3.99335068536636e-07
2.015076874190191e-08,3.940299618724824e-07
2.015145669883731e-08,3.993450116092847e-07
2.015211020179993e-08,3.938510379330872e-07
2.015274640234703e-08,3.994890428323191e-07
2.015339608414579e-08,3.936246383832271e-07
2.015411286276366e-08,3.995787309910387e-07
2.015478383504921e-08,3.935020128433367e-07
2.015543543135792e-08,3.995500933551626e-07
2.015607634888066e-08,3.935140309508026e-07
2.015672607340453e-08,3.994123484187009e-07
2.015745563157252e-08,3.935640134489058e-07
2.015847366554174e-08,3.992852639132974e-07
2.015974849984361e-08,3.935259975715292e-07
2.016101402949383e-08,3.991882098515544e-07
2.016232448504373e-08,3.934387370802273e-07
2.016363272368962e-08,3.991278017424282e-07
2.016490993762949e-08,3.933041982855417e-07
2.016616645423466e-08,3.991165179814227e-07
2.016740102828644e-08,3.931329698988822e-07
2.016862884888674e-08,3.991469381885699e-07
2.016987564026772e-08,3.929374874540842e-07
2.017117804371956e-08,3.991775658430146e-07
2.017259291574912e-08,3.927500243159567e-07
2.017405490141997e-08,3.991756936678526e-07
2.017550159012111e-08,3.92588286976076e-07
2.017692397496714e-08,3.991477796335428e-07
2.017829343924836e-08,3.924582565953038e-07
2.017959750422265e-08,3.990941092404229e-07
2.018083194144624e-08,3.923828578752913e-07
2.018199595565181e-08,3.990010639743953e-07
