delay (k_TG=3) X,delay (k_TG=3) Y
3e-08,3.600035732756967e-09
5e-08,3.543712269391643e-09
6.999999999999999e-08,3.486128370293451e-09
9.000000000000001e-08,3.429003513091818e-09
1.1e-07,3.37289188659995e-09
1.3e-07,3.3162624582679e-09
1.5e-07,3.259142390550256e-09
1.7e-07,3.202090624929974e-09
1.9e-07,3.145797405879537e-09
2.1e-07,3.089286411886092e-09
2.3e-07,3.033923464958641e-09
2.5e-07,2.978677083701464e-09
2.7e-07,2.923279696216946e-09
2.9e-07,2.868189710238345e-09
3.1e-07,2.812718391293736e-09
3.3e-07,2.758068925204165e-09
3.5e-07,2.703735735356472e-09
3.7e-07,2.650699309150686e-09
3.9e-07,2.59742562560852e-09
4.1e-07,2.544287089515209e-09
4.3e-07,2.490459606905857e-09
4.5e-07,2.438507930960729e-09
4.7e-07,2.386055612052631e-09
4.9e-07,2.334001148253679e-09
5.100000000000001e-07,2.28299091383516e-09
5.3e-07,2.232136597882918e-09
5.5e-07,2.181178797304086e-09
5.7e-07,2.13150751520014e-09
5.900000000000001e-07,2.081769254263448e-09
6.100000000000001e-07,2.03204256218649e-09
6.3e-07,1.981642246304179e-09
6.5e-07,1.934518919034988e-09
6.7e-07,1.9346934836592e-09
6.900000000000001e-07,1.885749338239502e-09
7.100000000000001e-07,1.838474590034745e-09
7.3e-07,1.78974582406076e-09
7.5e-07,1.742580050413076e-09
7.7e-07,1.694982228502256e-09
7.900000000000001e-07,1.648239582040421e-09
8.100000000000001e-07,1.601077752228534e-09
8.3e-07,1.55353245004045e-09
8.5e-07,1.507291576605281e-09
8.7e-07,1.460209817290744e-09
8.900000000000001e-07,1.413506627930507e-09
9.100000000000001e-07,1.36705691473946e-09
9.300000000000001e-07,1.320102781233054e-09
9.5e-07,1.273055907387076e-09
9.7e-07,1.225999475159741e-09
9.900000000000001e-07,1.179660908000946e-09
1.01e-06,1.132294426691971e-09
1.03e-06,1.085329944408982e-09
1.05e-06,1.038649739690688e-09
1.07e-06,9.913530769103174e-10
1.09e-06,9.433313863587945e-10
1.11e-06,8.966436892503448e-10
1.13e-06,8.492233380076675e-10
1.15e-06,8.02006375328544e-10
1.17e-06,7.553043214772709e-10
1.19e-06,7.080284848164328e-10
1.21e-06,6.609286368789184e-10
1.23e-06,6.143469788956597e-10
1.25e-06,5.6899829559759e-10
1.27e-06,5.240750154914263e-10
1.29e-06,4.79763704484568e-10
