delay (delay=T/4) X,delay (delay=T/4) Y
4.5e-08,4.234658146210435e-09
9.499999999999999e-08,4.270352232991742e-09
1.45e-07,4.301039083280222e-09
1.95e-07,4.341181404895603e-09
2.45e-07,4.372108809713812e-09
2.95e-07,4.406109094388476e-09
3.45e-07,4.445526395654651e-09
3.95e-07,4.482450429056312e-09
4.45e-07,4.514982740430554e-09
4.95e-07,4.547934075760068e-09
5.45e-07,4.59043914210342e-09
5.95e-07,4.622900165537325e-09
6.45e-07,4.659557293215271e-09
6.949999999999999e-07,4.696717500812633e-09
7.45e-07,4.727396318070175e-09
7.95e-07,4.764499658292502e-09
8.45e-07,4.797118920022856e-09
8.949999999999999e-07,4.833816472773635e-09
9.45e-07,4.876544890694287e-09
9.95e-07,4.906920674765333e-09
1.045e-06,4.942367326727467e-09
1.095e-06,4.98246532309908e-09
1.145e-06,5.019181301178457e-09
1.195e-06,5.04689674318693e-09
1.245e-06,5.083265506130768e-09
1.295e-06,5.124400857025247e-09
1.345e-06,5.159694995634046e-09
1.395e-06,5.18939220597321e-09
1.445e-06,5.226254658363925e-09
1.495e-06,5.260260110373238e-09
1.545e-06,5.30193579248037e-09
1.595e-06,5.337771624997641e-09
1.645e-06,5.366726538065032e-09
1.695e-06,5.403223358820806e-09
1.745e-06,5.438558501364174e-09
1.795e-06,5.474492143298978e-09
1.845e-06,5.509062565104387e-09
1.895e-06,5.544524220868696e-09
1.945e-06,5.580213314972117e-09
1.995e-06,5.621725074344078e-09
2.045e-06,5.650954248322703e-09
2.095e-06,5.686457335145867e-09
2.145e-06,5.72163232105281e-09
2.195e-06,5.756686080155561e-09
2.245e-06,5.798563605641928e-09
2.295e-06,5.829367603683766e-09
2.345e-06,5.862885564286992e-09
2.395e-06,5.898482458332151e-09
2.445e-06,5.93355402577532e-09
2.495e-06,5.968855203606499e-09
2.545e-06,6.004735516939198e-09
2.595e-06,6.039626049810792e-09
2.645e-06,6.075321093223121e-09
2.695e-06,6.113142371288238e-09
2.745e-06,6.146920148658475e-09
2.795e-06,6.182754778918956e-09
2.845e-06,6.218241996695735e-09
2.895e-06,6.256311190274442e-09
2.945e-06,6.289270708033377e-09
2.995e-06,6.324520573715776e-09
3.045e-06,6.359464821412783e-09
3.095e-06,6.39563557837127e-09
3.145e-06,6.431750204133953e-09
3.195e-06,6.467302531898481e-09
3.245e-06,6.503052108163035e-09
3.295e-06,6.537560058379096e-09
3.345e-06,6.576977578555705e-09
3.395e-06,6.6081943380987e-09
3.445e-06,6.649297289876515e-09
3.495e-06,6.679050441181642e-09
3.545e-06,6.713877150190125e-09
3.595e-06,6.75228770499862e-09
3.645e-06,6.788680182225484e-09
3.695e-06,6.82191055040654e-09
3.745e-06,6.856684098654128e-09
3.795e-06,6.899819892595402e-09
3.845e-06,6.928335068369082e-09
3.895e-06,6.969556736791899e-09
3.945e-06,7.001579332544592e-09
3.995e-06,7.039224335600071e-09
4.045e-06,7.076945150428189e-09
4.095000000000001e-06,7.107903099768471e-09
4.145e-06,7.143166863774005e-09
4.195e-06,7.182686593196266e-09
4.245e-06,7.215432484098454e-09
4.295e-06,7.250319907331782e-09
4.345e-06,7.29043453439529e-09
4.395e-06,7.323655666691211e-09
4.445000000000001e-06,7.361791006575905e-09
4.495e-06,7.394068461741176e-09
4.545000000000001e-06,7.428275782292315e-09
4.595e-06,7.469684369850554e-09
4.645e-06,7.504206316460282e-09
4.695e-06,7.541237660916542e-09
4.745e-06,7.577269944730406e-09
4.795e-06,7.609647436904028e-09
4.845e-06,7.64437755991406e-09
4.895000000000001e-06,7.682976795393055e-09
4.945e-06,7.721178992289713e-09
4.995e-06,7.75667529467981e-09
5.045e-06,7.791050189719069e-09
5.095e-06,7.826288289046032e-09
5.145e-06,7.864145140770459e-09
5.195e-06,7.900242329645426e-09
5.245e-06,7.934528088347816e-09
5.295e-06,7.972152021309975e-09
5.345e-06,8.006646262597156e-09
5.395e-06,8.041072810343236e-09
5.445e-06,8.079672665659021e-09
5.495e-06,8.115513750630662e-09
5.545e-06,8.151887392323345e-09
5.595e-06,8.189275399397678e-09
5.645e-06,8.225638468245798e-09
5.695000000000001e-06,8.258213236226076e-09
5.745e-06,8.296501824575822e-09
5.795e-06,8.331931968407686e-09
5.845e-06,8.3707424636742e-09
5.895e-06,8.405149194670347e-09
5.945e-06,8.445277767110716e-09
5.995e-06,8.478338420191467e-09
6.045000000000001e-06,8.515840496154946e-09
6.095e-06,8.551924900636211e-09
6.145e-06,8.589635800061116e-09
6.195e-06,8.625083253328537e-09
6.245e-06,8.660043686460858e-09
6.295e-06,8.698599476193493e-09
6.345e-06,8.735090026196728e-09
6.395e-06,8.77186076859617e-09
6.445e-06,8.773712876056226e-09
6.495e-06,8.807520835208195e-09
6.545e-06,8.844940153981942e-09
6.595e-06,8.881330111645645e-09
6.645e-06,8.918913753508712e-09
6.695e-06,8.956728179748643e-09
6.745e-06,8.992037941290622e-09
6.795e-06,9.029374360425695e-09
