"delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.32) Y"
2.5000000000E-08,6.4741882806E-09,2.5000000000E-08,5.1233272837E-09,2.5000000000E-08,4.5606040330E-09,2.5000000000E-08,4.1050594942E-09,2.5000000000E-08,3.1595451026E-09,2.5000000000E-08,2.7534807088E-09,2.5000000000E-08,2.7238824714E-09,2.5000000000E-08,1.9501206222E-09,2.5000000000E-08,1.6368312049E-09,2.5000000000E-08,1.1562129342E-08,2.5000000000E-08,9.4721154322E-09,2.5000000000E-08,8.5897537416E-09,2.5000000000E-08,7.9898618747E-09,2.5000000000E-08,6.5344470440E-09,2.5000000000E-08,5.9183446042E-09,2.5000000000E-08,6.1648277771E-09,2.5000000000E-08,4.9042735183E-09,2.5000000000E-08,4.3512172028E-09,2.5000000000E-08,2.6649994805E-09,2.5000000000E-08,1.9110304812E-09,2.5000000000E-08,1.6053908673E-09,2.5000000000E-08,1.3452139710E-09,2.5000000000E-08,9.1832973656E-10,2.5000000000E-08,7.7118775344E-10,2.5000000000E-08,7.3594666814E-10,2.5000000000E-08,5.5266991524E-10,2.5000000000E-08,4.9934194873E-10
7.5000000000E-08,6.4957138528E-09,7.5000000000E-08,5.1418479142E-09,7.5000000000E-08,4.5785252717E-09,7.5000000000E-08,4.1239135821E-09,7.5000000000E-08,3.1773388647E-09,7.5000000000E-08,2.7709451290E-09,7.5000000000E-08,2.7476510614E-09,7.5000000000E-08,1.9719847125E-09,7.5000000000E-08,1.6586624677E-09,7.5000000000E-08,1.1592227583E-08,7.5000000000E-08,9.5006586408E-09,7.5000000000E-08,8.6265020659E-09,7.5000000000E-08,8.0057028986E-09,7.5000000000E-08,6.5605684304E-09,7.5000000000E-08,5.9445591400E-09,7.5000000000E-08,6.1985343927E-09,7.5000000000E-08,4.9329808829E-09,7.5000000000E-08,4.3822781962E-09,7.5000000000E-08,2.6801089664E-09,7.5000000000E-08,1.9241619958E-09,7.5000000000E-08,1.6179646966E-09,7.5000000000E-08,1.3604280911E-09,7.5000000000E-08,9.2999595398E-10,7.5000000000E-08,7.8072438468E-10,7.5000000000E-08,7.4786729387E-10,7.5000000000E-08,5.5948461887E-10,7.5000000000E-08,5.0516975993E-10
1.2500000000E-07,6.5266810261E-09,1.2500000000E-07,5.1727525648E-09,1.2500000000E-07,4.6085122208E-09,1.2500000000E-07,4.1582274505E-09,1.2500000000E-07,3.2104857279E-09,1.2500000000E-07,2.8034762753E-09,1.2500000000E-07,2.7885766537E-09,1.2500000000E-07,2.0117375660E-09,1.2500000000E-07,1.6961997106E-09,1.2500000000E-07,1.1641632935E-08,1.2500000000E-07,9.5385750407E-09,1.2500000000E-07,8.6737915827E-09,1.2500000000E-07,8.0505479131E-09,1.2500000000E-07,6.6103613005E-09,1.2500000000E-07,5.9890704724E-09,1.2500000000E-07,6.2526785933E-09,1.2500000000E-07,4.9798551852E-09,1.2500000000E-07,4.4395536767E-09,1.2500000000E-07,2.7042708977E-09,1.2500000000E-07,1.9462560748E-09,1.2500000000E-07,1.6390865815E-09,1.2500000000E-07,1.3861691536E-09,1.2500000000E-07,9.5023810697E-10,1.2500000000E-07,7.9795148261E-10,1.2500000000E-07,7.6835131664E-10,1.2500000000E-07,5.7091559407E-10,1.2500000000E-07,5.1606800905E-10
1.7500000000E-07,6.5549032771E-09,1.7500000000E-07,5.2076524956E-09,1.7500000000E-07,4.6384402980E-09,1.7500000000E-07,4.1921793582E-09,1.7500000000E-07,3.2442150013E-09,1.7500000000E-07,2.8374700964E-09,1.7500000000E-07,2.8286234937E-09,1.7500000000E-07,2.0519193895E-09,1.7500000000E-07,1.7340919053E-09,1.7500000000E-07,1.1695549927E-08,1.7500000000E-07,9.5798279507E-09,1.7500000000E-07,8.7040435801E-09,1.7500000000E-07,8.1019699671E-09,1.7500000000E-07,6.6572989995E-09,1.7500000000E-07,6.0343709764E-09,1.7500000000E-07,6.3064935374E-09,1.7500000000E-07,5.0286061712E-09,1.7500000000E-07,4.4908320228E-09,1.7500000000E-07,2.7273134372E-09,1.7500000000E-07,1.9685639942E-09,1.7500000000E-07,1.6606078490E-09,1.7500000000E-07,1.4107205410E-09,1.7500000000E-07,9.7006919657E-10,1.7500000000E-07,8.1214094405E-10,1.7500000000E-07,7.8927635195E-10,1.7500000000E-07,5.8431763947E-10,1.7500000000E-07,5.2707230898E-10
2.2500000000E-07,6.5899682217E-09,2.2500000000E-07,5.2410293629E-09,2.2500000000E-07,4.6683576817E-09,2.2500000000E-07,4.2253085584E-09,2.2500000000E-07,3.2773149395E-09,2.2500000000E-07,2.8700768359E-09,2.2500000000E-07,2.8703187717E-09,2.2500000000E-07,2.0920321449E-09,2.2500000000E-07,1.7720535775E-09,2.2500000000E-07,1.1745269889E-08,2.2500000000E-07,9.6176956615E-09,2.2500000000E-07,8.7417073531E-09,2.2500000000E-07,8.1563620198E-09,2.2500000000E-07,6.7020615454E-09,2.2500000000E-07,6.0794522972E-09,2.2500000000E-07,6.3617945690E-09,2.2500000000E-07,5.0866913820E-09,2.2500000000E-07,4.5411995987E-09,2.2500000000E-07,2.7501798518E-09,2.2500000000E-07,1.9908776170E-09,2.2500000000E-07,1.6819775069E-09,2.2500000000E-07,1.4350040431E-09,2.2500000000E-07,9.9039204643E-10,2.2500000000E-07,8.3139959057E-10,2.2500000000E-07,8.1084506848E-10,2.2500000000E-07,5.9993093541E-10,2.2500000000E-07,5.3905653588E-10
2.7500000000E-07,6.6256624022E-09,2.7500000000E-07,5.2713672555E-09,2.7500000000E-07,4.6985704737E-09,2.7500000000E-07,4.2601032292E-09,2.7500000000E-07,3.3116603226E-09,2.7500000000E-07,2.9036419642E-09,2.7500000000E-07,2.9116657893E-09,2.7500000000E-07,2.1314540379E-09,2.7500000000E-07,1.8100306429E-09,2.7500000000E-07,1.1787927965E-08,2.7500000000E-07,9.6583283927E-09,2.7500000000E-07,8.7836190005E-09,2.7500000000E-07,8.2021301895E-09,2.7500000000E-07,6.7451549279E-09,2.7500000000E-07,6.1233906090E-09,2.7500000000E-07,6.4193329303E-09,2.7500000000E-07,5.1400825476E-09,2.7500000000E-07,4.5920540234E-09,2.7500000000E-07,2.7729849316E-09,2.7500000000E-07,2.0129286113E-09,2.7500000000E-07,1.7033327416E-09,2.7500000000E-07,1.4603359921E-09,2.7500000000E-07,1.0116499111E-09,2.7500000000E-07,8.5258720181E-10,2.7500000000E-07,8.3293805175E-10,2.7500000000E-07,6.1562117315E-10,2.7500000000E-07,5.5162739623E-10
3.2500000000E-07,6.6612821880E-09,3.2500000000E-07,5.3021458827E-09,3.2500000000E-07,4.7289420793E-09,3.2500000000E-07,4.2959979852E-09,3.2500000000E-07,3.3456270231E-09,3.2500000000E-07,2.9365487747E-09,3.2500000000E-07,2.9543220313E-09,3.2500000000E-07,2.1714930054E-09,3.2500000000E-07,1.8477856581E-09,3.2500000000E-07,1.1840068882E-08,3.2500000000E-07,9.6986101583E-09,3.2500000000E-07,8.8246622432E-09,3.2500000000E-07,8.2463529675E-09,3.2500000000E-07,6.7912631961E-09,3.2500000000E-07,6.1683479455E-09,3.2500000000E-07,6.4751580938E-09,3.2500000000E-07,5.1930599902E-09,3.2500000000E-07,4.6398271951E-09,3.2500000000E-07,2.7942105727E-09,3.2500000000E-07,2.0349565209E-09,3.2500000000E-07,1.7246224183E-09,3.2500000000E-07,1.4862832162E-09,3.2500000000E-07,1.0336216513E-09,3.2500000000E-07,8.6733048833E-10,3.2500000000E-07,8.5547722670E-10,3.2500000000E-07,6.3077307493E-10,3.2500000000E-07,5.6250140306E-10
3.7500000000E-07,6.6947733151E-09,3.7500000000E-07,5.3330147222E-09,3.7500000000E-07,4.7590683397E-09,3.7500000000E-07,4.3317740147E-09,3.7500000000E-07,3.3785306985E-09,3.7500000000E-07,2.9697804937E-09,3.7500000000E-07,2.9982219339E-09,3.7500000000E-07,2.2116386807E-09,3.7500000000E-07,1.8854288811E-09,3.7500000000E-07,1.1881555211E-08,3.7500000000E-07,9.7396848104E-09,3.7500000000E-07,8.8624823355E-09,3.7500000000E-07,8.2928277953E-09,3.7500000000E-07,6.8352281673E-09,3.7500000000E-07,6.2100647343E-09,3.7500000000E-07,6.5293769050E-09,3.7500000000E-07,5.2459707179E-09,3.7500000000E-07,4.6918285148E-09,3.7500000000E-07,2.8155068477E-09,3.7500000000E-07,2.0562937238E-09,3.7500000000E-07,1.7456179069E-09,3.7500000000E-07,1.5117335694E-09,3.7500000000E-07,1.0551658556E-09,3.7500000000E-07,8.8281878107E-10,3.7500000000E-07,8.7894475969E-10,3.7500000000E-07,6.4594331078E-10,3.7500000000E-07,5.7562922669E-10
4.2500000000E-07,6.7287074487E-09,4.2500000000E-07,5.3640203743E-09,4.2500000000E-07,4.7885057585E-09,4.2500000000E-07,4.3672566022E-09,4.2500000000E-07,3.4137662558E-09,4.2500000000E-07,3.0040652677E-09,4.2500000000E-07,3.0403702505E-09,4.2500000000E-07,2.2516532436E-09,4.2500000000E-07,1.9231233555E-09,4.2500000000E-07,1.1928411756E-08,4.2500000000E-07,9.7906836535E-09,4.2500000000E-07,8.9032220961E-09,4.2500000000E-07,8.3385081636E-09,4.2500000000E-07,6.8807551731E-09,4.2500000000E-07,6.2567106625E-09,4.2500000000E-07,6.5867876054E-09,4.2500000000E-07,5.2991846193E-09,4.2500000000E-07,4.7446319862E-09,4.2500000000E-07,2.8386363524E-09,4.2500000000E-07,2.0781851758E-09,4.2500000000E-07,1.7673400186E-09,4.2500000000E-07,1.5364944051E-09,4.2500000000E-07,1.0768371749E-09,4.2500000000E-07,9.0199968654E-10,4.2500000000E-07,9.0294984811E-10,4.2500000000E-07,6.6099106494E-10,4.2500000000E-07,5.8954934017E-10
4.7500000000E-07,6.7645810199E-09,4.7500000000E-07,5.3931288254E-09,4.7500000000E-07,4.8182478492E-09,4.7500000000E-07,4.4021945011E-09,4.7500000000E-07,3.4496992267E-09,4.7500000000E-07,3.0377257042E-09,4.7500000000E-07,3.0817416955E-09,4.7500000000E-07,2.2926852918E-09,4.7500000000E-07,1.9641210651E-09,4.7500000000E-07,1.1978449962E-08,4.7500000000E-07,9.8314541565E-09,4.7500000000E-07,8.9612259424E-09,4.7500000000E-07,8.3861174748E-09,4.7500000000E-07,6.9278062179E-09,4.7500000000E-07,6.3009306742E-09,4.7500000000E-07,6.6396807500E-09,4.7500000000E-07,5.3541674025E-09,4.7500000000E-07,4.7955082465E-09,4.7500000000E-07,2.8620009723E-09,4.7500000000E-07,2.1008212572E-09,4.7500000000E-07,1.7890670480E-09,4.7500000000E-07,1.5622993996E-09,4.7500000000E-07,1.0995344876E-09,4.7500000000E-07,9.2270021265E-10,4.7500000000E-07,9.2747872534E-10,4.7500000000E-07,6.7696582278E-10,4.7500000000E-07,6.0279993468E-10
