delay (mcparamset=1) X,delay (mcparamset=1) Y,delay (mcparamset=2) X,delay (mcparamset=2) Y,delay (mcparamset=3) X,delay (mcparamset=3) Y,delay (mcparamset=4) X,delay (mcparamset=4) Y,delay (mcparamset=5) X,delay (mcparamset=5) Y,delay (mcparamset=6) X,delay (mcparamset=6) Y,delay (mcparamset=7) X,delay (mcparamset=7) Y,delay (mcparamset=8) X,delay (mcparamset=8) Y,delay (mcparamset=9) X,delay (mcparamset=9) Y,delay (mcparamset=10) X,delay (mcparamset=10) Y,delay (mcparamset=11) X,delay (mcparamset=11) Y,delay (mcparamset=12) X,delay (mcparamset=12) Y,delay (mcparamset=13) X,delay (mcparamset=13) Y,delay (mcparamset=14) X,delay (mcparamset=14) Y,delay (mcparamset=15) X,delay (mcparamset=15) Y,delay (mcparamset=16) X,delay (mcparamset=16) Y,delay (mcparamset=17) X,delay (mcparamset=17) Y,delay (mcparamset=18) X,delay (mcparamset=18) Y,delay (mcparamset=19) X,delay (mcparamset=19) Y,delay (mcparamset=20) X,delay (mcparamset=20) Y,delay (mcparamset=21) X,delay (mcparamset=21) Y,delay (mcparamset=22) X,delay (mcparamset=22) Y,delay (mcparamset=23) X,delay (mcparamset=23) Y,delay (mcparamset=24) X,delay (mcparamset=24) Y,delay (mcparamset=25) X,delay (mcparamset=25) Y,delay (mcparamset=26) X,delay (mcparamset=26) Y,delay (mcparamset=27) X,delay (mcparamset=27) Y,delay (mcparamset=28) X,delay (mcparamset=28) Y,delay (mcparamset=29) X,delay (mcparamset=29) Y,delay (mcparamset=30) X,delay (mcparamset=30) Y,delay (mcparamset=31) X,delay (mcparamset=31) Y,delay (mcparamset=32) X,delay (mcparamset=32) Y,delay (mcparamset=33) X,delay (mcparamset=33) Y,delay (mcparamset=34) X,delay (mcparamset=34) Y,delay (mcparamset=35) X,delay (mcparamset=35) Y,delay (mcparamset=36) X,delay (mcparamset=36) Y,delay (mcparamset=37) X,delay (mcparamset=37) Y,delay (mcparamset=38) X,delay (mcparamset=38) Y,delay (mcparamset=39) X,delay (mcparamset=39) Y,delay (mcparamset=40) X,delay (mcparamset=40) Y,delay (mcparamset=41) X,delay (mcparamset=41) Y,delay (mcparamset=42) X,delay (mcparamset=42) Y,delay (mcparamset=43) X,delay (mcparamset=43) Y,delay (mcparamset=44) X,delay (mcparamset=44) Y,delay (mcparamset=45) X,delay (mcparamset=45) Y,delay (mcparamset=46) X,delay (mcparamset=46) Y,delay (mcparamset=47) X,delay (mcparamset=47) Y,delay (mcparamset=48) X,delay (mcparamset=48) Y,delay (mcparamset=49) X,delay (mcparamset=49) Y,delay (mcparamset=50) X,delay (mcparamset=50) Y
2.5e-08,4.101280142952779e-09,2.5e-08,4.104587513637775e-09,2.5e-08,4.102944483498135e-09,2.5e-08,4.098227560421831e-09,2.5e-08,4.099355297477415e-09,2.5e-08,4.105718621799812e-09,2.5e-08,4.101718539559076e-09,2.5e-08,4.110108705680681e-09,2.5e-08,4.106037064003516e-09,2.5e-08,4.105352100539107e-09,2.5e-08,4.103041895037842e-09,2.5e-08,4.103868510503375e-09,2.5e-08,4.106077167249513e-09,2.5e-08,4.101546771751478e-09,2.5e-08,4.107968822604189e-09,2.5e-08,4.106327958016907e-09,2.5e-08,4.096023238426053e-09,2.5e-08,4.098889506361964e-09,2.5e-08,4.096513730724068e-09,2.5e-08,4.103129841035231e-09,2.5e-08,4.100731800524527e-09,2.5e-08,4.104109971308867e-09,2.5e-08,4.098465963394906e-09,2.5e-08,4.09844078961528e-09,2.5e-08,4.100665927327046e-09,2.5e-08,4.104346807186591e-09,2.5e-08,4.106276221369724e-09,2.5e-08,4.103732051998746e-09,2.5e-08,4.102662867685773e-09,2.5e-08,4.10679660060491e-09,2.5e-08,4.105134903043007e-09,2.5e-08,4.101876580463426e-09,2.5e-08,4.102942941847316e-09,2.5e-08,4.100422120130447e-09,2.5e-08,4.102357563996396e-09,2.5e-08,4.106592245635512e-09,2.5e-08,4.103477275481091e-09,2.5e-08,4.103520226880442e-09,2.5e-08,4.106757947508317e-09,2.5e-08,4.105687730328821e-09,2.5e-08,4.100084914188556e-09,2.5e-08,4.098662357572154e-09,2.5e-08,4.101690265988118e-09,2.5e-08,4.104339678118981e-09,2.5e-08,4.102944364327177e-09,2.5e-08,4.09481216017101e-09,2.5e-08,4.09879483746742e-09,2.5e-08,4.10382373466567e-09,2.5e-08,4.103754671258532e-09,2.5e-08,4.101687205208113e-09
7.5e-08,4.119927980946532e-09,7.5e-08,4.122895192885698e-09,7.5e-08,4.122050599873135e-09,7.5e-08,4.119716868115493e-09,7.5e-08,4.119652535701908e-09,7.5e-08,4.127072578033616e-09,7.5e-08,4.120821536245791e-09,7.5e-08,4.128805341091932e-09,7.5e-08,4.126619104217775e-09,7.5e-08,4.124022945294969e-09,7.5e-08,4.122171765562254e-09,7.5e-08,4.123926945580493e-09,7.5e-08,4.125252555092978e-09,7.5e-08,4.123791683282916e-09,7.5e-08,4.128479940030979e-09,7.5e-08,4.127199448234822e-09,7.5e-08,4.116656119601322e-09,7.5e-08,4.120282718844939e-09,7.5e-08,4.11596205485154e-09,7.5e-08,4.123384086234107e-09,7.5e-08,4.121439756746763e-09,7.5e-08,4.124879931005509e-09,7.5e-08,4.118388229915466e-09,7.5e-08,4.117053939871282e-09,7.5e-08,4.119746657208598e-09,7.5e-08,4.124324711940525e-09,7.5e-08,4.125616692763955e-09,7.5e-08,4.124027512360951e-09,7.5e-08,4.124066375054533e-09,7.5e-08,4.125590806799484e-09,7.5e-08,4.12306631452211e-09,7.5e-08,4.122011843456884e-09,7.5e-08,4.121754588344779e-09,7.5e-08,4.1206515119492e-09,7.5e-08,4.121703373968275e-09,7.5e-08,4.125299820439498e-09,7.5e-08,4.124424227713369e-09,7.5e-08,4.124377407628504e-09,7.5e-08,4.126868499499521e-09,7.5e-08,4.125540518267333e-09,7.5e-08,4.123247799233815e-09,7.5e-08,4.118470372984916e-09,7.5e-08,4.123144699114452e-09,7.5e-08,4.126512818185204e-09,7.5e-08,4.124320198176569e-09,7.5e-08,4.11401250090165e-09,7.5e-08,4.119519084828203e-09,7.5e-08,4.121966792386159e-09,7.5e-08,4.124345142648385e-09,7.5e-08,4.120060163669515e-09
1.25e-07,4.156640159062473e-09,1.25e-07,4.157545725978699e-09,1.25e-07,4.156361541297538e-09,1.25e-07,4.155855455517629e-09,1.25e-07,4.154173470943609e-09,1.25e-07,4.162653956588781e-09,1.25e-07,4.154694636578852e-09,1.25e-07,4.162834324072726e-09,1.25e-07,4.161709211195414e-09,1.25e-07,4.158474019626718e-09,1.25e-07,4.157383941013469e-09,1.25e-07,4.157760343482035e-09,1.25e-07,4.158944016275451e-09,1.25e-07,4.159135113058873e-09,1.25e-07,4.163060670295983e-09,1.25e-07,4.161926641101845e-09,1.25e-07,4.152718470329797e-09,1.25e-07,4.156825038174069e-09,1.25e-07,4.150389466309358e-09,1.25e-07,4.157868349672291e-09,1.25e-07,4.1572144186373e-09,1.25e-07,4.15809880588344e-09,1.25e-07,4.152716481518304e-09,1.25e-07,4.151612817540478e-09,1.25e-07,4.154512347672575e-09,1.25e-07,4.159114435225102e-09,1.25e-07,4.159550700961859e-09,1.25e-07,4.158950202471157e-09,1.25e-07,4.160429458393997e-09,1.25e-07,4.160559604097333e-09,1.25e-07,4.157712853241245e-09,1.25e-07,4.15703476216295e-09,1.25e-07,4.157137703439997e-09,1.25e-07,4.156213539463308e-09,1.25e-07,4.15588445887349e-09,1.25e-07,4.159910345479478e-09,1.25e-07,4.159321302166159e-09,1.25e-07,4.159681208401847e-09,1.25e-07,4.161127292574652e-09,1.25e-07,4.160717452340354e-09,1.25e-07,4.158342703557481e-09,1.25e-07,4.153362663960153e-09,1.25e-07,4.159006471072823e-09,1.25e-07,4.162003091151243e-09,1.25e-07,4.160338296435426e-09,1.25e-07,4.148272353869192e-09,1.25e-07,4.154552961758192e-09,1.25e-07,4.157145341476841e-09,1.25e-07,4.159127719517156e-09,1.25e-07,4.154846859287159e-09
1.75e-07,4.191595164397968e-09,1.75e-07,4.191389605282668e-09,1.75e-07,4.191405109078245e-09,1.75e-07,4.190231030167317e-09,1.75e-07,4.18771818522448e-09,1.75e-07,4.19715445632293e-09,1.75e-07,4.190264782330515e-09,1.75e-07,4.196935379583502e-09,1.75e-07,4.195405328757654e-09,1.75e-07,4.19320496322708e-09,1.75e-07,4.189944544858694e-09,1.75e-07,4.192376569391994e-09,1.75e-07,4.19240485518563e-09,1.75e-07,4.192100242846174e-09,1.75e-07,4.196648319871729e-09,1.75e-07,4.197039564111597e-09,1.75e-07,4.187604918445203e-09,1.75e-07,4.190968172112821e-09,1.75e-07,4.183976979718152e-09,1.75e-07,4.190680339980539e-09,1.75e-07,4.191168589470582e-09,1.75e-07,4.191506031906964e-09,1.75e-07,4.188002514252386e-09,1.75e-07,4.186724728996907e-09,1.75e-07,4.187830760845937e-09,1.75e-07,4.192264448864391e-09,1.75e-07,4.192805435425149e-09,1.75e-07,4.194255302728102e-09,1.75e-07,4.193752872464353e-09,1.75e-07,4.194552915187328e-09,1.75e-07,4.192189995684321e-09,1.75e-07,4.192270439822118e-09,1.75e-07,4.192550743110086e-09,1.75e-07,4.189878159168859e-09,1.75e-07,4.189011002196217e-09,1.75e-07,4.194183524309648e-09,1.75e-07,4.194311896988867e-09,1.75e-07,4.192256996845995e-09,1.75e-07,4.194341210768749e-09,1.75e-07,4.194812047344037e-09,1.75e-07,4.191134454912792e-09,1.75e-07,4.18753121657029e-09,1.75e-07,4.192537791124042e-09,1.75e-07,4.195210444993075e-09,1.75e-07,4.195760970098319e-09,1.75e-07,4.183430191791655e-09,1.75e-07,4.18842749019502e-09,1.75e-07,4.192129047413268e-09,1.75e-07,4.192734509283092e-09,1.75e-07,4.188857363798194e-09
2.25e-07,4.224499442071879e-09,2.25e-07,4.227249228788193e-09,2.25e-07,4.225354063724271e-09,2.25e-07,4.225199271385321e-09,2.25e-07,4.223331321728061e-09,2.25e-07,4.231757062515968e-09,2.25e-07,4.22293934993762e-09,2.25e-07,4.232198133067943e-09,2.25e-07,4.230844495162956e-09,2.25e-07,4.227514172028784e-09,2.25e-07,4.225131061569469e-09,2.25e-07,4.227814300629167e-09,2.25e-07,4.227414975754978e-09,2.25e-07,4.227286531132539e-09,2.25e-07,4.230090073245062e-09,2.25e-07,4.230135833057483e-09,2.25e-07,4.22285394544109e-09,2.25e-07,4.226349842534311e-09,2.25e-07,4.218453957706921e-09,2.25e-07,4.226376070712867e-09,2.25e-07,4.226150844000599e-09,2.25e-07,4.226506506205245e-09,2.25e-07,4.223048549041379e-09,2.25e-07,4.219551765197617e-09,2.25e-07,4.222516933734611e-09,2.25e-07,4.227463651222085e-09,2.25e-07,4.227922073308717e-09,2.25e-07,4.228951458952828e-09,2.25e-07,4.228043149050223e-09,2.25e-07,4.229914097793473e-09,2.25e-07,4.227141937435021e-09,2.25e-07,4.226638075922691e-09,2.25e-07,4.226931352024766e-09,2.25e-07,4.225588910341197e-09,2.25e-07,4.221738179360976e-09,2.25e-07,4.229956133017744e-09,2.25e-07,4.226411761113796e-09,2.25e-07,4.228156190047465e-09,2.25e-07,4.230295528190186e-09,2.25e-07,4.227734609908846e-09,2.25e-07,4.22696185041276e-09,2.25e-07,4.223038295308336e-09,2.25e-07,4.227939883421755e-09,2.25e-07,4.231130736454413e-09,2.25e-07,4.23001745438579e-09,2.25e-07,4.21574379051439e-09,2.25e-07,4.222298907075745e-09,2.25e-07,4.225165807613363e-09,2.25e-07,4.2278410467313e-09,2.25e-07,4.224653245418941e-09
2.75e-07,4.259295677013969e-09,2.75e-07,4.260947312777833e-09,2.75e-07,4.258946795509071e-09,2.75e-07,4.259135648262113e-09,2.75e-07,4.259073815134679e-09,2.75e-07,4.267671195648305e-09,2.75e-07,4.25673920169906e-09,2.75e-07,4.267555026945677e-09,2.75e-07,4.264895068850913e-09,2.75e-07,4.262241918518372e-09,2.75e-07,4.259429566980191e-09,2.75e-07,4.262688767683537e-09,2.75e-07,4.26218313239447e-09,2.75e-07,4.262506227104043e-09,2.75e-07,4.266023194538969e-09,2.75e-07,4.262053274179888e-09,2.75e-07,4.257898943115809e-09,2.75e-07,4.261658205978941e-09,2.75e-07,4.255732379514281e-09,2.75e-07,4.261969837490677e-09,2.75e-07,4.260506977085787e-09,2.75e-07,4.263473693254087e-09,2.75e-07,4.25603848311834e-09,2.75e-07,4.254188504204249e-09,2.75e-07,4.258602994147075e-09,2.75e-07,4.262806824632777e-09,2.75e-07,4.263233864085796e-09,2.75e-07,4.262390705974157e-09,2.75e-07,4.262898666510809e-09,2.75e-07,4.265696452686378e-09,2.75e-07,4.260923738827743e-09,2.75e-07,4.260422549722695e-09,2.75e-07,4.261373679778869e-09,2.75e-07,4.261004270360479e-09,2.75e-07,4.257164533180496e-09,2.75e-07,4.264832541671774e-09,2.75e-07,4.260839878230808e-09,2.75e-07,4.264055096250777e-09,2.75e-07,4.266504027865282e-09,2.75e-07,4.263522601242023e-09,2.75e-07,4.262185306962648e-09,2.75e-07,4.258920141556255e-09,2.75e-07,4.263664753034671e-09,2.75e-07,4.266345745746234e-09,2.75e-07,4.264590777926377e-09,2.75e-07,4.249316736033881e-09,2.75e-07,4.257802584935229e-09,2.75e-07,4.26008515063188e-09,2.75e-07,4.262316085128148e-09,2.75e-07,4.258998009674565e-09
3.25e-07,4.296259770792115e-09,3.25e-07,4.295632219646642e-09,3.25e-07,4.294879109677318e-09,3.25e-07,4.294047431143858e-09,3.25e-07,4.295352937229791e-09,3.25e-07,4.302532380886259e-09,3.25e-07,4.293187438451255e-09,3.25e-07,4.302075941864667e-09,3.25e-07,4.300089413089663e-09,3.25e-07,4.297169703780589e-09,3.25e-07,4.29483594872965e-09,3.25e-07,4.29948615588956e-09,3.25e-07,4.297463522392145e-09,3.25e-07,4.297327034296527e-09,3.25e-07,4.301786201957712e-09,3.25e-07,4.298943988160924e-09,3.25e-07,4.292187166526201e-09,3.25e-07,4.296335019654834e-09,3.25e-07,4.291317537106861e-09,3.25e-07,4.29622090530577e-09,3.25e-07,4.295944949707875e-09,3.25e-07,4.298849991974144e-09,3.25e-07,4.290812458168498e-09,3.25e-07,4.290830166237171e-09,3.25e-07,4.293623756762788e-09,3.25e-07,4.297788879871339e-09,3.25e-07,4.29847265548028e-09,3.25e-07,4.297527865239116e-09,3.25e-07,4.299214792486837e-09,3.25e-07,4.299774084594526e-09,3.25e-07,4.295885008924012e-09,3.25e-07,4.296188393454265e-09,3.25e-07,4.29503133316018e-09,3.25e-07,4.295862616852965e-09,3.25e-07,4.294233171114747e-09,3.25e-07,4.299045442494067e-09,3.25e-07,4.298359767865939e-09,3.25e-07,4.2981776227522e-09,3.25e-07,4.300481904356597e-09,3.25e-07,4.299233067597631e-09,3.25e-07,4.296635715929237e-09,3.25e-07,4.292183747682921e-09,3.25e-07,4.298697654020093e-09,3.25e-07,4.300844880687077e-09,3.25e-07,4.299487783351233e-09,3.25e-07,4.286550763551539e-09,3.25e-07,4.29368347761005e-09,3.25e-07,4.297166143358036e-09,3.25e-07,4.296818244331504e-09,3.25e-07,4.293636216209177e-09
3.75e-07,4.330939905953315e-09,3.75e-07,4.33171009052832e-09,3.75e-07,4.329534134274658e-09,3.75e-07,4.330491075324557e-09,3.75e-07,4.328471880792816e-09,3.75e-07,4.335410535404623e-09,3.75e-07,4.32808119826231e-09,3.75e-07,4.33646216956987e-09,3.75e-07,4.336630059638872e-09,3.75e-07,4.330596904368134e-09,3.75e-07,4.33080289791262e-09,3.75e-07,4.332165510372654e-09,3.75e-07,4.331773916925721e-09,3.75e-07,4.330719254070609e-09,3.75e-07,4.337097959634704e-09,3.75e-07,4.335377386336126e-09,3.75e-07,4.325855639259651e-09,3.75e-07,4.330180770487984e-09,3.75e-07,4.325552370713393e-09,3.75e-07,4.330502999506884e-09,3.75e-07,4.331262742881794e-09,3.75e-07,4.333289863534717e-09,3.75e-07,4.327686041617929e-09,3.75e-07,4.325418282484533e-09,3.75e-07,4.328321037978308e-09,3.75e-07,4.332466630248065e-09,3.75e-07,4.334581851378715e-09,3.75e-07,4.335080846880192e-09,3.75e-07,4.33450415630552e-09,3.75e-07,4.333381699374279e-09,3.75e-07,4.33150647714931e-09,3.75e-07,4.331623693704382e-09,3.75e-07,4.329460101887166e-09,3.75e-07,4.329338003942519e-09,3.75e-07,4.328967756403441e-09,3.75e-07,4.332535053799219e-09,3.75e-07,4.33145805595966e-09,3.75e-07,4.332830535388877e-09,3.75e-07,4.333805367766969e-09,3.75e-07,4.334810314947355e-09,3.75e-07,4.329668769423705e-09,3.75e-07,4.326875191493973e-09,3.75e-07,4.332932804303323e-09,3.75e-07,4.334957752259367e-09,3.75e-07,4.332058746643749e-09,3.75e-07,4.321180648839212e-09,3.75e-07,4.327442551868534e-09,3.75e-07,4.331764520407063e-09,3.75e-07,4.331098622809591e-09,3.75e-07,4.328680306761336e-09
4.25e-07,4.366223821381253e-09,4.25e-07,4.369046292697506e-09,4.25e-07,4.365628562198633e-09,4.25e-07,4.365249519925881e-09,4.25e-07,4.363007087578207e-09,4.25e-07,4.370837488901137e-09,4.25e-07,4.364014351721282e-09,4.25e-07,4.372216733375378e-09,4.25e-07,4.373621901456575e-09,4.25e-07,4.368265326158004e-09,4.25e-07,4.36764063022015e-09,4.25e-07,4.367957527622104e-09,4.25e-07,4.368632640156375e-09,4.25e-07,4.368164439719239e-09,4.25e-07,4.374498192404684e-09,4.25e-07,4.371017716866066e-09,4.25e-07,4.363415099963868e-09,4.25e-07,4.365850438816061e-09,4.25e-07,4.362550616604507e-09,4.25e-07,4.365961193530944e-09,4.25e-07,4.368965175535052e-09,4.25e-07,4.368409964613225e-09,4.25e-07,4.362971380698754e-09,4.25e-07,4.36083991602504e-09,4.25e-07,4.363738458509042e-09,4.25e-07,4.367156005293458e-09,4.25e-07,4.369326690393398e-09,4.25e-07,4.372169681684835e-09,4.25e-07,4.371223809919375e-09,4.25e-07,4.368419276939973e-09,4.25e-07,4.366969591337399e-09,4.25e-07,4.368490461760367e-09,4.25e-07,4.366478115174559e-09,4.25e-07,4.367122660828102e-09,4.25e-07,4.365002877707054e-09,4.25e-07,4.370534672738045e-09,4.25e-07,4.366689754557569e-09,4.25e-07,4.370065469733771e-09,4.25e-07,4.369303317027285e-09,4.25e-07,4.370236180815697e-09,4.25e-07,4.36753143064309e-09,4.25e-07,4.365581529809323e-09,4.25e-07,4.367777582137017e-09,4.25e-07,4.371771464511515e-09,4.25e-07,4.368122751054365e-09,4.25e-07,4.359517628722755e-09,4.25e-07,4.365157235130783e-09,4.25e-07,4.368487932044834e-09,4.25e-07,4.367116895327473e-09,4.25e-07,4.364332094916511e-09
4.75e-07,4.401745230648892e-09,4.75e-07,4.40381146046973e-09,4.75e-07,4.402918588087393e-09,4.75e-07,4.399356267955119e-09,4.75e-07,4.398616248466357e-09,4.75e-07,4.406217981871449e-09,4.75e-07,4.401779937952131e-09,4.75e-07,4.407321991145023e-09,4.75e-07,4.407388655395052e-09,4.75e-07,4.406343092597051e-09,4.75e-07,4.400933017249992e-09,4.75e-07,4.406095176132824e-09,4.75e-07,4.40403364377883e-09,4.75e-07,4.403200180019909e-09,4.75e-07,4.408148578229725e-09,4.75e-07,4.406770139918907e-09,4.75e-07,4.40063512660073e-09,4.75e-07,4.400849588053577e-09,4.75e-07,4.396427769284854e-09,4.75e-07,4.401061657341636e-09,4.75e-07,4.403155855487386e-09,4.75e-07,4.402955324121649e-09,4.75e-07,4.397563129322707e-09,4.75e-07,4.398596383678576e-09,4.75e-07,4.398986354630516e-09,4.75e-07,4.401407697709527e-09,4.75e-07,4.403506050949831e-09,4.75e-07,4.40811638294343e-09,4.75e-07,4.405432467773795e-09,4.75e-07,4.404476714213128e-09,4.75e-07,4.40152240080416e-09,4.75e-07,4.402438759763405e-09,4.75e-07,4.404297422951748e-09,4.75e-07,4.402843149158036e-09,4.75e-07,4.402512435060404e-09,4.75e-07,4.403857906200374e-09,4.75e-07,4.402927419441579e-09,4.75e-07,4.404470338419819e-09,4.75e-07,4.404791296930502e-09,4.75e-07,4.404663664059994e-09,4.75e-07,4.402754869809771e-09,4.75e-07,4.399609809628196e-09,4.75e-07,4.403484307906974e-09,4.75e-07,4.407060107013934e-09,4.75e-07,4.406531134493591e-09,4.75e-07,4.394762478287854e-09,4.75e-07,4.402446395890378e-09,4.75e-07,4.40344247105441e-09,4.75e-07,4.402992564995259e-09,4.75e-07,4.401882551147827e-09
