delay_tt_mc X,
3.14462295266562e-09,2
3.14557139626906e-09,3
3.1472705504769e-09,1
3.14734412118347e-09,4
3.14866390221105e-09,4
3.14907081177605e-09,3
3.15012590350008e-09,1
3.15022269837621e-09,2
3.1507324112995e-09,9
3.15084598465521e-09,7
3.15109101923302e-09,13
3.15125953507358e-09,11
3.15129836571746e-09,2
3.15133617999078e-09,12
3.15160954988611e-09,4
3.15170717220764e-09,3
3.15170724857119e-09,1
3.1517580384869e-09,8
3.15184938540896e-09,14
3.15190947353513e-09,10
3.15191369898716e-09,6
3.15260131931064e-09,5
3.1530708521888e-09,15
3.15317925119825e-09,22
3.15321558796436e-09,7
3.15333665314016e-09,17
3.15336833634941e-09,3
3.15338304606483e-09,21
3.1535001386988e-09,25
3.15368361648088e-09,8
3.15383664180429e-09,20
3.15386388176589e-09,10
3.15389020908299e-09,4
3.15405343583254e-09,9
3.15417732842843e-09,2
3.15422705175889e-09,18
3.15457621864062e-09,14
3.15461682250548e-09,13
3.15486714498487e-09,16
3.15488058704077e-09,1
3.15492537383066e-09,19
3.15502084360435e-09,5
3.15514114991984e-09,24
3.15534378273622e-09,12
3.15542409082866e-09,15
3.15545713606622e-09,23
3.15547778272017e-09,11
3.15556515702957e-09,6
3.15599548522961e-09,17
3.15604737133665e-09,3
3.15611881248946e-09,25
3.1561781081497e-09,10
3.15638038523152e-09,31
3.15643852662089e-09,27
3.15649091477856e-09,24
3.15650886333436e-09,33
3.15667551898015e-09,9
3.15669445331329e-09,13
3.15672988657169e-09,14
3.15682358534892e-09,37
3.15684111280756e-09,1
3.15691565935296e-09,38
3.15699674402824e-09,11
3.15715675335766e-09,21
3.15716305876642e-09,19
3.15728983025641e-09,4
3.15730592936032e-09,7
3.15738576664834e-09,15
3.15742264855169e-09,6
3.15743384243201e-09,20
3.15746491574459e-09,22
3.15753890238017e-09,12
3.15770532139545e-09,32
3.15773309411924e-09,18
3.15779003182372e-09,23
3.15779152126839e-09,36
3.15782285511177e-09,29
3.1578337898337e-09,28
3.15788980846165e-09,5
3.15819319153665e-09,30
3.15829796299217e-09,2
3.15841800035726e-09,16
3.15854717811865e-09,8
3.15855916401923e-09,35
3.15864417634789e-09,26
3.15866908696232e-09,34
3.15888219560514e-09,24
3.15891108426698e-09,2
3.15897901140232e-09,7
3.15901516391251e-09,41
3.1590278297181e-09,30
3.15915465922569e-09,42
3.15926799433092e-09,11
3.15940778760583e-09,19
3.15943571217968e-09,28
3.15946854479163e-09,6
3.15956325531262e-09,26
3.15975083521534e-09,10
3.1598178129283e-09,35
3.15982118868999e-09,18
3.15997937507099e-09,17
3.15998495994399e-09,1
3.16007733666639e-09,8
3.16015305674738e-09,3
3.16018612521353e-09,34
3.1602323407744e-09,21
3.16034559584335e-09,27
3.16034811171728e-09,16
3.16034973677714e-09,31
3.16035928163494e-09,4
3.16038528713528e-09,12
3.16039726328201e-09,23
3.16040405837843e-09,32
3.16051270602932e-09,36
3.16065164739677e-09,20
3.16067005369817e-09,15
3.16067861621501e-09,37
3.16072326061682e-09,38
3.16082595474833e-09,22
3.1610045142309e-09,40
3.16109712957541e-09,29
3.16113319710584e-09,25
3.16125893392383e-09,5
3.16134560343436e-09,9
3.16151395026888e-09,39
3.16151849147456e-09,13
3.16156011268356e-09,33
3.16165750978465e-09,14
3.16167824003543e-09,15
3.16169369488638e-09,12
3.16179327237001e-09,1
3.16184524447989e-09,3
3.16185616700467e-09,32
3.16186540937978e-09,11
3.16193796748383e-09,13
3.16198304806129e-09,31
3.1620460306049e-09,8
3.16205762599199e-09,30
3.16208987718854e-09,21
3.16224729203776e-09,19
3.16228692713365e-09,2
3.16229245444587e-09,28
3.16231435960088e-09,20
3.16235028772866e-09,35
3.16241544310825e-09,25
3.1626355097129e-09,34
3.16272157763491e-09,6
3.1627482282801e-09,5
3.16283695463839e-09,14
3.16288425387341e-09,36
3.16297581627669e-09,9
3.16308958113437e-09,37
3.163115506571e-09,7
3.16313379993534e-09,16
3.16314466883502e-09,10
3.1631523499049e-09,27
3.16322563001586e-09,22
3.1632468740238e-09,39
3.16343853033473e-09,24
3.16358677308972e-09,26
3.16373705531246e-09,38
3.16397571526565e-09,33
3.16412297917328e-09,4
3.16414554379041e-09,23
3.16441801738159e-09,17
3.16443183007235e-09,18
3.16444174767372e-09,29
3.16461830450417e-09,17
3.16465155802309e-09,16
3.16477149581175e-09,13
3.16478636827846e-09,14
3.16493907509805e-09,8
3.16504637196231e-09,15
3.16516380588835e-09,2
3.16517264561119e-09,1
3.16532266506124e-09,6
3.16543524922557e-09,18
3.16549818855874e-09,5
3.16591540147862e-09,3
3.16605732806949e-09,12
3.16621802779527e-09,7
3.16626585000043e-09,9
3.16670553116521e-09,11
3.16706183140069e-09,4
3.16716631360839e-09,10
3.16761413527748e-09,5
3.16769410607042e-09,8
3.16788875554245e-09,4
3.16821667712401e-09,6
3.1683642171381e-09,1
3.1687712601495e-09,11
3.16883859552343e-09,12
3.16915532629574e-09,3
3.16983280316889e-09,9
3.16983613586509e-09,10
3.17006469227368e-09,7
3.17008017699029e-09,2
3.17080956284296e-09,1
3.17208135207961e-09,2
3.17304298479562e-09,3
