Point,Corner,Vdd,d0,d1,d2,d3,d4,temperature,delay,P_avg
1,ff_0,8.80E-01,0,0,0,0,0,-55,4.14E-09,1.11E-06
1,ff_1,8.80E-01,0,0,0,0,0,0,3.90E-09,9.41E-07
1,ff_2,8.80E-01,0,0,0,0,0,80,3.55E-09,1.19E-06
1,ff_3,1.1,0,0,0,0,0,-55,3.98E-09,2.65E-06
1,ff_4,1.1,0,0,0,0,0,0,3.73E-09,2.32E-06
1,ff_5,1.1,0,0,0,0,0,80,3.37E-09,3.06E-06
1,ff_6,1.32,0,0,0,0,0,-55,3.83E-09,6.27E-06
1,ff_7,1.32,0,0,0,0,0,0,3.57E-09,5.97E-06
1,ff_8,1.32,0,0,0,0,0,80,3.20E-09,7.37E-06
1,ss_0,8.80E-01,0,0,0,0,0,-55,8.74E-09,1.71E-06
1,ss_1,8.80E-01,0,0,0,0,0,0,8.34E-09,1.16E-06
1,ss_2,8.80E-01,0,0,0,0,0,80,7.76E-09,8.32E-07
1,ss_3,1.1,0,0,0,0,0,-55,8.60E-09,2.83E-06
1,ss_4,1.1,0,0,0,0,0,0,8.19E-09,2.13E-06
1,ss_5,1.1,0,0,0,0,0,80,7.59E-09,1.12E-06
1,ss_6,1.32,0,0,0,0,0,-55,8.46E-09,4.58E-06
1,ss_7,1.32,0,0,0,0,0,0,8.04E-09,3.81E-06
1,ss_8,1.32,0,0,0,0,0,80,7.42E-09,2.21E-06
1,tt_0,8.80E-01,0,0,0,0,0,-55,6.32E-09,1.72E-06
1,tt_1,8.80E-01,0,0,0,0,0,0,6.01E-09,7.89E-07
1,tt_2,8.80E-01,0,0,0,0,0,80,5.54E-09,7.66E-07
1,tt_3,1.1,0,0,0,0,0,-55,6.16E-09,2.78E-06
1,tt_4,1.1,0,0,0,0,0,0,5.84E-09,1.55E-06
1,tt_5,1.1,0,0,0,0,0,80,5.35E-09,1.59E-06
1,tt_6,1.32,0,0,0,0,0,-55,6.00E-09,4.98E-06
1,tt_7,1.32,0,0,0,0,0,0,5.68E-09,3.74E-06
1,tt_8,1.32,0,0,0,0,0,80,5.17E-09,3.91E-06
2,ff_0,8.80E-01,0,0,0,0,1,-55,2.60E-09,4.78E-06
2,ff_1,8.80E-01,0,0,0,0,1,0,2.36E-09,4.61E-06
2,ff_2,8.80E-01,0,0,0,0,1,80,2.00E-09,4.94E-06
2,ff_3,1.1,0,0,0,0,1,-55,2.05E-09,8.37E-06
2,ff_4,1.1,0,0,0,0,1,0,1.80E-09,8.23E-06
2,ff_5,1.1,0,0,0,0,1,80,1.46E-09,9.07E-06
2,ff_6,1.32,0,0,0,0,1,-55,1.52E-09,1.46E-05
2,ff_7,1.32,0,0,0,0,1,0,1.28E-09,1.47E-05
2,ff_8,1.32,0,0,0,0,1,80,9.83E-10,1.64E-05
2,ss_0,8.80E-01,0,0,0,0,1,-55,6.25E-09,7.85E-06
2,ss_1,8.80E-01,0,0,0,0,1,0,5.85E-09,7.27E-06
2,ss_2,8.80E-01,0,0,0,0,1,80,5.26E-09,6.95E-06
2,ss_3,1.1,0,0,0,0,1,-55,5.50E-09,1.24E-05
2,ss_4,1.1,0,0,0,0,1,0,5.08E-09,1.17E-05
