Point,Corner,d0,d1,d2,d3,d4,temperature,delay,P_avg
2,ff_2,0,0,0,0,1,80,1.46E-09,9.07E-06
18,ff_2,1,0,0,0,1,80,1.58E-09,8.61E-06
10,ff_2,0,1,0,0,1,80,1.70E-09,8.18E-06
2,ff_1,0,0,0,0,1,0,1.80E-09,8.23E-06
2,sf_2,0,0,0,0,1,80,1.92E-09,9.47E-06
18,ff_1,1,0,0,0,1,0,1.93E-09,7.75E-06
6,ff_2,0,0,1,0,1,80,1.95E-09,7.36E-06
2,ff_0,0,0,0,0,1,-55,2.05E-09,8.37E-06
10,ff_1,0,1,0,0,1,0,2.06E-09,7.34E-06
22,ff_2,1,0,1,0,1,80,2.08E-09,6.92E-06
18,sf_2,1,0,0,0,1,80,2.09E-09,8.92E-06
18,ff_0,1,0,0,0,1,-55,2.18E-09,7.93E-06
14,ff_2,0,1,1,0,1,80,2.20E-09,6.51E-06
10,sf_2,0,1,0,0,1,80,2.25E-09,8.37E-06
10,ff_0,0,1,0,0,1,-55,2.31E-09,7.54E-06
6,ff_1,0,0,1,0,1,0,2.31E-09,6.52E-06
2,sf_1,0,0,0,0,1,0,2.40E-09,8.98E-06
22,ff_1,1,0,1,0,1,0,2.44E-09,6.18E-06
4,ff_2,0,0,0,1,1,80,2.46E-09,5.70E-06
6,ff_0,0,0,1,0,1,-55,2.56E-09,6.78E-06
14,ff_1,0,1,1,0,1,0,2.57E-09,5.79E-06
6,sf_2,0,0,1,0,1,80,2.57E-09,7.30E-06
18,sf_1,1,0,0,0,1,0,2.57E-09,8.45E-06
20,ff_2,1,0,0,1,1,80,2.59E-09,5.31E-06
22,ff_0,1,0,1,0,1,-55,2.69E-09,6.40E-06
12,ff_2,0,1,0,1,1,80,2.72E-09,4.95E-06
2,sf_0,0,0,0,0,1,-55,2.73E-09,9.80E-06
10,sf_1,0,1,0,0,1,0,2.74E-09,7.95E-06
22,sf_2,1,0,1,0,1,80,2.74E-09,6.75E-06
14,ff_0,0,1,1,0,1,-55,2.82E-09,5.97E-06
4,ff_1,0,0,0,1,1,0,2.82E-09,4.95E-06
2,tt_2,0,0,0,0,1,80,2.83E-09,9.23E-06
28,ff_2,1,1,0,1,1,80,2.85E-09,4.52E-06
18,sf_0,1,0,0,0,1,-55,2.90E-09,9.26E-06
14,sf_2,0,1,1,0,1,80,2.90E-09,6.23E-06
20,ff_1,1,0,0,1,1,0,2.95E-09,4.58E-06
8,ff_2,0,0,1,1,1,80,2.98E-09,4.15E-06
18,tt_2,1,0,0,0,1,80,3.00E-09,8.70E-06
10,sf_0,0,1,0,0,1,-55,3.06E-09,8.76E-06
30,sf_2,1,1,1,0,1,80,3.06E-09,5.71E-06
6,sf_1,0,0,1,0,1,0,3.07E-09,6.90E-06
4,ff_0,0,0,0,1,1,-55,3.07E-09,5.21E-06
12,ff_1,0,1,0,1,1,0,3.08E-09,4.19E-06
24,ff_2,1,0,1,1,1,80,3.10E-09,3.78E-06
10,tt_2,0,1,0,0,1,80,3.17E-09,8.22E-06
20,ff_0,1,0,0,1,1,-55,3.20E-09,4.81E-06
28,ff_1,1,1,0,1,1,0,3.21E-09,3.83E-06
22,sf_1,1,0,1,0,1,0,3.23E-09,6.40E-06
16,ff_2,0,1,1,1,1,80,3.24E-09,3.47E-06
4,sf_2,0,0,0,1,1,80,3.24E-09,5.19E-06
2,tt_1,0,0,0,0,1,0,3.32E-09,9.19E-06
12,ff_0,0,1,0,1,1,-55,3.33E-09,4.42E-06
8,ff_1,0,0,1,1,1,0,3.34E-09,3.45E-06
1,ff_2,0,0,0,0,0,80,3.37E-09,3.06E-06
6,sf_0,0,0,1,0,1,-55,3.40E-09,7.73E-06
14,sf_1,0,1,1,0,1,0,3.40E-09,5.88E-06
20,sf_2,1,0,0,1,1,80,3.40E-09,4.66E-06
28,ff_0,1,1,0,1,1,-55,3.46E-09,4.04E-06
24,ff_1,1,0,1,1,1,0,3.47E-09,3.08E-06
18,tt_1,1,0,0,0,1,0,3.49E-09,8.67E-06
6,tt_2,0,0,1,0,1,80,3.50E-09,7.16E-06
17,ff_2,1,0,0,0,0,80,3.50E-09,3.34E-06
30,sf_1,1,1,1,0,1,0,3.56E-09,5.36E-06
22,sf_0,1,0,1,0,1,-55,3.57E-09,7.23E-06
12,sf_2,0,1,0,1,1,80,3.57E-09,4.12E-06
8,ff_0,0,0,1,1,1,-55,3.59E-09,3.65E-06
16,ff_1,0,1,1,1,1,0,3.60E-09,2.68E-06
9,ff_2,0,1,0,0,0,80,3.64E-09,3.68E-06
2,fs_2,0,0,0,0,1,80,3.64E-09,9.34E-06
10,tt_1,0,1,0,0,1,0,3.66E-09,8.16E-06
2,tt_0,0,0,0,0,1,-55,3.66E-09,1.04E-05
22,tt_2,1,0,1,0,1,80,3.67E-09,6.65E-06
24,ff_0,1,0,1,1,1,-55,3.72E-09,3.28E-06
1,ff_1,0,0,0,0,0,0,3.73E-09,2.32E-06
4,sf_1,0,0,0,1,1,0,3.73E-09,4.85E-06
14,sf_0,0,1,1,0,1,-55,3.74E-09,6.71E-06
28,sf_2,1,1,0,1,1,80,3.74E-09,3.62E-06
18,fs_2,1,0,0,0,1,80,3.81E-09,8.88E-06
18,tt_0,1,0,0,0,1,-55,3.83E-09,9.88E-06
14,tt_2,0,1,1,0,1,80,3.83E-09,6.16E-06
16,ff_0,0,1,1,1,1,-55,3.85E-09,2.96E-06
17,ff_1,1,0,0,0,0,0,3.85E-09,2.64E-06
20,sf_1,1,0,0,1,1,0,3.90E-09,4.33E-06
30,sf_0,1,1,1,0,1,-55,3.90E-09,6.19E-06
8,sf_2,0,0,1,1,1,80,3.91E-09,3.12E-06
5,ff_2,0,0,1,0,0,80,3.92E-09,4.37E-06
10,fs_2,0,1,0,0,1,80,3.97E-09,8.36E-06
1,ff_0,0,0,0,0,0,-55,3.98E-09,2.65E-06
9,ff_1,0,1,0,0,0,0,3.98E-09,2.99E-06
6,tt_1,0,0,1,0,1,0,3.99E-09,7.14E-06
10,tt_0,0,1,0,0,1,-55,4.00E-09,9.36E-06
30,tt_2,1,1,1,0,1,80,4.00E-09,5.61E-06
12,sf_1,0,1,0,1,1,0,4.07E-09,3.83E-06
21,ff_2,1,0,1,0,0,80,4.07E-09,4.76E-06
24,sf_2,1,0,1,1,1,80,4.07E-09,2.62E-06
4,sf_0,0,0,0,1,1,-55,4.07E-09,5.67E-06
17,ff_0,1,0,0,0,0,-55,4.11E-09,2.85E-06
2,fs_1,0,0,0,0,1,0,4.13E-09,9.86E-06
22,tt_1,1,0,1,0,1,0,4.16E-09,6.64E-06
4,tt_2,0,0,0,1,1,80,4.17E-09,5.10E-06
13,ff_2,0,1,1,0,0,80,4.23E-09,5.14E-06
20,sf_0,1,0,0,1,1,-55,4.23E-09,5.16E-06
9,ff_0,0,1,0,0,0,-55,4.23E-09,3.21E-06
28,sf_1,1,1,0,1,1,0,4.24E-09,3.29E-06
16,sf_2,0,1,1,1,1,80,4.24E-09,2.13E-06
5,ff_1,0,0,1,0,0,0,4.24E-09,3.68E-06
