P_inst (trise=5e-10) X,P_inst (trise=5e-10) Y
0,-1.101974116228507e-06
1.3e-09,-1.10197411622854e-06
3.15e-09,-1.101974116228529e-06
5e-09,-1.101974116228577e-06
8.7e-09,-1.101974116228499e-06
1.435e-08,-1.101974116228522e-06
2e-08,-1.101974116228481e-06
2.003125e-08,-1.248719550543797e-06
2.008020518739482e-08,-1.272137825599606e-06
2.010410757860432e-08,-1.276497824778279e-06
2.013054743646385e-08,-1.277438634031609e-06
2.016428875690153e-08,-1.322817551615131e-06
2.020146235158969e-08,-1.765766682714124e-06
2.021281236585865e-08,-2.128329099813392e-06
2.023551239439659e-08,-3.207847561816162e-06
2.025146714217664e-08,-3.971319331128433e-06
2.026474210182888e-08,-4.570710362086658e-06
2.026901078753015e-08,-4.760005140391864e-06
2.02775481589327e-08,-5.404542118782521e-06
2.028519526754043e-08,-6.528703279176134e-06
2.029070095630669e-08,-7.754101959846633e-06
2.029583085680995e-08,-1.299347028244255e-05
2.029775385561675e-08,-1.800744303362902e-05
2.029959284310642e-08,-2.282801694108736e-05
2.030151590022695e-08,-2.931066249671695e-05
2.030388173909543e-08,-3.447492236441866e-05
2.030573289985422e-08,-4.377838252487699e-05
2.030673336293694e-08,-4.878047432042801e-05
2.0307439226197e-08,-5.206130898499334e-05
2.030822644869086e-08,-5.327592313327634e-05
2.030904915615203e-08,-5.326085492431582e-05
2.031012686292518e-08,-5.034256829519253e-05
2.031109819430117e-08,-4.534281136569747e-05
2.031195842948498e-08,-3.911123882608932e-05
2.031265772273882e-08,-3.300429943911689e-05
2.031341824310992e-08,-2.487480400699041e-05
2.031428713203259e-08,-1.847510077382289e-05
2.031524846280657e-08,-1.314369450875966e-05
2.031602890197826e-08,-1.111122912760088e-05
2.031691890476183e-08,-8.471497184233844e-06
2.031816305246649e-08,-7.18915594505925e-06
2.032005480994113e-08,-5.062507380819354e-06
2.032258495476274e-08,-4.798330525325902e-06
2.032576868008558e-08,-3.901325721206666e-06
2.033009008960233e-08,-4.519336214612874e-06
2.033674773679071e-08,-4.299918727016947e-06
2.034545668637694e-08,-5.572138967301574e-06
2.035770721284787e-08,-6.149433633285734e-06
2.03773530694914e-08,-8.934953759587414e-06
2.041562759143083e-08,-1.323131357425142e-05
2.044460374682292e-08,-1.707624535788617e-05
2.047230187341146e-08,-1.712210315319371e-05
2.048615093670573e-08,-1.664759702993278e-05
2.05e-08,-1.418537395216285e-05
2.050738669951587e-08,-1.284000609707803e-05
2.051702412650496e-08,-1.1183088509453e-05
2.052625937301951e-08,-9.692223377945379e-06
2.054342955851022e-08,-7.212496166053725e-06
2.055939280125418e-08,-5.440203370036386e-06
2.058856786153727e-08,-3.251329517375424e-06
2.061679915108455e-08,-2.190599784121441e-06
2.066549664508867e-08,-1.405158626750418e-06
2.0723814974297e-08,-1.18753444525394e-06
2.078552022970261e-08,-1.121018670875696e-06
2.087064651000893e-08,-1.112354067960313e-06
2.096802840583258e-08,-1.096726483508683e-06
2.107843881491171e-08,-1.107920090942397e-06
2.122921370146028e-08,-1.096229306276367e-06
2.150456082592575e-08,-1.10772404706072e-06
2.20552550748567e-08,-1.096307143930593e-06
2.31566435727186e-08,-1.107696625944647e-06
2.5e-08,-1.096320324416409e-06
2.506318678217574e-08,-2.172043992053585e-06
2.514594918381591e-08,-2.222876440448271e-06
2.5187330384636e-08,-3.836253915675771e-06
2.520802098504604e-08,-5.91233639981117e-06
2.522308035465547e-08,-6.791280504420444e-06
2.523710600364169e-08,-4.521981813753669e-06
2.525287772603555e-08,4.488851702462669e-06
2.5266055158214e-08,8.103911538247409e-06
2.527831478567208e-08,4.010098996267357e-06
2.528225514970438e-08,-5.641307024630187e-06
2.528471913437611e-08,-6.370700188981657e-06
2.528595977043534e-08,-1.156013460268459e-05
2.528664710794964e-08,-8.903782819358218e-06
2.528707843329538e-08,-1.299389931374501e-05
2.52874759748243e-08,-9.653418415639766e-06
2.528776915943661e-08,-1.36907292092809e-05
2.528800345712799e-08,-9.820668144680363e-06
2.528817372463971e-08,-1.477894845658872e-05
2.528831064821399e-08,-9.025339708435389e-06
2.528849176808758e-08,-1.584436007011826e-05
2.528862055132088e-08,-8.618272023457997e-06
2.528872088910881e-08,-1.614860215115903e-05
2.528879961413809e-08,-9.418633714651635e-06
2.528885907399976e-08,-1.461425717606124e-05
2.528891504452463e-08,-1.087310112684466e-05
2.528894985345353e-08,-1.563474046443172e-05
2.5288983282398e-08,-8.936462425604311e-06
2.528901222248753e-08,-1.501022558733586e-05
2.528903922391546e-08,-1.078557095851405e-05
2.528906465966886e-08,-1.634539468015604e-05
2.528908886182121e-08,-9.758867286818968e-06
2.528911027313453e-08,-1.449068945236983e-05
2.528913407492991e-08,-9.422220765064723e-06
2.528915933702207e-08,-1.610508728027552e-05
2.528918959040461e-08,-1.093669155908392e-05
2.528921336433945e-08,-1.518199032828248e-05
2.528923612198235e-08,-9.09728771825445e-06
2.52892604915241e-08,-1.493096529437126e-05
2.528928645433207e-08,-1.085193778297686e-05
2.528931603887541e-08,-1.641683182862341e-05
2.528933991441818e-08,-9.830609016715138e-06
2.528936190102277e-08,-1.461299906547123e-05
2.528938594715765e-08,-9.659132517987665e-06
2.528941213652622e-08,-1.637326569592814e-05
2.528944075003559e-08,-1.107055270950982e-05
2.528946467787448e-08,-1.527721960379333e-05
2.528948629293837e-08,-9.2357984883629e-06
2.52895100672979e-08,-1.507466557450722e-05
2.52895358760476e-08,-1.096638258197861e-05
2.528956471648929e-08,-1.651242716989376e-05
2.528958854413236e-08,-9.935015424222645e-06
2.528961034902273e-08,-1.467841425233613e-05
2.528963428910051e-08,-9.713537086936942e-06
2.528966010071132e-08,-1.642794649943829e-05
2.528968903682717e-08,-1.120129464191558e-05
2.528971273303941e-08,-1.546194053613574e-05
2.52897347529859e-08,-9.394530322826784e-06
