P_avg_tt_mc X,
8.9494823573789e-06,4
8.961002984866339e-06,3
8.962570835076511e-06,2
8.968812119509611e-06,5
8.96990590496279e-06,6
8.970425779527709e-06,1
8.97498890199311e-06,2
8.975729745141999e-06,10
8.97724390677183e-06,7
8.97777379032947e-06,15
8.97799393806917e-06,6
8.97932973012137e-06,22
8.97959999053103e-06,13
8.98216328469214e-06,18
8.983184707812579e-06,19
8.985507949949249e-06,1
8.98580085975837e-06,20
8.98611118760678e-06,12
8.98727653081803e-06,3
8.98807646412971e-06,21
8.98831198214878e-06,4
8.991225619491059e-06,17
8.992029550197339e-06,16
8.994006722081941e-06,11
8.994035632988421e-06,8
8.99533053926996e-06,23
8.995388244125271e-06,5
8.99668118373241e-06,14
8.99670288924221e-06,9
8.997868538154621e-06,12
8.99874281357507e-06,1
8.99946844218275e-06,8
9.000436151750839e-06,13
9.000488634963711e-06,24
9.00115031923678e-06,10
9.00197932240451e-06,25
9.00699990929989e-06,27
9.008439385494261e-06,17
9.01006292534075e-06,7
9.010098962114509e-06,26
9.011086168772989e-06,23
9.01208900806171e-06,14
9.012464842186561e-06,2
9.013079555975311e-06,15
9.0131798641204e-06,6
9.01331296716009e-06,18
9.014079365549271e-06,22
9.014315432461271e-06,20
9.014664441683381e-06,5
9.01553234825642e-06,11
9.01576192191864e-06,9
9.016074195318541e-06,28
9.016676013910399e-06,4
9.017275225360691e-06,3
9.01877575094724e-06,21
9.01981902332058e-06,19
9.019932569863341e-06,16
9.020716908820171e-06,26
9.0210676867889e-06,19
9.02196507842435e-06,20
9.02289266738674e-06,8
9.02301701358324e-06,44
9.02417656846712e-06,10
9.024716994871559e-06,1
9.025010159372159e-06,15
9.025979519445041e-06,39
9.02614134689476e-06,45
9.02634333069928e-06,35
9.02642147978617e-06,12
9.026465194083441e-06,31
9.026562921876079e-06,13
9.02685365861801e-06,51
9.02729994158717e-06,24
9.02781630963578e-06,18
9.028182723171819e-06,47
9.028444333194261e-06,42
9.029084068225589e-06,46
9.029762238069869e-06,32
9.02999186988024e-06,27
9.03002882308254e-06,14
9.030133948869971e-06,11
9.030513244830991e-06,4
9.0312688716948e-06,21
9.031333893854099e-06,16
9.031646219951061e-06,40
9.03170725604245e-06,36
9.031715602056429e-06,52
9.03180330560022e-06,30
9.03182174445221e-06,49
9.035070092381451e-06,22
9.03556545597547e-06,23
9.03567815574763e-06,33
9.035942624634931e-06,25
9.036022606472751e-06,34
9.036476435769879e-06,50
9.0367931878346e-06,9
9.03737919552894e-06,7
9.037384855818849e-06,38
9.03816961497442e-06,48
9.03851107921724e-06,37
9.03946076000804e-06,2
9.04021838579557e-06,41
9.040980853620299e-06,3
9.04113980302644e-06,6
9.041277843527079e-06,5
9.041984070658079e-06,29
9.042174138162411e-06,28
9.042203624596199e-06,17
9.04268745466473e-06,43
9.04456049137917e-06,40
9.04521159067892e-06,14
9.045502629134e-06,1
9.0460633661938e-06,23
9.047427134077211e-06,8
9.048802309220869e-06,33
9.04907512817779e-06,24
9.04976175003937e-06,20
9.04982403912761e-06,18
9.049961848218659e-06,19
9.0500626003296e-06,2
9.05123190085323e-06,29
9.051773816339429e-06,45
9.05244168668275e-06,21
9.05255405883093e-06,10
9.053613190346391e-06,17
9.05452413219617e-06,3
9.054602481986071e-06,38
9.05472635527904e-06,27
9.05495914744654e-06,32
9.05554308436008e-06,4
9.05641121790412e-06,28
9.05791246404632e-06,9
9.057926950119719e-06,34
9.057928113786771e-06,36
9.058233131922809e-06,7
9.05860349833777e-06,31
9.05906942101469e-06,35
9.05910475161411e-06,15
9.060365917312419e-06,39
9.060374017978319e-06,16
9.060503069733071e-06,6
9.06127089247411e-06,42
9.06134649315924e-06,11
9.06157032482615e-06,41
9.06292887318704e-06,37
9.063323878838019e-06,26
9.06413260635878e-06,25
9.06419353318136e-06,22
9.06533057445805e-06,30
9.06539692208602e-06,44
9.06540929258964e-06,13
9.06652939279718e-06,5
9.066921223086669e-06,43
9.06705541811349e-06,12
9.06894912580714e-06,23
9.069069440113481e-06,31
9.07064375298633e-06,11
9.07121018550814e-06,8
9.072756129060151e-06,25
9.073671578582639e-06,21
9.073859494700349e-06,17
9.07393263029132e-06,27
9.07422810712167e-06,1
9.075014039515941e-06,18
9.07525764462044e-06,20
9.07549661307175e-06,5
9.075893582970721e-06,4
9.076400170426831e-06,32
9.07661497346087e-06,16
9.07851010553697e-06,14
9.07911634405926e-06,30
9.07925770455691e-06,22
9.07984237739831e-06,7
9.08017441276603e-06,19
9.080531499899261e-06,13
9.08099594142948e-06,6
9.08150840331676e-06,12
9.08254154510919e-06,24
9.08259609993825e-06,3
9.083001011522371e-06,26
9.083230130351289e-06,29
9.08752234508852e-06,10
9.089189676255139e-06,15
9.089566322685591e-06,2
9.08996506686494e-06,9
9.09091642171581e-06,28
9.09411318946794e-06,5
9.100954579561011e-06,6
9.10123824251841e-06,1
9.101430801129429e-06,8
9.105043805907251e-06,7
9.105911491087791e-06,9
9.107725038656791e-06,4
9.11109764352742e-06,3
9.11276011462815e-06,2
9.125130303215241e-06,1
9.12559488251347e-06,2
9.140849105334279e-06,1
9.15682779576081e-06,2
9.18660621914695e-06,1
