"/out_DTC (d0=0,d1=0,d2=0,d3=0) X","/out_DTC (d0=0,d1=0,d2=0,d3=0) Y","/out_DTC (d0=0,d1=0,d2=0,d3=1) X","/out_DTC (d0=0,d1=0,d2=0,d3=1) Y","/out_DTC (d0=0,d1=0,d2=1,d3=0) X","/out_DTC (d0=0,d1=0,d2=1,d3=0) Y","/out_DTC (d0=0,d1=0,d2=1,d3=1) X","/out_DTC (d0=0,d1=0,d2=1,d3=1) Y","/out_DTC (d0=0,d1=1,d2=0,d3=0) X","/out_DTC (d0=0,d1=1,d2=0,d3=0) Y","/out_DTC (d0=0,d1=1,d2=0,d3=1) X","/out_DTC (d0=0,d1=1,d2=0,d3=1) Y","/out_DTC (d0=0,d1=1,d2=1,d3=0) X","/out_DTC (d0=0,d1=1,d2=1,d3=0) Y","/out_DTC (d0=0,d1=1,d2=1,d3=1) X","/out_DTC (d0=0,d1=1,d2=1,d3=1) Y","/out_DTC (d0=1,d1=0,d2=0,d3=0) X","/out_DTC (d0=1,d1=0,d2=0,d3=0) Y","/out_DTC (d0=1,d1=0,d2=1,d3=0) X","/out_DTC (d0=1,d1=0,d2=1,d3=0) Y","/out_DTC (d0=1,d1=0,d2=0,d3=1) X","/out_DTC (d0=1,d1=0,d2=0,d3=1) Y","/out_DTC (d0=1,d1=0,d2=1,d3=1) X","/out_DTC (d0=1,d1=0,d2=1,d3=1) Y","/out_DTC (d0=1,d1=1,d2=0,d3=0) X","/out_DTC (d0=1,d1=1,d2=0,d3=0) Y","/out_DTC (d0=1,d1=1,d2=0,d3=1) X","/out_DTC (d0=1,d1=1,d2=0,d3=1) Y","/out_DTC (d0=1,d1=1,d2=1,d3=0) X","/out_DTC (d0=1,d1=1,d2=1,d3=0) Y","/out_DTC (d0=1,d1=1,d2=1,d3=1) X","/out_DTC (d0=1,d1=1,d2=1,d3=1) Y","/EN_not (d0=0,d1=0,d2=0,d3=0) X","/EN_not (d0=0,d1=0,d2=0,d3=0) Y","/I0/V_cap (d0=0,d1=0,d2=0,d3=0) X","/I0/V_cap (d0=0,d1=0,d2=0,d3=0) Y","/I0/V_cap (d0=0,d1=0,d2=0,d3=1) X","/I0/V_cap (d0=0,d1=0,d2=0,d3=1) Y","/I0/V_cap (d0=0,d1=0,d2=1,d3=0) X","/I0/V_cap (d0=0,d1=0,d2=1,d3=0) Y","/I0/V_cap (d0=0,d1=0,d2=1,d3=1) X","/I0/V_cap (d0=0,d1=0,d2=1,d3=1) Y","/I0/V_cap (d0=0,d1=1,d2=0,d3=0) X","/I0/V_cap (d0=0,d1=1,d2=0,d3=0) Y","/I0/V_cap (d0=0,d1=1,d2=0,d3=1) X","/I0/V_cap (d0=0,d1=1,d2=0,d3=1) Y","/I0/V_cap (d0=0,d1=1,d2=1,d3=0) X","/I0/V_cap (d0=0,d1=1,d2=1,d3=0) Y","/I0/V_cap (d0=0,d1=1,d2=1,d3=1) X","/I0/V_cap (d0=0,d1=1,d2=1,d3=1) Y","/I0/V_cap (d0=1,d1=0,d2=0,d3=0) X","/I0/V_cap (d0=1,d1=0,d2=0,d3=0) Y","/I0/V_cap (d0=1,d1=0,d2=0,d3=1) X","/I0/V_cap (d0=1,d1=0,d2=0,d3=1) Y","/I0/V_cap (d0=1,d1=0,d2=1,d3=0) X","/I0/V_cap (d0=1,d1=0,d2=1,d3=0) Y","/I0/V_cap (d0=1,d1=0,d2=1,d3=1) X","/I0/V_cap (d0=1,d1=0,d2=1,d3=1) Y","/I0/V_cap (d0=1,d1=1,d2=0,d3=0) X","/I0/V_cap (d0=1,d1=1,d2=0,d3=0) Y","/I0/V_cap (d0=1,d1=1,d2=0,d3=1) X","/I0/V_cap (d0=1,d1=1,d2=0,d3=1) Y","/I0/V_cap (d0=1,d1=1,d2=1,d3=0) X","/I0/V_cap (d0=1,d1=1,d2=1,d3=0) Y","/I0/V_cap (d0=1,d1=1,d2=1,d3=1) X","/I0/V_cap (d0=1,d1=1,d2=1,d3=1) Y","/I0/V_ramp (d0=0,d1=0,d2=0,d3=0) X","/I0/V_ramp (d0=0,d1=0,d2=0,d3=0) Y","/I0/V_ramp (d0=0,d1=0,d2=0,d3=1) X","/I0/V_ramp (d0=0,d1=0,d2=0,d3=1) Y","/I0/V_ramp (d0=0,d1=0,d2=1,d3=0) X","/I0/V_ramp (d0=0,d1=0,d2=1,d3=0) Y","/I0/V_ramp (d0=0,d1=0,d2=1,d3=1) X","/I0/V_ramp (d0=0,d1=0,d2=1,d3=1) Y","/I0/V_ramp (d0=0,d1=1,d2=0,d3=0) X","/I0/V_ramp (d0=0,d1=1,d2=0,d3=0) Y","/I0/V_ramp (d0=0,d1=1,d2=0,d3=1) X","/I0/V_ramp (d0=0,d1=1,d2=0,d3=1) Y","/I0/V_ramp (d0=0,d1=1,d2=1,d3=0) X","/I0/V_ramp (d0=0,d1=1,d2=1,d3=0) Y","/I0/V_ramp (d0=0,d1=1,d2=1,d3=1) X","/I0/V_ramp (d0=0,d1=1,d2=1,d3=1) Y","/I0/V_ramp (d0=1,d1=0,d2=0,d3=0) X","/I0/V_ramp (d0=1,d1=0,d2=0,d3=0) Y","/I0/V_ramp (d0=1,d1=0,d2=0,d3=1) X","/I0/V_ramp (d0=1,d1=0,d2=0,d3=1) Y","/I0/V_ramp (d0=1,d1=0,d2=1,d3=0) X","/I0/V_ramp (d0=1,d1=0,d2=1,d3=0) Y","/I0/V_ramp (d0=1,d1=0,d2=1,d3=1) X","/I0/V_ramp (d0=1,d1=0,d2=1,d3=1) Y","/I0/V_ramp (d0=1,d1=1,d2=0,d3=0) X","/I0/V_ramp (d0=1,d1=1,d2=0,d3=0) Y","/I0/V_ramp (d0=1,d1=1,d2=0,d3=1) X","/I0/V_ramp (d0=1,d1=1,d2=0,d3=1) Y","/I0/V_ramp (d0=1,d1=1,d2=1,d3=0) X","/I0/V_ramp (d0=1,d1=1,d2=1,d3=0) Y","/I0/V_ramp (d0=1,d1=1,d2=1,d3=1) X","/I0/V_ramp (d0=1,d1=1,d2=1,d3=1) Y","/in_DTC (d0=0,d1=0,d2=0,d3=0) X","/in_DTC (d0=0,d1=0,d2=0,d3=0) Y"
0,9.04924466456363e-08,0,9.049244664563598e-08,0,9.049244664563598e-08,0,9.049244664563598e-08,0,9.049244664563598e-08,0,9.049244664563598e-08,0,9.049244664563598e-08,0,9.049244664563598e-08,0,9.049244664563651e-08,0,9.049244664563651e-08,0,9.049244664563651e-08,0,9.049244664563651e-08,0,9.049244664563651e-08,0,9.049244664563651e-08,0,9.049244664563651e-08,0,9.049244665214151e-08,0,1.1,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821599554212,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,1.087821590313105,0,0
6.214706714355435e-12,5.331266516648029e-05,6.214706714355435e-12,5.331266526929657e-05,6.214706714355435e-12,5.331266521786807e-05,6.214706714355435e-12,5.3312665320623e-05,6.214706714355435e-12,5.331266519215903e-05,6.214706714355435e-12,5.331266529494465e-05,6.214706714355435e-12,5.331266524352644e-05,6.214706714355435e-12,5.331266534634562e-05,6.214706714355435e-12,5.331266517931599e-05,6.214706714355435e-12,5.331266523066199e-05,6.214706714355435e-12,5.33126652821127e-05,6.214706714355435e-12,5.331266533351091e-05,6.214706714355435e-12,5.331266520500713e-05,6.214706714355435e-12,5.331266530779453e-05,6.214706714355435e-12,5.331266525637091e-05,6.214706714355435e-12,5.331266535922137e-05,6.214706714355435e-12,1.1,6.214706714355435e-12,1.087949721096322,6.214706714355435e-12,1.087949721200922,6.214706714355435e-12,1.087949721148622,6.214706714355435e-12,1.087949721253222,6.214706714355435e-12,1.087949721122472,6.214706714355435e-12,1.087949721227072,6.214706714355435e-12,1.087949721174772,6.214706714355435e-12,1.087949721279372,6.214706714355435e-12,1.087949721109397,6.214706714355435e-12,1.087949721213997,6.214706714355435e-12,1.087949721161697,6.214706714355435e-12,1.087949721266297,6.214706714355435e-12,1.087949721135547,6.214706714355435e-12,1.087949721240147,6.214706714355435e-12,1.087949721187847,6.214706714355435e-12,1.087949721292447,6.214706714355435e-12,1.089290180791504,6.214706714355435e-12,1.089290180836616,6.214706714355435e-12,1.08929018081406,6.214706714355435e-12,1.089290180859172,6.214706714355435e-12,1.089290180802782,6.214706714355435e-12,1.089290180847894,6.214706714355435e-12,1.089290180825338,6.214706714355435e-12,1.08929018087045,6.214706714355435e-12,1.089290180797143,6.214706714355435e-12,1.089290180842255,6.214706714355435e-12,1.089290180819699,6.214706714355435e-12,1.089290180864811,6.214706714355435e-12,1.089290180808421,6.214706714355435e-12,1.089290180853533,6.214706714355435e-12,1.089290180830977,6.214706714355435e-12,1.089290180876089,6.214706714355435e-12,0.06836177385790979
1.035075462233236e-11,4.697260861524719e-05,1.035075462233236e-11,4.697260878752432e-05,1.035075462233236e-11,4.697260870135109e-05,1.035075462233236e-11,4.697260887360257e-05,1.035075462233236e-11,4.697260865831634e-05,1.035075462233236e-11,4.697260883052501e-05,1.035075462233236e-11,4.697260874442277e-05,1.035075462233236e-11,4.697260891660371e-05,1.035075462233236e-11,4.697260863681482e-05,1.035075462233236e-11,4.697260872283148e-05,1.035075462233236e-11,4.697260880901538e-05,1.035075462233236e-11,4.697260889517612e-05,1.035075462233236e-11,4.697260867983969e-05,1.035075462233236e-11,4.697260885206524e-05,1.035075462233236e-11,4.697260876594603e-05,1.035075462233236e-11,4.697260893822079e-05,1.035075462233236e-11,1.1,1.035075462233236e-11,1.088041577699646,1.035075462233236e-11,1.088041577878941,1.035075462233236e-11,1.088041577789294,1.035075462233236e-11,1.088041577968588,1.035075462233236e-11,1.08804157774447,1.035075462233236e-11,1.088041577923765,1.035075462233236e-11,1.088041577834117,1.035075462233236e-11,1.088041578013413,1.035075462233236e-11,1.088041577722058,1.035075462233236e-11,1.088041577901353,1.035075462233236e-11,1.088041577811706,1.035075462233236e-11,1.088041577991,1.035075462233236e-11,1.088041577766882,1.035075462233236e-11,1.088041577946177,1.035075462233236e-11,1.088041577856529,1.035075462233236e-11,1.088041578035824,1.035075462233236e-11,1.089997307199323,1.035075462233236e-11,1.089997307285897,1.035075462233236e-11,1.08999730724261,1.035075462233236e-11,1.089997307329184,1.035075462233236e-11,1.089997307220966,1.035075462233236e-11,1.089997307307541,1.035075462233236e-11,1.089997307264253,1.035075462233236e-11,1.089997307350828,1.035075462233236e-11,1.089997307210145,1.035075462233236e-11,1.089997307296719,1.035075462233236e-11,1.089997307253431,1.035075462233236e-11,1.089997307340006,1.035075462233236e-11,1.089997307231788,1.035075462233236e-11,1.089997307318362,1.035075462233236e-11,1.089997307275075,1.035075462233236e-11,1.08999730736165,1.035075462233236e-11,0.1138583008456559
1.86228504382862e-11,2.857080416368273e-05,1.862285043828621e-11,2.857080444485248e-05,1.86228504382862e-11,2.857080430429811e-05,1.862285043828621e-11,2.857080458540854e-05,1.86228504382862e-11,2.857080423401526e-05,1.862285043828621e-11,2.857080451510209e-05,1.862285043828621e-11,2.857080437459454e-05,1.862285043828622e-11,2.857080465560412e-05,1.86228504382862e-11,2.857080419887926e-05,1.86228504382862e-11,2.857080433940421e-05,1.862285043828621e-11,2.857080447998074e-05,1.862285043828622e-11,2.857080462054302e-05,1.86228504382862e-11,2.857080426916648e-05,1.862285043828621e-11,2.857080455021763e-05,1.862285043828621e-11,2.857080440965604e-05,1.862285043828622e-11,2.857080469077721e-05,1.86228504382862e-11,1.1,1.86228504382862e-11,1.088229732055109,1.862285043828621e-11,1.088229732387111,1.86228504382862e-11,1.08822973222111,1.862285043828621e-11,1.088229732553112,1.86228504382862e-11,1.088229732138109,1.862285043828621e-11,1.088229732470111,1.862285043828621e-11,1.08822973230411,1.862285043828622e-11,1.088229732636112,1.86228504382862e-11,1.088229732096609,1.862285043828621e-11,1.088229732428611,1.86228504382862e-11,1.08822973226261,1.862285043828622e-11,1.088229732594612,1.86228504382862e-11,1.088229732179609,1.862285043828621e-11,1.088229732511611,1.862285043828621e-11,1.08822973234561,1.862285043828622e-11,1.088229732677612,1.86228504382862e-11,1.09110241806963,1.862285043828621e-11,1.091102418251156,1.86228504382862e-11,1.091102418160393,1.862285043828621e-11,1.091102418341919,1.86228504382862e-11,1.091102418115011,1.862285043828621e-11,1.091102418296538,1.862285043828621e-11,1.091102418205774,1.862285043828622e-11,1.091102418387301,1.86228504382862e-11,1.091102418092321,1.862285043828621e-11,1.091102418273847,1.86228504382862e-11,1.091102418183084,1.862285043828622e-11,1.09110241836461,1.86228504382862e-11,1.091102418137702,1.862285043828621e-11,1.091102418319229,1.862285043828621e-11,1.091102418228465,1.862285043828622e-11,1.091102418409992,1.86228504382862e-11,0.2048513548211482
3.069495044743962e-11,1.981608120626945e-05,3.069495044743625e-11,1.98160815265605e-05,3.069495044743593e-11,1.981608136645412e-05,3.069495044743409e-11,1.981608168676294e-05,3.069495044743591e-11,1.981608128632831e-05,3.069495044743533e-11,1.981608160667423e-05,3.069495044743872e-11,1.98160814464927e-05,3.069495044743411e-11,1.981608176682313e-05,3.069495044743777e-11,1.981608124629241e-05,3.069495044743686e-11,1.981608140643403e-05,3.069495044743687e-11,1.981608156665351e-05,3.069495044743721e-11,1.981608172680581e-05,3.069495044743653e-11,1.98160813263893e-05,3.069495044743347e-11,1.981608164675906e-05,3.069495044743687e-11,1.981608148660498e-05,3.069495044743473e-11,1.981608180688848e-05,3.069495044743962e-11,1.1,3.069495044743962e-11,1.088499307882135,3.069495044743625e-11,1.08849930843259,3.069495044743593e-11,1.088499308157363,3.069495044743409e-11,1.088499308707818,3.069495044743591e-11,1.088499308019748,3.069495044743533e-11,1.088499308570205,3.069495044743872e-11,1.088499308294976,3.069495044743411e-11,1.088499308845433,3.069495044743777e-11,1.088499307950942,3.069495044743687e-11,1.088499308501398,3.069495044743686e-11,1.08849930822617,3.069495044743721e-11,1.088499308776626,3.069495044743653e-11,1.088499308088556,3.069495044743347e-11,1.088499308639012,3.069495044743687e-11,1.088499308363784,3.069495044743473e-11,1.088499308914239,3.069495044743962e-11,1.092169601862066,3.069495044743625e-11,1.092169602193467,3.069495044743593e-11,1.092169602027767,3.069495044743409e-11,1.092169602359167,3.069495044743591e-11,1.092169601944916,3.069495044743533e-11,1.092169602276317,3.069495044743872e-11,1.092169602110617,3.069495044743411e-11,1.092169602442018,3.069495044743777e-11,1.092169601903491,3.069495044743687e-11,1.092169602234892,3.069495044743686e-11,1.092169602069191,3.069495044743721e-11,1.092169602400593,3.069495044743653e-11,1.092169601986341,3.069495044743347e-11,1.092169602317742,3.069495044743687e-11,1.092169602152042,3.069495044743473e-11,1.092169602483443,3.069495044743962e-11,0.3376444549218359
4.009112212976049e-11,-5.564789460092666e-05,4.009112212975683e-11,-5.564789433903394e-05,4.009112212975604e-11,-5.564789446994046e-05,4.009112212975424e-11,-5.564789420815811e-05,4.009112212975605e-11,-5.564789453537128e-05,4.009112212975569e-11,-5.564789427359345e-05,4.009112212975971e-11,-5.564789440455485e-05,4.009112212975394e-11,-5.564789414268459e-05,4.009112212975822e-11,-5.564789456817809e-05,4.009112212975708e-11,-5.564789443722964e-05,4.009112212975755e-11,-5.564789430637862e-05,4.009112212975755e-11,-5.564789417548224e-05,4.009112212975678e-11,-5.564789450266965e-05,4.009112212975353e-11,-5.564789424082158e-05,4.009112212975754e-11,-5.564789437178582e-05,4.009112212975465e-11,-5.564789410998962e-05,4.009112212976049e-11,1.1,4.009112212976049e-11,1.088684579286753,4.009112212975683e-11,1.088684579987766,4.009112212975604e-11,1.088684579637261,4.009112212975424e-11,1.088684580338273,4.009112212975605e-11,1.088684579462006,4.009112212975569e-11,1.08868458016302,4.009112212975971e-11,1.088684579812513,4.009112212975394e-11,1.088684580513527,4.009112212975822e-11,1.088684579374381,4.009112212975755e-11,1.088684580075394,4.009112212975708e-11,1.088684579724887,4.009112212975755e-11,1.088684580425901,4.009112212975678e-11,1.088684579549633,4.009112212975353e-11,1.088684580250647,4.009112212975754e-11,1.08868457990014,4.009112212975465e-11,1.088684580601153,4.009112212976049e-11,1.092942971048241,4.009112212975683e-11,1.092942971474681,4.009112212975604e-11,1.092942971261461,4.009112212975424e-11,1.092942971687902,4.009112212975605e-11,1.09294297115485,4.009112212975569e-11,1.092942971581291,4.009112212975971e-11,1.092942971368071,4.009112212975394e-11,1.092942971794512,4.009112212975822e-11,1.092942971101546,4.009112212975755e-11,1.092942971527987,4.009112212975708e-11,1.092942971314766,4.009112212975755e-11,1.092942971741207,4.009112212975678e-11,1.092942971208156,4.009112212975353e-11,1.092942971634597,4.009112212975754e-11,1.092942971421376,4.009112212975465e-11,1.092942971847817,4.009112212976049e-11,0.4410023434273654
4.504556106488025e-11,-0.0002478951412555298,4.504556106487842e-11,-0.0002478951410433708,4.504556106487802e-11,-0.0002478951411493788,4.504556106487712e-11,-0.0002478951409373017,4.504556106487803e-11,-0.0002478951412023989,4.504556106487785e-11,-0.0002478951409903539,4.504556106487986e-11,-0.0002478951410964475,4.504556106487697e-11,-0.0002478951408842868,4.504556106487912e-11,-0.0002478951412289024,4.504556106487855e-11,-0.0002478951411228918,4.504556106487878e-11,-0.0002478951410169294,4.504556106487878e-11,-0.0002478951409108708,4.504556106487839e-11,-0.0002478951411759137,4.504556106487676e-11,-0.0002478951409637775,4.504556106487877e-11,-0.0002478951410698643,4.504556106487733e-11,-0.0002478951408578452,4.504556106488025e-11,1.1,4.504556106488025e-11,1.088768621794423,4.504556106487842e-11,1.088768622564067,4.504556106487802e-11,1.088768622179246,4.504556106487712e-11,1.08876862294889,4.504556106487803e-11,1.088768621986834,4.504556106487785e-11,1.088768622756479,4.504556106487986e-11,1.088768622371656,4.504556106487697e-11,1.088768623141302,4.504556106487912e-11,1.088768621890629,4.504556106487878e-11,1.088768622660273,4.504556106487855e-11,1.088768622275451,4.504556106487878e-11,1.088768623045096,4.504556106487839e-11,1.088768622083039,4.504556106487676e-11,1.088768622852684,4.504556106487877e-11,1.088768622467862,4.504556106487733e-11,1.088768623237506,4.504556106488025e-11,1.093352103701683,4.504556106487842e-11,1.093352104163578,4.504556106487802e-11,1.093352103932631,4.504556106487712e-11,1.093352104394525,4.504556106487803e-11,1.093352103817157,4.504556106487785e-11,1.093352104279051,4.504556106487986e-11,1.093352104048104,4.504556106487697e-11,1.093352104509999,4.504556106487912e-11,1.09335210375942,4.504556106487878e-11,1.093352104221315,4.504556106487855e-11,1.093352103990367,4.504556106487878e-11,1.093352104452262,4.504556106487839e-11,1.093352103874894,4.504556106487676e-11,1.093352104336788,4.504556106487877e-11,1.093352104105841,4.504556106487733e-11,1.093352104567735,4.504556106488025e-11,0.4955011717136827
5e-11,-0.0007604582399559196,5e-11,-0.0007604582397965864,5e-11,-0.0007604582398762531,5e-11,-0.0007604582397168974,5e-11,-0.0007604582399161478,5e-11,-0.0007604582397567406,5e-11,-0.0007604582398363691,5e-11,-0.0007604582396770476,5e-11,-0.0007604582399359855,5e-11,-0.0007604582398563285,5e-11,-0.0007604582397766672,5e-11,-0.0007604582396969788,5e-11,-0.0007604582398962104,5e-11,-0.0007604582397367782,5e-11,-0.0007604582398164761,5e-11,-0.0007604582396571611,5e-11,1.1,5e-11,1.088841442183714,5e-11,1.088841443013117,5e-11,1.088841442598417,5e-11,1.088841443427818,5e-11,1.088841442391065,5e-11,1.088841443220468,5e-11,1.088841442805766,5e-11,1.08884144363517,5e-11,1.088841442287391,5e-11,1.088841443116793,5e-11,1.088841442702091,5e-11,1.088841443531494,5e-11,1.08884144249474,5e-11,1.088841443324143,5e-11,1.088841442909442,5e-11,1.088841443738844,5e-11,1.093717563197818,5e-11,1.093717563683834,5e-11,1.093717563440826,5e-11,1.093717563926843,5e-11,1.093717563319322,5e-11,1.093717563805338,5e-11,1.09371756356233,5e-11,1.093717564048347,5e-11,1.09371756325857,5e-11,1.093717563744587,5e-11,1.093717563501578,5e-11,1.093717563987595,5e-11,1.093717563380074,5e-11,1.093717563866091,5e-11,1.093717563623082,5e-11,1.093717564109099,5e-11,0.55
5.122441389011962e-11,-0.0009904233630580379,5.122441389011968e-11,-0.0009904233629109466,5.12244138901197e-11,-0.000990423362984509,5.122441389011973e-11,-0.0009904233628375146,5.122441389011969e-11,-0.0009904233630214213,5.12244138901197e-11,-0.0009904233628742359,5.122441389011964e-11,-0.000990423362947755,5.122441389011973e-11,-0.0009904233628007027,5.122441389011965e-11,-0.0009904233630396938,5.122441389011967e-11,-0.0009904233629661066,5.122441389011967e-11,-0.0009904233628925888,5.122441389011967e-11,-0.000990423362819047,5.122441389011968e-11,-0.0009904233630029765,5.122441389011974e-11,-0.0009904233628558001,5.122441389011967e-11,-0.0009904233629293702,5.122441389011972e-11,-0.0009904233627823329,5.122441389011962e-11,1.1,5.122441389011962e-11,1.088857481362984,5.122441389011968e-11,1.088857482205604,5.12244138901197e-11,1.088857481784296,5.122441389011973e-11,1.088857482626915,5.122441389011969e-11,1.088857481573639,5.12244138901197e-11,1.08885748241626,5.122441389011964e-11,1.08885748199495,5.122441389011973e-11,1.088857482837571,5.122441389011965e-11,1.088857481468313,5.122441389011967e-11,1.088857482310932,5.122441389011967e-11,1.088857481889622,5.122441389011967e-11,1.088857482732243,5.122441389011968e-11,1.088857481678967,5.122441389011974e-11,1.088857482521588,5.122441389011967e-11,1.088857482100278,5.122441389011972e-11,1.088857482942898,5.122441389011962e-11,1.093801297317839,5.122441389011968e-11,1.09380129780787,5.12244138901197e-11,1.093801297562855,5.122441389011973e-11,1.093801298052886,5.122441389011969e-11,1.093801297440347,5.12244138901197e-11,1.093801297930377,5.122441389011964e-11,1.093801297685362,5.122441389011973e-11,1.093801298175394,5.122441389011965e-11,1.093801297379093,5.122441389011967e-11,1.093801297869124,5.122441389011967e-11,1.093801297624108,5.122441389011967e-11,1.09380129811414,5.122441389011968e-11,1.0938012975016,5.122441389011974e-11,1.093801297991632,5.122441389011967e-11,1.093801297746616,5.122441389011972e-11,1.093801298236647,5.122441389011962e-11,0.5634685527913159
5.367324167035886e-11,-0.001585703609127559,5.367324167035904e-11,-0.001585703609003646,5.36732416703591e-11,-0.00158570360906558,5.367324167035917e-11,-0.00158570360894177,5.367324167035908e-11,-0.001585703609096749,5.36732416703591e-11,-0.001585703608972701,5.36732416703589e-11,-0.001585703609034701,5.367324167035919e-11,-0.001585703608910691,5.367324167035896e-11,-0.001585703609112158,5.3673241670359e-11,-0.001585703609050155,5.3673241670359e-11,-0.001585703608988141,5.3673241670359e-11,-0.001585703608926115,5.367324167035904e-11,-0.001585703609081151,5.367324167035921e-11,-0.001585703608957173,5.3673241670359e-11,-0.001585703609019133,5.367324167035915e-11,-0.001585703608895297,5.367324167035886e-11,1.1,5.367324167035886e-11,1.088887875564188,5.367324167035904e-11,1.088887876431891,5.36732416703591e-11,1.088887875998041,5.367324167035917e-11,1.088887876865743,5.367324167035908e-11,1.088887875781113,5.36732416703591e-11,1.088887876648817,5.36732416703589e-11,1.088887876214965,5.367324167035919e-11,1.088887877082669,5.367324167035896e-11,1.088887875672652,5.3673241670359e-11,1.088887876540354,5.3673241670359e-11,1.088887876106502,5.3673241670359e-11,1.088887876974207,5.367324167035904e-11,1.088887875889577,5.367324167035921e-11,1.08888787675728,5.3673241670359e-11,1.088887876323428,5.367324167035915e-11,1.088887877191132,5.367324167035886e-11,1.09394992203607,5.367324167035904e-11,1.093949922533082,5.36732416703591e-11,1.093949922284577,5.367324167035917e-11,1.093949922781588,5.367324167035908e-11,1.093949922160323,5.36732416703591e-11,1.093949922657335,5.36732416703589e-11,1.093949922408829,5.367324167035919e-11,1.093949922905841,5.367324167035896e-11,1.093949922098197,5.3673241670359e-11,1.093949922595209,5.3673241670359e-11,1.093949922346702,5.3673241670359e-11,1.093949922843715,5.367324167035904e-11,1.09394992222245,5.367324167035921e-11,1.093949922719462,5.3673241670359e-11,1.093949922470955,5.367324167035915e-11,1.093949922967967,5.367324167035886e-11,0.5904056583739474
