"sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) X","sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) Y"
8.40E-07,1.045419066971E-09
8.60E-07,1.046295021979E-09
8.80E-07,1.047174870080E-09
9.00E-07,1.048112101262E-09
9.20E-07,1.049114871516E-09
9.40E-07,1.050004774148E-09
9.60E-07,1.050885222803E-09
9.80E-07,1.051820700581E-09
1.00E-06,1.052701142300E-09
1.02E-06,1.053606323272E-09
1.04E-06,1.054492150648E-09
1.06E-06,1.055431234590E-09
1.08E-06,1.056316736898E-09
1.10E-06,1.057237960734E-09
1.12E-06,1.058160099173E-09
1.14E-06,1.058986356791E-09
1.16E-06,1.059980242770E-09
1.18E-06,1.060866336817E-09
1.20E-06,1.061778603851E-09
1.22E-06,1.062666222797E-09
1.24E-06,1.063622873771E-09
1.26E-06,1.064512038848E-09
1.28E-06,1.065547641185E-09
1.30E-06,1.066452942433E-09
1.32E-06,1.067354911978E-09
1.34E-06,1.068245868424E-09
1.36E-06,1.069166057248E-09
1.38E-06,1.070043183434E-09
1.40E-06,1.070979382233E-09
1.42E-06,1.071850079895E-09
1.44E-06,1.072998112761E-09
1.46E-06,1.063573069800E-09
1.48E-06,1.064381556710E-09
1.50E-06,1.065269763979E-09
1.52E-06,1.066208794391E-09
1.54E-06,1.067128456684E-09
1.56E-06,1.067994935462E-09
1.58E-06,1.068893460244E-09
1.60E-06,1.069819601896E-09
1.62E-06,1.070809437813E-09
1.64E-06,1.071713169649E-09
1.66E-06,1.072588930342E-09
1.68E-06,1.073523548913E-09
1.70E-06,1.074412163495E-09
1.72E-06,1.075300212059E-09
1.74E-06,1.076205474209E-09
1.76E-06,1.077098537545E-09
1.78E-06,1.078111247384E-09
1.80E-06,1.078913701018E-09
1.82E-06,1.079885995952E-09
1.84E-06,1.080766128944E-09
1.86E-06,1.081722220828E-09
1.88E-06,1.082650029605E-09
1.90E-06,1.083655884121E-09
1.92E-06,1.084587834401E-09
1.94E-06,1.085455958821E-09
1.96E-06,1.086317813066E-09
1.98E-06,1.087293870533E-09
2.00E-06,1.088169833163E-09
2.02E-06,1.089121637730E-09
2.04E-06,1.090018672428E-09
2.06E-06,1.091128857703E-09
2.08E-06,1.082435734160E-09
2.10E-06,1.083281315480E-09
2.12E-06,1.084174192330E-09
2.14E-06,1.085113104780E-09
2.16E-06,1.085941525940E-09
2.18E-06,1.086917764923E-09
2.20E-06,1.087805833744E-09
2.22E-06,1.088745946128E-09
2.24E-06,1.089731702773E-09
2.26E-06,1.090635247866E-09
2.28E-06,1.091421829436E-09
2.30E-06,1.092426940187E-09
2.32E-06,1.093333355820E-09
2.34E-06,1.094173003126E-09
2.36E-06,1.095107801541E-09
2.38E-06,1.096001538156E-09
2.40E-06,1.097079712465E-09
2.42E-06,1.097865345687E-09
2.44E-06,1.098816374450E-09
2.46E-06,1.099684228073E-09
2.48E-06,1.100673588733E-09
2.50E-06,1.101578086181E-09
2.52E-06,1.102616454875E-09
2.54E-06,1.103591643375E-09
2.56E-06,1.104463547075E-09
2.58E-06,1.105252301489E-09
2.60E-06,1.106226811664E-09
2.62E-06,1.107203461015E-09
2.64E-06,1.108143475173E-09
2.66E-06,1.109004554118E-09
2.68E-06,1.110148506131E-09
2.70E-06,1.100543451827E-09
2.72E-06,1.101279999677E-09
2.74E-06,1.102203053112E-09
2.76E-06,1.103113291690E-09
2.78E-06,1.104051487254E-09
2.80E-06,1.105012161882E-09
2.82E-06,1.105860876751E-09
2.84E-06,1.106815769823E-09
2.86E-06,1.107790422579E-09
2.88E-06,1.108699730304E-09
2.90E-06,1.109571667818E-09
2.92E-06,1.110482357302E-09
2.94E-06,1.111406688031E-09
2.96E-06,1.112324361103E-09
2.98E-06,1.113183144078E-09
3.00E-06,1.114114615884E-09
3.02E-06,1.115151034219E-09
3.04E-06,1.115946840406E-09
3.06E-06,1.116893743320E-09
3.08E-06,1.117808543671E-09
3.10E-06,1.118814631756E-09
3.12E-06,1.119705519739E-09
3.14E-06,1.120667714973E-09
3.16E-06,1.121574327832E-09
3.18E-06,1.122517130300E-09
3.20E-06,1.123416416649E-09
3.22E-06,1.124363718372E-09
3.24E-06,1.125183984069E-09
3.26E-06,1.126235118394E-09
3.28E-06,1.127095980494E-09
3.30E-06,1.128244591470E-09
3.32E-06,1.119988420165E-09
3.34E-06,1.120746679692E-09
3.36E-06,1.121657512152E-09
3.38E-06,1.122595907535E-09
3.40E-06,1.123529574219E-09
3.42E-06,1.124449158293E-09
3.44E-06,1.125312849200E-09
3.46E-06,1.126261593713E-09
3.48E-06,1.127241073333E-09
3.50E-06,1.128130178167E-09
3.52E-06,1.128997178723E-09
3.54E-06,1.129961801272E-09
3.56E-06,1.130846789047E-09
3.58E-06,1.131770793074E-09
3.60E-06,1.132666712644E-09
3.62E-06,1.133554723920E-09
3.64E-06,1.134601011043E-09
3.66E-06,1.135444929987E-09
3.68E-06,1.136384119598E-09
3.70E-06,1.137288534944E-09
3.72E-06,1.138194337509E-09
3.74E-06,1.139149666899E-09
3.76E-06,1.140130611651E-09
3.78E-06,1.141050694203E-09
3.80E-06,1.142025845141E-09
