delay X,delay Y
4.10E-08,5.8591606000E-09
6.10E-08,5.8544466887E-09
8.10E-08,5.8495083236E-09
1.01E-07,5.8450695085E-09
1.21E-07,5.8408997341E-09
1.41E-07,5.8363895141E-09
1.61E-07,5.8312596907E-09
1.81E-07,5.8273678267E-09
2.01E-07,5.8229192717E-09
2.21E-07,5.8191000534E-09
2.41E-07,5.8135523250E-09
2.61E-07,5.8092018861E-09
2.81E-07,5.8051831222E-09
3.01E-07,5.8002516240E-09
3.21E-07,5.7957411889E-09
3.41E-07,5.7916062238E-09
3.61E-07,5.7868489922E-09
3.81E-07,5.7826498372E-09
4.01E-07,5.7784111497E-09
4.21E-07,5.7742761340E-09
4.41E-07,5.7693393131E-09
4.61E-07,5.7647300603E-09
4.81E-07,5.7608090660E-09
5.01E-07,5.7561720469E-09
5.21E-07,5.7515848829E-09
5.41E-07,5.7474504935E-09
5.61E-07,5.7426351670E-09
5.81E-07,5.7387396501E-09
6.01E-07,5.7334521195E-09
6.21E-07,5.7299910262E-09
6.41E-07,5.7252510636E-09
6.61E-07,5.7250600414E-09
6.81E-07,5.7204004579E-09
7.01E-07,5.7164826097E-09
7.21E-07,5.7124010150E-09
7.41E-07,5.7073306330E-09
7.61E-07,5.7044018399E-09
7.81E-07,5.6996005275E-09
8.01E-07,5.6940394259E-09
8.21E-07,5.6896079887E-09
8.41E-07,5.6851688257E-09
8.61E-07,5.6812620484E-09
8.81E-07,5.6763808544E-09
9.01E-07,5.6720218521E-09
9.21E-07,5.6677332225E-09
9.41E-07,5.6644445657E-09
9.61E-07,5.6590775136E-09
9.81E-07,5.6541879216E-09
1.00E-06,5.6500394171E-09
1.02E-06,5.6451630203E-09
1.04E-06,5.6408999891E-09
1.06E-06,5.6365307514E-09
1.08E-06,5.6321664768E-09
1.10E-06,5.6274176342E-09
1.12E-06,5.6229080131E-09
1.14E-06,5.6185584985E-09
1.16E-06,5.6139445048E-09
1.18E-06,5.6107358109E-09
1.20E-06,5.6062785924E-09
1.22E-06,5.6009844546E-09
1.24E-06,5.5968393958E-09
1.26E-06,5.5920302814E-09
1.28E-06,5.5922443943E-09
1.30E-06,5.7090023442E-09
1.32E-06,5.7007513709E-09
1.34E-06,5.6955967880E-09
1.36E-06,5.6918091700E-09
1.38E-06,5.6882725384E-09
1.40E-06,5.6826105016E-09
1.42E-06,5.6782211063E-09
1.44E-06,5.6734402063E-09
1.46E-06,5.6687769320E-09
1.48E-06,5.6645540521E-09
1.50E-06,5.6598983392E-09
1.52E-06,5.6552550793E-09
1.54E-06,5.6507528055E-09
1.56E-06,5.6462362490E-09
1.58E-06,5.6417654372E-09
1.60E-06,5.6372961186E-09
1.62E-06,5.6328652750E-09
1.64E-06,5.6284838078E-09
1.66E-06,5.6241963232E-09
1.68E-06,5.6197676705E-09
1.70E-06,5.6152350002E-09
1.72E-06,5.6110950935E-09
1.74E-06,5.6065928355E-09
1.76E-06,5.6021008135E-09
1.78E-06,5.5973889724E-09
1.80E-06,5.5929757084E-09
1.82E-06,5.5887881622E-09
1.84E-06,5.5853528676E-09
1.86E-06,5.5796940422E-09
1.88E-06,5.5754070501E-09
1.90E-06,5.5718433173E-09
1.92E-06,5.5666386355E-09
1.94E-06,5.5666235062E-09
1.96E-06,5.5623048318E-09
1.98E-06,5.5575980528E-09
2.00E-06,5.5534551878E-09
2.02E-06,5.5487289271E-09
2.04E-06,5.5443114440E-09
2.06E-06,5.5399486165E-09
2.08E-06,5.5356035995E-09
2.10E-06,5.5311662600E-09
2.12E-06,5.5267200948E-09
2.14E-06,5.5224683842E-09
2.16E-06,5.5182046556E-09
2.18E-06,5.5139010270E-09
2.20E-06,5.5090888093E-09
2.22E-06,5.5060341245E-09
2.24E-06,5.5001656021E-09
2.26E-06,5.4957781251E-09
2.28E-06,5.4912886895E-09
2.30E-06,5.4870534301E-09
2.32E-06,5.4828489809E-09
2.34E-06,5.4779136249E-09
2.36E-06,5.4734684013E-09
2.38E-06,5.4690489353E-09
2.40E-06,5.4646429520E-09
2.42E-06,5.4603483678E-09
2.44E-06,5.4560599367E-09
2.46E-06,5.4511760824E-09
2.48E-06,5.4468106923E-09
2.50E-06,5.4423652280E-09
2.52E-06,5.4380606354E-09
2.54E-06,5.4337708760E-09
2.56E-06,5.4320244697E-09
2.58E-06,5.5032793469E-09
2.60E-06,5.5446644955E-09
2.62E-06,5.5403974907E-09
2.64E-06,5.5358357852E-09
2.66E-06,5.5306943758E-09
2.68E-06,5.5262203747E-09
2.70E-06,5.5216843599E-09
2.72E-06,5.5172427404E-09
2.74E-06,5.5127489258E-09
2.76E-06,5.5072128622E-09
2.78E-06,5.5037041027E-09
2.80E-06,5.4982737377E-09
2.82E-06,5.4939128127E-09
2.84E-06,5.4908817600E-09
2.86E-06,5.4863823721E-09
2.88E-06,5.4820528386E-09
2.90E-06,5.4771738413E-09
2.92E-06,5.4727317234E-09
2.94E-06,5.4683252656E-09
2.96E-06,5.4638950408E-09
2.98E-06,5.4594625852E-09
3.00E-06,5.4551282787E-09
3.02E-06,5.4510445937E-09
3.04E-06,5.4462290536E-09
3.06E-06,5.4417956920E-09
3.08E-06,5.4374367114E-09
3.10E-06,5.4329949467E-09
3.12E-06,5.4276234336E-09
3.14E-06,5.4243577285E-09
