t_delay  X,t_delay Y
6.00E-08,9.5607962545E-11
8.00E-08,9.6786951277E-11
1.00E-07,9.7954737914E-11
1.20E-07,9.9077899883E-11
1.40E-07,1.0017681759E-10
1.60E-07,1.0128141402E-10
1.80E-07,1.0243008126E-10
2.00E-07,1.0353732125E-10
2.20E-07,1.0460950284E-10
2.40E-07,1.0570507654E-10
2.60E-07,1.0678856515E-10
2.80E-07,1.0786619415E-10
3.00E-07,1.0897529169E-10
3.20E-07,1.1003946549E-10
3.40E-07,1.1114814590E-10
3.60E-07,1.1223733394E-10
3.80E-07,1.1330147534E-10
4.00E-07,1.1440324888E-10
4.20E-07,1.1543509934E-10
4.40E-07,1.1655397130E-10
4.60E-07,1.1762185514E-10
4.80E-07,1.1868226113E-10
5.00E-07,1.1973068604E-10
5.20E-07,1.2080229770E-10
5.40E-07,1.2185805839E-10
5.60E-07,1.2290201307E-10
5.80E-07,1.2391360364E-10
6.00E-07,1.2497376981E-10
6.20E-07,1.2598138675E-10
6.40E-07,1.2704057518E-10
