delay (Vbn=-1.1) X,delay (Vbn=-1.1) Y,delay (Vbn=-0.8) X,delay (Vbn=-0.8) Y,delay (Vbn=-0.55) X,delay (Vbn=-0.55) Y,delay (Vbn=-0.2) X,delay (Vbn=-0.2) Y,delay (Vbn=0) X,delay (Vbn=0) Y,delay (Vbn=0.2) X,delay (Vbn=0.2) Y,delay (Vbn=0.55) X,delay (Vbn=0.55) Y,delay (Vbn=0.8) X,delay (Vbn=0.8) Y,delay (Vbn=1.1) X,delay (Vbn=1.1) Y
6.000000000000001e-08,1.09686761228411e-10,6.000000000000001e-08,1.062375668017513e-10,6.000000000000001e-08,1.031188154627574e-10,6.000000000000001e-08,9.846032264389098e-11,6.000000000000001e-08,9.560796254503691e-11,6.000000000000001e-08,9.257957786094823e-11,6.000000000000001e-08,8.654532645412538e-11,6.000000000000001e-08,8.146443677374974e-11,6.000000000000001e-08,9.074594367425098e-11
8e-08,1.107627178537409e-10,8e-08,1.072968935126686e-10,8e-08,1.042569783170326e-10,8e-08,9.963093661177152e-11,8e-08,9.678695127684979e-11,8e-08,9.373393597813425e-11,8e-08,8.77324103589268e-11,8e-08,8.272464976715125e-11,8e-08,9.193063790144915e-11
1e-07,1.11896278742853e-10,1e-07,1.084691924608872e-10,1e-07,1.054037436398801e-10,1e-07,1.008022803563196e-10,1e-07,9.795473791385475e-11,1e-07,9.488026829080027e-11,1e-07,8.895623364710621e-11,1e-07,8.393164979956144e-11,1e-07,9.321265528317167e-11
1.2e-07,1.129989938139927e-10,1.2e-07,1.09580611583243e-10,1.2e-07,1.06525709752807e-10,1.2e-07,1.019136827801177e-10,1.2e-07,9.907789988308752e-11,1.2e-07,9.601723440397365e-11,1.2e-07,9.014839590009624e-11,1.2e-07,8.514017375817706e-11,1.2e-07,9.447876555139809e-11
1.4e-07,1.140815673261113e-10,1.4e-07,1.106268916005215e-10,1.4e-07,1.076101799453269e-10,1.4e-07,1.029991135208221e-10,1.4e-07,1.001768175917773e-10,1.4e-07,9.714972444039337e-11,1.4e-07,9.130606494692666e-11,1.4e-07,8.629701982158185e-11,1.4e-07,9.57326357909609e-11
1.6e-07,1.151588074476948e-10,1.6e-07,1.116953089847113e-10,1.6e-07,1.086696134075017e-10,1.6e-07,1.040768089590094e-10,1.6e-07,1.012814140199207e-10,1.6e-07,9.827512248980312e-11,1.6e-07,9.245347926267274e-11,1.6e-07,8.743468113087339e-11,1.6e-07,9.697083550674949e-11
1.8e-07,1.16293016138268e-10,1.8e-07,1.128483381230034e-10,1.8e-07,1.098089460266005e-10,1.8e-07,1.05224234492707e-10,1.8e-07,1.024300812601039e-10,1.8e-07,9.938302607765896e-11,1.8e-07,9.356919148275919e-11,1.8e-07,8.866476527032708e-11,1.8e-07,9.821677490113332e-11
2e-07,1.174134044576803e-10,2e-07,1.13938968580137e-10,2e-07,1.109152607723676e-10,2e-07,1.063184403223483e-10,2e-07,1.035373212512945e-10,2e-07,1.004976044537502e-10,2e-07,9.467411718872356e-11,2e-07,8.984861059324873e-11,2e-07,9.944016746598101e-11
2.2e-07,1.185023018051225e-10,2.2e-07,1.150220666975104e-10,2.2e-07,1.119706993780744e-10,2.2e-07,1.074100460203375e-10,2.2e-07,1.046095028379056e-10,2.2e-07,1.015942671173826e-10,2.2e-07,9.58180623472334e-11,2.2e-07,9.092906350264759e-11,2.2e-07,1.006137795566563e-10
2.4e-07,1.19586889040984e-10,2.4e-07,1.160959892243511e-10,2.4e-07,1.130452077846965e-10,2.4e-07,1.084818501729003e-10,2.4e-07,1.057050765407198e-10,2.4e-07,1.027099772222327e-10,2.4e-07,9.694720891074442e-11,2.4e-07,9.200763415259441e-11,2.4e-07,1.018387509245748e-10
2.6e-07,1.20719968210918e-10,2.6e-07,1.172424887445064e-10,2.6e-07,1.141707284512453e-10,2.6e-07,1.095953929141746e-10,2.6e-07,1.067885651516388e-10,2.6e-07,1.038069514937329e-10,2.6e-07,9.803228387209232e-11,2.6e-07,9.319347265031966e-11,2.6e-07,1.029083532218295e-10
2.8e-07,1.218224915963218e-10,2.8e-07,1.183315417966591e-10,2.8e-07,1.152601481676458e-10,2.8e-07,1.106682097542496e-10,2.8e-07,1.078661941536114e-10,2.8e-07,1.048797738879514e-10,2.8e-07,9.911345007838161e-11,2.8e-07,9.428974571787138e-11,2.8e-07,1.040189771010798e-10
3e-07,1.229955135143316e-10,3e-07,1.194878822151708e-10,3e-07,1.163874890029322e-10,3e-07,1.11783227557319e-10,3e-07,1.089752916923517e-10,3e-07,1.059524741346833e-10,3e-07,1.001981319163309e-10,3e-07,9.534754648034282e-11,3e-07,1.051929031859862e-10
3.2e-07,1.241390991543942e-10,3.2e-07,1.205719374757544e-10,3.2e-07,1.174923195689043e-10,3.2e-07,1.128505046110466e-10,3.2e-07,1.100394654921012e-10,3.2e-07,1.070308176422549e-10,3.2e-07,1.012893467942866e-10,3.2e-07,9.639024620669302e-11,3.2e-07,1.063829521979843e-10
3.4e-07,1.253243098680487e-10,3.4e-07,1.217457848066239e-10,3.4e-07,1.186490786026228e-10,3.4e-07,1.14014408416892e-10,3.4e-07,1.111481459026488e-10,3.4e-07,1.081156048175029e-10,3.4e-07,1.023381504153143e-10,3.4e-07,9.748589899297717e-11,3.4e-07,1.07457449963807e-10
3.6e-07,1.264563543163859e-10,3.6e-07,1.228853824811529e-10,3.6e-07,1.197492767852622e-10,3.6e-07,1.150768432351081e-10,3.6e-07,1.122373339407334e-10,3.6e-07,1.091949103259063e-10,3.6e-07,1.033903744886655e-10,3.6e-07,9.849253964474686e-11,3.6e-07,1.085400686310189e-10
3.8e-07,1.276081648797549e-10,3.8e-07,1.239975889591442e-10,3.8e-07,1.208416988705553e-10,3.8e-07,1.161382806324883e-10,3.8e-07,1.133014753436504e-10,3.8e-07,1.102513721866131e-10,3.8e-07,1.044764183188461e-10,3.8e-07,9.95717322241298e-11,3.8e-07,1.096086511489044e-10
4e-07,1.287844781185393e-10,4e-07,1.251574498599565e-10,4e-07,1.219967574945755e-10,4e-07,1.172761899535652e-10,4e-07,1.144032488759003e-10,4e-07,1.113623010343743e-10,4e-07,1.05508427600971e-10,4e-07,1.00686877988316e-10,4e-07,1.107315979153949e-10
4.2e-07,1.299165728215555e-10,4.2e-07,1.262658126101143e-10,4.2e-07,1.230843386953217e-10,4.2e-07,1.18323714502076e-10,4.2e-07,1.154350993424901e-10,4.2e-07,1.124261547824099e-10,4.2e-07,1.065606285211187e-10,4.2e-07,1.017346771327299e-10,4.2e-07,1.117695999655456e-10
4.4e-07,1.311267866870523e-10,4.4e-07,1.274500714672385e-10,4.4e-07,1.242355250043704e-10,4.4e-07,1.194471469054094e-10,4.4e-07,1.165539712967087e-10,4.4e-07,1.134688525008293e-10,4.4e-07,1.076017202234334e-10,4.4e-07,1.027005303612841e-10,4.4e-07,1.128871813841622e-10
4.6e-07,1.322866313685068e-10,4.6e-07,1.285491813065061e-10,4.6e-07,1.253282019124072e-10,4.6e-07,1.205228908626231e-10,4.6e-07,1.176218551427922e-10,4.6e-07,1.145352140011122e-10,4.6e-07,1.086457191591287e-10,4.6e-07,1.036874090509345e-10,4.6e-07,1.139641578184506e-10
4.800000000000001e-07,1.334590656146352e-10,4.800000000000001e-07,1.297197670448322e-10,4.800000000000001e-07,1.264557757892662e-10,4.800000000000001e-07,1.216159097847954e-10,4.800000000000001e-07,1.186822611342843e-10,4.800000000000001e-07,1.155771023509375e-10,4.800000000000001e-07,1.096195088219568e-10,4.800000000000001e-07,1.047551101130056e-10,4.800000000000001e-07,1.149945258861764e-10
5.000000000000001e-07,1.346111727098801e-10,5.000000000000001e-07,1.308449348824004e-10,5.000000000000001e-07,1.275597977986252e-10,5.000000000000001e-07,1.226392855373508e-10,5.000000000000001e-07,1.197306860366642e-10,5.000000000000001e-07,1.166210387083358e-10,5.000000000000001e-07,1.106087968179431e-10,5.000000000000001e-07,1.057376793761261e-10,5.000000000000001e-07,1.160449080089045e-10
5.2e-07,1.357979587749695e-10,5.2e-07,1.319758944243888e-10,5.2e-07,1.286610903413163e-10,5.2e-07,1.237619565375162e-10,5.2e-07,1.208022976998284e-10,5.2e-07,1.176582884512378e-10,5.2e-07,1.116730757574432e-10,5.2e-07,1.067434471351009e-10,5.2e-07,1.170286602136011e-10
5.400000000000001e-07,1.369052368458093e-10,5.400000000000001e-07,1.330734295327858e-10,5.400000000000001e-07,1.297491984954942e-10,5.400000000000001e-07,1.248159730213851e-10,5.400000000000001e-07,1.218580583868408e-10,5.400000000000001e-07,1.186922969826864e-10,5.400000000000001e-07,1.126656184766529e-10,5.400000000000001e-07,1.076941097215461e-10,5.400000000000001e-07,1.180552825897319e-10
5.599999999999999e-07,1.380885614335063e-10,5.599999999999999e-07,1.342422788539605e-10,5.599999999999999e-07,1.308784715160758e-10,5.599999999999999e-07,1.258935091907476e-10,5.599999999999999e-07,1.229020130680615e-10,5.599999999999999e-07,1.197391800709153e-10,5.599999999999999e-07,1.136429198981257e-10,5.599999999999999e-07,1.087385173455618e-10,5.599999999999999e-07,1.190145430395304e-10
5.8e-07,1.392212722468676e-10,5.8e-07,1.353165190232642e-10,5.8e-07,1.319437083358935e-10,5.8e-07,1.269427290392413e-10,5.8e-07,1.23913603640436e-10,5.8e-07,1.207637602665534e-10,5.8e-07,1.146267351287003e-10,5.8e-07,1.096805808263903e-10,5.8e-07,1.199918333358023e-10
6e-07,1.403921346050892e-10,6e-07,1.364383503868258e-10,6e-07,1.330393520081176e-10,6e-07,1.28014263360459e-10,6e-07,1.249737698080799e-10,6e-07,1.217566366151738e-10,6e-07,1.155574911416003e-10,6e-07,1.106078282697084e-10,6e-07,1.210164540463365e-10
6.2e-07,1.415060957076726e-10,6.2e-07,1.375008703973008e-10,6.2e-07,1.341050424169966e-10,6.2e-07,1.290293999241468e-10,6.2e-07,1.259813867525242e-10,6.2e-07,1.227577134060318e-10,6.2e-07,1.165443141637315e-10,6.2e-07,1.114903920930076e-10,6.2e-07,1.219439012163064e-10
6.4e-07,1.426579871703795e-10,6.4e-07,1.386302389428274e-10,6.4e-07,1.351719495109042e-10,6.4e-07,1.300509878507635e-10,6.4e-07,1.270405751811197e-10,6.4e-07,1.237714641469738e-10,6.4e-07,1.174805338268335e-10,6.4e-07,1.124147529443377e-10,6.4e-07,1.229449174437569e-10
