;Version, 1, 0
;delay (c0=0|c1=0|c2=0|c3=0),;delay (c0=1|c1=0|c2=0|c3=0),;delay (c0=1|c1=1|c2=0|c3=0),;delay (c0=1|c1=1|c2=1|c3=0),;delay (c0=1|c1=1|c2=1|c3=1)
;X, Y,;X, Y,;X, Y,;X, Y,;X, Y
;Re, Re,;Re, Re,;Re, Re,;Re, Re,;Re, Re
;time, Y,;time, Y,;time, Y,;time, Y,;time, Y
;s, s,;s, s,;s, s,;s, s,;s, s
6.000000000000001e-08,1.11405019694318e-10,6.000000000000001e-08,1.078060002381153e-10,6.000000000000001e-08,1.040040102390138e-10,6.000000000000001e-08,9.996025031393422e-11,6.000000000000001e-08,9.560796254503691e-11
8e-08,1.12745204123579e-10,8e-08,1.091155865672291e-10,8e-08,1.0526594144802e-10,8e-08,1.011858533203318e-10,8e-08,9.678695127684979e-11
1e-07,1.140817506954637e-10,1e-07,1.104101588742332e-10,1e-07,1.065211528355548e-10,1e-07,1.024007435212298e-10,1e-07,9.795473791385475e-11
1.2e-07,1.153718565161393e-10,1.2e-07,1.116501154047545e-10,1.2e-07,1.077227408462186e-10,1.2e-07,1.035488695804654e-10,1.2e-07,9.907789988308752e-11
1.4e-07,1.166127714994733e-10,1.4e-07,1.128527869144333e-10,1.4e-07,1.088965846024575e-10,1.4e-07,1.046903806697911e-10,1.4e-07,1.001768175917773e-10
1.6e-07,1.178459845599435e-10,1.6e-07,1.140472597444391e-10,1.6e-07,1.100519810508922e-10,1.6e-07,1.058328105699086e-10,1.6e-07,1.012814140199207e-10
1.8e-07,1.191011570747563e-10,1.8e-07,1.152647281023873e-10,1.8e-07,1.112306931809089e-10,1.8e-07,1.069651893580399e-10,1.8e-07,1.024300812601039e-10
2e-07,1.203004228560982e-10,2e-07,1.164363956188105e-10,2e-07,1.123800444448933e-10,2e-07,1.080943500340086e-10,2e-07,1.035373212512945e-10
2.2e-07,1.214856102739924e-10,2.2e-07,1.175887022929521e-10,2.2e-07,1.134967484230313e-10,2.2e-07,1.091905223851806e-10,2.2e-07,1.046095028379056e-10
2.4e-07,1.226264109202063e-10,2.4e-07,1.187408122213799e-10,2.4e-07,1.14623573310335e-10,2.4e-07,1.102855831170349e-10,2.4e-07,1.057050765407198e-10
2.6e-07,1.237830510189105e-10,2.6e-07,1.19875904448563e-10,2.6e-07,1.157499063442174e-10,2.6e-07,1.113864635901716e-10,2.6e-07,1.067885651516388e-10
2.8e-07,1.249081054498254e-10,2.8e-07,1.209651576633479e-10,2.8e-07,1.168184181065641e-10,2.8e-07,1.124555762430543e-10,2.8e-07,1.078661941536114e-10
3e-07,1.26082045954483e-10,3e-07,1.220947071581938e-10,3e-07,1.179674030265553e-10,3e-07,1.135801632318965e-10,3e-07,1.089752916923517e-10
3.2e-07,1.271669621550453e-10,3.2e-07,1.231823537705694e-10,3.2e-07,1.190333955879469e-10,3.2e-07,1.146630387775534e-10,3.2e-07,1.100394654921012e-10
3.4e-07,1.282901207752136e-10,3.4e-07,1.24302438231158e-10,3.4e-07,1.20121098183564e-10,3.4e-07,1.157652881080638e-10,3.4e-07,1.111481459026488e-10
3.6e-07,1.29372475029018e-10,3.6e-07,1.253930360131645e-10,3.6e-07,1.212061307488175e-10,3.6e-07,1.168364084130133e-10,3.6e-07,1.122373339407334e-10
3.8e-07,1.304307933894527e-10,3.8e-07,1.26436248797312e-10,3.8e-07,1.222683383762851e-10,3.8e-07,1.179080580855987e-10,3.8e-07,1.133014753436504e-10
4e-07,1.315162229122788e-10,4e-07,1.275116702055056e-10,4e-07,1.233287575073705e-10,4e-07,1.189943918553788e-10,4e-07,1.144032488759003e-10
4.2e-07,1.325516184092376e-10,4.2e-07,1.285479127518016e-10,4.2e-07,1.243654149346323e-10,4.2e-07,1.200256354341284e-10,4.2e-07,1.154350993424901e-10
4.4e-07,1.336535223158944e-10,4.4e-07,1.296110302516246e-10,4.4e-07,1.254682236617174e-10,4.4e-07,1.211065445076318e-10,4.4e-07,1.165539712967087e-10
4.6e-07,1.346755098034328e-10,4.6e-07,1.306427049210523e-10,4.6e-07,1.264953521156683e-10,4.6e-07,1.221575909713712e-10,4.6e-07,1.176218551427922e-10
4.800000000000001e-07,1.357010456385415e-10,4.800000000000001e-07,1.316824010979625e-10,4.800000000000001e-07,1.275250721680819e-10,4.800000000000001e-07,1.2320083704885e-10,4.800000000000001e-07,1.186822611342843e-10
5.000000000000001e-07,1.367016191073412e-10,5.000000000000001e-07,1.326811640908792e-10,5.000000000000001e-07,1.285446094225652e-10,5.000000000000001e-07,1.242403672336064e-10,5.000000000000001e-07,1.197306860366642e-10
5.2e-07,1.377234046616427e-10,5.2e-07,1.337456765942644e-10,5.2e-07,1.295770826132658e-10,5.2e-07,1.253060106943869e-10,5.2e-07,1.208022976998284e-10
5.400000000000001e-07,1.387290621340242e-10,5.400000000000001e-07,1.347401221114214e-10,5.400000000000001e-07,1.305895996301735e-10,5.400000000000001e-07,1.263233783504754e-10,5.400000000000001e-07,1.218580583868408e-10
5.599999999999999e-07,1.397200348501618e-10,5.599999999999999e-07,1.357367861408281e-10,5.599999999999999e-07,1.316096143070772e-10,5.599999999999999e-07,1.273388678500896e-10,5.599999999999999e-07,1.229020130680615e-10
5.8e-07,1.40697032432966e-10,5.8e-07,1.367247729155159e-10,5.8e-07,1.325912518408587e-10,5.8e-07,1.283460543201082e-10,5.8e-07,1.23913603640436e-10
6e-07,1.417272719554619e-10,6e-07,1.377321459496071e-10,6e-07,1.336149397073409e-10,6e-07,1.29392447270891e-10,6e-07,1.249737698080799e-10
6.2e-07,1.427265927447777e-10,6.2e-07,1.38718628892824e-10,6.2e-07,1.345839262272896e-10,6.2e-07,1.304444012914521e-10,6.2e-07,1.259813867525242e-10
6.4e-07,1.436787066609083e-10,6.4e-07,1.397352109683561e-10,6.4e-07,1.356240503080889e-10,6.4e-07,1.314073696860902e-10,6.4e-07,1.270405751811197e-10
