"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,jittereventtime=1.42527e-08) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,jittereventtime=1.42527e-08) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,jittereventtime=1.42852e-08) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,jittereventtime=1.42852e-08) Y"
10,-111.3936194613791,10,-110.7447517232358
13.42637584296065,-112.8035794431134,13.42637584296065,-112.1532790631637
18.02675682764374,-114.2128280609027,18.02675682764374,-113.5612091178668
24.2034012397602,-115.6213281069288,24.2034012397602,-114.9685110965724
32.49639617230002,-117.0290390573512,32.49639617230002,-116.3751514694831
43.63088285510481,-118.4359162782115,43.63088285510481,-117.7810933228902
58.58046315728254,-119.8419099442812,58.58046315728254,-119.1862954829608
78.65233154043848,-121.2469635627126,78.65233154043848,-120.5907113210518
105.6015764187076,-122.6510119530462,105.6015764187076,-121.9942871208134
141.7846454606699,-124.0539784800592,141.7846454606699,-123.3969598427234
190.3653938715879,-125.4557712609088,190.3653938715879,-124.7986540607472
255.5917325613177,-126.8562779660593,255.5917325613177,-126.1992777627514
343.1670663721736,-128.2553586955272,343.1670663721736,-127.5987165934813
460.7490010039027,-129.6528362262929,460.7490010039027,-128.9968259663165
618.6189256747053,-131.048482678746,618.6189256747053,-130.3934202648752
830.5810199677136,-132.4420013222817,830.5810199677136,-131.7882580819953
1115.169294211613,-133.8330018135612,1115.169294211613,-133.1810220831005
1497.268207261428,-135.2209666179012,1497.268207261428,-134.5712916137622
2010.288568840785,-136.6052056962769,2010.288568840785,-135.958505580802
2699.088987806386,-137.9847957634521,2699.088987806386,-137.3419124186429
3623.898318388478,-139.3584996065316,3623.898318388478,-138.7205031356951
4865.582083935679,-140.7246602739189,4865.582083935679,-140.0929226150135
6532.713375369616,-142.0810647724954,6532.713375369616,-141.4573537460707
8771.066505204857,-143.4247729431679,8771.066505204857,-142.8113690515056
11776.36354424838,-144.7519106168182,11776.36354424838,-144.151746091101
15811.3883008419,-146.0574338208875,15811.3883008419,-145.4742474873527
21228.96419260944,-147.3348851076991,21228.96419260944,-146.7733760116064
28502.80520067281,-148.5761862128785,28502.80520067281,-148.0421323339129
38268.93752029267,-149.7715430901534,38268.93752029267,-149.2718296374281
51381.31382582281,-150.9095732731761,51381.31382582281,-150.4520537072534
68986.48307306076,-151.9777831013615,68986.48307306076,-151.5708893301968
92623.8449822957,-152.9634921914585,92623.8449822957,-152.6155405218905
124360.2554752427,-153.855192987129,124360.2554752427,-153.5734184192953
166970.7529937215,-154.6441461703119,166970.7529937215,-154.4336303290063
224181.2084475852,-155.3258206800921,224181.2084475852,-155.1885984051922
300994.1161546385,-155.9007218520131,300994.1161546385,-155.8353662009231
404126.0130011931,-156.3743088827251,404126.0130011931,-156.3761537028611
542594.7738471222,-156.7560320284378,542594.7738471222,-156.8179550752525
728508.1364097701,-157.0578309697312,728508.1364097701,-157.1713286649593
978122.4044092422,-157.2925542630557,978122.4044092422,-157.4487949511573
1313263.902201884,-157.472663532708,1313263.902201884,-157.6632990979737
1763237.473195562,-157.6093863616548,1763237.473195562,-157.827044144129
2367388.901551588,-157.7123049325414,2367388.901551588,-157.9507925362127
3178545.31586854,-157.7892725038198,3178545.31586854,-158.043578774473
4267634.40447331,-157.8465298373932,4267634.40447331,-158.1127083003338
5729886.347480823,-157.888915017085,5729886.347480823,-158.1639157730454
7693160.763872658,-157.9200924358549,7693160.763872658,-158.2015833061555
10329126.78360726,-157.9427518905138,10329126.78360726,-158.2289477598956
13868273.83263024,-157.958734129686,13868273.83263024,-158.2482349209412
18620065.676999,-157.9689936643337,18620065.676999,-158.2606065034334
25000000,-157.9730362342011,25000000,-158.2654785855004
