/in_DTC X,/in_DTC Y,/out_DTC X,/out_DTC Y,/EN_b X,/EN_b Y,/V_cap X,/V_cap Y,/V_ramp X,/V_ramp Y,B X,B LogicBus,D X,D LogicBus
5e-08,0,5e-08,1.099999912022096,5e-08,1.100000381186898,5e-08,0.7634417614872613,5e-08,0.7634413426708785,5e-08,00000,5e-08,0000
5.001148597061747e-08,0,5.001148597061747e-08,1.099999912024515,5.001148597061747e-08,1.100000381187886,5.001148597061747e-08,0.7634417615690265,5.001148597061747e-08,0.7634413428014791,5.012125503311117e-08,11111,5.479207707851624e-08,0010
5.00237097809399e-08,0,5.00237097809399e-08,1.099999904808339,5.00237097809399e-08,1.100000386745036,5.00237097809399e-08,0.7634418046806393,5.00237097809399e-08,0.763441641640891,7.012161402681714e-08,00000,5.479298743750909e-08,0011
5.004815740158477e-08,0,5.004815740158477e-08,1.099999910662961,5.004815740158477e-08,1.100000382849398,5.004815740158477e-08,0.7634418242124198,5.004815740158477e-08,0.7634417567628451,9.012150892470949e-08,10101,5.479377479441829e-08,0111
5.006841215369038e-08,0,5.006841215369038e-08,1.099999912421701,5.006841215369038e-08,1.100000380565149,5.006841215369038e-08,0.7634418259404973,5.006841215369038e-08,0.7634416894558185,1.101217086692082e-07,11111,5.479677871244599e-08,1111
5.007554190867447e-08,0,5.007554190867447e-08,1.099999912317085,5.007554190867447e-08,1.100000380561327,5.007554190867447e-08,0.7634418265119717,5.007554190867447e-08,0.7634416598291827,1.15e-07,11111,5.491127012078454e-08,1101
5.008570741185146e-08,0,5.008570741185146e-08,1.099999912094445,5.008570741185146e-08,1.100000380838219,5.008570741185146e-08,0.7634418280965252,5.008570741185146e-08,0.7634416273895825,  ,  ,5.49131727872051e-08,1000
5.008969892248903e-08,0,5.008969892248903e-08,1.099999912033727,5.008969892248903e-08,1.100000380956126,5.008969892248903e-08,0.7634418288183139,5.008969892248903e-08,0.7634416171843001,  ,  ,5.491464788114485e-08,0000
5.00940620816789e-08,0,5.00940620816789e-08,1.099999911997267,5.00940620816789e-08,1.100000381047609,5.00940620816789e-08,0.763441829567917,5.00940620816789e-08,0.7634416070225599,  ,  ,6.081063480340888e-08,0010
5.009659750902312e-08,0,5.009659750902312e-08,1.099999911990377,5.009659750902312e-08,1.100000381083001,5.009659750902312e-08,0.7634418299831952,5.009659750902312e-08,0.7634416015642845,  ,  ,6.081208476149187e-08,0111
5.009910775658281e-08,0,5.009910775658281e-08,1.099999911983179,5.009910775658281e-08,1.100000381106115,5.009910775658281e-08,0.7634418303690551,5.009910775658281e-08,0.763441596303627,  ,  ,6.081638383369503e-08,1111
5.010135820267531e-08,0,5.010135820267531e-08,1.099999911975468,5.010135820267531e-08,1.100000381118175,5.010135820267531e-08,0.763441830692668,5.010135820267531e-08,0.7634415916961806,  ,  ,7.482004464692686e-08,1101
5.010371441899677e-08,0,5.010371441899677e-08,1.099999911967116,5.010371441899677e-08,1.100000381124986,5.010371441899677e-08,0.7634418310136536,5.010371441899677e-08,0.7634415869598712,  ,  ,7.482125707749135e-08,1000
5.010630705512764e-08,0,5.010630705512764e-08,1.099999911959708,5.010630705512764e-08,1.100000381129743,5.010630705512764e-08,0.7634418313538195,5.010630705512764e-08,0.7634415818802635,  ,  ,7.482428206009139e-08,0000
5.010895370807093e-08,0,5.010895370807093e-08,1.099999911960008,5.010895370807093e-08,1.100000381137905,5.010895370807093e-08,0.7634418316978316,5.010895370807093e-08,0.7634415768629816,  ,  ,7.490360119485628e-08,0010
5.011167774757365e-08,0,5.011167774757365e-08,1.099999911968011,5.011167774757365e-08,1.100000381149872,5.011167774757365e-08,0.76344183205024,5.011167774757365e-08,0.7634415718834566,  ,  ,7.490497435205039e-08,0111
5.011415729228235e-08,0,5.011415729228235e-08,1.099999911979433,5.011415729228235e-08,1.100000381162055,5.011415729228235e-08,0.7634418323657188,5.011415729228235e-08,0.7634415675089635,  ,  ,7.490767284672569e-08,1111
5.011624134847555e-08,0,5.011624134847555e-08,1.099999911983673,5.011624134847555e-08,1.100000381167838,5.011624134847555e-08,0.7634418326206821,5.011624134847555e-08,0.7634415639323006,  ,  ,8.080596740287541e-08,1101
5.011625976080685e-08,0,5.011625976080685e-08,1.100103787217536,5.011625976080685e-08,1.100152087497596,5.011625976080685e-08,0.7635511170810245,5.011625976080685e-08,0.7635805588382496,  ,  ,8.08080210861511e-08,1000
5.011627340922491e-08,0,5.011627340922491e-08,1.10016260364376,5.011627340922491e-08,1.100230202324148,5.011627340922491e-08,0.7635950150831006,5.011627340922491e-08,0.7636465398481856,  ,  ,8.081094087582916e-08,0000
5.01162850753151e-08,0,5.01162850753151e-08,1.100200031378645,5.01162850753151e-08,1.100281605250143,5.01162850753151e-08,0.7636175426455105,5.01162850753151e-08,0.7636859229158962,  ,  ,9.479346615475744e-08,0011
5.011629569996577e-08,0,5.011629569996577e-08,1.100226394520706,5.011629569996577e-08,1.10032152756732,5.011629569996577e-08,0.7636324089586531,5.011629569996577e-08,0.7637143952997316,  ,  ,9.479483446325988e-08,0111
5.011630804920791e-08,0,5.011630804920791e-08,1.10025080522424,5.011630804920791e-08,1.100362516955477,5.011630804920791e-08,0.7636461740307091,5.011630804920791e-08,0.763742519963607,  ,  ,9.479763581334044e-08,1111
5.011631967263913e-08,0,5.011631967263913e-08,1.100269416377433,5.011631967263913e-08,1.100396756678816,5.011631967263913e-08,0.7636567063468995,5.011631967263913e-08,0.7637655881655646,  ,  ,9.491165145115329e-08,1101
5.011633218345955e-08,0,5.011633218345955e-08,1.100286019883493,5.011633218345955e-08,1.100429673304938,5.011633218345955e-08,0.7636660875760115,5.011633218345955e-08,0.7637876712154626,  ,  ,9.491374754174146e-08,1000
5.01163465927811e-08,0,5.01163465927811e-08,1.10030188882641,5.01163465927811e-08,1.100463406718168,5.01163465927811e-08,0.7636750183640736,5.01163465927811e-08,0.7638103976732502,  ,  ,9.491665806570456e-08,0000
5.011636261736765e-08,0,5.011636261736765e-08,1.100316503016088,5.011636261736765e-08,1.100496648019083,5.011636261736765e-08,0.7636832069000419,5.011636261736765e-08,0.763833046390998,  ,  ,1.008138771200984e-07,0001
5.011638073677248e-08,0,5.011638073677248e-08,1.100330217783434,5.011638073677248e-08,1.100529898939976,5.011638073677248e-08,0.7636908451288047,5.011638073677248e-08,0.7638561129929462,  ,  ,1.008155166007171e-07,0101
5.011640150570437e-08,0,5.011640150570437e-08,1.100343296650916,5.011640150570437e-08,1.100563550298254,5.011640150570437e-08,0.763698054156727,5.011640150570437e-08,0.7638800420319642,  ,  ,1.148243612039634e-07,0100
5.011642557666113e-08,0,5.011642557666113e-08,1.100355942782825,5.011642557666113e-08,1.100597925007157,5.011642557666113e-08,0.7637049057729486,5.011642557666113e-08,0.7639052676705577,  ,  ,1.148255013400416e-07,0000
5.011645395231988e-08,0,5.011645395231988e-08,1.100368415763499,5.011645395231988e-08,1.100633587929717,5.011645395231988e-08,0.7637114898514719,5.011645395231988e-08,0.7639324639034657,  ,  ,1.15e-07,0000
5.011648800613002e-08,0,5.011648800613002e-08,1.100380975527395,5.011648800613002e-08,1.10067120576823,5.011648800613002e-08,0.7637178814756237,5.011648800613002e-08,0.7639624954770118,  ,  ,  ,  
5.011652987486762e-08,0,5.011652987486762e-08,1.100393969897995,5.011652987486762e-08,1.100711799714664,5.011652987486762e-08,0.7637241792683952,5.011652987486762e-08,0.7639966965762908,  ,  ,  ,  
5.011658295635292e-08,0,5.011658295635292e-08,1.100407871733877,5.011658295635292e-08,1.100756869554469,5.011658295635292e-08,0.7637305095863496,5.011658295635292e-08,0.7640371369422065,  ,  ,  ,  
5.011665291977925e-08,0,5.011665291977925e-08,1.100423365614228,5.011665291977925e-08,1.100808685909674,5.011665291977925e-08,0.7637370504863437,5.011665291977925e-08,0.7640871661999776,  ,  ,  ,  
5.011674469036491e-08,0,5.011674469036491e-08,1.100440597872732,5.011674469036491e-08,1.100867760599964,5.011674469036491e-08,0.7637437577243248,5.011674469036491e-08,0.7641491224439102,  ,  ,  ,  
5.011685471439504e-08,0,5.011685471439504e-08,1.100458242159442,5.011685471439504e-08,1.100929556212014,5.011685471439504e-08,0.7637501893751255,5.011685471439504e-08,0.764219694989221,  ,  ,  ,  
5.011698680610112e-08,0,5.011698680610112e-08,1.100476423158893,5.011698680610112e-08,1.100994913182728,5.011698680610112e-08,0.7637566514718682,5.011698680610112e-08,0.7643005722824334,  ,  ,  ,  
5.011714471539567e-08,0,5.011714471539567e-08,1.100494876402191,5.011714471539567e-08,1.101061752217833,5.011714471539567e-08,0.7637633622925353,5.011714471539567e-08,0.7643928855229061,  ,  ,  ,  
5.01173235243737e-08,0,5.01173235243737e-08,1.100512373355176,5.01173235243737e-08,1.101129952815587,5.01173235243737e-08,0.7637703339991722,5.01173235243737e-08,0.7644927621869331,  ,  ,  ,  
5.011754650236655e-08,0,5.011754650236655e-08,1.100529954264225,5.011754650236655e-08,1.101207576752037,5.011754650236655e-08,0.7637783779423365,5.011754650236655e-08,0.7646113072262293,  ,  ,  ,  
5.011779110804094e-08,0,5.011779110804094e-08,1.100544780842367,5.011779110804094e-08,1.10128337972583,5.011779110804094e-08,0.763786595428861,5.011779110804094e-08,0.7647347372938855,  ,  ,  ,  
5.01180590056517e-08,0,5.01180590056517e-08,1.100556724069258,5.01180590056517e-08,1.101357132451563,5.01180590056517e-08,0.7637950447349924,5.01180590056517e-08,0.7648631352964985,  ,  ,  ,  
5.01183469049362e-08,0,5.01183469049362e-08,1.100565754712428,5.01183469049362e-08,1.101427764778696,5.01183469049362e-08,0.763803735986971,5.01183469049362e-08,0.7649945288764433,  ,  ,  ,  
5.011865329475816e-08,0,5.011865329475816e-08,1.100572404503932,5.011865329475816e-08,1.101495593835972,5.011865329475816e-08,0.7638129833443308,5.011865329475816e-08,0.7651284917665524,  ,  ,  ,  
5.011898203854705e-08,0,5.011898203854705e-08,1.100578012300905,5.011898203854705e-08,1.101562937658606,5.011898203854705e-08,0.7638241161555395,5.011898203854705e-08,0.765267510558666,  ,  ,  ,  
5.011932619340694e-08,0,5.011932619340694e-08,1.100583028501465,5.011932619340694e-08,1.101629457583877,5.011932619340694e-08,0.7638374294254451,5.011932619340694e-08,0.7654091668639242,  ,  ,  ,  
5.011965528718108e-08,0,5.011965528718108e-08,1.100586959170266,5.011965528718108e-08,1.101689477237543,5.011965528718108e-08,0.7638514105850807,5.011965528718108e-08,0.7655411031232564,  ,  ,  ,  
5.012010259598589e-08,0,5.012010259598589e-08,1.100590467047113,5.012010259598589e-08,1.101764337499633,5.012010259598589e-08,0.7638718793237245,5.012010259598589e-08,0.7657143556166606,  ,  ,  ,  
5.012074634648713e-08,0,5.012074634648713e-08,1.100593836780262,5.012074634648713e-08,1.101858486972822,5.012074634648713e-08,0.7639052487994181,5.012074634648713e-08,0.7659505350428989,  ,  ,  ,  
5.012125503311117e-08,0,5.012125503311117e-08,1.100593895859768,5.012125503311117e-08,1.10192014093777,5.012125503311117e-08,0.7639356410647253,5.012125503311117e-08,0.7661230866293992,  ,  ,  ,  
5.012164573928865e-08,0,5.012164573928865e-08,1.100584585920297,5.012164573928865e-08,1.101958301340889,5.012164573928865e-08,0.763961382596712,5.012164573928865e-08,0.7662445389936441,  ,  ,  ,  
5.012201471619982e-08,0,5.012201471619982e-08,1.100579568514535,5.012201471619982e-08,1.101985783119967,5.012201471619982e-08,0.7639858649432555,5.012201471619982e-08,0.7663466801598928,  ,  ,  ,  
5.012237590293023e-08,0,5.012237590293023e-08,1.100570515154518,5.012237590293023e-08,1.102002693040563,5.012237590293023e-08,0.7640086985842942,5.012237590293023e-08,0.7664322062263863,  ,  ,  ,  
5.012274575493425e-08,0,5.012274575493425e-08,1.100555841302174,5.012274575493425e-08,1.102007699676956,5.012274575493425e-08,0.7640296076109973,5.012274575493425e-08,0.7665027916778152,  ,  ,  ,  
5.0123172656384e-08,0,5.0123172656384e-08,1.100533766441104,5.0123172656384e-08,1.101998890431681,5.0123172656384e-08,0.7640509933399663,5.0123172656384e-08,0.7665634921959302,  ,  ,  ,  
5.012351234440329e-08,0,5.012351234440329e-08,1.100514887257918,5.012351234440329e-08,1.10198478094131,5.012351234440329e-08,0.7640676574567568,5.012351234440329e-08,0.7665990280099343,  ,  ,  ,  
5.012384130350921e-08,0,5.012384130350921e-08,1.100496493255876,5.012384130350921e-08,1.101966896707909,5.012384130350921e-08,0.7640839542300276,5.012384130350921e-08,0.766624299220618,  ,  ,  ,  
5.012418135955516e-08,0,5.012418135955516e-08,1.100476808261307,5.012418135955516e-08,1.101943091822866,5.012418135955516e-08,0.7641001506625557,5.012418135955516e-08,0.7666407058358023,  ,  ,  ,  
5.012456742914715e-08,0,5.012456742914715e-08,1.100453466415042,5.012456742914715e-08,1.101909006453417,5.012456742914715e-08,0.7641172929878605,5.012456742914715e-08,0.7666474895666099,  ,  ,  ,  
5.012506978844403e-08,0,5.012506978844403e-08,1.100421989195582,5.012506978844403e-08,1.101854238543421,5.012506978844403e-08,0.7641376157549939,5.012506978844403e-08,0.7666385355086911,  ,  ,  ,  
5.012565556845979e-08,0,5.012565556845979e-08,1.100384203496267,5.012565556845979e-08,1.101776580408836,5.012565556845979e-08,0.7641584867261186,5.012565556845979e-08,0.7666041049528238,  ,  ,  ,  
5.012624134847554e-08,0,5.012624134847554e-08,1.100345851756066,5.012624134847554e-08,1.101685578295049,5.012624134847554e-08,0.7641765786391317,5.012624134847554e-08,0.7665455615731528,  ,  ,  ,  
5.01262803345895e-08,0,5.01262803345895e-08,1.100178201551619,5.01262803345895e-08,1.101440489821182,5.01262803345895e-08,0.7640280311209755,5.01262803345895e-08,0.7663341060004233,  ,  ,  ,  
5.012631757640768e-08,0,5.012631757640768e-08,1.100077668160381,5.012631757640768e-08,1.101288686095958,5.012631757640768e-08,0.7639648106223175,5.012631757640768e-08,0.7662179580129475,  ,  ,  ,  
5.012635655460888e-08,0,5.012635655460888e-08,1.10001707393394,5.012635655460888e-08,1.101177152238969,5.012635655460888e-08,0.7639325262185693,5.012635655460888e-08,0.7661399217170172,  ,  ,  ,  
5.012638517030957e-08,0,5.012638517030957e-08,1.099989476109008,5.012638517030957e-08,1.101114112453281,5.012638517030957e-08,0.7639184449086278,5.012638517030957e-08,0.7660966006450595,  ,  ,  ,  
5.012641868662811e-08,0,5.012641868662811e-08,1.099966036235074,5.012641868662811e-08,1.101052910160981,5.012641868662811e-08,0.7639065184396507,5.012641868662811e-08,0.7660532631387392,  ,  ,  ,  
5.012646244331949e-08,0,5.012646244331949e-08,1.099942618582639,5.012646244331949e-08,1.10098594597159,5.012646244331949e-08,0.7638947511594187,5.012646244331949e-08,0.7660034658545306,  ,  ,  ,  
5.01265133785175e-08,0,5.01265133785175e-08,1.099920762655008,5.01265133785175e-08,1.100919589328799,5.01265133785175e-08,0.7638840562937054,5.01265133785175e-08,0.7659512449980342,  ,  ,  ,  
5.012656980812207e-08,0,5.012656980812207e-08,1.099900317376901,5.012656980812207e-08,1.100855343251834,5.012656980812207e-08,0.7638744104472952,5.012656980812207e-08,0.7658977486728444,  ,  ,  ,  
5.012663729908595e-08,0,5.012663729908595e-08,1.0998789431602,5.012663729908595e-08,1.100786843628078,5.012663729908595e-08,0.7638647068368264,5.012663729908595e-08,0.7658374641054528,  ,  ,  ,  
5.012672011993705e-08,0,5.012672011993705e-08,1.099855667195502,5.012672011993705e-08,1.100711195834891,5.012672011993705e-08,0.7638544679931186,5.012672011993705e-08,0.7657670435103217,  ,  ,  ,  
5.012682524589397e-08,0,5.012682524589397e-08,1.099829339097264,5.012682524589397e-08,1.100624356721079,5.012682524589397e-08,0.7638430559592854,5.012682524589397e-08,0.7656815277434803,  ,  ,  ,  
5.01269557321811e-08,0,5.01269557321811e-08,1.099800337768076,5.01269557321811e-08,1.100526492315587,5.01269557321811e-08,0.7638303357011377,5.01269557321811e-08,0.7655798426697041,  ,  ,  ,  
