t_delay X,t_delay Y
6.00E-08,5.1374401E-11
8.00E-08,5.2067725E-11
1.00E-07,5.2732343E-11
1.20E-07,5.3392243E-11
1.40E-07,5.4047005E-11
1.60E-07,5.4705722E-11
1.80E-07,5.5344652E-11
2.00E-07,5.5991002E-11
2.20E-07,5.6636511E-11
2.40E-07,5.7287579E-11
2.60E-07,5.7920209E-11
2.80E-07,5.8569823E-11
3.00E-07,5.9221580E-11
3.20E-07,5.9865288E-11
3.40E-07,6.0504193E-11
3.60E-07,6.1163131E-11
3.80E-07,6.1840717E-11
4.00E-07,6.2492539E-11
4.20E-07,6.3169016E-11
4.40E-07,6.3831465E-11
4.60E-07,6.4499121E-11
4.80E-07,6.5161563E-11
5.00E-07,6.5828117E-11
5.20E-07,6.6487262E-11
5.40E-07,6.7145695E-11
5.60E-07,6.7769231E-11
5.80E-07,6.8400948E-11
6.00E-07,6.9052561E-11
6.20E-07,6.9685953E-11
6.40E-07,7.0304820E-11
