delay (Vbn=-1.1) X,delay (Vbn=-1.1) Y,delay (Vbn=-0.8) X,delay (Vbn=-0.8) Y,delay (Vbn=-0.55) X,delay (Vbn=-0.55) Y,delay (Vbn=-0.2) X,delay (Vbn=-0.2) Y,delay (Vbn=0) X,delay (Vbn=0) Y,delay (Vbn=0.2) X,delay (Vbn=0.2) Y,delay (Vbn=0.55) X,delay (Vbn=0.55) Y,delay (Vbn=0.8) X,delay (Vbn=0.8) Y,delay (Vbn=1.1) X,delay (Vbn=1.1) Y
6.000000000000001e-08,5.862857475592947e-11,6.000000000000001e-08,5.684679661486624e-11,6.000000000000001e-08,5.522273948826262e-11,6.000000000000001e-08,5.284980514823053e-11,6.000000000000001e-08,5.137440122267535e-11,6.000000000000001e-08,4.97945918293299e-11,6.000000000000001e-08,4.664509659713394e-11,6.000000000000001e-08,4.385130152853518e-11,6.000000000000001e-08,4.255829908221852e-11
8e-08,5.929512880577072e-11,8e-08,5.751195330831773e-11,8e-08,5.591665819788826e-11,8e-08,5.353307005477371e-11,8e-08,5.206772506889742e-11,8e-08,5.049358251213055e-11,8e-08,4.735623815621064e-11,8e-08,4.457808371116635e-11,8e-08,4.331833889781458e-11
1e-07,5.99707912656211e-11,1e-07,5.817749007635594e-11,1e-07,5.657701972288048e-11,1e-07,5.41951985085031e-11,1e-07,5.273234251115677e-11,1e-07,5.114975970131124e-11,1e-07,4.802845311166591e-11,1e-07,4.528880679752287e-11,1e-07,4.413593756652354e-11
1.2e-07,6.062240270257747e-11,1.2e-07,5.884255886566222e-11,1.2e-07,5.724042688381263e-11,1.2e-07,5.485842166250579e-11,1.2e-07,5.339224264453195e-11,1.2e-07,5.182383462338438e-11,1.2e-07,4.871889815951831e-11,1.2e-07,4.600330346769338e-11,1.2e-07,4.490490369162953e-11
1.4e-07,6.128131484406863e-11,1.4e-07,5.949511784738284e-11,1.4e-07,5.78773483345155e-11,1.4e-07,5.551910161759792e-11,1.4e-07,5.404700545330351e-11,1.4e-07,5.24919521685837e-11,1.4e-07,4.939497325009795e-11,1.4e-07,4.668762615926818e-11,1.4e-07,4.564292325406582e-11
1.6e-07,6.193853190572133e-11,1.6e-07,6.013814325834388e-11,1.6e-07,5.85439806507249e-11,1.6e-07,5.618055627565583e-11,1.6e-07,5.470572212753845e-11,1.6e-07,5.315261963656972e-11,1.6e-07,5.007957370789202e-11,1.6e-07,4.737390451830767e-11,1.6e-07,4.634631358240399e-11
1.8e-07,6.260545737835144e-11,1.8e-07,6.079176884511278e-11,1.8e-07,5.91680663932927e-11,1.8e-07,5.68150119515663e-11,1.8e-07,5.534465216792375e-11,1.8e-07,5.378651303943916e-11,1.8e-07,5.07066819866265e-11,1.8e-07,4.805555844487632e-11,1.8e-07,4.712326554098728e-11
2e-07,6.323608839707507e-11,2e-07,6.14537892167249e-11,2e-07,5.980914029275949e-11,2e-07,5.746030269301529e-11,2e-07,5.59910015745481e-11,2e-07,5.444343747984024e-11,2e-07,5.135465645573809e-11,2e-07,4.872140745193289e-11,2e-07,4.782128773948814e-11
2.2e-07,6.389307592288719e-11,2.2e-07,6.210029792594852e-11,2.2e-07,6.047244854189149e-11,2.2e-07,5.810108919801241e-11,2.2e-07,5.66365105694385e-11,2.2e-07,5.508454641858412e-11,2.2e-07,5.201512856021664e-11,2.2e-07,4.937937581825108e-11,2.2e-07,4.84942040724545e-11
2.4e-07,6.455403785593961e-11,2.4e-07,6.2749669844469e-11,2.4e-07,6.114742339436236e-11,2.4e-07,5.875592400604293e-11,2.4e-07,5.728757852877348e-11,2.4e-07,5.573894238714679e-11,2.4e-07,5.267390933569118e-11,2.4e-07,5.003071117369161e-11,2.4e-07,4.915731698883403e-11
2.6e-07,6.525370463319829e-11,2.6e-07,6.34171123495632e-11,2.6e-07,6.178566716463391e-11,2.6e-07,5.940240906864437e-11,2.6e-07,5.792020914126259e-11,2.6e-07,5.636186825075033e-11,2.6e-07,5.330006358358271e-11,2.6e-07,5.067993998462344e-11,2.6e-07,4.987382470763011e-11
