"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,jittereventtime=1.41923e-08) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,jittereventtime=1.41923e-08) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,jittereventtime=1.42119e-08) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,jittereventtime=1.42119e-08) Y"
10,-116.425313265996,10,-115.9328822350988
13.42637584296065,-117.8113360147292,13.42637584296065,-117.3201353687403
18.02675682764374,-119.1955448651585,18.02675682764374,-118.7058263191603
24.2034012397602,-120.5778666602764,24.2034012397602,-120.0898901377689
32.49639617230002,-121.958223773957,32.49639617230002,-121.4722577651228
43.63088285510481,-123.3365328608649,43.63088285510481,-122.8528549613537
58.58046315728254,-124.712703114902,58.58046315728254,-124.2316008236022
78.65233154043848,-126.086633856213,78.65233154043848,-125.6084057382182
105.6015764187076,-127.4582112037102,105.6015764187076,-126.9831685614908
141.7846454606699,-128.82730350574,141.7846454606699,-128.3557727501392
190.3653938715879,-130.1937550892214,190.3653938715879,-129.7260810657293
255.5917325613177,-131.5573777389735,255.5917325613177,-131.0939283479445
343.1670663721736,-132.917939123846,343.1670663721736,-132.4591116806884
460.7490010039027,-134.2751471329995,460.7490010039027,-133.8213770509691
618.6189256747053,-135.6286287621236,618.6189256747053,-135.1804013106236
830.5810199677136,-136.9779017855264,830.5810199677136,-136.5357678826899
1115.169294211613,-138.3223369635872,1115.169294211613,-137.8869341990209
1497.268207261428,-139.6611079821238,1497.268207261428,-139.2331883164809
2010.288568840785,-140.993125754919,2010.288568840785,-140.5735915646939
2699.088987806386,-142.3169532689363,2699.088987806386,-141.9069035096501
3623.898318388478,-143.6306970659068,3623.898318388478,-143.2314851511302
4865.582083935679,-144.9318721928629,4865.582083935679,-144.5451764489957
6532.713375369616,-146.2172397838634,6532.713375369616,-145.8451455959609
8771.066505204857,-147.4826215142801,8771.066505204857,-147.12771089454
11776.36354424838,-148.722704513304,11776.36354424838,-148.3881430545117
15811.3883008419,-149.930865415722,15811.3883008419,-149.6204678818915
21228.96419260944,-151.0990634161326,21228.96419260944,-150.8173079510574
28502.80520067281,-152.2178764053234,28502.80520067281,-151.9698261314871
38268.93752029267,-153.2767719504286,38268.93752029267,-153.0678579833268
51381.31382582281,-154.2646980041153,51381.31382582281,-154.100330012388
68986.48307306076,-155.1710245245679,68986.48307306076,-155.0560343202113
92623.8449822957,-155.9867559901722,92623.8449822957,-155.9247463484272
124360.2554752427,-156.7057913599825,124360.2554752427,-156.6985340748868
166970.7529937215,-157.3259042150649,166970.7529937215,-157.3729644003584
224181.2084475852,-157.849136748663,224181.2084475852,-157.947855938965
300994.1161546385,-158.2814731652391,300994.1161546385,-158.4273276462523
404126.0130011931,-158.6319034293558,404126.0130011931,-158.819125869576
542594.7738471222,-158.9111728042756,542594.7738471222,-159.133455325252
728508.1364097701,-159.1305492395768,728508.1364097701,-159.3816612779195
978122.4044092422,-159.3008459274077,978122.4044092422,-159.5750717653843
1313263.902201884,-159.4317929334824,1313263.902201884,-159.7241718602799
1763237.473195562,-159.5317353225023,1763237.473195562,-159.8381389160599
2367388.901551588,-159.6075756329375,2367388.901551588,-159.92467553681
3178545.31586854,-159.6648677161456,3178545.31586854,-159.99004367657
4267634.40447331,-159.7079847140461,4267634.40447331,-160.0392093841833
5729886.347480823,-159.7403072856349,5729886.347480823,-160.0760300949004
7693160.763872658,-159.7643981402866,7693160.763872658,-160.1034391241538
10329126.78360726,-159.782140208895,10329126.78360726,-160.1235964769586
13868273.83263024,-159.7948124901463,13868273.83263024,-160.1379731790135
18620065.676999,-159.8030357448162,18620065.676999,-160.147290363129
25000000,-159.8062988083978,25000000,-160.1509842999006
