"P_inst (c0=1,c1=1,c2=1,c3=0) X","P_inst (c0=1,c1=1,c2=1,c3=0) Y"
6.000000000000001e-08,7.932280974294148e-09
6.003077876258831e-08,2.131331808331428e-08
6.006968429211506e-08,3.448919077251699e-06
6.008913705687844e-08,1.486443109940826e-05
6.009649386891729e-08,1.888704876722842e-05
6.010438991798142e-08,1.964052332914837e-05
6.010943388291846e-08,1.821907663124081e-05
6.011506534129479e-08,1.579052542989334e-05
6.011949381264613e-08,1.475059005593479e-05
6.0122950485718e-08,1.666555634685385e-05
6.012467882225394e-08,1.961384339687059e-05
6.012794039122062e-08,3.207790211358506e-05
6.013149201749681e-08,5.817707372812895e-05
6.013710512966206e-08,0.0001122075324425528
6.014285464810477e-08,0.0001511249776403265
6.01476208762175e-08,0.0001588740974828686
6.015275748240235e-08,0.0001467881324846058
6.015893981350854e-08,0.0001434546116359814
6.016136227512539e-08,0.0001538640676499915
6.016419421467371e-08,0.0001663500168727881
6.016632775119382e-08,0.0001740848837224217
6.016886193342538e-08,0.0001963504865532613
6.017105869347694e-08,0.0002101906071172559
6.017261528805715e-08,0.00024195577746635
6.017421650305472e-08,0.0002952414303471984
6.01755612363866e-08,0.0003348266921895638
6.017721479781718e-08,0.0003552226649506608
6.017890877046126e-08,0.0003562230423032192
6.018035284062463e-08,0.0003482329144284623
6.018155532153646e-08,0.0003361301630838242
6.018249518506037e-08,0.0003270025691225471
6.018377762586469e-08,0.0003157121023562535
6.018507314105827e-08,0.0003034065325948719
6.01861451111998e-08,0.0002924818645115934
6.018741765092932e-08,0.0002773247710824528
6.018848016869216e-08,0.0002637020082822403
6.018945043658274e-08,0.00025092935178862
6.019079390031331e-08,0.0002332271229583442
6.019245890069412e-08,0.0002137859869969896
6.019362703182222e-08,0.0002031067196692507
6.019515500578166e-08,0.00019419076459254
6.019664819570678e-08,0.0001914928503517464
6.019832409785339e-08,0.0001943511612405606
6.020000000000001e-08,0.0001993270085422477
6.020054532229318e-08,0.0002000347244753236
6.020163596687952e-08,0.0002000888727571633
6.020277196897103e-08,0.0001968926004199775
6.020442403011606e-08,0.0001875797340023195
6.020616960135932e-08,0.00019188522392305
6.02076656737639e-08,0.0002022574169021309
6.020895798237852e-08,0.0002066439813468707
6.021008449646291e-08,0.0002076084625121391
6.021155977967393e-08,0.0002051129837398284
6.021275191515901e-08,0.0002018852696805123
6.021393147883772e-08,0.0001988370278140888
6.021546353012445e-08,0.0001952012885091112
6.021852763269791e-08,0.0001890351153807979
6.022378397745891e-08,0.0001804694454976133
6.022822647846123e-08,0.0001781305761301954
6.023089523116422e-08,0.0001822649216528063
6.02339127470405e-08,0.0001822499778236689
6.023639283542238e-08,0.0001748883144167337
6.023741314593752e-08,0.0001758342670435811
6.023830293367433e-08,0.0001830721138473117
6.023913482491281e-08,0.0001925450904818493
6.023999853389083e-08,0.0001967415351210802
6.024081767228096e-08,0.0001900874858220003
6.024194181437994e-08,0.0001626528444375515
6.024296288955118e-08,0.0001269854349263176
6.024374449180676e-08,0.000102704251746252
6.024436920178474e-08,8.976332605582861e-05
6.024518392975658e-08,7.987684335604508e-05
6.024613106781995e-08,7.234151670799237e-05
6.024683813301209e-08,6.809900497494099e-05
6.024767042204611e-08,6.403991444524472e-05
6.024897896253873e-08,5.889483822345046e-05
6.025075392602848e-08,5.333396967641979e-05
6.025275139552603e-08,4.832006832710597e-05
