/in_DTC X,/in_DTC Y,/out_DTC X,/out_DTC Y,/EN_b X,/EN_b Y,/V_cap X,/V_cap Y,/V_ramp X,/V_ramp Y,B X,B LogicBus,D X,D LogicBus
5e-08,0,5e-08,1.099999941621936,5e-08,1.099999905272852,5e-08,0.7427891308581439,5e-08,0.7427894632101475,5e-08,00000,5e-08,0000
5.00125e-08,0,5.00125e-08,1.099999941621936,5.00125e-08,1.099999905272852,5.00125e-08,0.7427891310937956,5.00125e-08,0.7427894634456548,5.012137588356534e-08,11111,5.446323321337995e-08,0111
5.002543306549777e-08,0,5.002543306549777e-08,1.099999941621936,5.002543306549777e-08,1.099999905272852,5.002543306549777e-08,0.7427891313376115,5.002543306549777e-08,0.742789463689321,7.012167006492828e-08,00000,5.446516743516434e-08,1111
5.005129919649332e-08,0,5.005129919649332e-08,1.099999941621936,5.005129919649332e-08,1.099999905272852,5.005129919649332e-08,0.7427891318252434,5.005129919649332e-08,0.7427894641766536,9.012132446377498e-08,10101,5.449369849006345e-08,1000
5.00731372125452e-08,0,5.00731372125452e-08,1.099999941621936,5.00731372125452e-08,1.099999905272852,5.00731372125452e-08,0.7427891322369367,5.00731372125452e-08,0.742789464588094,1.101213243423994e-07,11111,5.449500044753888e-08,0000
5.007944254277021e-08,0,5.007944254277021e-08,1.099999941621936,5.007944254277021e-08,1.099999905272852,5.007944254277021e-08,0.7427891323558057,5.007944254277021e-08,0.74278946470689,1.15e-07,11111,6.046473276241884e-08,0111
5.008789634143619e-08,0,5.008789634143619e-08,1.099999941147608,5.008789634143619e-08,1.099999905272766,5.008789634143619e-08,0.742789127602653,5.008789634143619e-08,0.7427884308232841,  ,  ,6.046619284139641e-08,1111
5.009142450282842e-08,0,5.009142450282842e-08,1.099999938372281,5.009142450282842e-08,1.099999904773663,5.009142450282842e-08,0.742789136898236,5.009142450282842e-08,0.742788289767034,  ,  ,7.447248280342988e-08,1000
5.009527068308765e-08,0,5.009527068308765e-08,1.099999940056335,5.009527068308765e-08,1.099999904825115,5.009527068308765e-08,0.7427891436082948,5.009527068308765e-08,0.7427883052382793,  ,  ,7.447415790598319e-08,0000
5.009850403584446e-08,0,5.009850403584446e-08,1.099999942779056,5.009850403584446e-08,1.099999904639731,5.009850403584446e-08,0.7427891457464492,5.009850403584446e-08,0.7427883681453585,  ,  ,7.448245629082752e-08,1000
5.010086263690014e-08,0,5.010086263690014e-08,1.099999943963135,5.010086263690014e-08,1.099999904483163,5.010086263690014e-08,0.7427891458882937,5.010086263690014e-08,0.7427884176708621,  ,  ,7.448318379509721e-08,1111
5.010308848797714e-08,0,5.010308848797714e-08,1.099999944429209,5.010308848797714e-08,1.099999904412364,5.010308848797714e-08,0.7427891453969419,5.010308848797714e-08,0.7427884611634311,  ,  ,8.046892308480333e-08,1000
5.010670858101328e-08,0,5.010670858101328e-08,1.099999944620161,5.010670858101328e-08,1.099999904406002,5.010670858101328e-08,0.7427891440999232,5.010670858101328e-08,0.7427885250739112,  ,  ,8.047013108656689e-08,0000
5.010957223679669e-08,0,5.010957223679669e-08,1.099999944603083,5.010957223679669e-08,1.099999904430194,5.010957223679669e-08,0.7427891429284329,5.010957223679669e-08,0.7427885709404957,  ,  ,9.44631330685228e-08,0111
5.011224571223938e-08,0,5.011224571223938e-08,1.099999944571474,5.011224571223938e-08,1.099999904448603,5.011224571223938e-08,0.7427891418536909,5.011224571223938e-08,0.7427886106317675,  ,  ,9.446506653244914e-08,1111
5.011512403025872e-08,0,5.011512403025872e-08,1.099999944550569,5.011512403025872e-08,1.099999904459229,5.011512403025872e-08,0.7427891407744328,5.011512403025872e-08,0.742788650293995,  ,  ,9.449368306696272e-08,1000
5.011624481249437e-08,0,5.011624481249437e-08,1.099999944546054,5.011624481249437e-08,1.099999904461299,5.011624481249437e-08,0.7427891403786654,5.011624481249437e-08,0.7427886649057739,  ,  ,9.44949858613441e-08,0000
5.011626726203468e-08,0,5.011626726203468e-08,1.099999944546488,5.011626726203468e-08,1.099999941879606,5.011626726203468e-08,0.7427891403748947,5.011626726203468e-08,0.7427886652036706,  ,  ,1.004644199594832e-07,0101
5.011628302838618e-08,0,5.011628302838618e-08,1.099999944546777,5.011628302838618e-08,1.099999967678737,5.011628302838618e-08,0.742789140372091,5.011628302838618e-08,0.7427886654126195,  ,  ,1.144724761650082e-07,0000
5.011631456108917e-08,0,5.011631456108917e-08,1.099999944547239,5.011631456108917e-08,1.100000013014337,5.011631456108917e-08,0.7427891403654313,5.011631456108917e-08,0.74278866582849,  ,  ,1.15e-07,0000
5.011637762649517e-08,0,5.011637762649517e-08,1.099999944547801,5.011637762649517e-08,1.100000084251954,5.011637762649517e-08,0.7427891403488898,5.011637762649517e-08,0.7427886666536702,  ,  ,  ,  
5.011650375730716e-08,0,5.011650375730716e-08,1.099999944547893,5.011650375730716e-08,1.100000165594506,5.011650375730716e-08,0.7427891403072451,5.011650375730716e-08,0.7427886682826982,  ,  ,  ,  
5.0116699861923e-08,0,5.0116699861923e-08,1.099999944546583,5.0116699861923e-08,1.100000186372505,5.0116699861923e-08,0.7427891402321343,5.0116699861923e-08,0.7427886707754776,  ,  ,  ,  
5.011689877036101e-08,0,5.011689877036101e-08,1.09999994454462,5.011689877036101e-08,1.100000133163099,5.011689877036101e-08,0.7427891401532066,5.011689877036101e-08,0.742788673270827,  ,  ,  ,  
5.011710738077216e-08,0,5.011710738077216e-08,1.099999944542712,5.011710738077216e-08,1.100000045625668,5.011710738077216e-08,0.7427891400736897,5.011710738077216e-08,0.7427886758660707,  ,  ,  ,  
5.011733242440421e-08,0,5.011733242440421e-08,1.099999944541249,5.011733242440421e-08,1.099999949532492,5.011733242440421e-08,0.7427891399937441,5.011733242440421e-08,0.7427886786504158,  ,  ,  ,  
5.01175767644723e-08,0,5.01175767644723e-08,1.099999944540415,5.01175767644723e-08,1.099999863574844,5.01175767644723e-08,0.7427891399127899,5.01175767644723e-08,0.7427886816608043,  ,  ,  ,  
5.011784864589415e-08,0,5.011784864589415e-08,1.099999944540187,5.011784864589415e-08,1.099999798455116,5.011784864589415e-08,0.7427891398270918,5.011784864589415e-08,0.7427886849965794,  ,  ,  ,  
