P_inst (ln_comp_coarse=2e-07) X,P_inst (ln_comp_coarse=2e-07) Y
2e-08,0.0001233102173175873
2.0125e-08,0.0001233699690789846
2.015919768764009e-08,0.0001237884628260273
2.017629653146013e-08,0.0001243639715203903
2.021049421910021e-08,0.0001269194892354663
2.022602108774161e-08,0.0001286129413397831
2.024490750487043e-08,0.0001297641782686352
2.025834546378739e-08,0.0001314280721310621
2.026489848634169e-08,0.0001373715360075275
2.027104638374257e-08,0.0001476961667377839
2.027803829840149e-08,0.0001598623981631626
2.028479291820524e-08,0.0001657671367447284
2.028854998774719e-08,0.0001776542083409153
2.02912200775772e-08,0.0002161587863115468
2.029478085107814e-08,0.0003141933940916373
2.02974466628016e-08,0.0003938642130627312
2.029984504764513e-08,0.0004441698493483824
2.0302958054017e-08,0.0005346561952789026
2.030560368895291e-08,0.0006620114242710354
2.030750015682181e-08,0.000721343532689118
2.030930534346924e-08,0.000714447108908695
2.031084806846879e-08,0.000649316786968186
2.03124841459e-08,0.0005295846423513141
2.031396920295168e-08,0.0004202785710690062
2.031484967375971e-08,0.0003675486254908495
2.031576448746607e-08,0.0003154779644148461
2.03166679280377e-08,0.0002635276867594473
2.031754699377118e-08,0.0002135433786352549
2.031839033417812e-08,0.0001711933136989767
2.031905149307139e-08,0.0001440402458194706
2.03198213666159e-08,0.0001203249499633825
2.032055566987533e-08,0.0001040251621554736
2.03213090419765e-08,9.149686690105901e-05
2.032210431011571e-08,8.141872149132412e-05
2.032292084953693e-08,7.339413747177501e-05
2.032375261495119e-08,6.68309637139312e-05
2.032459327299357e-08,6.136662265440673e-05
2.032542579162773e-08,5.69464807735235e-05
2.03262547558464e-08,5.343354016033417e-05
2.032708007024257e-08,5.070956461226901e-05
2.032791459883469e-08,4.861477275847211e-05
2.032877091851386e-08,4.702022085740937e-05
2.032966641088582e-08,4.58165320208293e-05
2.033061205062237e-08,4.492557359710148e-05
2.033161481292782e-08,4.428216745960066e-05
2.033267008530537e-08,4.383170566314284e-05
2.03337706426819e-08,4.352283143445244e-05
2.033490499641633e-08,4.331282519754754e-05
2.03360656196985e-08,4.316809978359515e-05
2.033724676566528e-08,4.306525271908652e-05
2.033844896247063e-08,4.298861264735106e-05
2.033967660024686e-08,4.292834140318925e-05
2.034094024255844e-08,4.28781856298866e-05
2.034225447617087e-08,4.283428288619726e-05
2.0343639113932e-08,4.27940523949829e-05
2.03451168330804e-08,4.275587823099063e-05
2.034671358160254e-08,4.271857699800918e-05
2.034845549296284e-08,4.268143869613955e-05
2.035036925202659e-08,4.264393500328596e-05
