Point,Corner,d0,d2,d1,d3,d4,mc_iteration,delay,P_avg,P_out
621,tt_mc,1,1,1,1,0,1,1.33966E-08,8.75196E-07,2.10678E-08
301,tt_mc,0,1,1,1,0,1,1.30875E-08,9.09261E-07,1.89374E-08
541,tt_mc,1,1,0,1,0,1,1.27728E-08,8.65546E-07,1.40241E-08
221,tt_mc,0,1,0,1,0,1,1.246E-08,8.94334E-07,2.19486E-08
461,tt_mc,1,0,1,1,0,1,1.21576E-08,8.39724E-07,9.12495E-09
141,tt_mc,0,0,1,1,0,1,1.18397E-08,8.47987E-07,1.65762E-08
381,tt_mc,1,0,0,1,0,1,1.15206E-08,8.88101E-07,2.42359E-08
61,tt_mc,0,0,0,1,0,1,1.11989E-08,8.79666E-07,2.26743E-08
581,tt_mc,1,1,1,0,0,1,1.0877E-08,9.26631E-07,3.00161E-08
261,tt_mc,0,1,1,0,0,1,1.05541E-08,9.46596E-07,3.04919E-08
501,tt_mc,1,1,0,0,0,1,1.02333E-08,8.80803E-07,2.17148E-08
181,tt_mc,0,1,0,0,0,1,9.91278E-09,8.76433E-07,3.38835E-08
421,tt_mc,1,0,1,0,0,1,9.5986E-09,8.62551E-07,2.44562E-08
101,tt_mc,0,0,1,0,0,1,9.27874E-09,8.96376E-07,2.80809E-08
341,tt_mc,1,0,0,0,0,1,8.96146E-09,8.35113E-07,2.15875E-08
21,tt_mc,0,0,0,0,0,1,8.65139E-09,8.08825E-07,2.19448E-08
601,tt_mc,1,1,1,1,1,1,8.64565E-09,8.06689E-07,2.73024E-08
281,tt_mc,0,1,1,1,1,1,8.33692E-09,8.23148E-07,2.06443E-08
521,tt_mc,1,1,0,1,1,1,8.02831E-09,8.6754E-07,2.56628E-08
201,tt_mc,0,1,0,1,1,1,7.72389E-09,9.45298E-07,4.56982E-08
441,tt_mc,1,0,1,1,1,1,7.42251E-09,8.50915E-07,2.69966E-08
121,tt_mc,0,0,1,1,1,1,7.12442E-09,9.5546E-07,4.4118E-08
361,tt_mc,1,0,0,1,1,1,6.80853E-09,8.31059E-07,2.95614E-08
41,tt_mc,0,0,0,1,1,1,6.53497E-09,7.84793E-07,2.2699E-08
561,tt_mc,1,1,1,0,1,1,6.24162E-09,7.79987E-07,1.84935E-08
241,tt_mc,0,1,1,0,1,1,5.95016E-09,8.58059E-07,3.05262E-08
481,tt_mc,1,1,0,0,1,1,5.61888E-09,8.69417E-07,3.23342E-08
161,tt_mc,0,1,0,0,1,1,5.37008E-09,9.21372E-07,4.4742E-08
401,tt_mc,1,0,1,0,1,1,5.07195E-09,9.44899E-07,4.57204E-08
81,tt_mc,0,0,1,0,1,1,4.74666E-09,8.68279E-07,3.51895E-08
321,tt_mc,1,0,0,0,1,1,4.45417E-09,8.65991E-07,3.885E-08
1,tt_mc,0,0,0,0,1,1,4.17793E-09,8.72036E-07,3.74478E-08
622,tt_mc,1,1,1,1,0,2,1.33955E-08,8.76651E-07,1.49933E-08
302,tt_mc,0,1,1,1,0,2,1.30915E-08,9.08555E-07,1.71466E-08
542,tt_mc,1,1,0,1,0,2,1.27751E-08,8.88453E-07,2.10106E-08
222,tt_mc,0,1,0,1,0,2,1.24641E-08,8.63814E-07,1.48625E-08
462,tt_mc,1,0,1,1,0,2,1.21611E-08,8.72639E-07,2.07353E-08
142,tt_mc,0,0,1,1,0,2,1.18409E-08,8.93672E-07,2.00641E-08
382,tt_mc,1,0,0,1,0,2,1.15213E-08,8.80925E-07,2.21913E-08
62,tt_mc,0,0,0,1,0,2,1.11967E-08,8.74276E-07,2.24153E-08
582,tt_mc,1,1,1,0,0,2,1.08766E-08,8.45636E-07,2.33775E-08
262,tt_mc,0,1,1,0,0,2,1.05616E-08,8.96713E-07,2.6408E-08
502,tt_mc,1,1,0,0,0,2,1.02395E-08,8.68281E-07,2.30143E-08
182,tt_mc,0,1,0,0,0,2,9.91818E-09,8.6286E-07,2.00698E-08
422,tt_mc,1,0,1,0,0,2,9.591E-09,8.92866E-07,3.14736E-08
102,tt_mc,0,0,1,0,0,2,9.27703E-09,9.094E-07,2.78944E-08
342,tt_mc,1,0,0,0,0,2,8.96588E-09,8.66005E-07,2.93123E-08
22,tt_mc,0,0,0,0,0,2,8.65196E-09,8.08835E-07,2.25542E-08
602,tt_mc,1,1,1,1,1,2,8.65176E-09,8.09237E-07,2.06499E-08
282,tt_mc,0,1,1,1,1,2,8.33847E-09,8.30104E-07,2.17694E-08
522,tt_mc,1,1,0,1,1,2,8.03173E-09,8.63507E-07,2.58593E-08
202,tt_mc,0,1,0,1,1,2,7.72398E-09,9.26793E-07,3.66499E-08
442,tt_mc,1,0,1,1,1,2,7.42087E-09,9.02378E-07,3.05833E-08
122,tt_mc,0,0,1,1,1,2,7.12972E-09,9.1176E-07,4.08424E-08
362,tt_mc,1,0,0,1,1,2,6.8323E-09,8.41133E-07,2.549E-08
42,tt_mc,0,0,0,1,1,2,6.53459E-09,8.66974E-07,3.27517E-08
562,tt_mc,1,1,1,0,1,2,6.23602E-09,8.97289E-07,3.57015E-08
242,tt_mc,0,1,1,0,1,2,5.94707E-09,9.2125E-07,4.19033E-08
482,tt_mc,1,1,0,0,1,2,5.65866E-09,8.69919E-07,3.70397E-08
162,tt_mc,0,1,0,0,1,2,5.36935E-09,9.18855E-07,4.65029E-08
402,tt_mc,1,0,1,0,1,2,5.07104E-09,9.99205E-07,5.25687E-08
82,tt_mc,0,0,1,0,1,2,4.74261E-09,9.67385E-07,4.18794E-08
322,tt_mc,1,0,0,0,1,2,4.49946E-09,8.97279E-07,4.26123E-08
2,tt_mc,0,0,0,0,1,2,4.20752E-09,8.20726E-07,3.86358E-08
623,tt_mc,1,1,1,1,0,3,1.33891E-08,8.75535E-07,1.67149E-08
303,tt_mc,0,1,1,1,0,3,1.30929E-08,9.27353E-07,1.92756E-08
543,tt_mc,1,1,0,1,0,3,1.27737E-08,8.62823E-07,1.96385E-08
223,tt_mc,0,1,0,1,0,3,1.24634E-08,8.70142E-07,1.60498E-08
463,tt_mc,1,0,1,1,0,3,1.21593E-08,9.24737E-07,2.4064E-08
143,tt_mc,0,0,1,1,0,3,1.18339E-08,8.62147E-07,1.83288E-08
383,tt_mc,1,0,0,1,0,3,1.15237E-08,9.11348E-07,2.25895E-08
63,tt_mc,0,0,0,1,0,3,1.11968E-08,8.73735E-07,1.99563E-08
583,tt_mc,1,1,1,0,0,3,1.08764E-08,8.80502E-07,2.12627E-08
263,tt_mc,0,1,1,0,0,3,1.05628E-08,9.01242E-07,2.03678E-08
503,tt_mc,1,1,0,0,0,3,1.02402E-08,8.75495E-07,2.56316E-08
183,tt_mc,0,1,0,0,0,3,9.91575E-09,9.41416E-07,3.61207E-08
423,tt_mc,1,0,1,0,0,3,9.59346E-09,8.55008E-07,2.66426E-08
103,tt_mc,0,0,1,0,0,3,9.2756E-09,9.40454E-07,3.33067E-08
343,tt_mc,1,0,0,0,0,3,8.96937E-09,9.18505E-07,2.87098E-08
23,tt_mc,0,0,0,0,0,3,8.6537E-09,8.09285E-07,2.64992E-08
603,tt_mc,1,1,1,1,1,3,8.64866E-09,8.08081E-07,2.45774E-08
283,tt_mc,0,1,1,1,1,3,8.34123E-09,8.39958E-07,2.41408E-08
523,tt_mc,1,1,0,1,1,3,8.02805E-09,8.85656E-07,2.7093E-08
