delay_tt_mc X,
5.63988972495477e-09,1
5.64684520596856e-09,3
5.64852739611733e-09,1
5.6490756012082e-09,2
5.65135239087375e-09,9
5.652340919144e-09,4
5.65275270220734e-09,1
5.65316013329514e-09,2
5.65324845426436e-09,3
5.65398842786869e-09,5
5.65425163755559e-09,6
5.6542778532723e-09,7
5.6560993990632e-09,8
5.65696471187383e-09,4
5.65809002097144e-09,6
5.65840025315024e-09,10
5.65879313710013e-09,9
5.65886496455765e-09,5
5.65890493830224e-09,11
5.65910083118298e-09,3
5.65919184451225e-09,8
5.6595004664828e-09,17
5.65993073144987e-09,16
5.65993719146414e-09,7
5.65999643453309e-09,14
5.66101796131851e-09,1
5.66135543963444e-09,2
5.66154967406325e-09,13
5.66177646036787e-09,12
5.66198260390554e-09,15
5.66237780085057e-09,18
5.66262780501809e-09,32
5.66263284656581e-09,23
5.66283082888443e-09,29
5.66285420698578e-09,25
5.66290141149704e-09,24
5.66325977614613e-09,19
5.66337515351884e-09,34
5.66356793932561e-09,35
5.66358797891638e-09,5
5.66379699689206e-09,2
5.6639216473246e-09,14
5.66407713549763e-09,18
5.66416885619785e-09,33
5.66460353592534e-09,30
5.66483214440704e-09,21
5.66493520735612e-09,27
5.6652533662313e-09,16
5.66544135426698e-09,31
5.66564466885299e-09,10
5.66577202285804e-09,28
5.66583226831531e-09,20
5.66599565725044e-09,26
5.66609986981502e-09,6
5.6661084313341e-09,1
5.666145887759e-09,17
5.66614817753881e-09,3
5.6669815732125e-09,4
5.66698437259638e-09,8
5.66700060303871e-09,12
5.66704581572135e-09,7
5.66733835381566e-09,13
5.66739681785133e-09,9
5.66742968445121e-09,11
5.66750344683907e-09,15
5.66761156689591e-09,22
5.66810623131019e-09,33
5.66822661016739e-09,28
5.66833277769685e-09,38
5.6687189807549e-09,37
5.66894405227366e-09,39
5.66901291436263e-09,23
5.66913593575157e-09,21
5.66924721408655e-09,2
5.66949286108323e-09,6
5.66951844647511e-09,10
5.66973165524935e-09,4
5.67005830053419e-09,20
5.67029197718765e-09,14
5.67036685252804e-09,16
5.6706765570428e-09,18
5.67097221859644e-09,12
5.67112240919114e-09,34
5.67121527854642e-09,17
5.67137354261011e-09,32
5.67150187003686e-09,26
5.67150305916849e-09,1
5.6715089390536e-09,19
5.67155822408458e-09,31
5.67165971120587e-09,22
5.67175671410358e-09,29
5.67188280479007e-09,15
5.67200367456921e-09,11
5.67202977144645e-09,27
5.6720775900087e-09,3
5.67238523624959e-09,13
5.67258443652699e-09,7
5.67285690626327e-09,9
5.67286816299092e-09,8
5.67297458252896e-09,35
5.67309149849664e-09,30
5.67323144109707e-09,24
5.67338940137139e-09,36
5.67354645072113e-09,5
5.6736911713143e-09,25
5.67377391770024e-09,15
5.67389865896285e-09,2
5.67400483845191e-09,27
5.67403861233742e-09,34
5.67436690419798e-09,38
5.67440132602301e-09,5
5.674516588973e-09,41
5.67456658556191e-09,36
5.67477653378687e-09,6
5.67491755269133e-09,30
5.6749322863493e-09,43
5.67500796715317e-09,4
5.6750125809296e-09,42
5.67506649982512e-09,16
5.67513152150733e-09,3
5.67516004781019e-09,24
5.67520372350972e-09,26
5.67524219404737e-09,44
5.67529127024873e-09,40
5.67564845085697e-09,13
5.67569440426437e-09,23
5.67570856700527e-09,11
5.67592827046651e-09,12
5.67619960013945e-09,25
5.67640166106102e-09,7
5.67640941496397e-09,1
5.67641333460652e-09,8
5.67643845251095e-09,35
5.67650435911457e-09,17
5.67651811961584e-09,29
5.67657974795578e-09,22
5.6766097406796e-09,39
5.67661919420108e-09,32
5.67671066601754e-09,9
5.67673601196872e-09,10
5.67689461388213e-09,21
5.67744578649356e-09,31
5.67793283039648e-09,28
5.67803729814123e-09,19
5.67850686883771e-09,37
5.67886206027751e-09,14
5.67892069045246e-09,20
5.6789624348211e-09,18
5.67919027578585e-09,33
5.67944286119197e-09,10
5.67964098593174e-09,16
5.68028712131883e-09,6
5.68057087669169e-09,28
5.68061491227751e-09,20
5.68077816311046e-09,1
5.68078843740958e-09,29
5.68079194786542e-09,13
5.68109153177002e-09,14
5.68119395909225e-09,8
5.68137910855187e-09,2
5.68141624254126e-09,22
5.6814457203974e-09,26
5.68145220180698e-09,4
5.6815915513606e-09,11
5.6816116661616e-09,18
5.68162221076001e-09,3
5.68233184581943e-09,5
5.68259806387852e-09,17
5.68285489282078e-09,24
5.68305113576024e-09,21
5.68320219084946e-09,27
5.68337518722253e-09,12
5.6834724831256e-09,19
5.68355290983949e-09,25
5.68385114129423e-09,7
5.68476049608808e-09,9
5.68487488326541e-09,23
5.68497240836714e-09,15
5.68547130252286e-09,6
5.68568381365646e-09,3
5.68641752673722e-09,12
5.68643603598084e-09,4
5.68671855715461e-09,2
5.68680683287675e-09,11
5.68751128862465e-09,9
5.68835381395397e-09,10
5.68876760232446e-09,8
5.68896096265603e-09,7
5.68922243857991e-09,5
5.69033814374786e-09,1
5.69079906324924e-09,5
5.69091852428914e-09,7
5.69139040043882e-09,2
5.69274041452591e-09,4
5.69280740898087e-09,9
5.69290826692839e-09,3
5.69296615148495e-09,8
5.69381727937628e-09,10
5.69630416093932e-09,1
5.69630590529565e-09,6
