delay X,delay Y
8.2e-07,1.926833490826157e-09
8.4e-07,1.927633867786565e-09
8.6e-07,1.928505228257991e-09
8.8e-07,1.929356689585723e-09
9e-07,1.93035671921578e-09
9.2e-07,1.93121363358413e-09
9.4e-07,1.932197316610286e-09
9.599999999999999e-07,1.933153819854918e-09
9.799999999999999e-07,1.934211509310329e-09
1e-06,1.935161741937461e-09
1.02e-06,1.936137613512289e-09
1.04e-06,1.937145026830829e-09
1.06e-06,1.93810741013773e-09
1.08e-06,1.939085490306638e-09
1.1e-06,1.940137647304376e-09
1.12e-06,1.941138855124931e-09
1.14e-06,1.941085586984245e-09
1.16e-06,1.942107104430426e-09
1.18e-06,1.943099756769407e-09
1.2e-06,1.944078263230002e-09
1.22e-06,1.945022251448355e-09
1.24e-06,1.946036581980117e-09
1.26e-06,1.947026832632034e-09
1.28e-06,1.947968880018086e-09
1.3e-06,1.948914854585068e-09
1.32e-06,1.94997052983921e-09
1.34e-06,1.95084093616655e-09
1.36e-06,1.951838731033855e-09
1.38e-06,1.9527494070042e-09
1.4e-06,1.953705477403692e-09
1.42e-06,1.954642575972555e-09
1.44e-06,1.955623681183217e-09
1.46e-06,1.948914239456494e-09
1.48e-06,1.948652502267189e-09
1.5e-06,1.94950728901759e-09
1.52e-06,1.950419281015961e-09
1.54e-06,1.951356500303846e-09
1.56e-06,1.952367504085068e-09
1.58e-06,1.953301429279614e-09
1.6e-06,1.954266529473329e-09
1.62e-06,1.955260637934105e-09
1.64e-06,1.9562568954771e-09
1.66e-06,1.957263649129745e-09
1.68e-06,1.958271564950073e-09
1.7e-06,1.959276748884608e-09
1.72e-06,1.960278376071627e-09
1.74e-06,1.961288176907762e-09
1.76e-06,1.962296036181318e-09
1.78e-06,1.962294262719579e-09
1.8e-06,1.963277717106594e-09
1.82e-06,1.96428100083507e-09
1.84e-06,1.965278634138354e-09
1.86e-06,1.966287168343189e-09
1.88e-06,1.967256819798636e-09
1.9e-06,1.968247975161176e-09
1.92e-06,1.969226119526254e-09
1.94e-06,1.970189120283368e-09
1.96e-06,1.971246938874008e-09
1.98e-06,1.972141692594083e-09
2e-06,1.973082419860673e-09
