leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
7.499999999999999e-09,4.959548041402906e-06
7.509374999999998e-09,4.961165174180489e-06
7.524087343305573e-09,4.962256377013727e-06
7.551117370994565e-09,5.108610237267216e-06
7.558025726172611e-09,5.599858439264424e-06
7.566594261116475e-09,7.728257870829394e-06
7.571411843617753e-09,1.012696313498752e-05
7.575845480909467e-09,1.291314992874195e-05
7.580436773130086e-09,1.565354621688326e-05
7.585030829249851e-09,1.749836353659836e-05
7.5901900609447e-09,1.884431733700321e-05
7.591679646308704e-09,2.356133417044487e-05
7.592898070608749e-09,2.500146318093387e-05
7.593979787486658e-09,2.779255777124491e-05
7.595065873514351e-09,3.055525842214796e-05
7.597238045569736e-09,3.764011567144057e-05
7.598714053257219e-09,4.343016561083444e-05
7.6001900609447e-09,4.837239461919e-05
7.600543189282634e-09,4.912210026375233e-05
7.601070099682601e-09,5.002952659022775e-05
7.601540789282577e-09,5.057212302070236e-05
7.602482168482527e-09,5.091944839980618e-05
7.604364926882427e-09,5.129361198368637e-05
7.606087765112852e-09,5.820271978257381e-05
7.607608678948682e-09,6.785451094820774e-05
7.608916809535608e-09,7.26067172868764e-05
7.610612249615613e-09,7.013553640637504e-05
7.612407484252929e-09,6.372345754271487e-05
7.613795648140245e-09,7.068571375830785e-05
7.614519741059103e-09,7.572309381848824e-05
7.615281610440255e-09,7.652527860913639e-05
7.616112898903689e-09,7.143143589128929e-05
7.617023100588394e-09,6.078379105977889e-05
7.617908047247446e-09,4.830028182710198e-05
7.618678953209399e-09,3.829767810371092e-05
7.619337846763571e-09,3.147334880383185e-05
7.620055512991498e-09,2.710713882913756e-05
7.620890039482415e-09,2.49657570753341e-05
7.621902605466338e-09,2.382971145750964e-05
7.622649401746346e-09,2.329925117592758e-05
7.623486819353265e-09,2.283082427674058e-05
7.624585093064463e-09,2.231717660833687e-05
7.62628671331939e-09,2.161198187050972e-05
7.628665466142828e-09,2.06447886423691e-05
7.631618806521893e-09,1.930583169962612e-05
7.635563683173367e-09,1.713253762095946e-05
7.641428060359997e-09,1.327792246715909e-05
7.645714030179998e-09,1.050537365933707e-05
7.649999999999999e-09,8.291920979683769e-06
7.652555438045523e-09,7.319257726505614e-06
7.655645121613823e-09,6.433325029967732e-06
7.658619859606988e-09,5.884210507016719e-06
7.664569335593318e-09,5.311354860369482e-06
7.672691859490039e-09,5.049692094199188e-06
7.681890465409605e-09,4.978362052520607e-06
7.692251841301955e-09,4.962677092380013e-06
7.704911647076523e-09,4.959870323963435e-06
7.721009030640651e-09,4.959566948933383e-06
7.741181757388072e-09,4.959554985723027e-06
7.769271515792728e-09,4.959552134216247e-06
7.813094878903805e-09,4.959553127036159e-06
7.900138991882292e-09,4.959554925510585e-06
8.074227217839266e-09,4.95955855646037e-06
8.422403669753215e-09,4.959565644714011e-06
9.118756573581112e-09,4.959579326236174e-06
1.051146238123691e-08,4.959604689978713e-06
1.275573119061845e-08,4.95964059288436e-06
1.5e-08,4.959671073422374e-06
1.50375e-08,4.976073382753732e-06
1.504697753549837e-08,5.070258633219047e-06
1.506593260649511e-08,8.479806827929684e-06
1.507110711404099e-08,1.123181945536386e-05
1.507567954936086e-08,1.416117591506e-05
1.508104447649395e-08,1.745688060093249e-05
1.508626266414069e-08,1.97171296012398e-05
1.509563839149817e-08,1.930489132778391e-05
1.509962605955923e-08,1.690650694761594e-05
1.510216819320127e-08,1.497927645544533e-05
1.510526897389234e-08,1.308511174972801e-05
1.510775317749593e-08,1.232914210886868e-05
1.511027701284335e-08,1.222449258555543e-05
1.511272603490584e-08,1.2296772578785e-05
1.511529930047282e-08,1.236743836401892e-05
1.511780144933002e-08,1.241248887513535e-05
1.512132429107499e-08,1.244027609114173e-05
1.51278014490582e-08,1.24096239417525e-05
1.513989575200272e-08,1.21837880087429e-05
1.515e-08,1.190170295988495e-05
1.515289634610059e-08,1.12934081645039e-05
1.515791496369725e-08,1.058533292214926e-05
1.516240897570118e-08,1.028532201386118e-05
1.517139699970904e-08,9.979847762086348e-06
1.517984890554449e-08,9.836440359598148e-06
1.519264685491982e-08,9.674263720771067e-06
1.520944649484287e-08,9.489242250456089e-06
1.523906285822191e-08,9.254659551616128e-06
1.526502665872495e-08,9.351337705505352e-06
1.528837975594005e-08,9.994766996549802e-06
1.531329968418936e-08,1.121124843934872e-05
1.533410874804806e-08,1.202189906626142e-05
1.535674787034207e-08,1.205777985118981e-05
1.536806743148907e-08,1.326834750381665e-05
1.537259116309642e-08,1.483173154192737e-05
1.537740348266534e-08,1.729418486783311e-05
1.538275066718997e-08,2.039423368320539e-05
1.538837133460176e-08,2.205066341131535e-05
1.539384979423712e-08,2.156090584389509e-05
1.539543939662435e-08,2.417262695735985e-05
1.539665545001531e-08,2.75149854887954e-05
1.539818412465469e-08,3.126298248273128e-05
1.539943507746798e-08,3.215917450506033e-05
1.540093789514159e-08,2.943454480280641e-05
1.540265833923669e-08,2.186941752325808e-05
1.540401873801126e-08,1.509667745430048e-05
1.540500271742012e-08,1.151187630503906e-05
1.540597563655261e-08,9.347971437075123e-06
1.540757778603299e-08,7.483400783740952e-06
1.540872390696679e-08,6.766565766561669e-06
1.540995598923e-08,6.311833081617059e-06
1.541136970601017e-08,6.017425792154648e-06
1.541365818926979e-08,5.753315994600471e-06
1.541619358985342e-08,5.562342928683191e-06
1.541912729854325e-08,5.391685046596145e-06
1.542267221670794e-08,5.235660482345442e-06
1.54278144854617e-08,5.089084456983883e-06
1.543636250041386e-08,4.987015075589069e-06
1.544777922005487e-08,4.961931850769248e-06
1.545843762110164e-08,4.959949349820842e-06
1.547026177025805e-08,4.959723817042554e-06
1.548482907681956e-08,4.959697234373545e-06
1.551049679210917e-08,4.959690588718192e-06
1.554456761271493e-08,4.959690663186131e-06
1.561223921158898e-08,4.959691323966239e-06
1.572615807140131e-08,4.959692833761759e-06
1.595399579102596e-08,4.959695843633656e-06
1.640967123027526e-08,4.959701705073161e-06
1.732102210877387e-08,4.959712876044777e-06
1.914372386577108e-08,4.95973310639575e-06
2.25e-08,4.959764069273734e-06
2.2509375e-08,4.961506868797149e-06
2.252441964982018e-08,4.962688133635429e-06
2.255450894946054e-08,5.283996578782856e-06
2.256203104206347e-08,6.366345762733573e-06
2.256812168790187e-08,8.582799902721422e-06
2.25726514069578e-08,1.124242904434034e-05
2.257848844155078e-08,1.527016928645957e-05
2.258291729995668e-08,1.787209304461138e-05
2.258802452616923e-08,1.959521224656057e-05
2.25901805076193e-08,2.055460352326531e-05
2.259098092503301e-08,2.124772404697731e-05
2.259183167498006e-08,2.229595602693894e-05
