"delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) Y"
5e-08,2.077335674309506e-09,5e-08,1.72791883248881e-09,5e-08,1.362286134151683e-09,5e-08,1.445370683804063e-09,5e-08,1.26927857886072e-09,5e-08,1.067258961609786e-09,5e-08,1.290932821551443e-09,5e-08,1.150424371072498e-09,5e-08,9.530522798098088e-10,5e-08,4.160294292751289e-09,5e-08,3.600650209300684e-09,5e-08,2.880689699381487e-09,5e-08,2.557472123744009e-09,5e-08,2.23232302312262e-09,5e-08,1.920873346899555e-09,5e-08,2.097970919622798e-09,5e-08,1.930406914192583e-09,5e-08,1.711470034626262e-09,5e-08,9.383987665875674e-10,5e-08,7.489430870463275e-10,5e-08,5.557082737039215e-10,5e-08,7.202554323339156e-10,5e-08,6.051561223410792e-10,5e-08,4.42806097931187e-10,5e-08,6.662952967058333e-10,5e-08,5.399699586813959e-10,5e-08,3.490114776889213e-10
8e-08,2.111614349590551e-09,8e-08,1.763054646339651e-09,8e-08,1.397971730645664e-09,8e-08,1.486357979066728e-09,8e-08,1.310008247455045e-09,8e-08,1.107267126182951e-09,8e-08,1.338219099646015e-09,8e-08,1.197742113848443e-09,8e-08,1.000151468418811e-09,8e-08,4.196819058839733e-09,8e-08,3.650121969555178e-09,8e-08,2.934912251556521e-09,8e-08,2.606145697643146e-09,8e-08,2.28237242476393e-09,8e-08,1.971763280185589e-09,8e-08,2.15609550575929e-09,8e-08,1.988992689555052e-09,8e-08,1.768919332395396e-09,8e-08,9.652163719154699e-10,8e-08,7.760952566913326e-10,8e-08,5.823878100715822e-10,8e-08,7.524686179860301e-10,8e-08,6.373893382916342e-10,8e-08,4.749388903576535e-10,8e-08,7.037317898167767e-10,8e-08,5.771974017200331e-10,8e-08,3.868634142358899e-10
1.1e-07,2.146886385454144e-09,1.1e-07,1.800067710358078e-09,1.1e-07,1.434656108554998e-09,1.1e-07,1.527623329691802e-09,1.1e-07,1.351177088684295e-09,1.1e-07,1.148566120652972e-09,1.1e-07,1.385216442619915e-09,1.1e-07,1.245540847895718e-09,1.1e-07,1.04781088368726e-09,1.1e-07,4.234331785104821e-09,1.1e-07,3.701422570526349e-09,1.1e-07,2.987459107416126e-09,1.1e-07,2.657487756311493e-09,1.1e-07,2.332746376358994e-09,1.1e-07,2.022174862107754e-09,1.1e-07,2.214826573290675e-09,1.1e-07,2.047308683941114e-09,1.1e-07,1.82716026162415e-09,1.1e-07,9.922839817387181e-10,1.1e-07,8.030271659624968e-10,1.1e-07,6.093081636945243e-10,1.1e-07,7.847684906100737e-10,1.1e-07,6.698851423514457e-10,1.1e-07,5.073268123850438e-10,1.1e-07,7.416397218665588e-10,1.1e-07,6.150321168838969e-10,1.1e-07,4.24374800868494e-10
1.4e-07,2.182134353640914e-09,1.4e-07,1.835507372888361e-09,1.4e-07,1.470155025712837e-09,1.4e-07,1.568746690682859e-09,1.4e-07,1.392477916581143e-09,1.4e-07,1.189395268442789e-09,1.4e-07,1.433728704198243e-09,1.4e-07,1.293193544452504e-09,1.4e-07,1.095586111228477e-09,1.4e-07,4.272385106697454e-09,1.4e-07,3.749199816808857e-09,1.4e-07,3.039284735448636e-09,1.4e-07,2.708593169696516e-09,1.4e-07,2.382551164158204e-09,1.4e-07,2.07221477689839e-09,1.4e-07,2.273109497341867e-09,1.4e-07,2.105441817201784e-09,1.4e-07,1.88503904997037e-09,1.4e-07,1.01904874665032e-09,1.4e-07,8.296766466332382e-10,1.4e-07,6.36439875802042e-10,1.4e-07,8.173063836270265e-10,1.4e-07,7.019829677186267e-10,1.4e-07,5.397277989890609e-10,1.4e-07,7.793858974849192e-10,1.4e-07,6.530856912096543e-10,1.4e-07,4.620643862539373e-10
1.7e-07,2.217873625103997e-09,1.7e-07,1.870559738580915e-09,1.7e-07,1.506655323906255e-09,1.7e-07,1.61019052126505e-09,1.7e-07,1.433304014660141e-09,1.7e-07,1.230339409285787e-09,1.7e-07,1.481282049319457e-09,1.7e-07,1.34105851219121e-09,1.7e-07,1.143343367662667e-09,1.7e-07,4.320034561825758e-09,1.7e-07,3.799927082751941e-09,1.7e-07,3.091861341575673e-09,1.7e-07,2.760056874127978e-09,1.7e-07,2.433569978620229e-09,1.7e-07,2.123467490016202e-09,1.7e-07,2.331429419960905e-09,1.7e-07,2.16355069012478e-09,1.7e-07,1.943883141956788e-09,1.7e-07,1.045224071859891e-09,1.7e-07,8.569162115275503e-10,1.7e-07,6.634562502869856e-10,1.7e-07,8.492089552099392e-10,1.7e-07,7.342986415263302e-10,1.7e-07,5.720053288961983e-10,1.7e-07,8.171965513180074e-10,1.7e-07,6.910336849897311e-10,1.7e-07,5.001866355648228e-10
2e-07,2.253431612268805e-09,2e-07,1.906649931731814e-09,2e-07,1.542877636513602e-09,2e-07,1.65146492851426e-09,2e-07,1.474410201871422e-09,2e-07,1.271314047056574e-09,2e-07,1.529291826860327e-09,2e-07,1.388769494154531e-09,2e-07,1.191081996140553e-09,2e-07,4.363938205320273e-09,2e-07,3.851455293740142e-09,2e-07,3.143765036144851e-09,2e-07,2.809376669385125e-09,2e-07,2.484156982564521e-09,2e-07,2.174420521731221e-09,2e-07,2.389953069040941e-09,2e-07,2.222385811426867e-09,2e-07,2.001577323637074e-09,2e-07,1.073299416524372e-09,2e-07,8.829802952358244e-10,2e-07,6.904279161276287e-10,2e-07,8.821760533437701e-10,2e-07,7.669708693618327e-10,2e-07,6.044429338393665e-10,2e-07,8.549663379254112e-10,2e-07,7.287879687485494e-10,2e-07,5.379582832418951e-10
2.3e-07,2.28881470207938e-09,2.3e-07,1.941637891539071e-09,2.3e-07,1.579528634548062e-09,2.3e-07,1.692487624220218e-09,2.3e-07,1.51600331874084e-09,2.3e-07,1.312336938606257e-09,2.3e-07,1.576970551310144e-09,2.3e-07,1.436390016220746e-09,2.3e-07,1.238836992130749e-09,2.3e-07,4.40708389139687e-09,2.3e-07,3.898467310291139e-09,2.3e-07,3.195635389699658e-09,2.3e-07,2.861897332604605e-09,2.3e-07,2.534852100619603e-09,2.3e-07,2.225396768439832e-09,2.3e-07,2.448662148677376e-09,2.3e-07,2.280673033125137e-09,2.3e-07,2.059939041920663e-09,2.3e-07,1.100172866906281e-09,2.3e-07,9.105960208342693e-10,2.3e-07,7.173673765634219e-10,2.3e-07,9.146264217221183e-10,2.3e-07,7.992544396766067e-10,2.3e-07,6.367607447970792e-10,2.3e-07,8.928661885263115e-10,2.3e-07,7.666763040348926e-10,2.3e-07,5.757851408856696e-10
2.599999999999999e-07,2.323738952093862e-09,2.599999999999999e-07,1.977993329874453e-09,2.599999999999999e-07,1.615155927958349e-09,2.599999999999999e-07,1.733919150344192e-09,2.599999999999999e-07,1.556485541639055e-09,2.599999999999999e-07,1.353351129533264e-09,2.599999999999999e-07,1.624800896152261e-09,2.599999999999999e-07,1.48411532853726e-09,2.599999999999999e-07,1.286577698515821e-09,2.599999999999999e-07,4.453672722713732e-09,2.599999999999999e-07,3.952577917240641e-09,2.599999999999999e-07,3.247469264985774e-09,2.599999999999999e-07,2.913311960225952e-09,2.599999999999999e-07,2.585480015114171e-09,2.599999999999999e-07,2.276175503695358e-09,2.599999999999999e-07,2.507232457597749e-09,2.599999999999999e-07,2.33932306451265e-09,2.599999999999999e-07,2.117681614552387e-09,2.599999999999999e-07,1.127112927155989e-09,2.599999999999999e-07,9.3779869778396e-10,2.599999999999999e-07,7.442289038519351e-10,2.599999999999999e-07,9.471034561586329e-10,2.599999999999999e-07,8.316481214401608e-10,2.599999999999999e-07,6.691099320223121e-10,2.599999999999999e-07,9.304957345362727e-10,2.599999999999999e-07,8.043865494191408e-10,2.599999999999999e-07,6.133467583107028e-10
2.9e-07,2.35890990739462e-09,2.9e-07,2.013971011890202e-09,2.9e-07,1.651537621760856e-09,2.9e-07,1.775558262341549e-09,2.9e-07,1.598382683119194e-09,2.9e-07,1.394763850176243e-09,2.9e-07,1.672388741582496e-09,2.9e-07,1.531845848211749e-09,2.9e-07,1.334146962264853e-09,2.9e-07,4.502418371444397e-09,2.9e-07,4.000145760140467e-09,2.9e-07,3.299139398659276e-09,2.9e-07,2.964182326244173e-09,2.9e-07,2.637495920927026e-09,2.9e-07,2.326894822764941e-09,2.9e-07,2.56513509960585e-09,2.9e-07,2.397069093244177e-09,2.9e-07,2.175843202551078e-09,2.9e-07,1.154225339117813e-09,2.9e-07,9.642682346255857e-10,2.9e-07,7.711553777030875e-10,2.9e-07,9.798104945984574e-10,2.9e-07,8.640283388788591e-10,2.9e-07,7.010530720168719e-10,2.9e-07,9.682520956080571e-10,2.9e-07,8.423399561667024e-10,2.9e-07,6.512988000213637e-10
3.2e-07,2.394284250975443e-09,3.2e-07,2.049153525476291e-09,3.2e-07,1.688319630441276e-09,3.2e-07,1.815600198543268e-09,3.2e-07,1.638930574917896e-09,3.2e-07,1.435294851179508e-09,3.2e-07,1.720374293630421e-09,3.2e-07,1.579715723591666e-09,3.2e-07,1.381897784991492e-09,3.2e-07,4.552497069351865e-09,3.2e-07,4.052425075903082e-09,3.2e-07,3.351008853114937e-09,3.2e-07,3.015227918361951e-09,3.2e-07,2.687762108498217e-09,3.2e-07,2.37725748354335e-09,3.2e-07,2.624426024403567e-09,3.2e-07,2.456047002907478e-09,3.2e-07,2.234992731835505e-09,3.2e-07,1.181102356981885e-09,3.2e-07,9.916540698563567e-10,3.2e-07,7.979621435859159e-10,3.2e-07,1.012176905893136e-09,3.2e-07,8.964875573768871e-10,3.2e-07,7.331467271286214e-10,3.2e-07,1.005901779514364e-09,3.2e-07,8.80157083672631e-10,3.2e-07,6.890335040962695e-10
