"delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ttg_localmc,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ttg_localmc,Vdd=1.1,temperature=-55) Y"
6.000000000000001e-08,1.660979859893317e-10,6.000000000000001e-08,1.521138491959891e-10,6.000000000000001e-08,1.370187582588297e-10,6.000000000000001e-08,7.863620734711448e-11,6.000000000000001e-08,7.936698048168763e-11,6.000000000000001e-08,7.950644045053617e-11,6.000000000000001e-08,5.551107933403145e-11,6.000000000000001e-08,5.675353035216605e-11,6.000000000000001e-08,5.819437647959447e-11,6.000000000000001e-08,3.267753785632175e-10,6.000000000000001e-08,2.746171374430542e-10,6.000000000000001e-08,2.291080314686679e-10,6.000000000000001e-08,1.114611623292602e-10,6.000000000000001e-08,1.114755905951957e-10,6.000000000000001e-08,1.105657855936601e-10,6.000000000000001e-08,6.962697852399317e-11,6.000000000000001e-08,7.179552147757832e-11,6.000000000000001e-08,7.452323401726138e-11,6.000000000000001e-08,9.69596885948912e-11,6.000000000000001e-08,9.427951886316889e-11,6.000000000000001e-08,8.913802529014087e-11,6.000000000000001e-08,5.769359297272395e-11,6.000000000000001e-08,5.828931623144773e-11,6.000000000000001e-08,5.805085318076668e-11,6.000000000000001e-08,4.41382723941453e-11,6.000000000000001e-08,4.477802275152406e-11,6.000000000000001e-08,4.506130755508795e-11,6.000000000000001e-08,7.863620734711448e-11
8e-08,1.669636396345833e-10,8e-08,1.530245709128631e-10,8e-08,1.379799224794219e-10,8e-08,7.950853206261422e-11,8e-08,8.023365934962132e-11,8e-08,8.037029627915246e-11,8e-08,5.647630828125505e-11,8e-08,5.767539950795613e-11,8e-08,5.904926426551274e-11,8e-08,3.27723964519261e-10,8e-08,2.758678199039417e-10,8e-08,2.303695715882786e-10,8e-08,1.125029917400033e-10,8e-08,1.125497674552466e-10,8e-08,1.116486167235196e-10,8e-08,7.078467438327964e-11,8e-08,7.293254539777347e-11,8e-08,7.562186933735582e-11,8e-08,9.76438829493159e-11,8e-08,9.498244248233422e-11,8e-08,8.981604405081555e-11,8e-08,5.841514167667684e-11,8e-08,5.89675728590322e-11,8e-08,5.861925342053357e-11,8e-08,4.485816595512899e-11,8e-08,4.542515147271125e-11,8e-08,4.556248408594014e-11,8e-08,7.950853206261422e-11
1e-07,1.677675407596377e-10,1e-07,1.539529556112865e-10,1e-07,1.389415074479405e-10,1e-07,8.040653822447938e-11,1e-07,8.111400387438859e-11,1e-07,8.124618801112129e-11,1e-07,5.747238993857666e-11,1e-07,5.861888688997336e-11,1e-07,5.992613154152072e-11,1e-07,3.288313420136421e-10,1e-07,2.771521271666703e-10,1e-07,2.316182479795955e-10,1e-07,1.135665794747844e-10,1e-07,1.13600299499408e-10,1e-07,1.127430960658446e-10,1e-07,7.197150776917656e-11,1e-07,7.407569313951905e-11,1e-07,7.673769097480636e-11,1e-07,9.835471566386765e-11,1e-07,9.570318112651298e-11,1e-07,9.049614425969045e-11,1e-07,5.916633616812801e-11,1e-07,5.966790852911213e-11,1e-07,5.919837608040349e-11,1e-07,4.561306794082684e-11,1e-07,4.610140101564446e-11,1e-07,4.606880393423069e-11,1e-07,8.040653822447938e-11
1.2e-07,1.687008829860142e-10,1.2e-07,1.548736639717698e-10,1.2e-07,1.399179535526285e-10,1.2e-07,8.132662220466147e-11,1.2e-07,8.201419319352168e-11,1.2e-07,8.213264230574872e-11,1.2e-07,5.849129908768937e-11,1.2e-07,5.958352698428841e-11,1.2e-07,6.082085918890497e-11,1.2e-07,3.300123208085234e-10,1.2e-07,2.783544357965372e-10,1.2e-07,2.329588507327257e-10,1.2e-07,1.146622380317127e-10,1.2e-07,1.146606846952376e-10,1.2e-07,1.13836541962479e-10,1.2e-07,7.315943471916587e-11,1.2e-07,7.523148919080197e-11,1.2e-07,7.784899261604586e-11,1.2e-07,9.909490195887121e-11,1.2e-07,9.644140935544406e-11,1.2e-07,9.117671624956217e-11,1.2e-07,5.994369873616851e-11,1.2e-07,6.038848219691682e-11,1.2e-07,5.978482605070654e-11,1.2e-07,4.640274227997325e-11,1.2e-07,4.680534043982234e-11,1.2e-07,4.65859048999177e-11,1.2e-07,8.132662220466147e-11
1.4e-07,1.696524632479399e-10,1.4e-07,1.558119469335607e-10,1.4e-07,1.408902340304091e-10,1.4e-07,8.226832366979244e-11,1.4e-07,8.292687392507416e-11,1.4e-07,8.302435832047948e-11,1.4e-07,5.952265083837857e-11,1.4e-07,6.057102197162997e-11,1.4e-07,6.173546911088899e-11,1.4e-07,3.311736450816229e-10,1.4e-07,2.795178743485794e-10,1.4e-07,2.342436365749201e-10,1.4e-07,1.157633925072273e-10,1.4e-07,1.157290684880588e-10,1.4e-07,1.149110893244522e-10,1.4e-07,7.43544733053996e-11,1.4e-07,7.639541147795218e-11,1.4e-07,7.896195212554851e-11,1.4e-07,9.986124706232409e-11,1.4e-07,9.719117065317307e-11,1.4e-07,9.186481325247052e-11,1.4e-07,6.074632327872798e-11,1.4e-07,6.112983808468938e-11,1.4e-07,6.037862671002064e-11,1.4e-07,4.722297278124525e-11,1.4e-07,4.753568356841119e-11,1.4e-07,4.711166154309767e-11,1.4e-07,8.226832366979244e-11
1.6e-07,1.70555416177371e-10,1.6e-07,1.567799325593179e-10,1.6e-07,1.41861567195076e-10,1.6e-07,8.322679683437094e-11,1.6e-07,8.38483037400994e-11,1.6e-07,8.391782619599294e-11,1.6e-07,6.056474184528959e-11,1.6e-07,6.157225111299217e-11,1.6e-07,6.266952818979474e-11,1.6e-07,3.323278959416098e-10,1.6e-07,2.80783435728197e-10,1.6e-07,2.35509302431859e-10,1.6e-07,1.168685469466327e-10,1.6e-07,1.16817078207352e-10,1.6e-07,1.159907750456649e-10,1.6e-07,7.556037445403681e-11,1.6e-07,7.756283299064146e-11,1.6e-07,8.00847380320768e-11,1.6e-07,1.006495250935998e-10,1.6e-07,9.795370668344815e-11,1.6e-07,9.256386675598304e-11,1.6e-07,6.156917792852833e-11,1.6e-07,6.189054341960398e-11,1.6e-07,6.098258133484494e-11,1.6e-07,4.806945553109455e-11,1.6e-07,4.829214279808179e-11,1.6e-07,4.764284747517088e-11,1.6e-07,8.322679683437094e-11
1.8e-07,1.714618707525046e-10,1.8e-07,1.577144682855507e-10,1.8e-07,1.428399507137878e-10,1.8e-07,8.420104537996604e-11,1.8e-07,8.478257045048282e-11,1.8e-07,8.48256708583417e-11,1.8e-07,6.161725371493198e-11,1.8e-07,6.258632945526613e-11,1.8e-07,6.361419014569771e-11,1.8e-07,3.335535969647279e-10,1.8e-07,2.82082401105722e-10,1.8e-07,2.367732200037041e-10,1.8e-07,1.179814042251551e-10,1.8e-07,1.179058957797085e-10,1.8e-07,1.170677773298841e-10,1.8e-07,7.677396021726446e-11,1.8e-07,7.871540457353789e-11,1.8e-07,8.122080476017181e-11,1.8e-07,1.014554535682939e-10,1.8e-07,9.872907974887291e-11,1.8e-07,9.326684223148957e-11,1.8e-07,6.240847789804321e-11,1.8e-07,6.266838264345697e-11,1.8e-07,6.159414054522397e-11,1.8e-07,4.892928039398328e-11,1.8e-07,4.907316823016056e-11,1.8e-07,4.817921745810545e-11,1.8e-07,8.420104537996604e-11
2e-07,1.724409054821639e-10,2e-07,1.586655936045782e-10,2e-07,1.438201575846263e-10,2e-07,8.51825526008723e-11,2e-07,8.572398388726822e-11,2e-07,8.573237922173038e-11,2e-07,6.267754879843879e-11,2e-07,6.361272964723047e-11,2e-07,6.457494126751272e-11,2e-07,3.348371272140954e-10,2e-07,2.833604969796559e-10,2e-07,2.380791770289512e-10,2e-07,1.190970540736307e-10,2e-07,1.189909876650686e-10,2e-07,1.181369021396671e-10,2e-07,7.799235397119016e-11,2e-07,7.986928524692294e-11,2e-07,8.23656272434028e-11,2e-07,1.02278215951669e-10,2e-07,9.951743607557643e-11,2e-07,9.397316892939773e-11,2e-07,6.326717434398575e-11,2e-07,6.346085491269029e-11,2e-07,6.221142624264546e-11,2e-07,4.980610661275251e-11,2e-07,4.98743553805055e-11,2e-07,4.872412338072224e-11,2e-07,8.51825526008723e-11
2.2e-07,1.734601547536268e-10,2.2e-07,1.596969383820833e-10,2.2e-07,1.448000765023265e-10,2.2e-07,8.617228697055008e-11,2.2e-07,8.666915568007382e-11,2.2e-07,8.663312606568654e-11,2.2e-07,6.37421190509541e-11,2.2e-07,6.464924643124897e-11,2.2e-07,6.554957082310949e-11,2.2e-07,3.361736882044845e-10,2.2e-07,2.84643462046828e-10,2.2e-07,2.39380155003906e-10,2.2e-07,1.202121692100557e-10,2.2e-07,1.200942806206857e-10,2.2e-07,1.192027666000774e-10,2.2e-07,7.920945684318662e-11,2.2e-07,8.106080947205991e-11,2.2e-07,8.351449071052719e-11,2.2e-07,1.031135365948012e-10,2.2e-07,1.003107100839569e-10,2.2e-07,9.468320297879414e-11,2.2e-07,6.413859601858374e-11,2.2e-07,6.426444344838075e-11,2.2e-07,6.283210713620662e-11,2.2e-07,5.072744644701945e-11,2.2e-07,5.069526355650937e-11,2.2e-07,4.927451257644776e-11,2.2e-07,8.617228697055008e-11
2.4e-07,1.745508758294877e-10,2.4e-07,1.606780036863353e-10,2.4e-07,1.457765414677938e-10,2.4e-07,8.716647309671601e-11,2.4e-07,8.762186047080395e-11,2.4e-07,8.753999652200221e-11,2.4e-07,6.480472279773201e-11,2.4e-07,6.568929383584314e-11,2.4e-07,6.653343750192494e-11,2.4e-07,3.374781088303215e-10,2.4e-07,2.859512149248029e-10,2.4e-07,2.406863763935424e-10,2.4e-07,1.213527890043594e-10,2.4e-07,1.211955090288591e-10,2.4e-07,1.202448922877031e-10,2.4e-07,8.041214332234225e-11,2.4e-07,8.22382937822547e-11,2.4e-07,8.466244730137176e-11,2.4e-07,1.039558979228815e-10,2.4e-07,1.011059812182568e-10,2.4e-07,9.539305542795009e-11,2.4e-07,6.502259291830227e-11,2.4e-07,6.508116842252543e-11,2.4e-07,6.345550937292181e-11,2.4e-07,5.166547276063485e-11,2.4e-07,5.153024772902912e-11,2.4e-07,4.982915764594104e-11,2.4e-07,8.716647309671601e-11
