"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,jittereventtime=1.70888e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,jittereventtime=1.70888e-09) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,jittereventtime=6.93948e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,jittereventtime=6.93948e-09) Y"
10,-105.1938207433423,10,-95.24565271291328
13.42637584296065,-106.5201955942514,13.42637584296065,-96.4501250694429
18.02675682764374,-107.8432701530945,18.02675682764374,-97.65385371023214
24.2034012397602,-109.1629961396213,24.2034012397602,-98.85686731643956
32.49639617230002,-110.4793197743722,32.49639617230002,-100.0591913286184
43.63088285510481,-111.7921783915118,43.63088285510481,-101.2608474103783
58.58046315728254,-113.101495861447,58.58046315728254,-102.461852731618
78.65233154043848,-114.4071764420876,78.65233154043848,-103.6622190138242
105.6015764187076,-115.709096558315,105.6015764187076,-104.8619512620652
141.7846454606699,-117.0070938555652,141.7846454606699,-106.0610460849137
190.3653938715879,-118.3009526779633,190.3653938715879,-107.2594894729679
255.5917325613177,-119.5903848771281,255.5917325613177,-108.4572538668041
343.1670663721736,-120.8750045601908,343.1670663721736,-109.6542942934411
460.7490010039027,-122.1542950371659,460.7490010039027,-110.8505432834673
618.6189256747053,-123.4275658457,618.6189256747053,-112.0459041949138
830.5810199677136,-124.6938973607509,830.5810199677136,-113.2402424601764
1115.169294211613,-125.9520702338219,1115.169294211613,-114.4333741337753
1497.268207261428,-127.2004769319479,1497.268207261428,-115.6250509466563
2010.288568840785,-128.4370132750493,2010.288568840785,-116.8149408636294
2699.088987806386,-129.65894960691,2699.088987806386,-118.0026028947516
3623.898318388478,-130.8627848204193,3623.898318388478,-119.1874546374425
4865.582083935679,-132.0440928380766,4865.582083935679,-120.3687307478595
6532.713375369616,-133.1973812483702,6532.713375369616,-121.5454303092729
8771.066505204857,-134.3159958936943,8771.066505204857,-122.7162509802843
11776.36354424838,-135.3921216944226,11776.36354424838,-123.8795080390143
15811.3883008419,-136.41694363324,15811.3883008419,-125.0330372719367
21228.96419260944,-137.3810323534069,21228.96419260944,-126.1740825123925
28502.80520067281,-138.2749923430787,28502.80520067281,-127.2991720934298
38268.93752029267,-139.0903469178225,38268.93752029267,-128.4039942124965
51381.31382582281,-139.820539939862,51381.31382582281,-129.4832897375771
68986.48307306076,-140.4618442517693,68986.48307306076,-130.5307921621169
92623.8449822957,-141.0139359982942,92623.8449822957,-131.5392564806777
124360.2554752427,-141.4799620162779,124360.2554752427,-132.5006271939752
166970.7529937215,-141.8660788374406,166970.7529937215,-133.4063926001627
224181.2084475852,-142.1806041499824,224181.2084475852,-134.2481483893528
300994.1161546385,-142.433014434067,300994.1161546385,-135.0183425680885
404126.0130011931,-142.6330142187351,404126.0130011931,-135.7111029160292
542594.7738471222,-142.7898218759196,542594.7738471222,-136.3229834898212
728508.1364097701,-142.9117192678242,728508.1364097701,-136.8534462149317
978122.4044092422,-143.0058395678511,978122.4044092422,-137.3049439165105
1313263.902201884,-143.0781323496992,1313263.902201884,-137.6825817417578
1763237.473195562,-143.1334401704744,1763237.473195562,-137.993455828217
2367388.901551588,-143.1756323952357,2367388.901551588,-138.2458445891358
3178545.31586854,-143.2077584108848,3178545.31586854,-138.4484322442505
4267634.40447331,-143.2321971142889,4267634.40447331,-138.60968991629
5729886.347480823,-143.2507899048896,5729886.347480823,-138.737459325122
7693160.763872658,-143.2649491128034,7693160.763872658,-138.8386955958414
10329126.78360726,-143.2757302857182,10329126.78360726,-138.9192017814938
13868273.83263024,-143.2838374635206,13868273.83263024,-138.9829287698848
18620065.676999,-143.289478435555,18620065.676999,-139.0298555259486
25000000,-143.2918597624814,25000000,-139.0505540460497
