"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,jittereventtime=1.22149e-08) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,jittereventtime=1.22149e-08) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,jittereventtime=1.22439e-08) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,jittereventtime=1.22439e-08) Y"
10,-106.5772052080025,10,-106.4226698175488
13.42637584296065,-108.0046122238963,13.42637584296065,-107.8484186943411
18.02675682764374,-109.431716416939,18.02675682764374,-109.2737916905098
24.2034012397602,-110.8584978378004,24.2034012397602,-110.6987651340447
32.49639617230002,-112.2849341248819,32.49639617230002,-112.1233127425851
43.63088285510481,-113.710999850948,43.63088285510481,-113.5474049519186
58.58046315728254,-115.1366656306934,58.58046315728254,-114.9710080009071
78.65233154043848,-116.5618968976579,78.65233154043848,-116.3940826797944
105.6015764187076,-117.9866522238228,105.6015764187076,-117.8165826133415
141.7846454606699,-119.4108810068401,141.7846454606699,-119.2384519013342
190.3653938715879,-120.8345202832334,190.3653938715879,-120.659621871767
255.5917325613177,-122.257490334375,255.5917325613177,-122.0800066097805
343.1670663721736,-123.6796886266617,343.1670663721736,-123.4994967992937
460.7490010039027,-125.1009814562268,460.7490010039027,-124.9179512425175
618.6189256747053,-126.5211924363971,618.6189256747053,-126.3351851899934
830.5810199677136,-127.9400866535982,830.5810199677136,-127.7509543015366
1115.169294211613,-129.3573489013864,1115.169294211613,-129.1649326439844
1497.268207261428,-130.7725538573861,1497.268207261428,-130.5766825907388
2010.288568840785,-132.1851253714179,2010.288568840785,-131.9856137999016
2699.088987806386,-133.5942811761507,2699.088987806386,-133.3909276064266
3623.898318388478,-134.9989583425617,3623.898318388478,-134.7915422020838
4865.582083935679,-136.3977137919074,4865.582083935679,-136.1859930122525
6532.713375369616,-137.7885934176294,6532.713375369616,-137.5723019929227
8771.066505204857,-139.1689634365838,8771.066505204857,-138.9478097455195
11776.36354424838,-140.5352995499792,11776.36354424838,-140.3089664556597
15811.3883008419,-141.8829351616324,15811.3883008419,-141.6510835009826
21228.96419260944,-143.2057819732014,21228.96419260944,-142.9680597812092
28502.80520067281,-144.4960580059489,28502.80520067281,-144.2521185063307
38268.93752029267,-145.7440916847898,38268.93752029267,-145.4936232606571
51381.31382582281,-146.9383132030565,51381.31382582281,-146.6810834102793
68986.48307306076,-148.06558128488,68986.48307306076,-147.8014934319012
92623.8449822957,-149.111992052869,92623.8449822957,-148.8411463943977
124360.2554752427,-150.0642318833119,124360.2554752427,-149.7869754580838
166970.7529937215,-150.9113424030633,166970.7529937215,-150.6282865181922
224181.2084475852,-151.6465122338729,224181.2084475852,-151.3585007797982
300994.1161546385,-152.2683445562554,300994.1161546385,-151.9763721771312
404126.0130011931,-152.7811361800653,404126.0130011931,-152.4862361253304
542594.7738471222,-153.1940584756208,542594.7738471222,-152.8971925834755
728508.1364097701,-153.5195537893945,728508.1364097701,-153.2215331572848
978122.4044092422,-153.7714930768726,978122.4044092422,-153.4729416958988
1313263.902201884,-153.9635849723353,1313263.902201884,-153.6649416079505
1763237.473195562,-154.1082936304938,1763237.473195562,-153.8098380463921
2367388.901551588,-154.216286444176,2367388.901551588,-153.918175496097
3178545.31586854,-154.2962934996629,3178545.31586854,-153.9985968015501
4267634.40447331,-154.3552229303202,4267634.40447331,-154.0579527412764
5729886.347480823,-154.3983985467022,5729886.347480823,-154.1015321875544
7693160.763872658,-154.4298267234965,7693160.763872658,-154.1333218105594
10329126.78360726,-154.4524332828188,10329126.78360726,-154.1562366942332
13868273.83263024,-154.4682230454884,13868273.83263024,-154.1722741285209
18620065.676999,-154.4782742052769,18620065.676999,-154.1825009256482
25000000,-154.4822130956082,25000000,-154.1865132662931
