P_inst X,P_inst Y
2e-08,7.92507584855258e-05
2.0125e-08,7.931050995325787e-05
2.015919768764009e-08,7.972901629953448e-05
2.017629653146013e-08,8.030454359079572e-05
2.021049421910021e-08,8.286017161078044e-05
2.022602333137478e-08,8.455435552729396e-05
2.024491213585762e-08,8.570601983610452e-05
2.025835137251947e-08,8.737455522957795e-05
2.026617635269735e-08,9.538260073042969e-05
2.027453288848777e-08,0.0001124806324533926
2.028302384631644e-08,0.0001294250691422517
2.029207250666212e-08,0.0001375317097459519
2.029561945072854e-08,0.000146892231171414
2.029851071125333e-08,0.0001737832616941667
2.030160979641877e-08,0.000235236089180713
2.030435692160492e-08,0.0003104400760813755
2.030787287040651e-08,0.0004046012108343599
2.031068755821085e-08,0.0004504293988278908
2.031291597630506e-08,0.000465049691792124
2.031664989369939e-08,0.0004771657423352986
2.031932462939318e-08,0.0004878874220872792
2.032131775338795e-08,0.0004993656942480371
2.032303196207621e-08,0.000515979248095504
2.032472912289378e-08,0.000539872791355893
2.032592196589132e-08,0.0005557654967813451
2.032751102949006e-08,0.0005651493793242968
2.032932337980635e-08,0.0005444948034089781
2.033090121111101e-08,0.0004967223168721332
2.033260203318905e-08,0.0004277523436309312
2.033431673635646e-08,0.0003565707212901803
2.033604308137913e-08,0.0002952785872911839
2.03376329762901e-08,0.0002504246389698644
2.033916279560903e-08,0.0002177907147655282
2.034115933930139e-08,0.0001905907947580663
2.03430631126912e-08,0.0001745698703434159
2.03449535433528e-08,0.0001631031973533083
2.03470747894741e-08,0.0001537393479662344
2.034906932583805e-08,0.0001467832416815665
2.035130385103232e-08,0.000139762353817438
2.03534776157237e-08,0.0001331075933588355
2.035585538315968e-08,0.0001259139570481719
2.035824913264499e-08,0.0001190173641030955
2.036102035926916e-08,0.0001120124633616678
2.036356428990417e-08,0.0001068869619742332
2.036706970511283e-08,0.0001017694143490445
2.03699855874277e-08,9.873583786012675e-05
2.037401839616559e-08,9.550649059023836e-05
2.037937327293343e-08,9.206280807947217e-05
2.038350143629971e-08,8.974939345169399e-05
2.038955920630973e-08,8.667668698842819e-05
2.039515156030167e-08,8.411303072834631e-05
2.040377693539778e-08,8.065179041825453e-05
2.041263697593539e-08,7.797965001683924e-05
2.042531394043545e-08,7.75038521630111e-05
2.04414743313475e-08,8.538271274338927e-05
2.045347169678514e-08,9.278273906792345e-05
2.046138745275544e-08,9.269538552865222e-05
2.046886012211728e-08,8.744648995060894e-05
2.047377795936145e-08,8.424136282377552e-05
2.047853701184128e-08,8.496824350057287e-05
2.048103898884674e-08,8.560282035035335e-05
2.04836170838638e-08,8.366810118451766e-05
2.048628442584569e-08,7.790547576755317e-05
2.048894931142462e-08,6.920208432253992e-05
2.049115316488877e-08,6.244429599465309e-05
2.04927427948269e-08,5.915668861267167e-05
2.049464563611118e-08,5.64205646899784e-05
2.049687354408355e-08,5.366765764090526e-05
2.049860170376569e-08,5.169955907545967e-05
2.05e-08,5.020803427671722e-05
2.050195422144611e-08,4.843144508538877e-05
2.050380454261214e-08,4.697569244813602e-05
2.05061137080283e-08,4.571556205907616e-05
2.050990047836158e-08,4.452056841859838e-05
2.051554303132432e-08,4.335693396794078e-05
2.052064795516154e-08,4.244154097697196e-05
2.052658210163416e-08,4.147375185479113e-05
2.053472749216722e-08,4.029429320688186e-05
2.055101827323336e-08,3.836520591419898e-05
2.058055166851675e-08,3.595694925241446e-05
2.063062803291105e-08,3.388841140879009e-05
2.069140815163041e-08,3.307863925257765e-05
2.075602694523334e-08,3.282112277503836e-05
2.081045205585937e-08,3.273533334789365e-05
2.087539963298559e-08,3.269096489976387e-05
2.098005329550903e-08,3.266647173062274e-05
2.113846505830418e-08,3.265936768692457e-05
2.134896805400431e-08,3.266049305922935e-05
2.164425869815986e-08,3.266418727914991e-05
2.211579694626738e-08,3.266933202449647e-05
2.28371914218433e-08,3.267589319438324e-05
2.393510964792531e-08,3.268361881504955e-05
2.436035117176445e-08,3.268599329783758e-05
2.521083421944271e-08,3.268995654360619e-05
2.523640186001715e-08,3.269006732203734e-05
2.528753714116604e-08,3.279549943133333e-05
2.529663354401063e-08,3.930529988347241e-05
2.530526398278171e-08,0.0001027839632949002
2.531035242489295e-08,0.0001570962496745057
2.531576736161432e-08,0.0001832882656949662
2.532154784981055e-08,0.0001707421364969879
2.532470240371371e-08,0.0001751288316471169
2.532678407438942e-08,0.000202341654264194
2.532937851491741e-08,0.0002578033051036455
2.533147204899942e-08,0.0002880263242372754
2.533368952576011e-08,0.0003006864282199663
2.533491331787441e-08,0.0003392676484075873
2.533625547633219e-08,0.0004028064072855557
2.533743242074184e-08,0.000469347524591222
2.533846165245616e-08,0.0005056830600758632
2.533944158821441e-08,0.0004992314232545115
2.534007397534346e-08,0.0004889290707538867
2.534080627519334e-08,0.0005013767073706193
2.534150052351039e-08,0.0005292015324840596
2.534246018803079e-08,0.0005525329968489992
2.534327714211076e-08,0.0005521767339452679
2.534426873301109e-08,0.0005378943181242125
2.534531123761766e-08,0.0005137410263142865
2.534639481128169e-08,0.0004835154558432472
2.534743108641708e-08,0.0004522795467694918
2.534875297055268e-08,0.0004111175957194459
2.535093857171021e-08,0.0003522528132164195
2.535346366727537e-08,0.0003509913523974579
2.535545548555981e-08,0.0004009632248062537
2.535726252179753e-08,0.000449346506009629
2.535962690116874e-08,0.0004883998723876567
2.536166807881255e-08,0.0005090107781590955
2.536287525780462e-08,0.0005227163228762254
2.536411254504675e-08,0.0005311775025429699
2.536540547319328e-08,0.0005268171062737348
2.536660871388398e-08,0.0005166028236059914
2.536757610582009e-08,0.000519908104459107
2.536835727388441e-08,0.0005326481668383614
2.536903531931836e-08,0.0005550499610550571
2.536967720818288e-08,0.0005914812021549163
2.537031708983912e-08,0.0006416572913212369
2.537102923197317e-08,0.0007057314131608771
2.537178619192704e-08,0.0007726071981128007
2.537248454741194e-08,0.0008273565351328495
2.537328514753872e-08,0.0008809904424453241
2.537438549015188e-08,0.0009497134462072361
2.537545494499701e-08,0.001029533555363031
2.53765420410152e-08,0.001124443869475203
2.537781219235112e-08,0.001226850733742948
2.537876674573575e-08,0.001282786538129356
2.537993690267963e-08,0.001322960188301087
2.53814470649097e-08,0.001336387984645094
2.538342535308762e-08,0.001330839974812449
2.53849112680397e-08,0.001360022643028954
2.53864366034385e-08,0.00144693149879082
2.538820448495926e-08,0.001591937616479258
2.538995810725783e-08,0.001725619135953691
2.539127573899277e-08,0.001795637712685028
2.539316577282147e-08,0.001837559624002103
2.539470014707035e-08,0.001827050814924283
2.539653161733168e-08,0.001785258239553138
2.539847364048056e-08,0.001725998259441767
2.540018106692562e-08,0.00167541855345003
2.540292286834953e-08,0.001642494096543812
2.540522859696629e-08,0.001706895095332016
2.540765735444304e-08,0.001864659582598155
2.54106976228796e-08,0.002100796369635516
2.541291818629501e-08,0.002238619456703779
2.541570980840646e-08,0.002320290745566677
2.541803470931566e-08,0.002299374557766744
2.542155246196916e-08,0.00215934477313338
2.542421096519707e-08,0.002012260783943795
2.54268281660439e-08,0.001860206452127479
2.543031906094417e-08,0.001656205919390421
2.543392903367542e-08,0.001457143582855658
2.543858256301706e-08,0.001280957333450343
2.544336695710088e-08,0.001301845582097148
2.544923722508364e-08,0.001569782732223378
2.545439585885208e-08,0.001818984231227023
2.545929839576337e-08,0.00193273263846198
2.54631187757524e-08,0.00189615747054082
2.546715052135628e-08,0.001736681069799442
2.547100067959399e-08,0.00152025383066003
2.547579322126013e-08,0.001246735281594078
2.547955460365108e-08,0.00105001703378885
2.548388701929364e-08,0.0008488502881397077
2.548937056955718e-08,0.0006296510860326946
2.549566012607779e-08,0.0004288738859604535
2.550268213634808e-08,0.0002699859110414142
2.550936025874173e-08,0.0001744329768206252
2.551738849779423e-08,0.0001098115172881816
2.552516224225469e-08,7.84656204221657e-05
2.553523804498099e-08,5.985889994407084e-05
2.554658629516279e-08,5.13188066379948e-05
2.555702944764102e-08,4.764330357529072e-05
2.557087068296108e-08,4.48163781581064e-05
2.558347278376571e-08,4.30256835713867e-05
2.560008048793396e-08,4.116651736357092e-05
2.561837864306842e-08,3.954070768645581e-05
2.56397588313251e-08,3.80392563351411e-05
2.566598709889363e-08,3.664884021349742e-05
2.569578126364477e-08,3.550532130803145e-05
2.573156727541991e-08,3.456649540171944e-05
2.577360859344795e-08,3.385821761840618e-05
2.582305257239618e-08,3.336473778029299e-05
2.588172349163252e-08,3.304564376147359e-05
2.595066298819132e-08,3.286321395215912e-05
2.603245889144304e-08,3.276912438404301e-05
2.612865953026347e-08,3.272775971467558e-05
2.624289522444091e-08,3.271158577152932e-05
2.63772132801073e-08,3.27060322882557e-05
2.653675213622809e-08,3.270391232701073e-05
2.672454526121832e-08,3.270285768200854e-05
2.694728062053379e-08,3.270219454522499e-05
2.721006704218561e-08,3.270177376440851e-05
2.752115094077814e-08,3.270158016719332e-05
2.788884448847998e-08,3.270155825909647e-05
2.832368988903427e-08,3.270170669864255e-05
2.883798408945157e-08,3.270196546390215e-05
2.944618364489649e-08,3.270232863107572e-05
3e-08,3.270264029969543e-05
3.004029127132214e-08,3.270276894810648e-05
3.010506464867376e-08,3.270703740057254e-05
3.019192333689576e-08,3.370378387478484e-05
3.02233891003474e-08,3.610876586375386e-05
3.023846814184236e-08,3.782995111584364e-05
3.025125808464327e-08,3.898295381386007e-05
3.026478654326399e-08,3.948736675065113e-05
3.02817040153652e-08,4.946268800201172e-05
3.029546059159758e-08,7.887330834560728e-05
3.030597371062469e-08,9.088848576498741e-05
3.031593227874403e-08,0.0001026796642877201
3.032000646102644e-08,0.0001430523116846519
3.032277941390905e-08,0.0001796278196732563
3.032602959766832e-08,0.0002035316423531117
3.032889764731204e-08,0.0002370450484660812
3.03315883630484e-08,0.0004760308303009083
3.033406582066614e-08,0.0007840774045955091
3.033585551963926e-08,0.0008486877802344205
3.033796453622087e-08,0.0007064183563950694
3.03396401423513e-08,0.0006494962276031022
3.03408517764517e-08,0.0006596364453443969
3.03418279426464e-08,0.0006341030463449477
3.034312150855601e-08,0.0005642815339950357
3.034404026686809e-08,0.0005428799903525745
3.034494085524253e-08,0.0005500036075732627
3.034567515140294e-08,0.000526451762851268
3.034635684563385e-08,0.0004836265082153204
3.034693741174997e-08,0.0004507998062300222
3.034759811060282e-08,0.000425676459887043
3.03482257531929e-08,0.0004093258940622224
3.034886216983796e-08,0.000398311340846485
3.034948235139956e-08,0.0003932016846835524
3.035018761579853e-08,0.0003932920012184302
3.03512122173155e-08,0.0003957719449071583
3.035198115815079e-08,0.000395118373367496
3.035276309728803e-08,0.0003910824230473645
3.035365992037886e-08,0.0003831113080834347
3.035451385962887e-08,0.0003734236923640756
3.035537901228093e-08,0.0003628158901988889
3.035625614963198e-08,0.0003514626819057727
3.035714817501171e-08,0.0003393077858998513
3.03580978331065e-08,0.0003261434602592047
3.035916206613936e-08,0.0003113659913589486
3.036031803323421e-08,0.0002959403837802831
3.036154609087748e-08,0.0002821133361842123
3.036284887632301e-08,0.0002736223038445356
3.036422177160961e-08,0.000273174228527244
3.036564790882617e-08,0.0002814989628631757
3.03671335963207e-08,0.0002962540164489665
3.036866543406807e-08,0.0003125608626569636
3.037025773808043e-08,0.0003252504956019122
3.037189964449558e-08,0.0003296017892314396
3.037352231068292e-08,0.000322832526441601
3.037519091574009e-08,0.0003032347994264652
3.037688163388255e-08,0.0002780874696714057
3.037799448387626e-08,0.0002919288165459637
3.037909113126555e-08,0.0003502701473548044
3.038037369316754e-08,0.0004538245201798201
3.038144852707535e-08,0.0005434744146997997
3.038230849277549e-08,0.0006068716774434584
3.038336650904184e-08,0.0006701375065676838
3.038419282292866e-08,0.0007070627925467211
3.038505643578643e-08,0.0007349529979897318
3.038590810589635e-08,0.0007526240987147984
3.038672869738872e-08,0.0007623819123011367
3.03874814315935e-08,0.0007659552340022398
3.038818137130672e-08,0.000766029867113927
3.038881529753118e-08,0.000763653348000935
3.038941756166714e-08,0.0007600852361523757
3.039001032529922e-08,0.0007552339034933815
3.039060753427697e-08,0.0007497194487202301
3.039122793626357e-08,0.000743065754557916
3.039193546950629e-08,0.0007351411464572216
3.039258663921949e-08,0.0007272046226595591
3.039319056200723e-08,0.0007198890486145245
3.039375620213913e-08,0.0007126537431418516
3.039428537019582e-08,0.0007061077114457553
3.039481480853946e-08,0.0006992624368066422
3.039533338738745e-08,0.0006928298509432117
3.039581256519608e-08,0.0006866840005581721
3.039625803128286e-08,0.0006811899816480397
3.039666568935233e-08,0.0006760614589214333
3.039703839137216e-08,0.0006714885728338025
3.03973835567948e-08,0.0006672415927092293
3.039771023419794e-08,0.0006632713666665039
3.039803142466114e-08,0.0006593784128203049
3.039835815402715e-08,0.0006554720448288069
3.039866115450029e-08,0.0006518534212921035
3.03990003624944e-08,0.0006478509840999254
3.039945552646757e-08,0.0006425346421352584
3.039986738859711e-08,0.0006377636544284001
3.040025483289361e-08,0.0006333465368591694
3.040064730189412e-08,0.0006288963977717658
3.04010389426233e-08,0.0006245115830633409
3.040139867906455e-08,0.0006205455351464121
3.040173335867058e-08,0.0006168329465599805
3.040204100798324e-08,0.0006135491505851961
3.040232565132533e-08,0.000610408512503711
3.040259711427623e-08,0.0006075719401303648
3.04028675653773e-08,0.0006046459514472972
3.040314854799419e-08,0.0006017275489466773
3.040343185977527e-08,0.0005987310594671917
3.040377032358481e-08,0.0005952572340645054
3.040413011551012e-08,0.0005915362929781738
3.04044644549936e-08,0.0005881596332931394
3.04048136733036e-08,0.0005846418595466242
3.040515063872229e-08,0.0005812626252531016
3.040546223316489e-08,0.0005782348905296052
3.040575404032621e-08,0.0005752961992133817
3.040602591496482e-08,0.0005727581622564058
3.040628592102559e-08,0.0005701335020486186
3.040654687790856e-08,0.0005677507621775264
3.040682867202191e-08,0.0005649586243692493
3.040711432963278e-08,0.0005623753830117494
3.040750275211157e-08,0.0005586324556228014
3.040798864008673e-08,0.0005542566650118132
3.040840377800849e-08,0.0005503590127410879
3.040884647425008e-08,0.0005464685603272454
3.040929433376392e-08,0.0005423851320225284
3.040971088468961e-08,0.0005387902692068385
3.041010895729274e-08,0.0005352642957968072
3.041047984057362e-08,0.0005320981467175209
3.041082545378373e-08,0.0005291299829110517
3.041115289219453e-08,0.0005263515264578146
3.041147005462658e-08,0.0005237010942905309
3.041179078273183e-08,0.0005210066293786445
3.041213642188579e-08,0.0005181748581033013
3.041248831930619e-08,0.0005152639048291861
3.041289912880894e-08,0.0005119651121115367
3.041333613779363e-08,0.0005084183113315283
3.041382324861831e-08,0.000504598221329116
3.041431203871104e-08,0.0005007197435824828
3.041480984311694e-08,0.0004969132857300971
3.04153116321272e-08,0.0004930297503591284
3.041579035276044e-08,0.0004894515277897965
3.041624603620411e-08,0.0004860143086229869
3.041667344994326e-08,0.0004828753822049112
3.04170715830668e-08,0.0004799487663498628
3.041744434970561e-08,0.0004772464967451663
3.041779727251515e-08,0.0004747100728011379
3.041813932496245e-08,0.0004722656225722389
3.041848324757828e-08,0.0004698313867799294
3.041884781857475e-08,0.0004672750357411526
3.041923855166853e-08,0.0004645476992333822
3.041969068733376e-08,0.0004614397173039589
3.042029884207037e-08,0.000457286574512161
3.042101208833257e-08,0.0004525092594555028
3.042173765965146e-08,0.0004477057799125322
3.042250359950578e-08,0.0004427387592072302
3.042330002224685e-08,0.0004376381831703325
3.042413766410784e-08,0.0004323916326300487
3.042497539348006e-08,0.0004272086569310813
3.042580689070153e-08,0.0004221858086527753
3.042662038336122e-08,0.0004173154151146776
3.042740416208943e-08,0.0004127451743430027
3.042815323811736e-08,0.0004083884054128354
3.042886316173813e-08,0.0004043853712033033
3.042953230796887e-08,0.0004005850353485893
3.043016149600753e-08,0.0003971475355251661
3.043075329706092e-08,0.0003938488961667096
3.043131224314423e-08,0.0003908830679644804
3.043184457311551e-08,0.0003879621852522138
3.043235826835494e-08,0.0003853047127981755
3.043286331660751e-08,0.0003825788297607952
3.04333723139327e-08,0.0003799977905371829
3.0433901762145e-08,0.0003771987669141991
3.043447469455755e-08,0.0003743397522100228
3.043510140538652e-08,0.0003711111553413065
3.043584685031137e-08,0.0003674561158920818
3.043672639284058e-08,0.0003630737785248352
3.043772917825957e-08,0.0003582880926408119
3.043889746540185e-08,0.0003526939390464571
3.044023010670643e-08,0.0003465724493039547
3.044170857380571e-08,0.0003398290752670709
3.044330201478252e-08,0.0003328620936180301
3.04450138826692e-08,0.0003254763345979948
3.044683945049892e-08,0.0003179354363918427
3.044878210622885e-08,0.0003100565840200846
3.045085429691983e-08,0.0003020239191461689
3.045307168345379e-08,0.0002936280260572228
3.045545893193754e-08,0.0002850113850777417
3.045801929440295e-08,0.0002760401143227241
3.046071208379095e-08,0.0002670760616697485
3.046353636329842e-08,0.0002579949366874331
3.046647306076457e-08,0.0002490496708982617
3.046950459848135e-08,0.0002401653669405199
3.047261692204708e-08,0.0002315454200804246
3.047579328759892e-08,0.000223105972200539
3.047901786813127e-08,0.000215024406634181
3.048227570263172e-08,0.000207207394810749
3.048555160071102e-08,0.0001998025350262809
3.048883129183629e-08,0.0001927132435086347
3.049210122264605e-08,0.0001860588671404885
3.04953482650454e-08,0.0001797419347883939
3.04976741325227e-08,0.0001754572232840425
3.05e-08,0.0001712892539187461
3.050246655149295e-08,0.0001671187258838441
3.050483302771433e-08,0.0001632180808513191
3.050770349017828e-08,0.0001586869613662822
3.051234067235882e-08,0.0001518095997418101
3.05216150367199e-08,0.0001395544414061139
3.054016376544207e-08,0.0001200858705185426
3.057726122288639e-08,9.504881564151421e-05
3.064118031889388e-08,7.284938060284294e-05
3.070778819033294e-08,5.95547991086966e-05
3.078294821076065e-08,4.91340164419876e-05
3.085573731274732e-08,4.209008838577472e-05
3.0955752484527e-08,3.588159032518993e-05
3.109843111085811e-08,3.136016702316521e-05
3.133361564832741e-08,2.890269258549336e-05
3.160120428874e-08,2.838777570368921e-05
3.19143165089824e-08,2.831191963822848e-05
3.228505140933193e-08,2.830531846623415e-05
3.278627084303476e-08,2.830546105528827e-05
3.352897680750373e-08,2.830605028703909e-05
3.479413001974265e-08,2.830680754020053e-05
3.529374786954252e-08,2.830723492941684e-05
3.53007200477525e-08,2.836411237343315e-05
3.531209662586463e-08,3.015206067466959e-05
3.531705437107391e-08,4.368771112130693e-05
3.532138415213252e-08,7.858519256811325e-05
3.532696871864957e-08,0.0001341589306739783
3.533114013963979e-08,0.0001594132204219349
3.533460159697101e-08,0.0001714127057398261
3.533640476533285e-08,0.0001974915249015801
3.533811781902502e-08,0.000253626213804542
3.534000233970042e-08,0.0003430685428314604
3.534179216017982e-08,0.0004258172672852579
