"Edge Phase Noise; dBc/Hz; pm0 (b7=0,b6=0,b5=0,b4=0,b3=0,b2=0,b1=0,b0=0,jittereventtime=1.86698e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b7=0,b6=0,b5=0,b4=0,b3=0,b2=0,b1=0,b0=0,jittereventtime=1.86698e-09) Y","Edge Phase Noise; dBc/Hz; pm0 (b7=1,b6=1,b5=1,b4=1,b3=1,b2=1,b1=1,b0=1,jittereventtime=7.04221e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b7=1,b6=1,b5=1,b4=1,b3=1,b2=1,b1=1,b0=1,jittereventtime=7.04221e-09) Y"
10,-107.6317473803118,10,-96.02761432289148
13.42637584296065,-108.9017185034892,13.42637584296065,-97.26874217343067
18.02675682764374,-110.1687717464984,18.02675682764374,-98.50764207030178
24.2034012397602,-111.4329359385704,24.2034012397602,-99.74437382011372
32.49639617230002,-112.694234297873,32.49639617230002,-100.9789929717623
43.63088285510481,-113.9526815180601,43.63088285510481,-102.2115493745319
58.58046315728254,-115.2082799920177,58.58046315728254,-103.4420853515605
78.65233154043848,-116.4610149007895,78.65233154043848,-104.6706333620303
105.6015764187076,-117.7108478134391,105.6015764187076,-105.8972129857575
141.7846454606699,-118.9577083431201,141.7846454606699,-107.1218270122381
190.3653938715879,-120.2014832892102,190.3653938715879,-108.3444563493364
255.5917325613177,-121.4420025807709,255.5917325613177,-109.5650533806157
343.1670663721736,-122.6790212637305,343.1670663721736,-110.783533290062
460.7490010039027,-123.9121968248042,460.7490010039027,-111.9997627333352
618.6189256747053,-125.1410614239445,618.6189256747053,-113.2135450604526
830.5810199677136,-126.3649890229078,830.5810199677136,-114.4246010818398
1115.169294211613,-127.5831568571149,1115.169294211613,-115.6325441173598
1497.268207261428,-128.7944958035994,1497.268207261428,-116.8368477832666
2010.288568840785,-129.9976119731598,2010.288568840785,-118.0368046770557
2699.088987806386,-131.1906559591595,2699.088987806386,-119.2314738640406
3623.898318388478,-132.3711509514303,3623.898318388478,-120.4196149475603
4865.582083935679,-133.5358429617169,4865.582083935679,-121.5996066865661
6532.713375369616,-134.6806071636499,6532.713375369616,-122.7693488902515
8771.066505204857,-135.8003737042277,8771.066505204857,-123.9261480988329
11776.36354424838,-136.8890551391425,11776.36354424838,-125.0665909492356
15811.3883008419,-137.9395232854348,15811.3883008419,-126.1864148338899
21228.96419260944,-138.9437094290115,21228.96419260944,-127.2803940891951
28502.80520067281,-139.8928934139796,28502.80520067281,-128.342271453998
38268.93752029267,-140.7782215895933,38268.93752029267,-129.364777280098
51381.31382582281,-141.5914453799083,51381.31382582281,-130.339788487723
68986.48307306076,-142.3257986892697,68986.48307306076,-131.2586774853474
92623.8449822957,-142.9768531221278,92623.8449822957,-132.1128780043132
124360.2554752427,-143.5431458833572,124360.2554752427,-132.8946432670079
166970.7529937215,-144.0264051838938,166970.7529937215,-133.5978982582167
224181.2084475852,-144.4313057422125,224181.2084475852,-134.2190183574846
300994.1161546385,-144.7648273069109,300994.1161546385,-134.757341427901
404126.0130011931,-145.0353941752232,404126.0130011931,-135.2152693275799
542594.7738471222,-145.2519999359633,542594.7738471222,-135.5979288309697
728508.1364097701,-145.4234747510531,728508.1364097701,-135.9124903805397
978122.4044092422,-145.5579721081193,978122.4044092422,-136.1673252811029
1313263.902201884,-145.6626789761193,1313263.902201884,-136.3711882569052
1763237.473195562,-145.7437086731829,1763237.473195562,-136.5325576206088
2367388.901551588,-145.8061201013787,2367388.901551588,-136.6591889236027
3178545.31586854,-145.8540105461031,3178545.31586854,-136.7578742256577
4267634.40447331,-145.8906411622687,4267634.40447331,-136.8343625880668
5729886.347480823,-145.9185669720253,5729886.347480823,-136.8933849976544
7693160.763872658,-145.9397524085656,7693160.763872658,-136.9387265665191
10329126.78360726,-145.9556560934126,10329126.78360726,-136.9732840397184
13868273.83263024,-145.9672583402801,13868273.83263024,-136.9990114913196
18620065.676999,-145.9749585911732,18620065.676999,-137.0165329104876
25000000,-145.9780682206655,25000000,-137.0237709790309
