"delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) Y"
1.49e-06,1.754978166212769e-09,1.49e-06,1.591488896046252e-09,1.49e-06,1.370890421874081e-09,1.49e-06,1.564251432073859e-09,1.49e-06,1.422842915438306e-09,1.49e-06,1.234727659910491e-09,1.49e-06,1.486714726157288e-09,1.49e-06,1.369498084456025e-09,1.49e-06,1.207291502198891e-09,1.49e-06,3.170590352633621e-09,1.49e-06,2.959188815075064e-09,1.49e-06,2.642962923025925e-09,1.49e-06,2.587219696865482e-09,1.49e-06,2.389944843125301e-09,1.49e-06,2.124444770674521e-09,1.49e-06,2.429619496625425e-09,1.49e-06,2.267051468768141e-09,1.49e-06,2.042891542770706e-09,1.49e-06,8.525448738171434e-10,1.49e-06,7.469992853388543e-10,1.49e-06,6.1448845785254e-10,1.49e-06,7.716316148014871e-10,1.49e-06,6.867463342586464e-10,1.49e-06,5.780559976264767e-10,1.49e-06,7.476735308740518e-10,1.49e-06,6.721648723665193e-10,1.49e-06,5.730530617019247e-10
1.52e-06,1.776789644819275e-09,1.52e-06,1.611628474544008e-09,1.52e-06,1.388080505557025e-09,1.52e-06,1.584725102798147e-09,1.52e-06,1.441437872054367e-09,1.52e-06,1.25205285542739e-09,1.52e-06,1.507001630939552e-09,1.52e-06,1.388327093927819e-09,1.52e-06,1.224144335487848e-09,1.52e-06,3.205557976621047e-09,1.52e-06,2.990698700129362e-09,1.52e-06,2.671015202388124e-09,1.52e-06,2.61607546782412e-09,1.52e-06,2.416776122504739e-09,1.52e-06,2.148042989283551e-09,1.52e-06,2.458476882292031e-09,1.52e-06,2.293097282066563e-09,1.52e-06,2.066452183720142e-09,1.52e-06,8.667537595315086e-10,1.52e-06,7.597126736557248e-10,1.52e-06,6.252178350767406e-10,1.52e-06,7.854763002082792e-10,1.52e-06,6.994055221109197e-10,1.52e-06,5.891232047669681e-10,1.52e-06,7.615433964374126e-10,1.52e-06,6.8488121852717e-10,1.52e-06,5.840512411319586e-10
1.55e-06,1.799761454810027e-09,1.55e-06,1.632216320647761e-09,1.55e-06,1.40420133362133e-09,1.55e-06,1.60583668351952e-09,1.55e-06,1.460986256327205e-09,1.55e-06,1.269063297856001e-09,1.55e-06,1.52764462541104e-09,1.55e-06,1.407670846906011e-09,1.55e-06,1.241424309059322e-09,1.55e-06,3.239664418998204e-09,1.55e-06,3.02318289738183e-09,1.55e-06,2.699466250912197e-09,1.55e-06,2.645626881102407e-09,1.55e-06,2.44422270609987e-09,1.55e-06,2.172113314359173e-09,1.55e-06,2.486539167822693e-09,1.55e-06,2.319796942352406e-09,1.55e-06,2.090540280014305e-09,1.55e-06,8.820064338451722e-10,1.55e-06,7.73171025104889e-10,1.55e-06,6.362220997240637e-10,1.55e-06,7.996739227117277e-10,1.55e-06,7.124238824134015e-10,1.55e-06,6.00425260341981e-10,1.55e-06,7.757290681704504e-10,1.55e-06,6.979737006278261e-10,1.55e-06,5.953832877765006e-10
1.58e-06,1.822071782017047e-09,1.58e-06,1.653039503280338e-09,1.58e-06,1.421433387090754e-09,1.58e-06,1.626311715533376e-09,1.58e-06,1.479915010052607e-09,1.58e-06,1.285854558393476e-09,1.58e-06,1.548033574787135e-09,1.58e-06,1.426751138421491e-09,1.58e-06,1.258803166521913e-09,1.58e-06,3.274824667412956e-09,1.58e-06,3.053887153693589e-09,1.58e-06,2.727909441546862e-09,1.58e-06,2.675396637352649e-09,1.58e-06,2.470892976127576e-09,1.58e-06,2.196002790328559e-09,1.58e-06,2.515242621598044e-09,1.58e-06,2.346191051572232e-09,1.58e-06,2.11437559167954e-09,1.58e-06,8.962273895973257e-10,1.58e-06,7.861495089366621e-10,1.58e-06,6.470915002457087e-10,1.58e-06,8.139938326250808e-10,1.58e-06,7.250334298315785e-10,1.58e-06,6.114518143369137e-10,1.58e-06,7.896906043050542e-10,1.58e-06,7.108275318883721e-10,1.58e-06,6.064628158610489e-10
1.61e-06,1.844700530203608e-09,1.61e-06,1.673024528960985e-09,1.61e-06,1.43885795380284e-09,1.61e-06,1.647368366164717e-09,1.61e-06,1.499246400544304e-09,1.61e-06,1.302848562598073e-09,1.61e-06,1.56877808321876e-09,1.61e-06,1.446051046376249e-09,1.61e-06,1.276115528325657e-09,1.61e-06,3.30887309513094e-09,1.61e-06,3.086950870533769e-09,1.61e-06,2.756114095398787e-09,1.61e-06,2.705365877327104e-09,1.61e-06,2.49853401803645e-09,1.61e-06,2.220197659509007e-09,1.61e-06,2.543832025980215e-09,1.61e-06,2.37282671321843e-09,1.61e-06,2.138527237602706e-09,1.61e-06,9.110997165554035e-10,1.61e-06,7.993752555688107e-10,1.61e-06,6.580568114341319e-10,1.61e-06,8.282570365897662e-10,1.61e-06,7.380096560115946e-10,1.61e-06,6.226097750480589e-10,1.61e-06,8.040268424208915e-10,1.61e-06,7.239113305187117e-10,1.61e-06,6.177578694366588e-10
1.64e-06,1.867750389609269e-09,1.64e-06,1.693499506355385e-09,1.64e-06,1.456036159270922e-09,1.64e-06,1.668884595454795e-09,1.64e-06,1.51826974522669e-09,1.64e-06,1.319542937939027e-09,1.64e-06,1.58954488802908e-09,1.64e-06,1.465095451615817e-09,1.64e-06,1.29312358104331e-09,1.64e-06,3.342925150335987e-09,1.64e-06,3.11938925847264e-09,1.64e-06,2.784276091998922e-09,1.64e-06,2.734856120601261e-09,1.64e-06,2.525531669360638e-09,1.64e-06,2.24393342885039e-09,1.64e-06,2.572145377781616e-09,1.64e-06,2.399213916727077e-09,1.64e-06,2.162254700142355e-09,1.64e-06,9.262809030674322e-10,1.64e-06,8.124070057607247e-10,1.64e-06,6.688551805488477e-10,1.64e-06,8.420463238391077e-10,1.64e-06,7.50881255873499e-10,1.64e-06,6.335993053103624e-10,1.64e-06,8.180921140937279e-10,1.64e-06,7.367753721761647e-10,1.64e-06,6.288995043674004e-10
1.67e-06,1.890426116659493e-09,1.67e-06,1.714274651822825e-09,1.67e-06,1.473504068402099e-09,1.67e-06,1.690071193724677e-09,1.67e-06,1.537717773989885e-09,1.67e-06,1.33653918647316e-09,1.67e-06,1.610340029305306e-09,1.67e-06,1.484444106031483e-09,1.67e-06,1.310438748926388e-09,1.67e-06,3.377758197928161e-09,1.67e-06,3.15157782838916e-09,1.67e-06,2.811980104313337e-09,1.67e-06,2.764674237207595e-09,1.67e-06,2.55269243606954e-09,1.67e-06,2.267868803995633e-09,1.67e-06,2.600838260025054e-09,1.67e-06,2.425958341825035e-09,1.67e-06,2.186431196909249e-09,1.67e-06,9.411661888006509e-10,1.67e-06,8.249948651333581e-10,1.67e-06,6.801369484940242e-10,1.67e-06,8.565416920836372e-10,1.67e-06,7.638194164173335e-10,1.67e-06,6.447761075045466e-10,1.67e-06,8.32399809634358e-10,1.67e-06,7.49860405046748e-10,1.67e-06,6.402532913516859e-10
1.7e-06,1.912770622405854e-09,1.7e-06,1.734490510647862e-09,1.7e-06,1.492344520825598e-09,1.7e-06,1.709979609510349e-09,1.7e-06,1.556733978807948e-09,1.7e-06,1.353170170942787e-09,1.7e-06,1.630768696198016e-09,1.7e-06,1.50369107233584e-09,1.7e-06,1.327459922164594e-09,1.7e-06,3.412257941881363e-09,1.7e-06,3.183374492257198e-09,1.7e-06,2.84029681739335e-09,1.7e-06,2.794083374537768e-09,1.7e-06,2.579811522062097e-09,1.7e-06,2.291948389147566e-09,1.7e-06,2.629091173834546e-09,1.7e-06,2.452369483159696e-09,1.7e-06,2.210296625086116e-09,1.7e-06,9.55688389291473e-10,1.7e-06,8.38492515817974e-10,1.7e-06,6.909255894844273e-10,1.7e-06,8.703471161137469e-10,1.7e-06,7.766907724815439e-10,1.7e-06,6.55741200721099e-10,1.7e-06,8.463740024358739e-10,1.7e-06,7.626771772266287e-10,1.7e-06,6.514095748865961e-10
1.73e-06,1.93529428764584e-09,1.73e-06,1.754641884447542e-09,1.73e-06,1.50986299194176e-09,1.73e-06,1.73185140553038e-09,1.73e-06,1.575878942085206e-09,1.73e-06,1.370133393184102e-09,1.73e-06,1.651380516195471e-09,1.73e-06,1.522742058132916e-09,1.73e-06,1.34469871520594e-09,1.73e-06,3.447546414515807e-09,1.73e-06,3.215079832749322e-09,1.73e-06,2.866587244454415e-09,1.73e-06,2.823673510329272e-09,1.73e-06,2.606774733906999e-09,1.73e-06,2.315621296075675e-09,1.73e-06,2.656685584403542e-09,1.73e-06,2.47882027075453e-09,1.73e-06,2.23432905668996e-09,1.73e-06,9.704065953549874e-10,1.73e-06,8.512499597966239e-10,1.73e-06,7.017318699005744e-10,1.73e-06,8.847347674403108e-10,1.73e-06,7.896344407776507e-10,1.73e-06,6.66872650098927e-10,1.73e-06,8.605923749557122e-10,1.73e-06,7.757382408688669e-10,1.73e-06,6.626776295071093e-10
1.76e-06,1.9576307079739e-09,1.76e-06,1.775446869217631e-09,1.76e-06,1.527000209790814e-09,1.76e-06,1.75178998830966e-09,1.76e-06,1.594852569632312e-09,1.76e-06,1.386871155794711e-09,1.76e-06,1.671743126562989e-09,1.76e-06,1.541961920306515e-09,1.76e-06,1.361694249455255e-09,1.76e-06,3.481915131425978e-09,1.76e-06,3.246994957743376e-09,1.76e-06,2.896120620461567e-09,1.76e-06,2.852755678085711e-09,1.76e-06,2.633678780119876e-09,1.76e-06,2.33935024714832e-09,1.76e-06,2.684881090796075e-09,1.76e-06,2.505100399679236e-09,1.76e-06,2.25815272750652e-09,1.76e-06,9.85163240255809e-10,1.76e-06,8.641583590195222e-10,1.76e-06,7.126006664465272e-10,1.76e-06,8.988027581989063e-10,1.76e-06,8.024585487873853e-10,1.76e-06,6.778654020275024e-10,1.76e-06,8.745949300554158e-10,1.76e-06,7.885758914249377e-10,1.76e-06,6.738248027395854e-10
