"delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) Y"
1.49e-06,1.737295084206141e-09,1.49e-06,1.575907501053479e-09,1.49e-06,1.348815121634304e-09,1.49e-06,1.546115602771318e-09,1.49e-06,1.396953057058202e-09,1.49e-06,1.183642473563011e-09,1.49e-06,1.437494988745543e-09,1.49e-06,1.303001903407034e-09,1.49e-06,1.109703444930285e-09,1.49e-06,3.143853962457913e-09,1.49e-06,2.934350813332958e-09,1.49e-06,2.61870257259797e-09,1.49e-06,2.567708190078944e-09,1.49e-06,2.369290747996095e-09,1.49e-06,2.085632812934381e-09,1.49e-06,2.397392028375388e-09,1.49e-06,2.213407288517526e-09,1.49e-06,1.945877299398198e-09,1.49e-06,8.40352250905461e-10,1.49e-06,7.339929387374599e-10,1.49e-06,5.915739184108319e-10,1.49e-06,7.497937383734793e-10,1.49e-06,6.557434206434468e-10,1.49e-06,5.301606651700151e-10,1.49e-06,6.968570745857279e-10,1.49e-06,6.132293005744602e-10,1.49e-06,4.997308827787299e-10
1.52e-06,1.759821307417845e-09,1.52e-06,1.595839254939088e-09,1.52e-06,1.365635923908378e-09,1.52e-06,1.566484094142715e-09,1.52e-06,1.415358446425305e-09,1.52e-06,1.199145414356738e-09,1.52e-06,1.456623577353546e-09,1.52e-06,1.320503199074834e-09,1.52e-06,1.124660664984355e-09,1.52e-06,3.17797169841606e-09,1.52e-06,2.965348043901206e-09,1.52e-06,2.646727395816087e-09,1.52e-06,2.596640548492415e-09,1.52e-06,2.395671524059593e-09,1.52e-06,2.108215017026453e-09,1.52e-06,2.424722645310443e-09,1.52e-06,2.238564983800572e-09,1.52e-06,1.967630279350182e-09,1.52e-06,8.547859812011492e-10,1.52e-06,7.466821420486415e-10,1.52e-06,6.018098101715916e-10,1.52e-06,7.630020661977602e-10,1.52e-06,6.674541647676395e-10,1.52e-06,5.399324978413896e-10,1.52e-06,7.096850398607582e-10,1.52e-06,6.245480023496934e-10,1.52e-06,5.089514740125285e-10
1.55e-06,1.78242923638062e-09,1.55e-06,1.616434881730291e-09,1.55e-06,1.382725855516829e-09,1.55e-06,1.587920142027629e-09,1.55e-06,1.434139926540967e-09,1.55e-06,1.21497798162771e-09,1.55e-06,1.476574969530444e-09,1.55e-06,1.338467462147586e-09,1.55e-06,1.139909871046564e-09,1.55e-06,3.211692153858777e-09,1.55e-06,2.997963371203824e-09,1.55e-06,2.674318863394845e-09,1.55e-06,2.626224745730076e-09,1.55e-06,2.422738187275344e-09,1.55e-06,2.131538321253776e-09,1.55e-06,2.45273201344091e-09,1.55e-06,2.264184809013144e-09,1.55e-06,1.989874920733176e-09,1.55e-06,8.700631292531542e-10,1.55e-06,7.597178691840127e-10,1.55e-06,6.125655244940679e-10,1.55e-06,7.768832145945584e-10,1.55e-06,6.798327143377683e-10,1.55e-06,5.500878130636965e-10,1.55e-06,7.227168110142867e-10,1.55e-06,6.362353044974641e-10,1.55e-06,5.184218556016234e-10
1.58e-06,1.804787590472577e-09,1.58e-06,1.635804624380969e-09,1.58e-06,1.399649185317604e-09,1.58e-06,1.608674096164101e-09,1.58e-06,1.452673872349056e-09,1.58e-06,1.230567896042108e-09,1.58e-06,1.496076969945105e-09,1.58e-06,1.356153642437188e-09,1.58e-06,1.15493012305283e-09,1.58e-06,3.245103410142081e-09,1.58e-06,3.029812215623205e-09,1.58e-06,2.702020776602788e-09,1.58e-06,2.655499810959798e-09,1.58e-06,2.448522474043435e-09,1.58e-06,2.154767995356895e-09,1.58e-06,2.480106002035668e-09,1.58e-06,2.289647969499473e-09,1.58e-06,2.011833039891623e-09,1.58e-06,8.847572697320454e-10,1.58e-06,7.723588400553802e-10,1.58e-06,6.228392262803912e-10,1.58e-06,7.903938883817179e-10,1.58e-06,6.918825600574348e-10,1.58e-06,5.598520390968296e-10,1.58e-06,7.35352897676018e-10,1.58e-06,6.476944747039756e-10,1.58e-06,5.277247740907841e-10
1.61e-06,1.827334074304802e-09,1.61e-06,1.655849435339981e-09,1.61e-06,1.416836258723328e-09,1.61e-06,1.629458199833327e-09,1.61e-06,1.471473425100555e-09,1.61e-06,1.246370173530515e-09,1.61e-06,1.515798028092582e-09,1.61e-06,1.374096501409489e-09,1.61e-06,1.170178162771652e-09,1.61e-06,3.280327505894521e-09,1.61e-06,3.061254992687026e-09,1.61e-06,2.730444654699383e-09,1.61e-06,2.685061465597773e-09,1.61e-06,2.476252636134602e-09,1.61e-06,2.177850629931694e-09,1.61e-06,2.508287357993197e-09,1.61e-06,2.315711652957783e-09,1.61e-06,2.034011723430855e-09,1.61e-06,8.994210265304805e-10,1.61e-06,7.855782969827677e-10,1.61e-06,6.331671707197074e-10,1.61e-06,8.040797538957219e-10,1.61e-06,7.04073829690644e-10,1.61e-06,5.697882107274716e-10,1.61e-06,7.484268807702027e-10,1.61e-06,6.593167152212292e-10,1.61e-06,5.371713772783048e-10
1.64e-06,1.849286086373062e-09,1.64e-06,1.675797704913598e-09,1.64e-06,1.433652760724366e-09,1.64e-06,1.649712936706702e-09,1.64e-06,1.489899146208316e-09,1.64e-06,1.261920924487433e-09,1.64e-06,1.535270094461757e-09,1.64e-06,1.391775830602803e-09,1.64e-06,1.185189113416797e-09,1.64e-06,3.314090890410494e-09,1.64e-06,3.093371733556049e-09,1.64e-06,2.757648362966527e-09,1.64e-06,2.714316493438676e-09,1.64e-06,2.502184586099309e-09,1.64e-06,2.200893317302088e-09,1.64e-06,2.536159622280164e-09,1.64e-06,2.341128853916999e-09,1.64e-06,2.05596802461182e-09,1.64e-06,9.138793640462905e-10,1.64e-06,7.983600593473375e-10,1.64e-06,6.434225301141729e-10,1.64e-06,8.176248256900693e-10,1.64e-06,7.160475967804882e-10,1.64e-06,5.794944921653081e-10,1.64e-06,7.610527972864902e-10,1.64e-06,6.707432414309009e-10,1.64e-06,5.464456228668493e-10
1.67e-06,1.871719526929857e-09,1.67e-06,1.696544764377787e-09,1.67e-06,1.450771229438075e-09,1.67e-06,1.670911084013244e-09,1.67e-06,1.508665481661165e-09,1.67e-06,1.277707324177309e-09,1.67e-06,1.555035528595762e-09,1.67e-06,1.409708387781488e-09,1.67e-06,1.200420292722904e-09,1.67e-06,3.348538181905141e-09,1.67e-06,3.125373275312477e-09,1.67e-06,2.786307321777312e-09,1.67e-06,2.743950553371643e-09,1.67e-06,2.530788345765029e-09,1.67e-06,2.224221983783621e-09,1.67e-06,2.56418044582236e-09,1.67e-06,2.366840621888878e-09,1.67e-06,2.0781824885901e-09,1.67e-06,9.285271627016681e-10,1.67e-06,8.111604181972849e-10,1.67e-06,6.537866336329249e-10,1.67e-06,8.314081267475877e-10,1.67e-06,7.282561099835972e-10,1.67e-06,5.892300946086682e-10,1.67e-06,7.7416554910972e-10,1.67e-06,6.823580093771601e-10,1.67e-06,5.55882429330945e-10
1.7e-06,1.894560052782472e-09,1.7e-06,1.716687021870014e-09,1.7e-06,1.468264193002333e-09,1.7e-06,1.691331719337867e-09,1.7e-06,1.527122467486338e-09,1.7e-06,1.293103954088793e-09,1.7e-06,1.574446822781892e-09,1.7e-06,1.427342910808136e-09,1.7e-06,1.215393570189862e-09,1.7e-06,3.382945604833212e-09,1.7e-06,3.156894196684453e-09,1.7e-06,2.813942766210765e-09,1.7e-06,2.773156597919625e-09,1.7e-06,2.556750026115381e-09,1.7e-06,2.247212006277998e-09,1.7e-06,2.592165504301168e-09,1.7e-06,2.392214639196899e-09,1.7e-06,2.100056344617836e-09,1.7e-06,9.427777453474013e-10,1.7e-06,8.235637785443885e-10,1.7e-06,6.640131627510267e-10,1.7e-06,8.448581074559191e-10,1.7e-06,7.404540818958826e-10,1.7e-06,5.987845744239926e-10,1.7e-06,7.869278765544606e-10,1.7e-06,6.937491166094947e-10,1.7e-06,5.651704958255253e-10
1.73e-06,1.91692503524001e-09,1.73e-06,1.7372130989333e-09,1.73e-06,1.485268644876967e-09,1.73e-06,1.712033592882169e-09,1.73e-06,1.545744660987371e-09,1.73e-06,1.308847281803878e-09,1.73e-06,1.593314609183168e-09,1.73e-06,1.445177937687985e-09,1.73e-06,1.230544548018435e-09,1.73e-06,3.417700145258587e-09,1.73e-06,3.188606886869893e-09,1.73e-06,2.841479751430237e-09,1.73e-06,2.802491919198948e-09,1.73e-06,2.5840166868813e-09,1.73e-06,2.270343565119063e-09,1.73e-06,2.619655637199567e-09,1.73e-06,2.417608790576285e-09,1.73e-06,2.122110469387937e-09,1.73e-06,9.574502051201242e-10,1.73e-06,8.366242200769343e-10,1.73e-06,6.743767767861098e-10,1.73e-06,8.58334456694054e-10,1.73e-06,7.523646615439378e-10,1.73e-06,6.086979590424911e-10,1.73e-06,7.997855378690132e-10,1.73e-06,7.052976243198162e-10,1.73e-06,5.745077078540757e-10
1.76e-06,1.938936059732941e-09,1.76e-06,1.75721129580085e-09,1.76e-06,1.502026498806468e-09,1.76e-06,1.732688995395398e-09,1.76e-06,1.564198920444083e-09,1.76e-06,1.324354403004459e-09,1.76e-06,1.612767111098295e-09,1.76e-06,1.462753908081989e-09,1.76e-06,1.245482835766513e-09,1.76e-06,3.451237110348056e-09,1.76e-06,3.220155192674071e-09,1.76e-06,2.869028664107788e-09,1.76e-06,2.832371547350185e-09,1.76e-06,2.610443848826021e-09,1.76e-06,2.293254948267524e-09,1.76e-06,2.646968752683998e-09,1.76e-06,2.44295689033811e-09,1.76e-06,2.144000742397811e-09,1.76e-06,9.723085991789011e-10,1.76e-06,8.495851249830269e-10,1.76e-06,6.843413351760123e-10,1.76e-06,8.718410194469969e-10,1.76e-06,7.644188745719408e-10,1.76e-06,6.183805242810118e-10,1.76e-06,8.125743762597861e-10,1.76e-06,7.166618283845266e-10,1.76e-06,5.837480809064535e-10
1.79e-06,1.96143571553457e-09,1.79e-06,1.777470362151587e-09,1.79e-06,1.519029489530516e-09,1.79e-06,1.753436286747708e-09,1.79e-06,1.582905932924766e-09,1.79e-06,1.340146321269063e-09,1.79e-06,1.633283803298179e-09,1.79e-06,1.480620531143904e-09,1.79e-06,1.260587558576382e-09,1.79e-06,3.486376188694061e-09,1.79e-06,3.252104493865551e-09,1.79e-06,2.896932836816866e-09,1.79e-06,2.86200805778358e-09,1.79e-06,2.637486972891346e-09,1.79e-06,2.316487343725451e-09,1.79e-06,2.675036896742241e-09,1.79e-06,2.468593307699799e-09,1.79e-06,2.166029588968985e-09,1.79e-06,9.869418651229898e-10,1.79e-06,8.625236258489728e-10,1.79e-06,6.948681201870079e-10,1.79e-06,8.859292947513966e-10,1.79e-06,7.766148389201032e-10,1.79e-06,6.284749011733185e-10,1.79e-06,8.255715472701626e-10,1.79e-06,7.28221726720161e-10,1.79e-06,5.931464894644348e-10
1.82e-06,1.983451724076197e-09,1.82e-06,1.797458125082283e-09,1.82e-06,1.535762276520086e-09,1.82e-06,1.773956000829703e-09,1.82e-06,1.601318537536434e-09,1.82e-06,1.355594025949152e-09,1.82e-06,1.652741896012978e-09,1.82e-06,1.498201358474938e-09,1.82e-06,1.275511184858644e-09,1.82e-06,3.521214875502504e-09,1.82e-06,3.28358995950998e-09,1.82e-06,2.92453678679654e-09,1.82e-06,2.89127793160915e-09,1.82e-06,2.663213450686822e-09,1.82e-06,2.339389626069255e-09,1.82e-06,2.702641966353324e-09,1.82e-06,2.49387180558802e-09,1.82e-06,2.187853331581797e-09,1.82e-06,1.001476391728885e-09,1.82e-06,8.752423249488606e-10,1.82e-06,7.049533652832095e-10,1.82e-06,8.993476158542415e-10,1.82e-06,7.885575141896688e-10,1.82e-06,6.379827456914901e-10,1.82e-06,8.382811264738137e-10,1.82e-06,7.395619291583613e-10,1.82e-06,6.024512007575543e-10
1.85e-06,2.00603753055459e-09,1.85e-06,1.817640428790151e-09,1.85e-06,1.55346711887506e-09,1.85e-06,1.794753181141018e-09,1.85e-06,1.620050234081656e-09,1.85e-06,1.371261616906373e-09,1.85e-06,1.672485673979724e-09,1.85e-06,1.516045689490375e-09,1.85e-06,1.29042286815248e-09,1.85e-06,3.555752608681733e-09,1.85e-06,3.315529830749194e-09,1.85e-06,2.950687134221957e-09,1.85e-06,2.920843861043373e-09,1.85e-06,2.691070079800858e-09,1.85e-06,2.362589619201908e-09,1.85e-06,2.730613358533795e-09,1.85e-06,2.519477859778276e-09,1.85e-06,2.209963551134295e-09,1.85e-06,1.016180902623669e-09,1.85e-06,8.881659875781084e-10,1.85e-06,7.15200592345537e-10,1.85e-06,9.132569734831141e-10,1.85e-06,8.006587192348539e-10,1.85e-06,6.476780763465602e-10,1.85e-06,8.516006597665486e-10,1.85e-06,7.510970104653492e-10,1.85e-06,6.117989907550677e-10
1.88e-06,2.028168511698606e-09,1.88e-06,1.838123195535692e-09,1.88e-06,1.570202535576267e-09,1.88e-06,1.815395391019569e-09,1.88e-06,1.638445881134104e-09,1.88e-06,1.386631474498836e-09,1.88e-06,1.690951227586223e-09,1.88e-06,1.533614283932989e-09,1.88e-06,1.305484781182588e-09,1.88e-06,3.588455854417957e-09,1.88e-06,3.346996990858103e-09,1.88e-06,2.980520614257539e-09,1.88e-06,2.950088228767748e-09,1.88e-06,2.71786214009156e-09,1.88e-06,2.385625402822272e-09,1.88e-06,2.758116865429492e-09,1.88e-06,2.544724592061424e-09,1.88e-06,2.231767430414939e-09,1.88e-06,1.030239492159601e-09,1.88e-06,9.008239142192334e-10,1.88e-06,7.254031488589514e-10,1.88e-06,9.26585685392961e-10,1.88e-06,8.12250866595486e-10,1.88e-06,6.57375200801503e-10,1.88e-06,8.641821446948471e-10,1.88e-06,7.624154388538027e-10,1.88e-06,6.20975597984912e-10
1.91e-06,2.050904181725089e-09,1.91e-06,1.858410278979231e-09,1.91e-06,1.587172988277937e-09,1.91e-06,1.836150933041245e-09,1.91e-06,1.656846194792751e-09,1.91e-06,1.402260424786966e-09,1.91e-06,1.710862193981125e-09,1.91e-06,1.551450044257685e-09,1.91e-06,1.3205716395003e-09,1.91e-06,3.62411264204969e-09,1.91e-06,3.378883018612785e-09,1.91e-06,3.008404395345733e-09,1.91e-06,2.979570624204935e-09,1.91e-06,2.744521356294552e-09,1.91e-06,2.408801780451839e-09,1.91e-06,2.786709471640846e-09,1.91e-06,2.569953674511477e-09,1.91e-06,2.25384372593537e-09,1.91e-06,1.045216739695479e-09,1.91e-06,9.136890006644596e-10,1.91e-06,7.357754842648356e-10,1.91e-06,9.401167766805775e-10,1.91e-06,8.243237907890428e-10,1.91e-06,6.671733026621101e-10,1.91e-06,8.77306424381204e-10,1.91e-06,7.739384548272396e-10,1.91e-06,6.303017442306311e-10
1.94e-06,2.072879533732179e-09,1.94e-06,1.878132759846347e-09,1.94e-06,1.603877718751145e-09,1.94e-06,1.856679701320016e-09,1.94e-06,1.67538742039003e-09,1.94e-06,1.417623541635875e-09,1.94e-06,1.730402438336271e-09,1.94e-06,1.568996494749982e-09,1.94e-06,1.335408397776976e-09,1.94e-06,3.658533390745373e-09,1.94e-06,3.410495265811815e-09,1.94e-06,3.033763645875874e-09,1.94e-06,3.008199845063869e-09,1.94e-06,2.770319495995838e-09,1.94e-06,2.431618999805091e-09,1.94e-06,2.814275333323739e-09,1.94e-06,2.59520419076722e-09,1.94e-06,2.275599337628767e-09,1.94e-06,1.059650530114227e-09,1.94e-06,9.263176885299935e-10,1.94e-06,7.458159401556607e-10,1.94e-06,9.535130632690514e-10,1.94e-06,8.365025989559812e-10,1.94e-06,6.768322029182088e-10,1.94e-06,8.899491281634752e-10,1.94e-06,7.852461589926863e-10,1.94e-06,6.394127803828839e-10
1.97e-06,2.095061975874919e-09,1.97e-06,1.898320583932792e-09,1.97e-06,1.620713773003757e-09,1.97e-06,1.876254605976426e-09,1.97e-06,1.693789868744262e-09,1.97e-06,1.433133535035833e-09,1.97e-06,1.749834573475657e-09,1.97e-06,1.586644186340195e-09,1.97e-06,1.350281022663433e-09,1.97e-06,3.692271885029037e-09,1.97e-06,3.441823611355674e-09,1.97e-06,3.061279168878753e-09,1.97e-06,3.037258531835155e-09,1.97e-06,2.797881040207701e-09,1.97e-06,2.454555475543747e-09,1.97e-06,2.841797938757237e-09,1.97e-06,2.62038109973671e-09,1.97e-06,2.297415810008076e-09,1.97e-06,1.074334339833698e-09,1.97e-06,9.391219631022114e-10,1.97e-06,7.560720750111221e-10,1.97e-06,9.671265450763239e-10,1.97e-06,8.482582000825719e-10,1.97e-06,6.86507420408454e-10,1.97e-06,9.02834035875238e-10,1.97e-06,7.967028198790783e-10,1.97e-06,6.486335745070051e-10
2e-06,2.116232481336312e-09,2e-06,1.918165625943077e-09,2e-06,1.637349724951049e-09,2e-06,1.89660731312817e-09,2e-06,1.712204681195004e-09,2e-06,1.448463689405961e-09,2e-06,1.769363642569956e-09,2e-06,1.604170087000373e-09,2e-06,1.364943676533799e-09,2e-06,3.72641363669935e-09,2e-06,3.473220818042913e-09,2e-06,3.089635024997207e-09,2e-06,3.066370816870718e-09,2e-06,2.824171779328947e-09,2e-06,2.477160121034357e-09,2e-06,2.869538950830807e-09,2e-06,2.645416936647704e-09,2e-06,2.319252676598363e-09,2e-06,1.088880090875382e-09,2e-06,9.516486951084669e-10,2e-06,7.660358795723306e-10,2e-06,9.80424653741868e-10,2e-06,8.603051019377579e-10,2e-06,6.96081454165491e-10,2e-06,9.154743131212405e-10,2e-06,8.079908931490459e-10,2e-06,6.577600390728785e-10
2.03e-06,2.138418174023319e-09,2.03e-06,1.938286418906871e-09,2.03e-06,1.654235549359237e-09,2.03e-06,1.917638643830236e-09,2.03e-06,1.73071576051429e-09,2.03e-06,1.464020063679447e-09,2.03e-06,1.789080320990461e-09,2.03e-06,1.621955447142412e-09,2.03e-06,1.380191513642583e-09,2.03e-06,3.760723922137705e-09,2.03e-06,3.505426956026715e-09,2.03e-06,3.118460379122574e-09,2.03e-06,3.096013185275095e-09,2.03e-06,2.851528779173438e-09,2.03e-06,2.5011623561769e-09,2.03e-06,2.897141517836371e-09,2.03e-06,2.670758191104407e-09,2.03e-06,2.34127479728018e-09,2.03e-06,1.103387446138711e-09,2.03e-06,9.644045667616723e-10,2.03e-06,7.762017913158934e-10,2.03e-06,9.941756001553065e-10,2.03e-06,8.723189104175152e-10,2.03e-06,7.057911069622175e-10,2.03e-06,9.283560942866834e-10,2.03e-06,8.194550367079559e-10,2.03e-06,6.670449512469315e-10
2.06e-06,2.160192122603435e-09,2.06e-06,1.958100443418723e-09,2.06e-06,1.670827916314043e-09,2.06e-06,1.938294537893598e-09,2.06e-06,1.748995252898998e-09,2.06e-06,1.47932689253602e-09,2.06e-06,1.808590980588489e-09,2.06e-06,1.639455705920558e-09,2.06e-06,1.394954055071451e-09,2.06e-06,3.79435135050911e-09,2.06e-06,3.536552375448406e-09,2.06e-06,3.145821181274967e-09,2.06e-06,3.125079034714098e-09,2.06e-06,2.878063221056904e-09,2.06e-06,2.523925243296448e-09,2.06e-06,2.924313051633494e-09,2.06e-06,2.695827976586058e-09,2.06e-06,2.362957746412089e-09,2.06e-06,1.117808620520105e-09,2.06e-06,9.769246166960275e-10,2.06e-06,7.862075507683435e-10,2.06e-06,1.007724545724617e-09,2.06e-06,8.8397267244143e-10,2.06e-06,7.153116777051885e-10,2.06e-06,9.409909168835158e-10,2.06e-06,8.308721328850221e-10,2.06e-06,6.761530557915937e-10
2.09e-06,2.18399881632743e-09,2.09e-06,1.978433064226623e-09,2.09e-06,1.687663698186368e-09,2.09e-06,1.959090435492457e-09,2.09e-06,1.767508070750699e-09,2.09e-06,1.494861816719808e-09,2.09e-06,1.82831377968682e-09,2.09e-06,1.657220191582535e-09,2.09e-06,1.409781404024456e-09,2.09e-06,3.829349713115314e-09,2.09e-06,3.568325347301765e-09,2.09e-06,3.173667337714795e-09,2.09e-06,3.154531013517062e-09,2.09e-06,2.904826794058711e-09,2.09e-06,2.546988296939342e-09,2.09e-06,2.951761230410607e-09,2.09e-06,2.721168607737706e-09,2.09e-06,2.384920580487654e-09,2.09e-06,1.132205949763911e-09,2.09e-06,9.896821409896739e-10,2.09e-06,7.963841424123439e-10,2.09e-06,1.020895372540487e-09,2.09e-06,8.962344069120336e-10,2.09e-06,7.249833535501399e-10,2.09e-06,9.538533629148174e-10,2.09e-06,8.422020101893573e-10,2.09e-06,6.853926256577774e-10
2.12e-06,2.206032172163946e-09,2.12e-06,1.998254321470831e-09,2.12e-06,1.704131621306387e-09,2.12e-06,1.979704190616971e-09,2.12e-06,1.785902914140491e-09,2.12e-06,1.509959199197195e-09,2.12e-06,1.847667703412507e-09,2.12e-06,1.674698711615299e-09,2.12e-06,1.424440109883162e-09,2.12e-06,3.862674149369577e-09,2.12e-06,3.599868128071902e-09,2.12e-06,3.200182071022135e-09,2.12e-06,3.183589883447975e-09,2.12e-06,2.931296279408832e-09,2.12e-06,2.569680177412335e-09,2.12e-06,2.979248999980059e-09,2.12e-06,2.745894573674966e-09,2.12e-06,2.406599472686928e-09,2.12e-06,1.146348648884675e-09,2.12e-06,1.00181715405653e-09,2.12e-06,8.062777350338004e-10,2.12e-06,1.034292630555083e-09,2.12e-06,9.080160959255485e-10,2.12e-06,7.344741497112493e-10,2.12e-06,9.66485222874475e-10,2.12e-06,8.534421053113443e-10,2.12e-06,6.944648661059083e-10
