"Edge Phase Noise; dBc/Hz; pm0 (b7=0,b6=0,b5=0,b4=0,b3=0,b2=0,b1=0,b0=0,jittereventtime=1.84965e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b7=0,b6=0,b5=0,b4=0,b3=0,b2=0,b1=0,b0=0,jittereventtime=1.84965e-09) Y","Edge Phase Noise; dBc/Hz; pm0 (b7=1,b6=1,b5=1,b4=1,b3=1,b2=1,b1=1,b0=1,jittereventtime=6.90762e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b7=1,b6=1,b5=1,b4=1,b3=1,b2=1,b1=1,b0=1,jittereventtime=6.90762e-09) Y"
10,-107.6430227190345,10,-96.31657988439765
13.42637584296065,-108.9158706835078,13.42637584296065,-97.56669420729048
18.02675682764374,-110.1857459274483,18.02675682764374,-98.81427804068662
24.2034012397602,-111.4526744487414,24.2034012397602,-100.059388996673
32.49639617230002,-112.7166767937325,32.49639617230002,-101.3020806361026
43.63088285510481,-113.9777651103526,43.63088285510481,-102.5424007377976
58.58046315728254,-115.2359393244704,58.58046315728254,-103.7803891068155
78.65233154043848,-116.4911821643966,78.65233154043848,-105.0160747722405
105.6015764187076,-117.7434526758356,105.6015764187076,-106.2494723778847
141.7846454606699,-118.9926777687598,141.7846454606699,-107.4805775081798
190.3653938715879,-120.2387412222163,190.3653938715879,-108.709360612588
255.5917325613177,-121.4814694579619,255.5917325613177,-109.9357590905045
343.1670663721736,-122.7206133174662,343.1670663721736,-111.1596669696721
460.7490010039027,-123.9558251137667,460.7490010039027,-112.3809214491137
618.6189256747053,-125.1866304669602,618.6189256747053,-113.5992853776689
830.5810199677136,-126.412394755239,830.5810199677136,-114.8144244989616
1115.169294211613,-127.63228334657,1115.169294211613,-116.0258780163996
1497.268207261428,-128.8452099108779,1497.268207261428,-117.2330207328035
2010.288568840785,-130.0497554035515,2010.288568840785,-118.4350147357133
2699.088987806386,-131.2440351078966,2699.088987806386,-119.6307484069833
3623.898318388478,-132.4255256898211,3623.898318388478,-120.8187605728633
4865.582083935679,-133.5909157967027,4865.582083935679,-121.99714811469
6532.713375369616,-134.7360142696552,6532.713375369616,-123.1634567043342
8771.066505204857,-135.8556782000891,8771.066505204857,-124.3145570544749
11776.36354424838,-136.9437426685661,11776.36354424838,-125.4465138735308
15811.3883008419,-137.9930021690932,15811.3883008419,-126.5544622839213
21228.96419260944,-138.995319921238,21228.96419260944,-127.6325170944541
28502.80520067281,-139.9419308938764,28502.80520067281,-128.673753103237
38268.93752029267,-140.8239765340899,38268.93752029267,-129.6703062349177
51381.31382582281,-141.6332587051079,51381.31382582281,-130.6136489666294
68986.48307306076,-142.3631251290613,68986.48307306076,-131.4950792105561
92623.8449822957,-143.0093198453334,92623.8449822957,-132.3064204429087
124360.2554752427,-143.5705917074567,124360.2554752427,-133.0408625833589
166970.7529937215,-144.0488897125462,166970.7529937215,-133.6937968239627
224181.2084475852,-144.4490865399698,224181.2084475852,-134.2634509048451
300994.1161546385,-144.7783126860725,300994.1161546385,-134.7511520093757
404126.0130011931,-145.0450847975605,404126.0130011931,-135.1611400639771
542594.7738471222,-145.2584324073126,542594.7738471222,-135.4999865973392
728508.1364097701,-145.4271761925367,728508.1364097701,-135.7757802430984
978122.4044092422,-145.5594292908393,978122.4044092422,-135.9972743940209
1313263.902201884,-145.6623213397818,1313263.902201884,-136.1731552556491
1763237.473195562,-145.741902265946,1763237.473195562,-136.3115142817035
2367388.901551588,-145.8031689007877,2367388.901551588,-136.419537201414
3178545.31586854,-145.8501620535221,3178545.31586854,-136.5033750746794
4267634.40447331,-145.8860939855343,4267634.40447331,-136.5681436459855
5729886.347480823,-145.9134789512103,5729886.347480823,-136.6179967258992
7693160.763872658,-145.9342485590181,7693160.763872658,-136.6562250462755
10329126.78360726,-145.9498362792711,10329126.78360726,-136.6853304309111
13868273.83263024,-145.9612053930472,13868273.83263024,-136.7069952929512
18620065.676999,-145.9687492995903,18620065.676999,-136.7217609175575
25000000,-145.971795328875,25000000,-136.7278669914015
