P_inst X,P_inst Y
1e-06,3.994091975708562e-05
1.000069092440116e-06,3.994173950168924e-05
1.000153896215158e-06,4.030401477833195e-05
1.000196298102679e-06,4.222321761805299e-05
1.000210837501886e-06,4.359699330846288e-05
1.000222387988955e-06,4.487583980135876e-05
1.000238043874825e-06,4.617521638597045e-05
1.000249478468584e-06,4.646102172399425e-05
1.000261238877966e-06,5.00062770079572e-05
1.000273624902952e-06,7.107869700098782e-05
1.000283028995226e-06,9.091028227607152e-05
1.000291559685081e-06,0.0001000321259553027
1.000299752962068e-06,0.0001401442139702217
1.000306843508931e-06,0.0003017097736365675
1.000309902503869e-06,0.0004046870692208172
1.000312315575036e-06,0.0004846537506910479
1.000314995540559e-06,0.0005512516355290258
1.000317710047477e-06,0.0005802848679203258
1.000321657832195e-06,0.0005543990734095379
1.000324994587025e-06,0.0004877532318522983
1.000327510748915e-06,0.0004277240632818823
1.000329580033383e-06,0.0003881566824143753
1.000331539210144e-06,0.0003621404069374917
1.00033372598682e-06,0.0003324584514336296
1.000335705160811e-06,0.0002965591726557767
1.000337488226634e-06,0.0002585664595181937
1.000339956033584e-06,0.0002086618501979956
1.000342976633371e-06,0.0001652201351482132
1.000346013448075e-06,0.0001404605667272781
1.000350753921124e-06,0.0001217419830266419
1.000355197431687e-06,0.0001143461895894759
1.000360361074101e-06,0.0001106052721275946
1.000366191102975e-06,0.0001088654400240302
1.000373678478454e-06,0.0001080203959034438
1.000383665867686e-06,0.0001076552563678871
1.000398737785517e-06,0.0001073126452361322
1.000422863693133e-06,0.0001066863813381548
1.000461431846566e-06,0.0001056781508747955
1.0005e-06,0.0001046783525424908
1.000509844420181e-06,0.0001044238848626126
1.000527366617477e-06,0.0001039720756797782
1.000543343267509e-06,0.0001035590037505793
1.000575296567573e-06,0.0001027347093694585
1.000639203167703e-06,0.0001010947602880532
1.000767016367961e-06,9.783422169456733e-05
1.001022642768477e-06,9.141464107680648e-05
1.00116884025001e-06,8.786996397763945e-05
1.001353021515852e-06,8.421987550800231e-05
1.001440628629045e-06,8.367252806778841e-05
1.001520137620035e-06,8.466006809929681e-05
1.001618614190909e-06,8.765166870564761e-05
1.001694698009457e-06,8.926695494906547e-05
1.00177397074465e-06,8.811182606683811e-05
1.001800501512242e-06,9.231192026634702e-05
1.001813766896038e-06,0.0001005471877088641
1.001819387006215e-06,0.0001053896407918761
1.00183062722657e-06,0.0001155293520432246
1.001843646515697e-06,0.0001211897200909541
1.001855656601071e-06,0.0001139558057190115
1.001860702885476e-06,0.0001090543093850793
1.001865123791283e-06,0.0001057831189475007
1.001867904611771e-06,0.0001047567452157671
1.001870484036447e-06,0.0001043460449939569
1.001873374778526e-06,0.0001032905320045321
1.001875762699183e-06,0.0001010553242367086
1.001878392483648e-06,9.677976067041213e-05
1.00188137561317e-06,8.981930769258237e-05
1.001884113599814e-06,8.259455302347812e-05
1.001886221116859e-06,7.789415754494829e-05
1.001887915744923e-06,7.515004587739429e-05
1.001890546323906e-06,7.171445842240587e-05
1.001892490413142e-06,6.939451483599304e-05
1.00189446212693e-06,6.718115299280609e-05
1.001896827769105e-06,6.470959956115888e-05
1.001901559053456e-06,6.033855195636181e-05
1.001908914449918e-06,5.541932531183907e-05
1.001916145336178e-06,5.320994835591142e-05
1.001926142239248e-06,5.133583669213103e-05
1.001933739678786e-06,5.009928740462462e-05
1.001941583702094e-06,4.895353771543601e-05
1.001954451779036e-06,4.73241271531021e-05
1.001979873911122e-06,4.483514079459145e-05
1.002023798544061e-06,4.212313260527068e-05
1.002086190359804e-06,4.036919230407703e-05
1.002160850999128e-06,3.979498382628614e-05
1.002229006870258e-06,3.965136242212967e-05
1.002287993138923e-06,3.960620906912239e-05
1.002358164116821e-06,3.959099295353511e-05
1.002485064055337e-06,3.960272807109609e-05
1.00267636590712e-06,3.964713245803304e-05
1.002936942294168e-06,3.971252800476906e-05
1.003309961263716e-06,3.979637183339014e-05
1.003955596310532e-06,3.99140473484286e-05
1.005246866404162e-06,4.00748377473179e-05
1.007829406591423e-06,4.02289384690491e-05
1.01e-06,4.027184256510728e-05
1.010064727779946e-06,4.027285711438085e-05
1.010145921412626e-06,4.034820943029073e-05
1.010186518228967e-06,4.104907840453182e-05
1.010206816637137e-06,4.216682513183931e-05
1.010221680128746e-06,4.350182864246309e-05
1.010234678737457e-06,4.49734010533808e-05
1.010251409202233e-06,4.655941279050469e-05
1.010263191840261e-06,4.699101815751024e-05
1.010275256154573e-06,4.981116932291614e-05
1.010281669005719e-06,5.735258071157249e-05
1.01028332123361e-06,6.037282801525984e-05
1.010284927994559e-06,6.419065479156942e-05
1.010286186468055e-06,6.855627541429135e-05
1.010288703415047e-06,7.696135745523746e-05
1.010291669005719e-06,8.304551233555101e-05
1.010292148333412e-06,8.369412711844223e-05
1.010292954933991e-06,8.48157790286605e-05
1.010293675564284e-06,8.583591346287769e-05
1.01029511682487e-06,8.786532150075039e-05
1.010297999346042e-06,9.152482584638699e-05
1.010303682115208e-06,9.51421695887781e-05
1.010309869002782e-06,9.226288456253515e-05
1.010314868145604e-06,9.812214876745771e-05
1.010319997227389e-06,0.0001500518606866454
1.010324007346605e-06,0.0002202073568650156
1.01032684397025e-06,0.000261836432160145
1.010329703853972e-06,0.0002846720685549872
1.010333280180312e-06,0.0003105348394638975
1.01033586399666e-06,0.0003372613018215511
1.010338403409288e-06,0.000356461181570042
1.010340306670281e-06,0.0003675364997548453
1.010342748006012e-06,0.0003816621600004819
1.010345675118593e-06,0.0003959376968530273
1.010347970155279e-06,0.000404055264055636
1.010350387291929e-06,0.0004098410085564702
1.010353493349379e-06,0.000413578886559948
1.010359705464278e-06,0.0004113269357686733
1.010368199705769e-06,0.0003944079735117954
1.010377069908502e-06,0.0003689297617030886
1.010386975808407e-06,0.0003539047660195273
1.010392464924438e-06,0.0003657771022998104
1.01039871683488e-06,0.0003874256358634095
1.010403501769775e-06,0.0003924986647427682
1.010410487936431e-06,0.0003788288730726036
1.010412582281923e-06,0.000386965667370817
1.010414060066086e-06,0.0003937511690728192
1.010415777406445e-06,0.0003861904760107666
1.010417347137149e-06,0.0003614051808031236
1.010418650034636e-06,0.0003384974929527722
1.010419897082507e-06,0.0003200142988768597
1.010420935679659e-06,0.000304479215359761
1.010422185522564e-06,0.0002862469788419995
1.010423094274623e-06,0.0002748859325095467
1.01042418499946e-06,0.0002635080807383986
1.010424999181619e-06,0.0002558820540722862
1.010425988926627e-06,0.0002473735754899098
1.01042702744654e-06,0.0002393881052145717
