P_inst (ln_comp_coarse=3e-07) X,P_inst (ln_comp_coarse=3e-07) Y
1e-06,3.994080745241497e-05
1.000079475811553e-06,3.994255605373051e-05
1.00017141553166e-06,4.079275501924986e-05
1.000217385391713e-06,4.428105654976143e-05
1.000231889529084e-06,4.575508252385263e-05
1.000244125825256e-06,4.635969146563247e-05
1.00025619941352e-06,4.726649832310352e-05
1.000264720331897e-06,5.390252752449064e-05
1.000271625475562e-06,6.609108973107881e-05
1.000278922907651e-06,8.020202080361889e-05
1.000285606598633e-06,8.784885454747124e-05
1.000293899639633e-06,0.0001295153984951021
1.000295995594543e-06,0.0001690559049770953
1.000297545998553e-06,0.0002063293870214366
1.000299529432e-06,0.0002568090389994913
1.000301145927687e-06,0.0002926918094586755
1.000303208158575e-06,0.0003250395888821593
1.00030550431221e-06,0.0003414100765649495
1.00030650473556e-06,0.0003456890836975982
1.000307625343377e-06,0.0003559341084843855
1.000308600121393e-06,0.0003697095567727721
1.000309479840649e-06,0.0003825734937050791
1.000310494222586e-06,0.0003956183644912391
1.000311559966411e-06,0.0004064892313034721
1.000312993469017e-06,0.0004163659132299502
1.000315051617779e-06,0.0004219142156664842
1.00031906037983e-06,0.0004102669656906959
1.000324633464245e-06,0.0003641308693931595
1.000329678108124e-06,0.0003078054586317921
1.000334898880296e-06,0.0002427350455846574
1.000340596188943e-06,0.0001730974496725734
1.000344850402027e-06,0.0001381287710086467
1.000349273671685e-06,0.0001203964461784873
1.000354172473643e-06,0.0001123624694642838
1.000359863245536e-06,0.0001090270512996609
1.000365564244692e-06,0.0001079747568613599
1.000373203060414e-06,0.0001075191642184674
1.000383379545523e-06,0.0001072494867824186
1.000400756935561e-06,0.0001068115724675802
1.000429968056361e-06,0.0001060535583366291
1.00046498402818e-06,0.0001051557865523511
1.0005e-06,0.0001042637445315255
1.0005092428926e-06,0.0001040259431270854
1.00052552554193e-06,0.0001036128165665751
1.000540408789657e-06,0.0001032338528382468
1.000570175285112e-06,0.00010247683302225
1.000629708276022e-06,0.0001009711488699349
1.000748774257841e-06,9.797561613954845e-05
1.000986906221479e-06,9.206611040691509e-05
1.001225905825513e-06,8.634625673010465e-05
1.00134540562753e-06,8.388435010914427e-05
1.00143973697798e-06,8.267315782753904e-05
1.001520223283143e-06,8.27184296982486e-05
1.001620680599491e-06,8.43249574687819e-05
1.001696380033106e-06,8.553745160138716e-05
1.001770442840311e-06,0.0001061762391379669
1.001789851187097e-06,0.0001293015473018719
1.001797570895626e-06,0.0001390849697360473
1.001807212959152e-06,0.0001455621375708887
1.001816741032075e-06,0.0001411852772400362
1.001825674703204e-06,0.0001332364329206929
1.0018308036001e-06,0.0001309247420363896
1.00183357902463e-06,0.0001310031716116688
1.001836039626679e-06,0.000131420946812564
1.001838758127296e-06,0.0001310994073276261
1.001841222901093e-06,0.0001293865383606627
1.001844015031539e-06,0.0001255585568915207
1.001846927093441e-06,0.000119737644367734
1.001849663833837e-06,0.0001136873259453735
1.001851729379992e-06,0.0001099442350739969
1.001853461621937e-06,0.0001077831496514405
1.001855316666038e-06,0.0001059357000379411
1.001857272400065e-06,0.0001041229542363516
1.001859167490096e-06,0.0001023953968575776
1.001861479812916e-06,0.0001002928416089507
1.001865224758379e-06,9.683351265530155e-05
1.001871365197351e-06,9.040981636753838e-05
1.001878453680868e-06,8.178863412437859e-05
1.001885754093943e-06,7.31576259926299e-05
1.001893325343565e-06,6.582970550615263e-05
1.00190074868812e-06,6.02807610360574e-05
1.001912991584212e-06,5.396416951466903e-05
1.001932349650891e-06,4.858691035118351e-05
1.001955379981627e-06,4.558099795886293e-05
1.001989058690753e-06,4.33649045372733e-05
1.002041557342562e-06,4.155266846469001e-05
1.002112927501343e-06,4.038219593626096e-05
1.002196482519856e-06,3.986898166806591e-05
1.002302036776999e-06,3.975348423741562e-05
1.002405051052438e-06,3.975799601281625e-05
1.002489447972939e-06,3.977435292116324e-05
1.002590458496007e-06,3.979802869293659e-05
1.002761654242495e-06,3.984020084017934e-05
1.003088537907676e-06,3.991626387081704e-05
1.003631937560781e-06,4.002305978779798e-05
1.004718736866991e-06,4.017757385230701e-05
1.00689233547941e-06,4.034356064534025e-05
1.01e-06,4.04255576526708e-05
1.010075379125192e-06,4.042688548499156e-05
1.010164131624479e-06,4.065951989961107e-05
1.010208507874122e-06,4.24474257310908e-05
1.010222872215668e-06,4.378291393985538e-05
1.010235132806842e-06,4.51816253559365e-05
1.010246720859736e-06,4.638068078087682e-05
1.010258443500751e-06,4.702572879768449e-05
1.010270892793905e-06,4.801206020339156e-05
1.010281823428631e-06,5.729097188303126e-05
1.010284323428631e-06,6.185197023036998e-05
1.01028636850593e-06,6.791357189868421e-05
1.010288091454263e-06,7.346495401755738e-05
1.010289957441447e-06,7.753848899708271e-05
1.010291823428631e-06,7.996032580339534e-05
1.010292106135769e-06,8.017242548196069e-05
1.010292671550047e-06,8.059596643303375e-05
1.010293195098821e-06,8.097875833596273e-05
1.01029424219637e-06,8.16904295053598e-05
1.010296336391468e-06,8.273970388007019e-05
1.010300524781665e-06,8.293080938802049e-05
1.01030575409143e-06,9.325721110588816e-05
1.010308067252519e-06,0.0001153075233368101
1.010309697679074e-06,0.0001374124503923727
1.010311523096938e-06,0.0001623546890608182
1.010313140202118e-06,0.0001814298562976263
1.010315072631155e-06,0.0002110209429705015
