delay X,delay Y
8.2e-07,1.674566945934314e-09
8.4e-07,1.675389377413528e-09
8.6e-07,1.676254301385693e-09
8.8e-07,1.677175684582696e-09
9e-07,1.678122978322503e-09
9.2e-07,1.67908334294057e-09
9.4e-07,1.680046285777788e-09
9.599999999999999e-07,1.681008599027342e-09
9.799999999999999e-07,1.681981662633817e-09
1e-06,1.682946477834042e-09
1.02e-06,1.683921272966255e-09
1.04e-06,1.684891477780301e-09
1.06e-06,1.685873848562689e-09
1.08e-06,1.686882364763955e-09
1.1e-06,1.68790988402295e-09
1.12e-06,1.688922051708468e-09
1.14e-06,1.688921517802132e-09
1.16e-06,1.689912792792299e-09
1.18e-06,1.690901405799018e-09
1.2e-06,1.691879898295589e-09
1.22e-06,1.692839896131468e-09
1.24e-06,1.693801747930158e-09
1.26e-06,1.694748368465029e-09
1.28e-06,1.695706232603602e-09
1.3e-06,1.696674625715051e-09
1.32e-06,1.697669400331138e-09
1.34e-06,1.698651178134676e-09
1.36e-06,1.699613759351702e-09
1.38e-06,1.700569593303046e-09
1.4e-06,1.701506539762007e-09
1.42e-06,1.702434539663343e-09
1.44e-06,1.703359846432251e-09
1.46e-06,1.695570587737067e-09
1.48e-06,1.695851487780999e-09
1.5e-06,1.696736586213858e-09
1.52e-06,1.697675934806246e-09
1.54e-06,1.69863741384536e-09
1.56e-06,1.699601720819097e-09
1.58e-06,1.700572185248878e-09
1.6e-06,1.701549068215497e-09
1.62e-06,1.702524049861988e-09
1.64e-06,1.703507093722174e-09
1.66e-06,1.704485371856248e-09
1.68e-06,1.70547604326712e-09
1.7e-06,1.706481720135227e-09
1.72e-06,1.707515600380885e-09
1.74e-06,1.70855120662828e-09
1.76e-06,1.709557309147571e-09
1.78e-06,1.709565709091455e-09
1.8e-06,1.710553834770873e-09
1.82e-06,1.711546155257067e-09
1.84e-06,1.712521546569369e-09
1.86e-06,1.713495163059893e-09
1.88e-06,1.714455253742601e-09
1.9e-06,1.715426316092002e-09
1.92e-06,1.716396322040102e-09
1.94e-06,1.717396087550137e-09
1.96e-06,1.718388633210922e-09
1.98e-06,1.719370341174957e-09
2e-06,1.720330483642771e-09
2.02e-06,1.721288357095823e-09
2.04e-06,1.722225237208957e-09
2.06e-06,1.723155492023615e-09
2.08e-06,1.724076382904368e-09
2.1e-06,1.716573483965859e-09
2.12e-06,1.716874900877054e-09
2.14e-06,1.717789833289434e-09
2.16e-06,1.718727024756237e-09
2.18e-06,1.719676382560677e-09
2.2e-06,1.720637325768496e-09
2.22e-06,1.721607785103875e-09
2.24e-06,1.722575954165999e-09
2.26e-06,1.723555448415901e-09
2.28e-06,1.724533797097373e-09
2.3e-06,1.725527688355338e-09
2.32e-06,1.726533843432903e-09
2.34e-06,1.727575241230647e-09
2.36e-06,1.728612743783961e-09
2.38e-06,1.729635019487546e-09
2.4e-06,1.73063642270067e-09
2.42e-06,1.730647716251336e-09
2.44e-06,1.731630008902916e-09
2.46e-06,1.732620818263661e-09
2.48e-06,1.733598892876568e-09
2.5e-06,1.73456908911142e-09
2.52e-06,1.735544454535255e-09
2.54e-06,1.736525505156066e-09
2.56e-06,1.737529157448439e-09
2.58e-06,1.738532995520419e-09
2.6e-06,1.739515306222416e-09
2.62e-06,1.740485670889387e-09
2.64e-06,1.741446442071205e-09
2.66e-06,1.742386377657288e-09
2.68e-06,1.743320539270637e-09
2.7e-06,1.744242182308657e-09
2.72e-06,1.74518015174411e-09
2.74e-06,1.737418561729402e-09
2.76e-06,1.737723328153692e-09
2.78e-06,1.738633850351546e-09
2.8e-06,1.739563499356911e-09
2.82e-06,1.740510365934207e-09
2.84e-06,1.741470265599773e-09
2.86e-06,1.742429123999977e-09
2.88e-06,1.743401759133531e-09
2.9e-06,1.744374720608276e-09
2.92e-06,1.745366100144334e-09
2.94e-06,1.74636948374304e-09
2.96e-06,1.747408082197221e-09
2.98e-06,1.748447085725068e-09
3e-06,1.749471539005159e-09
3.02e-06,1.750491470362255e-09
3.04e-06,1.751495094178501e-09
3.06e-06,1.751507346567471e-09
3.08e-06,1.752478451979218e-09
3.1e-06,1.753467904193046e-09
3.12e-06,1.754439668673208e-09
3.14e-06,1.755421063650913e-09
3.16e-06,1.756403546587679e-09
3.18e-06,1.757414901500906e-09
3.2e-06,1.758423798587086e-09
3.22e-06,1.759419224196366e-09
3.24e-06,1.760393941081905e-09
3.26e-06,1.761361082070813e-09
3.28e-06,1.762307626019618e-09
3.3e-06,1.763250152513586e-09
3.32e-06,1.764181858667461e-09
3.34e-06,1.765118872192794e-09
3.36e-06,1.76606269162203e-09
3.38e-06,1.758595306857828e-09
3.4e-06,1.75890012598783e-09
3.42e-06,1.759797720654722e-09
3.44e-06,1.760713487431293e-09
3.46e-06,1.761652766149662e-09
3.48e-06,1.76259532662071e-09
3.5e-06,1.763555630302752e-09
3.52e-06,1.764520822668572e-09
3.54e-06,1.765507947684068e-09
3.56e-06,1.766509489593845e-09
3.58e-06,1.767539708405095e-09
3.6e-06,1.76858649540347e-09
3.62e-06,1.769612691314859e-09
3.64e-06,1.770632507958883e-09
3.66e-06,1.771635084735461e-09
3.68e-06,1.7726241149687e-09
3.7e-06,1.772638618114273e-09
3.72e-06,1.77361488805558e-09
3.74e-06,1.774600102771782e-09
3.76e-06,1.775586933022831e-09
3.78e-06,1.776579720143295e-09
3.8e-06,1.777600316282347e-09
3.82e-06,1.778613650530411e-09
3.84e-06,1.779608806661106e-09
3.86e-06,1.780592032476624e-09
3.88e-06,1.781560832901017e-09
3.9e-06,1.782514020874257e-09
3.92e-06,1.783463429338291e-09
3.94e-06,1.784395191715472e-09
3.96e-06,1.78533963183387e-09
3.98e-06,1.786292983943339e-09
4e-06,1.787259885340619e-09
4.02e-06,1.77948322740352e-09
4.04e-06,1.779778189506863e-09
4.06e-06,1.780668976842915e-09
4.08e-06,1.78158466285425e-09
4.1e-06,1.782514452896733e-09
4.12e-06,1.783463496848412e-09
4.14e-06,1.784418739223623e-09
4.16e-06,1.785396739140968e-09
4.18e-06,1.786383983242377e-09
4.2e-06,1.787426363770431e-09
4.22e-06,1.788464980727225e-09
4.24e-06,1.789488830336859e-09
4.26e-06,1.790508074044006e-09
4.28e-06,1.791518328642558e-09
4.3e-06,1.792517774109098e-09
4.32e-06,1.793506868847373e-09
4.34e-06,1.793523380786937e-09
4.36e-06,1.794489339554546e-09
4.38e-06,1.795486829990783e-09
4.4e-06,1.796476694657169e-09
4.42e-06,1.797505946467286e-09
4.44e-06,1.798527493676812e-09
4.46e-06,1.799526255039079e-09
4.48e-06,1.800513771754243e-09
4.5e-06,1.801491023410312e-09
4.52e-06,1.80245114419943e-09
4.54e-06,1.803407528065632e-09
4.56e-06,1.80434737533152e-09
4.58e-06,1.805302715372042e-09
4.6e-06,1.806245874859748e-09
4.62e-06,1.807208997374221e-09
4.64e-06,1.808197093786596e-09
4.66e-06,1.800720491598652e-09
4.68e-06,1.801012596115236e-09
4.7e-06,1.801899131624424e-09
4.72e-06,1.802800443183095e-09
4.74e-06,1.803730654179738e-09
4.76e-06,1.804671932582343e-09
4.78e-06,1.805640960780173e-09
4.8e-06,1.80663255176238e-09
4.82e-06,1.807664121338264e-09
4.84e-06,1.808696849245654e-09
4.86e-06,1.809718805438064e-09
4.88e-06,1.810735037137421e-09
4.9e-06,1.811743291583523e-09
4.919999999999999e-06,1.812742362615191e-09
4.94e-06,1.813741165511252e-09
4.96e-06,1.814725086437181e-09
4.98e-06,1.81474006217105e-09
5e-06,1.815723520347259e-09
5.02e-06,1.816737140661234e-09
5.04e-06,1.817770299637718e-09
5.06e-06,1.818784644153273e-09
5.08e-06,1.819790844113882e-09
5.099999999999999e-06,1.820785483184423e-09
5.12e-06,1.821757257583635e-09
5.14e-06,1.822720689225582e-09
5.16e-06,1.823677107466566e-09
5.18e-06,1.824626416057611e-09
5.2e-06,1.825580234782622e-09
5.22e-06,1.826540637172026e-09
5.24e-06,1.827524942393713e-09
5.26e-06,1.828509110617224e-09
5.28e-06,1.829468426178816e-09
5.3e-06,1.821610498514267e-09
5.32e-06,1.821902304970434e-09
5.34e-06,1.822775290313191e-09
5.36e-06,1.823685680379899e-09
5.38e-06,1.824610285984332e-09
5.4e-06,1.825575682274834e-09
5.42e-06,1.826554083693568e-09
5.44e-06,1.827575702115941e-09
5.46e-06,1.828603021517294e-09
5.48e-06,1.829620250497949e-09
5.5e-06,1.830635432806113e-09
5.52e-06,1.831644712833445e-09
5.539999999999999e-06,1.832647182523945e-09
5.56e-06,1.833643163098068e-09
5.58e-06,1.834633748415246e-09
5.6e-06,1.83562781281086e-09
5.62e-06,1.835644252695884e-09
5.64e-06,1.836639694662973e-09
5.66e-06,1.837687127019324e-09
5.68e-06,1.838714088094465e-09
5.7e-06,1.839720354578645e-09
5.72e-06,1.840717066090275e-09
5.74e-06,1.841705895999168e-09
5.76e-06,1.842673393947333e-09
5.78e-06,1.843642709942882e-09
5.8e-06,1.844593844920487e-09
5.82e-06,1.845544709860757e-09
5.84e-06,1.846508318239581e-09
5.86e-06,1.847497790953429e-09
5.88e-06,1.848477531309631e-09
5.9e-06,1.849443876103634e-09
5.92e-06,1.850408184830189e-09
5.94e-06,1.84269726654845e-09
5.96e-06,1.842985662243449e-09
5.979999999999999e-06,1.843864460982676e-09
6e-06,1.844768506094079e-09
6.02e-06,1.845710776572447e-09
6.04e-06,1.846678564465455e-09
6.06e-06,1.847690878596012e-09
6.08e-06,1.848708425581583e-09
6.1e-06,1.849718714496179e-09
6.12e-06,1.850727946981335e-09
6.14e-06,1.851734815143309e-09
6.159999999999999e-06,1.852733644675804e-09
6.18e-06,1.853735453599422e-09
6.2e-06,1.854734355480431e-09
6.22e-06,1.855740278027203e-09
6.24e-06,1.856752690551272e-09
6.26e-06,1.856769593784868e-09
6.28e-06,1.857800714551193e-09
6.3e-06,1.85883878137877e-09
6.32e-06,1.859849924736241e-09
6.34e-06,1.860851986867701e-09
6.36e-06,1.861836807427741e-09
6.38e-06,1.862808523591675e-09
6.4e-06,1.863775418331523e-09
6.42e-06,1.864735833821043e-09
6.44e-06,1.86570265809953e-09
6.46e-06,1.866675717291343e-09
6.48e-06,1.867677699399043e-09
6.5e-06,1.868667220915705e-09
6.52e-06,1.86963563865934e-09
6.54e-06,1.870596575043804e-09
6.56e-06,1.871546307979968e-09
6.58e-06,1.863578962529967e-09
6.599999999999999e-06,1.863863045962043e-09
6.62e-06,1.864736946788246e-09
6.64e-06,1.865651744498845e-09
6.66e-06,1.866608628067189e-09
6.68e-06,1.867605439054649e-09
6.7e-06,1.86861466731628e-09
6.72e-06,1.869619335640379e-09
6.74e-06,1.870630675745761e-09
6.76e-06,1.871633974943012e-09
6.78e-06,1.872632103790074e-09
6.8e-06,1.873632512111379e-09
6.82e-06,1.874630464766801e-09
6.84e-06,1.875640357615643e-09
6.86e-06,1.876660124418795e-09
6.88e-06,1.87769769474377e-09
6.9e-06,1.877715520486227e-09
6.92e-06,1.878739712287739e-09
6.94e-06,1.87976058115349e-09
6.96e-06,1.880770757589958e-09
6.98e-06,1.881766013258181e-09
7e-06,1.882743458405486e-09
7.02e-06,1.883717969344582e-09
7.04e-06,1.884680867158422e-09
7.06e-06,1.885651750851403e-09
7.08e-06,1.886631744589841e-09
7.1e-06,1.887634352437646e-09
7.12e-06,1.888627199881214e-09
7.14e-06,1.889611205976069e-09
7.16e-06,1.8905670630514e-09
7.18e-06,1.891519730071439e-09
7.2e-06,1.892457831768922e-09
7.219999999999999e-06,1.884782718780886e-09
7.24e-06,1.885074714627169e-09
7.26e-06,1.885963425354814e-09
7.28e-06,1.886908210567138e-09
7.3e-06,1.887882329713543e-09
7.32e-06,1.888872460837288e-09
7.34e-06,1.889864085933319e-09
7.36e-06,1.89086041486009e-09
7.38e-06,1.891858406220478e-09
7.4e-06,1.89285238025617e-09
7.42e-06,1.893850182540232e-09
7.44e-06,1.89484600288533e-09
7.46e-06,1.895856848515997e-09
7.48e-06,1.896888052350899e-09
7.5e-06,1.897940598150381e-09
7.52e-06,1.898972251125991e-09
7.54e-06,1.898989451385331e-09
7.56e-06,1.899999320016331e-09
7.58e-06,1.901009780440146e-09
7.6e-06,1.90200011939046e-09
7.62e-06,1.902980893361236e-09
7.64e-06,1.903957365517699e-09
7.66e-06,1.904935436075529e-09
7.680000000000001e-06,1.905909686073326e-09
7.700000000000001e-06,1.906903027788446e-09
7.720000000000001e-06,1.90791424929955e-09
7.74e-06,1.908909745223545e-09
7.76e-06,1.909896713864506e-09
7.78e-06,1.910863808928764e-09
7.8e-06,1.911813565170845e-09
7.82e-06,1.912752222011257e-09
7.840000000000001e-06,1.91368864216718e-09
7.860000000000001e-06,1.905675577461533e-09
7.880000000000001e-06,1.905966827086425e-09
7.900000000000001e-06,1.906872738925209e-09
7.92e-06,1.907831358785992e-09
7.94e-06,1.908805411650112e-09
7.96e-06,1.909785041977655e-09
7.98e-06,1.910771435548005e-09
8e-06,1.911761259971902e-09
8.020000000000001e-06,1.912751093598785e-09
8.040000000000001e-06,1.913746230928434e-09
8.060000000000001e-06,1.914732041596693e-09
8.080000000000001e-06,1.915738050383112e-09
8.1e-06,1.916767736473376e-09
8.12e-06,1.917823026410376e-09
8.14e-06,1.918867817922398e-09
8.16e-06,1.919884851859004e-09
8.18e-06,1.919901552754799e-09
8.200000000000001e-06,1.920904793078914e-09
8.220000000000001e-06,1.921915251259744e-09
8.240000000000001e-06,1.92289817993614e-09
8.260000000000001e-06,1.923882749480764e-09
8.28e-06,1.924858783957899e-09
8.3e-06,1.925842511008122e-09
8.32e-06,1.926833887083682e-09
8.34e-06,1.927853755256587e-09
8.36e-06,1.928855742490687e-09
8.380000000000001e-06,1.929846462691955e-09
8.400000000000001e-06,1.930818267928247e-09
8.420000000000001e-06,1.931779486574941e-09
8.440000000000001e-06,1.932719631809954e-09
8.46e-06,1.933663367047822e-09
8.48e-06,1.934596577447861e-09
8.500000000000002e-06,1.926872841385804e-09
8.520000000000001e-06,1.927184427844196e-09
8.540000000000001e-06,1.928098017307653e-09
8.560000000000001e-06,1.929045861853708e-09
8.580000000000001e-06,1.930004908070523e-09
8.600000000000001e-06,1.930972889452418e-09
8.62e-06,1.931954470748121e-09
8.64e-06,1.932929296301325e-09
8.66e-06,1.933920736115269e-09
8.680000000000002e-06,1.934910850663745e-09
8.700000000000001e-06,1.935918031454162e-09
8.720000000000001e-06,1.936948828946421e-09
8.740000000000001e-06,1.938006542732886e-09
8.760000000000001e-06,1.939049540089761e-09
8.780000000000001e-06,1.940081691720369e-09
8.8e-06,1.941091122253408e-09
8.82e-06,1.941107928919706e-09
8.84e-06,1.942099065280801e-09
8.860000000000002e-06,1.943097839846353e-09
8.880000000000001e-06,1.944076196029647e-09
8.900000000000001e-06,1.945064049125596e-09
8.920000000000001e-06,1.9460491148383e-09
8.940000000000001e-06,1.947056400215657e-09
8.960000000000001e-06,1.948074883010477e-09
8.98e-06,1.94908628116841e-09
9e-06,1.950077049300497e-09
9.02e-06,1.951046898377795e-09
9.040000000000002e-06,1.952011651074137e-09
9.060000000000001e-06,1.952956269642116e-09
9.080000000000001e-06,1.953878716063903e-09
9.100000000000001e-06,1.954817480404061e-09
9.120000000000001e-06,1.955770040051337e-09
9.140000000000001e-06,1.947761041569932e-09
9.16e-06,1.948065996906597e-09
9.18e-06,1.948982459523377e-09
9.2e-06,1.949917613109212e-09
9.220000000000002e-06,1.950870886362873e-09
9.240000000000001e-06,1.951836106194723e-09
9.260000000000001e-06,1.952804687717449e-09
9.280000000000001e-06,1.95378675374506e-09
9.300000000000001e-06,1.954769664416488e-09
9.320000000000001e-06,1.955773458801919e-09
9.34e-06,1.956795868417558e-09
9.36e-06,1.957852310955693e-09
9.38e-06,1.958895636309337e-09
9.400000000000001e-06,1.959932522936698e-09
9.420000000000001e-06,1.960952122756183e-09
9.440000000000001e-06,1.961953534214942e-09
9.460000000000001e-06,1.961970253066228e-09
9.480000000000001e-06,1.962951496816372e-09
9.500000000000001e-06,1.963944456586393e-09
9.52e-06,1.964934409461872e-09
9.54e-06,1.965929861745805e-09
9.560000000000002e-06,1.966940416606761e-09
9.580000000000001e-06,1.967962538883918e-09
9.600000000000001e-06,1.9689732872725e-09
9.620000000000001e-06,1.969969449305411e-09
9.640000000000001e-06,1.970947389892979e-09
9.660000000000001e-06,1.971915141296734e-09
9.68e-06,1.972866624311239e-09
9.7e-06,1.973816865380785e-09
9.72e-06,1.974762300946693e-09
9.740000000000002e-06,1.975714782953205e-09
9.760000000000001e-06,1.976671242206186e-09
9.780000000000001e-06,1.968995868704596e-09
9.800000000000001e-06,1.969299518237696e-09
9.820000000000001e-06,1.970199246007882e-09
9.840000000000001e-06,1.971124650177352e-09
9.86e-06,1.972067456774801e-09
9.88e-06,1.973015822492778e-09
9.9e-06,1.973982487374236e-09
9.920000000000002e-06,1.97495423476364e-09
9.940000000000001e-06,1.975955284635812e-09
9.960000000000001e-06,1.976982591729984e-09
9.980000000000001e-06,1.978039245514662e-09
1e-05,1.979081984174352e-09
1.002e-05,1.980117353281475e-09
1.004e-05,1.981137464713408e-09
1.006e-05,1.982149830433709e-09
1.008e-05,1.983144470379305e-09
1.01e-05,1.983161019855305e-09
1.012e-05,1.984135249291319e-09
1.014e-05,1.985137259952033e-09
1.016e-05,1.986133101425867e-09
1.018e-05,1.987158843004962e-09
1.02e-05,1.988188355035305e-09
1.022e-05,1.989198662344594e-09
1.024e-05,1.990196626344272e-09
1.026e-05,1.991188790896365e-09
1.028e-05,1.992161319043001e-09
1.03e-05,1.993118301696457e-09
1.032e-05,1.994064484009214e-09
1.034e-05,1.995012536190399e-09
1.036e-05,1.995963295057142e-09
1.038e-05,1.996933646454168e-09
1.04e-05,1.997921414987238e-09
1.042e-05,1.989871630853206e-09
1.044e-05,1.9901670364168e-09
1.046e-05,1.991063896298494e-09
1.048e-05,1.991982972466241e-09
1.05e-05,1.992914005708272e-09
1.052e-05,1.993868960231409e-09
1.054e-05,1.994835284073047e-09
1.056e-05,1.995822560111235e-09
1.058e-05,1.996838497167649e-09
1.06e-05,1.997893769992019e-09
1.062e-05,1.998934921173815e-09
1.064e-05,1.999963829955913e-09
1.066e-05,2.000985409136304e-09
1.068e-05,2.001998571197326e-09
1.07e-05,2.002997025557405e-09
1.072e-05,2.003990541565342e-09
1.074e-05,2.004007973380531e-09
1.076e-05,2.004993281637218e-09
1.078e-05,2.00600226828481e-09
1.08e-05,2.00702322709434e-09
1.082e-05,2.00806391824461e-09
1.084e-05,2.009083632289312e-09
1.086e-05,2.010089726021731e-09
1.088e-05,2.011079256016194e-09
1.09e-05,2.012055447270527e-09
1.092e-05,2.01301412686066e-09
1.094e-05,2.013969789417298e-09
1.096e-05,2.014927085107131e-09
1.098e-05,2.01588364520927e-09
1.1e-05,2.016845034992658e-09
1.102e-05,2.017834988483852e-09
1.104e-05,2.018826022224441e-09
1.106e-05,2.010845021384193e-09
1.108e-05,2.011134259463213e-09
1.11e-05,2.012028712618701e-09
1.112e-05,2.012938196211737e-09
1.114e-05,2.013878136776002e-09
1.116e-05,2.014829688899495e-09
1.118e-05,2.015811116787453e-09
1.12e-05,2.016815448001824e-09
1.122e-05,2.017855838759608e-09
