"Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,b10=0,b11=0,b12=0,jittereventtime=1.97333e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=0,b1=0,b2=0,b3=0,b4=0,b5=0,b6=0,b7=0,b8=0,b9=0,b10=0,b11=0,b12=0,jittereventtime=1.97333e-09) Y","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,b8=1,b9=1,b10=1,b11=1,b12=1,jittereventtime=7.20829e-09) X","Edge Phase Noise; dBc/Hz; pm0 (b0=1,b1=1,b2=1,b3=1,b4=1,b5=1,b6=1,b7=1,b8=1,b9=1,b10=1,b11=1,b12=1,jittereventtime=7.20829e-09) Y"
10,-103.8420538266183,10,-95.45331618178416
13.42637584296065,-105.196165363569,13.42637584296065,-96.71028556026513
18.02675682764374,-106.5473052171664,18.02675682764374,-97.96458140304485
24.2034012397602,-107.8954015592836,24.2034012397602,-99.21626053935331
32.49639617230002,-109.2403796031386,32.49639617230002,-100.4653773165152
43.63088285510481,-110.5821597011895,43.63088285510481,-101.7119821356231
58.58046315728254,-111.920654672573,58.58046315728254,-102.9561196132387
78.65233154043848,-113.2557661283596,78.65233154043848,-104.1978262482573
105.6015764187076,-114.5873795557616,105.6015764187076,-105.4371274344521
141.7846454606699,-115.9153580180413,141.7846454606699,-106.6740336089273
190.3653938715879,-117.2395346633015,190.3653938715879,-107.9085352614579
255.5917325613177,-118.5597049490488,255.5917325613177,-109.1405964454488
343.1670663721736,-119.8756202044306,343.1670663721736,-110.3701463232394
460.7490010039027,-121.1869824706956,460.7490010039027,-111.5970681413371
618.6189256747053,-122.4934314222374,618.6189256747053,-112.8211848593841
830.5810199677136,-123.7945000163347,830.5810199677136,-114.0422404456583
1115.169294211613,-125.0895250167557,1115.169294211613,-115.2598756001293
1497.268207261428,-126.3775461893951,1497.268207261428,-116.4735963789298
2010.288568840785,-127.6572385420812,2010.288568840785,-117.682733890807
2699.088987806386,-128.9268596171641,2699.088987806386,-118.8863929613575
3623.898318388478,-130.1841643700421,3623.898318388478,-120.0833875031187
4865.582083935679,-131.426274356611,4865.582083935679,-121.272160448551
6532.713375369616,-132.6495166364975,6532.713375369616,-122.4506867660863
8771.066505204857,-133.8492534650764,8771.066505204857,-123.6163597025792
11776.36354424838,-135.0197278972091,11776.36354424838,-124.7658635675067
15811.3883008419,-136.1539625689779,15811.3883008419,-125.895041817688
21228.96419260944,-137.2437664255675,21228.96419260944,-126.998777576278
28502.80520067281,-138.279919006928,28502.80520067281,-128.0709151301202
38268.93752029267,-139.2526013945181,38268.93752029267,-129.104264021776
51381.31382582281,-140.1521111149223,51381.31382582281,-130.0907379683157
68986.48307306076,-140.9698244874542,68986.48307306076,-131.0216811995375
92623.8449822957,-141.6992642229053,92623.8449822957,-131.888414469458
124360.2554752427,-142.3370350033932,124360.2554752427,-132.6829840103013
166970.7529937215,-142.8833676461868,166970.7529937215,-133.3990231019211
224181.2084475852,-143.3421023272406,224181.2084475852,-134.0325620901498
300994.1161546385,-143.7201159012799,300994.1161546385,-134.5825892624881
404126.0130011931,-144.0263703090354,404126.0130011931,-135.0512055818738
542594.7738471222,-144.2708430433136,542594.7738471222,-135.4433273501417
728508.1364097701,-144.4635732524163,728508.1364097701,-135.7660240623113
978122.4044092422,-144.613959855166,978122.4044092422,-136.0276704109543
1313263.902201884,-144.7303431751963,1313263.902201884,-136.2371061689151
1763237.473195562,-144.8198298346763,1763237.473195562,-136.4029464715825
2367388.901551588,-144.8882905582725,2367388.901551588,-136.5331071534467
3178545.31586854,-144.940460752464,3178545.31586854,-136.6345421959387
4267634.40447331,-144.9800884279938,4267634.40447331,-136.7131501065593
5729886.347480823,-145.0100913721936,5729886.347480823,-136.7737913157924
7693160.763872658,-145.0326988623138,7693160.763872658,-136.8203573375303
10329126.78360726,-145.0495587580472,10329126.78360726,-136.8558274244465
13868273.83263024,-145.0617820543923,13868273.83263024,-136.882213074039
18620065.676999,-145.0698498567894,18620065.676999,-136.9001646922484
25000000,-145.0730958898516,25000000,-136.9075740867519
