P_inst X,P_inst Y
1e-06,3.621324158264957e-05
1.000077887948465e-06,3.621480886265605e-05
1.000168505857634e-06,3.696058447704641e-05
1.000213814812219e-06,4.017136110852004e-05
1.000228134422861e-06,4.171649881127685e-05
1.000239689523742e-06,4.251162039450016e-05
1.000251597499485e-06,4.281565167904524e-05
1.000258605527052e-06,4.450404573995891e-05
1.00026997973431e-06,5.880400033727069e-05
1.000277994695596e-06,7.4643605537625e-05
1.000285142862947e-06,8.354366622610997e-05
1.000293243898177e-06,0.0001219453445601533
1.000295438964582e-06,0.0001661864245286844
1.000297056558253e-06,0.0002131607631921077
1.00029926762056e-06,0.0002881969203691632
1.000300857917772e-06,0.0003404084111622779
1.000304038512198e-06,0.0004183445285230201
1.000306276409597e-06,0.0004464371517295842
1.000307286800097e-06,0.0004579871008915237
1.000308371613308e-06,0.0004770481521693056
1.000309492494715e-06,0.0004998964487410269
1.00031070757365e-06,0.0005213336576765382
1.000311738021642e-06,0.0005344938000704592
1.000313012944766e-06,0.0005437661303938946
1.000315040086488e-06,0.0005426429061482263
1.000318475685814e-06,0.0004977489840396098
1.00032159997254e-06,0.0004017254066982551
1.000325021697459e-06,0.0002259978291585899
1.000327640915145e-06,0.0001396776938772382
1.000329610163662e-06,0.0001175828650860236
1.00033140836367e-06,0.0001088482458975164
1.00033344238828e-06,0.0001040305843865775
1.000335761610469e-06,0.0001015051191526373
1.000338873285566e-06,0.0001002809558159889
1.000342894576962e-06,0.0001000743222043341
1.000348350120936e-06,0.000100307957450956
1.000356638023635e-06,0.0001004351430611022
1.000368295582016e-06,0.0001001892058538766
1.000384448668888e-06,9.977168467175514e-05
1.000407767244208e-06,9.921785777425829e-05
1.000454404394847e-06,9.81302917784636e-05
1.0005e-06,9.706946973608349e-05
1.000510345282853e-06,9.68299027559765e-05
1.000529509677688e-06,9.638805342187318e-05
1.000546782652574e-06,9.598770817753831e-05
1.000581328602346e-06,9.519182756774527e-05
1.00065042050189e-06,9.360647995411986e-05
1.000788604300978e-06,9.047133960352878e-05
1.001064971899154e-06,8.462393125790142e-05
1.001202880223175e-06,8.258023723228155e-05
1.001318090798005e-06,8.2069591091254e-05
1.001460910698128e-06,8.308668553891814e-05
1.001562488410681e-06,8.418773719754055e-05
1.001642437765824e-06,0.0001277970949373688
1.001656771062255e-06,0.0001416172264652759
1.001670959048224e-06,0.000144317596192006
1.001684392416777e-06,0.0001438979557664038
1.001690654851407e-06,0.0001453406680248343
1.001693746517886e-06,0.0001467702182839132
1.001696508596381e-06,0.0001478512953584814
1.00169940878867e-06,0.000147948438128214
1.001702572485696e-06,0.000146313420231
1.001706261340688e-06,0.0001419732973466163
1.001709580228437e-06,0.0001364533945395837
1.001711511184724e-06,0.000133278885653475
1.001713474884877e-06,0.0001308287204001928
1.001715439568386e-06,0.0001291380645070516
1.001717386772602e-06,0.0001276961972134565
1.001719341042527e-06,0.0001262555417920865
1.001721481582683e-06,0.0001246144970760807
1.001724320849898e-06,0.0001223096701082858
1.001728905773084e-06,0.0001181549521464214
1.001736355629822e-06,0.000108570725284441
1.001743016927911e-06,9.810675155111816e-05
1.001749710433286e-06,8.909192901857831e-05
1.001756953347798e-06,8.248755177101921e-05
1.001764978073897e-06,7.826924195823797e-05
1.001778333992072e-06,7.514972660752538e-05
1.00179432425864e-06,7.345091925523137e-05
1.001818786483362e-06,7.163123047772209e-05
1.001857024980784e-06,6.950679026858767e-05
1.001887559594402e-06,6.843466704779355e-05
1.001924676606119e-06,6.734798433823872e-05
1.001954096920181e-06,6.651208336819576e-05
1.001983580268498e-06,6.569073510667733e-05
1.002032010825482e-06,6.438085916594615e-05
1.002102963269685e-06,6.254551098587954e-05
1.002217288673166e-06,5.977969037988079e-05
1.002445939480129e-06,5.478140503713832e-05
1.00272804755836e-06,4.9118342010186e-05
1.003036768781637e-06,4.346825460335556e-05
1.003383698895097e-06,3.902225999023905e-05
1.003867699611334e-06,3.636147542951358e-05
1.004539589516765e-06,3.565613971461588e-05
1.005038250026144e-06,3.567632282843991e-05
1.005582902559714e-06,3.575957511919808e-05
1.006209234483934e-06,3.585671125111362e-05
1.007137983756007e-06,3.597059874554272e-05
1.008499883027514e-06,3.608101639794504e-05
1.01e-06,3.614818464802463e-05
1.010053363472727e-06,3.61501458010219e-05
1.010123788969175e-06,3.616868057891936e-05
1.010159001717399e-06,3.632410494493996e-05
1.01019661536673e-06,3.739175766258467e-05
1.010211007693015e-06,3.837750971470359e-05
1.010228068759699e-06,4.008245285817202e-05
1.010240536630213e-06,4.151248028266e-05
1.010254924984503e-06,4.263170000403564e-05
1.01026618372224e-06,4.302641983652787e-05
1.010275093083418e-06,4.557953066604307e-05
1.010281731124084e-06,5.308738056876886e-05
1.010283025767477e-06,5.530519243950207e-05
1.010284511186068e-06,5.836801515633264e-05
1.01028573497086e-06,6.208387746071307e-05
1.010288182540444e-06,7.030583979154627e-05
1.010289956832264e-06,7.418466405235968e-05
1.010291731124084e-06,7.660299675869459e-05
1.010292007253179e-06,7.683312493824383e-05
1.010292559511371e-06,7.730266718952589e-05
1.010293067279076e-06,7.773903739665216e-05
1.010294082814487e-06,7.860373605289209e-05
1.010296113885309e-06,8.01684702971799e-05
1.010300176026952e-06,8.20303060656542e-05
1.010305907941339e-06,9.013535084725024e-05
1.010308616708551e-06,0.0001153952729356954
1.010310524761985e-06,0.0001503756551445581
1.010312179840991e-06,0.0001913774951105524
1.010314001410937e-06,0.0002419370176676281
1.010315584646939e-06,0.0002856676112380114
1.010317273286748e-06,0.0003343313911877956
1.010319003346299e-06,0.0003993803990981387
1.010320988544659e-06,0.0004792573863584127
1.010322567567382e-06,0.0005342252612058844
1.01032378537188e-06,0.0005748465342451018
1.010325462049751e-06,0.0006290150615668949
1.010327164625524e-06,0.0006785176217680821
1.010328576661654e-06,0.0007141148814033372
1.01033016217681e-06,0.0007480033270543386
1.010332653544577e-06,0.0007890994798945982
1.010336600546589e-06,0.0008288666169020835
1.010342049759609e-06,0.0008485533034900053
1.010347422389114e-06,0.0008453506397267834
1.010353276484937e-06,0.0008310278749724485
1.010359967955846e-06,0.0008095990959394383
1.010368765310932e-06,0.0007793404194664129
1.010381019651311e-06,0.0007370306703376637
1.010400142629159e-06,0.0006722585896405495
1.010419091892314e-06,0.0006068488458885242
1.010433286075028e-06,0.0005593008313001757
1.010440962764884e-06,0.0005555771547955763
1.01044472213829e-06,0.0005669444546041704
1.010447950293515e-06,0.0005778157409137685
1.010451646656727e-06,0.0005795191503148196
1.010454919074967e-06,0.0005669889040388156
1.010457526520049e-06,0.0005515618903031756
1.010459117822514e-06,0.0005434381602593728
1.010460291918429e-06,0.000538812746687027
1.010461754077319e-06,0.0005318883339018765
1.010462825604134e-06,0.0005240216737903342
1.010464968657764e-06,0.0004978598189342116
1.010466650500688e-06,0.0004687240912268214
1.010467482498368e-06,0.0004542123920588162
1.010468332177654e-06,0.0004422947608099445
1.010469154294182e-06,0.0004332761470098423
1.010469883957873e-06,0.0004263138941043917
1.010470687022582e-06,0.0004194150182165495
1.010471573068561e-06,0.0004125858869789502
1.010472737463886e-06,0.0004046260731256945
1.010474390267063e-06,0.0003947962062918779
1.010476687215289e-06,0.0003830693630540429
1.010479130489877e-06,0.0003720713293815053
1.010482051432117e-06,0.0003599923218018176
1.010485892431349e-06,0.0003452436215284293
1.010492614426202e-06,0.0003218178896690846
1.0105e-06,0.0002988167148490449
1.010504786377447e-06,0.0002852004242766512
1.010511344730914e-06,0.0002675448642298864
1.010517884095382e-06,0.0002510942217832646
1.010530962824317e-06,0.0002209065307699575
1.010543609655979e-06,0.0001944463821919032
1.010560618700339e-06,0.0001624427067138699
1.010580657116944e-06,0.0001299483108986464
1.01061125602758e-06,9.173445952685248e-05
1.010655558805133e-06,5.875172041407087e-05
1.010744164360239e-06,3.838843823507203e-05
1.010810194036208e-06,3.649663618539685e-05
1.010875978605885e-06,3.620836201473492e-05
1.010941244580304e-06,3.616855151616373e-05
1.011028615993902e-06,3.616430545879755e-05
1.011148432162123e-06,3.61663820725259e-05
1.011325926754008e-06,3.616970692442361e-05
1.011609840365176e-06,3.617453915126366e-05
1.012177667587511e-06,3.618270210517213e-05
1.013313322032181e-06,3.619444427110645e-05
1.015584630921521e-06,3.620681793323915e-05
1.02e-06,3.621365901079825e-05
1.020125e-06,3.627343745926311e-05
1.020156053737549e-06,3.662070865164816e-05
1.020189364312014e-06,3.798819547634544e-05
1.020203258620979e-06,3.910572885150651e-05
1.020216252817908e-06,4.046527848664476e-05
1.02022811961561e-06,4.173079833574347e-05
1.020240493026095e-06,4.255349913099126e-05
1.020252097750841e-06,4.285179601581452e-05
1.020259124760679e-06,4.477463578253137e-05
1.020266970980966e-06,5.354020498713411e-05
1.020275405903602e-06,7.000242430676033e-05
1.020282065229929e-06,8.078574723941609e-05
1.02028964070377e-06,9.178843782286239e-05
1.020292815509873e-06,0.0001160699213407937
1.020294729463269e-06,0.0001492175761052282
1.020296416160677e-06,0.0001932005542580523
1.02029861802268e-06,0.0002656335020123366
1.020300230640409e-06,0.0003206227701861109
1.020302237071728e-06,0.0003797990804415839
1.020304840476733e-06,0.0004308523771019841
1.020306104188298e-06,0.0004445641851974041
1.020307001124334e-06,0.0004542318718598895
1.020307952708177e-06,0.0004693291834550616
1.020309093737937e-06,0.0004924131828073622
1.020310527501785e-06,0.0005191945583764585
1.020311563612137e-06,0.0005334451734855888
1.020312761804297e-06,0.0005435606539806211
1.020314504577169e-06,0.0005460131756265237
1.020317531669008e-06,0.0005170946638234122
1.020320914986149e-06,0.0004306587717476875
1.020324729974634e-06,0.0002452057392915195
1.020327430132264e-06,0.0001447899875131207
1.020329831954786e-06,0.000116413158394169
1.020331558056312e-06,0.0001085411508725585
1.02033367477278e-06,0.0001037883005454365
1.020335961788496e-06,0.000101452255516803
1.020339140896303e-06,0.0001002936736848521
1.020343250211545e-06,0.0001001364576583238
1.020348858472824e-06,0.0001003869228227509
1.020357460615737e-06,0.0001004948525930517
1.020369272217943e-06,0.0001002326644298565
1.020385886749824e-06,9.981186802019935e-05
1.020410066691135e-06,9.924575545254221e-05
1.020458426573758e-06,9.81323008201627e-05
1.0205e-06,9.717743200964986e-05
1.020509937439734e-06,9.694998452006422e-05
1.020528416487143e-06,9.652925101880674e-05
1.020544830393948e-06,9.615345323883131e-05
1.02057765820756e-06,9.54062370973448e-05
1.020643313834784e-06,9.391763303774481e-05
1.020774625089231e-06,9.097022070965647e-05
1.021037247598125e-06,8.537364337163956e-05
1.021178151597763e-06,8.302075696214447e-05
1.021300488109497e-06,8.206379592897353e-05
1.021409862061738e-06,8.24535816616226e-05
1.021525215961049e-06,8.335886119162527e-05
1.021547161877972e-06,8.342141491416687e-05
1.021591053711819e-06,8.502411403283037e-05
1.021625869899083e-06,9.572666667498151e-05
1.021644672235188e-06,0.000110386954267843
1.021659563833981e-06,0.0001261952880973561
1.021672532187559e-06,0.0001384803261745305
1.02168601291934e-06,0.0001440527915811004
1.021698700550738e-06,0.0001438722640761688
1.02171168334135e-06,0.000145682997044045
1.021715313630295e-06,0.0001473332810840227
1.021718192347716e-06,0.0001479264898631714
1.0217211704122e-06,0.0001471458375051331
1.021724065653713e-06,0.000144762389518787
1.021727528644311e-06,0.0001399647854427183
1.021730673995103e-06,0.0001347031428478771
1.02173304191486e-06,0.0001314177622190531
1.021734928596706e-06,0.0001296701192597953
1.021736957975057e-06,0.0001281565962789491
1.021739066671818e-06,0.0001266325994731626
1.021741129842872e-06,0.0001250872718354945
1.021743691929205e-06,0.0001230656632708358
1.021748103740623e-06,0.0001192487346892616
1.021755337057644e-06,0.0001106451409679148
1.021762040215996e-06,0.0001002524219880478
1.021772464056225e-06,8.670896262250514e-05
1.02177989672958e-06,8.094516421956364e-05
1.02178838622443e-06,7.734410888752455e-05
1.021800882703774e-06,7.491077138084493e-05
1.021821435594347e-06,7.296647643775872e-05
1.021846100573331e-06,7.126263942970031e-05
1.021875002203653e-06,6.968657984440364e-05
1.021905159837575e-06,6.86052332958118e-05
1.021937812197053e-06,6.765261689911112e-05
1.021966092127507e-06,6.685294829329772e-05
1.021993895005461e-06,6.60812179921442e-05
1.022037942187418e-06,6.489083845827302e-05
1.022112702210083e-06,6.295683047761601e-05
1.022227374844446e-06,6.018625286317672e-05
1.022456720113174e-06,5.519067040620016e-05
1.022738283000825e-06,4.958494199790975e-05
1.023049552939789e-06,4.388008223586777e-05
1.023394694884976e-06,3.931294345520893e-05
1.023866415702004e-06,3.64974447720605e-05
1.024357310254854e-06,3.574911805937432e-05
1.024869404111955e-06,3.565960928288342e-05
1.02538284080509e-06,3.571931239700349e-05
1.025993148052037e-06,3.581575119997253e-05
1.02678015313663e-06,3.592347719284069e-05
1.027925559847422e-06,3.603663272248534e-05
1.028962779923711e-06,3.610174662488361e-05
1.03e-06,3.614497332205578e-05
1.030045127986618e-06,3.614644667161562e-05
1.03010810728714e-06,3.615356298885382e-05
1.030172588858856e-06,3.652622439746075e-05
1.030204829644714e-06,3.789948430348739e-05
1.030218391438556e-06,3.904538815419932e-05
1.030231881628927e-06,4.052389458838218e-05
1.0302436820241e-06,4.182965848250816e-05
1.030256120969024e-06,4.267540748228032e-05
1.030267634300819e-06,4.315721241255832e-05
1.030276084114797e-06,4.629130867849255e-05
1.0302817272022e-06,5.309809021212653e-05
1.030282920644828e-06,5.513955274340288e-05
1.030284289288239e-06,5.805107992269498e-05
1.030285401579069e-06,6.207177949259446e-05
1.030287626160728e-06,7.291261348563588e-05
1.030289676681464e-06,7.874245780006175e-05
1.0302917272022e-06,8.074156550375941e-05
1.030292144448222e-06,8.0738406005509e-05
1.03029279358545e-06,8.079465387613381e-05
1.030293367155374e-06,8.0901012354228e-05
1.030294514295223e-06,8.122198491863748e-05
1.030296808574921e-06,8.199469483364739e-05
1.030301397134317e-06,8.283086401070165e-05
1.030307155972006e-06,9.843897120510951e-05
1.030309585147159e-06,0.0001306334676615644
1.030311347271764e-06,0.0001688820857883732
1.030313658029284e-06,0.0002310814856934832
1.03031527792577e-06,0.0002760188019680575
1.030317723328593e-06,0.0003480366126932423
1.030319506058587e-06,0.0004183165096736707
1.030321501429265e-06,0.0004961261591174584
1.03032295195458e-06,0.0005452599609095945
1.030324195817389e-06,0.0005865540505905553
1.030325654514704e-06,0.0006330583042479063
1.030327162053142e-06,0.000676571888281175
1.030328558659528e-06,0.0007118362084503415
1.030330240779284e-06,0.0007477091553060659
