P_inst X,P_inst Y
1e-06,3.621366645085451e-05
1.000075809717028e-06,3.621499234094335e-05
1.00016515194169e-06,3.685307824671276e-05
1.000209823054022e-06,3.974964773402807e-05
1.000224122717773e-06,4.132519053382998e-05
1.00023532163016e-06,4.229482190365212e-05
1.000247493933769e-06,4.269864133300685e-05
1.000263550894414e-06,4.847091169083841e-05
1.000271962933894e-06,6.26977066719413e-05
1.000280913774914e-06,7.905338950164185e-05
1.000287749664689e-06,8.658072418175851e-05
1.000292291220834e-06,0.0001085525420411039
1.000294317230964e-06,0.0001356170008708992
1.000296001674256e-06,0.0001692555590393218
1.000297622390238e-06,0.000208913065078662
1.000299295431606e-06,0.0002515180734376579
1.000300905846187e-06,0.000287704009910055
1.000303831675355e-06,0.0003298709836120097
1.000305995779243e-06,0.0003411291098255414
1.000306997565212e-06,0.0003472604685907399
1.00030804717471e-06,0.0003599325729091568
1.000309184270127e-06,0.0003765095767038721
1.000310323859046e-06,0.0003913868001581137
1.000311356806375e-06,0.0004019664569916495
1.000312621649682e-06,0.000411041127867562
1.000314739858338e-06,0.0004174407425536982
1.00031822362253e-06,0.0004087952962656017
1.00032402184538e-06,0.0003616327575971188
1.000329029530911e-06,0.0003027847419648206
1.000334295521061e-06,0.0002307851035354592
1.000339848594217e-06,0.0001577295528819427
1.00034350929847e-06,0.0001276493714110083
1.000347361683602e-06,0.0001121754117376413
1.000352095993471e-06,0.0001039886574758365
1.000357151759153e-06,0.0001007783619572224
1.000362671710012e-06,9.955065229550665e-05
1.000369685697421e-06,9.901562148195473e-05
1.000379811255652e-06,9.875281420975147e-05
1.000395275788866e-06,9.842947615243172e-05
1.000422639438713e-06,9.780331973763738e-05
1.000461319719356e-06,9.694978002661807e-05
1.0005e-06,9.608943885744035e-05
1.000509694856655e-06,9.587521267936369e-05
1.000527048054458e-06,9.549439442975346e-05
1.000542849559698e-06,9.514531853997829e-05
1.000574452570177e-06,9.44491973808939e-05
1.000637658591135e-06,9.30647011111931e-05
1.000764070633051e-06,9.031780037497662e-05
1.001016894716883e-06,8.506534571756585e-05
1.001162269860165e-06,8.261314406302441e-05
1.001289198511797e-06,8.151497584847175e-05
1.001402281174419e-06,8.182053439298031e-05
1.001522658828349e-06,8.282521714094697e-05
1.001545499463773e-06,8.290505115481925e-05
1.001591180734621e-06,8.403164090057267e-05
1.001635132034665e-06,9.745823700742471e-05
1.001648208177099e-06,0.0001077681684252654
1.001666329225069e-06,0.0001262162204915865
1.001685552465932e-06,0.0001382329779641067
1.00169918496176e-06,0.0001324325056063818
1.001715849493013e-06,0.0001229730370444687
1.001720889283199e-06,0.0001227628569031264
1.001724150084298e-06,0.0001231681076891602
1.001728365027838e-06,0.0001228936661901528
1.001731580256003e-06,0.0001213700926481039
1.001734661424139e-06,0.0001187212184765126
1.001738303528014e-06,0.0001143637834971985
1.001741737531573e-06,0.0001097845380767105
1.00174449291479e-06,0.0001067515663592999
1.001746649459369e-06,0.0001051744031787788
1.001750051045467e-06,0.0001033057009953548
1.001752473784941e-06,0.0001020716851155103
1.001754972117355e-06,0.0001007913636849775
1.001758079908885e-06,9.916938161889661e-05
1.001764295491945e-06,9.578882700151475e-05
1.001774076716552e-06,8.947598415047103e-05
1.001785057677583e-06,7.907659841291457e-05
1.00179685613052e-06,6.706471236402967e-05
1.001809614249175e-06,5.740355707548061e-05
1.001820522466947e-06,5.185313729015859e-05
1.001838506488069e-06,4.658468630510073e-05
1.00186083520809e-06,4.361696038194821e-05
1.00189514112861e-06,4.179372280400232e-05
1.001939966841856e-06,4.0802017263594e-05
1.002005391189717e-06,4.018083088857909e-05
1.002071513409768e-06,3.993045550339904e-05
1.002149101446198e-06,3.981832143239201e-05
1.002238413022876e-06,3.978057590503049e-05
1.00234604103764e-06,3.977972077016457e-05
1.002472837051427e-06,3.979854666432558e-05
1.002627236801103e-06,3.982883997019926e-05
1.002826477209384e-06,3.986883734579535e-05
1.003109281874709e-06,3.99216415090277e-05
1.003572730458661e-06,3.99969031827641e-05
1.00448927706492e-06,4.011233300768616e-05
1.006322370277439e-06,4.025482680604305e-05
1.00816118513872e-06,4.032712557316993e-05
1.01e-06,4.036615826426472e-05
1.010059001291634e-06,4.034476126006117e-05
1.010134594223799e-06,4.040324314488145e-05
1.010172390689882e-06,4.074085817589439e-05
1.010191288922924e-06,4.134198337330834e-05
1.010229085389006e-06,4.439965364974407e-05
1.010243362660236e-06,4.600299458832095e-05
1.010260596650332e-06,4.702361027110811e-05
1.010272756325911e-06,4.856063387175406e-05
1.010281762304876e-06,5.723452206136143e-05
1.010284262304876e-06,6.175101553132747e-05
1.010286152895687e-06,6.720704957657917e-05
1.010287716844637e-06,7.233805258481191e-05
1.010289739574757e-06,7.693699012704357e-05
1.010291762304876e-06,7.948674433535625e-05
1.010292180749514e-06,7.976569087669085e-05
1.010292827427551e-06,8.019173087416561e-05
1.010293399347612e-06,8.055218274867533e-05
1.010294543187734e-06,8.119955507204744e-05
1.010296830867977e-06,8.205386219286182e-05
1.010301406228463e-06,8.218134090300653e-05
1.010305260315609e-06,9.062069639918933e-05
1.010307403934728e-06,0.0001075775210439709
1.010309032566423e-06,0.0001264622100957252
1.010310891565034e-06,0.0001487788108878317
1.010312429570584e-06,0.0001642526155439286
1.010314057177983e-06,0.0001806075314921759
1.010315697828997e-06,0.0002090601017617204
1.010317589334142e-06,0.000245566441277329
1.010319162674962e-06,0.0002674203010535844
1.010320367283511e-06,0.0002806497540880117
1.010322066994352e-06,0.0002964577327832779
1.010323810042628e-06,0.0003099948308199392
1.010325230118957e-06,0.0003214207487258031
1.010326809679564e-06,0.0003384420587300807
1.010329268297037e-06,0.000380784889884005
1.010332080817663e-06,0.0004428948304455082
1.010334370888604e-06,0.0004751016673084928
1.010336412383846e-06,0.0004755143521171296
1.010337623797485e-06,0.0004679032121083832
1.010339446888673e-06,0.0004678872923401414
1.010340889487654e-06,0.0004855948173335448
1.010342020280386e-06,0.0004834478879184479
1.010342953822964e-06,0.0004595608498043392
1.010343861718083e-06,0.0004261587872937148
1.010344583872054e-06,0.0004022547693216861
1.010345507150038e-06,0.0003743567410677833
1.010346407330602e-06,0.000349031765961042
1.010347083456316e-06,0.0003335615641520188
1.010347831318674e-06,0.0003215068532091672
1.010348808958014e-06,0.0003107735914442645
1.010349581826356e-06,0.0003045212285100793
1.010350374743345e-06,0.0002992806125938854
1.010351330245537e-06,0.0002938943103013999
1.010352730928581e-06,0.0002869974972249204
1.010354690530719e-06,0.0002784429252483387
1.010357028933189e-06,0.0002693487799394736
1.01036008706314e-06,0.00025887208523941
1.010364629628299e-06,0.000245504464665015
1.010372206212291e-06,0.0002266787333059753
1.010379326372697e-06,0.0002109944086761417
1.010387156638997e-06,0.0001949162309834033
1.010395619697301e-06,0.0001785710091685927
1.010406316890209e-06,0.0001593167711139791
1.010420262451787e-06,0.0001366022457544845
1.010440460455096e-06,0.0001086924371561411
1.010471675825742e-06,7.7070955070933e-05
1.0105e-06,5.892038795973356e-05
1.010508483188478e-06,5.52052748004995e-05
1.010523074794852e-06,4.985630489054724e-05
1.010536365148843e-06,4.620365695677959e-05
1.010562945856825e-06,4.141959943600148e-05
1.01061610727279e-06,3.746957330857568e-05
1.010676713997379e-06,3.642494590235817e-05
1.010745091975925e-06,3.622588460493174e-05
1.010821750319539e-06,3.619648899655351e-05
1.010918576316591e-06,3.619255505424554e-05
1.011053544814092e-06,3.619237329576078e-05
1.011256846959004e-06,3.619360265590055e-05
1.011610100680862e-06,3.619625911084489e-05
1.012316608124579e-06,3.620071768537195e-05
1.013729623012011e-06,3.620661957974846e-05
1.016555652786877e-06,3.62119760985345e-05
1.02e-06,3.621360141714603e-05
1.020079543673968e-06,3.621536204609789e-05
1.020171795989605e-06,3.708003815090531e-05
1.020217922147423e-06,4.061066716485814e-05
1.020232512346664e-06,4.207340332994323e-05
1.020244932048764e-06,4.26455463280746e-05
1.020257102685417e-06,4.384063310136737e-05
1.020265639108675e-06,5.148844742002831e-05
1.020272406255493e-06,6.396990858804649e-05
1.020279566969626e-06,7.748079607932461e-05
1.020286380257246e-06,8.48570960282111e-05
1.020294611476819e-06,0.0001367323216418537
1.020296680315492e-06,0.0001806215483180496
1.02029823662502e-06,0.000219727161461358
1.020300050628337e-06,0.0002647999364233365
1.020301968321651e-06,0.0003032812583974316
1.020304427140572e-06,0.0003317308985373846
1.02030570827598e-06,0.0003374880616051923
1.020306579099293e-06,0.0003415626286387848
1.020307525269364e-06,0.0003503049428203441
1.020308590683153e-06,0.0003652033495986276
1.020309523842541e-06,0.0003787955955114883
1.020310544436982e-06,0.0003917327118585653
1.020311615529302e-06,0.0004023964959867058
1.020313073155842e-06,0.00041199843715722
1.020315206001278e-06,0.0004168516901767721
1.02031947169215e-06,0.0004016875976734108
1.020324964547165e-06,0.0003521538476505685
1.020330042296068e-06,0.0002907352736953909
1.020335258271959e-06,0.0002181501203832122
1.020341048195141e-06,0.0001466286130035164
1.020344747442872e-06,0.0001214638215050501
1.020348513362255e-06,0.0001096454914135424
1.02035379102985e-06,0.0001026178303470344
1.020358783646129e-06,0.0001003132373296909
1.02036469192301e-06,9.939626281991623e-05
1.02037235935331e-06,9.898954136077011e-05
