Edge Phase Noise; dBc/Hz; pm0 X,Edge Phase Noise; dBc/Hz; pm0 Y
10,-95.91657401919194
13.42637584296065,-97.15196031873325
18.02675682764374,-98.38525639732242
24.2034012397602,-99.61651584684185
32.49639617230002,-100.8457856230642
43.63088285510481,-102.0731040258714
58.58046315728254,-103.2984981025549
78.65233154043848,-104.5219802875973
105.6015764187076,-105.7435440349411
141.7846454606699,-106.9631581246599
190.3653938715879,-108.1807592309333
255.5917325613177,-109.3962422174995
343.1670663721736,-110.60944747538
460.7490010039027,-111.8201444313764
618.6189256747053,-113.0280101329284
830.5810199677136,-114.2326015595609
1115.169294211613,-115.4333200395101
1497.268207261428,-116.6293659007136
2010.288568840785,-117.8196813359716
2699.088987806386,-119.0028795561016
3623.898318388478,-120.177158889176
4865.582083935679,-121.340201957494
6532.713375369616,-122.4890630280198
8771.066505204857,-123.620051911575
11776.36354424838,-124.7286313590815
15811.3883008419,-125.8093576279731
21228.96419260944,-126.8559109036004
28502.80520067281,-127.8612820044573
38268.93752029267,-128.8182000248316
51381.31382582281,-129.7198951760535
68986.48307306076,-130.5612837029381
92623.8449822957,-131.3406286155158
124360.2554752427,-132.0616491867403
166970.7529937215,-132.7358324541893
224181.2084475852,-133.384062584824
300994.1161546385,-134.035158385238
404126.0130011931,-134.7168018023706
542594.7738471222,-135.4358182953744
728508.1364097701,-136.1578311616291
978122.4044092422,-136.8130861022132
1313263.902201884,-137.3374925980046
1763237.473195562,-137.7101557225618
2367388.901551588,-137.9517875935997
3178545.31586854,-138.0994163163187
4267634.40447331,-138.1867581406911
5729886.347480823,-138.237774934447
7693160.763872658,-138.26754841254
10329126.78360726,-138.2849902232225
13868273.83263024,-138.2951644006577
18620065.676999,-138.3007760968923
25000000,-138.3027920284111
