P_inst X,P_inst Y
1.5e-08,7.485981311471467e-06
1.50375e-08,3.508636075505e-06
1.504699039417077e-08,3.75376171104081e-06
1.506597118251231e-08,6.401036109446402e-06
1.507115572107965e-08,7.875017059220618e-06
1.507578977401463e-08,8.845996772842487e-06
1.508118708888497e-08,1.012057891575442e-05
1.508641662960048e-08,1.100141632384997e-05
1.509587409180221e-08,1.326531562115913e-05
1.50998009608311e-08,1.325891566068584e-05
1.510233385191978e-08,1.244101282313409e-05
1.510538713053329e-08,1.071897929280605e-05
1.510785522743571e-08,9.261656908591727e-06
1.511038882153138e-08,8.32573957152782e-06
1.511281621753785e-08,8.076576708550737e-06
1.511535527368564e-08,8.006525652477852e-06
1.511787582625003e-08,8.035740110722176e-06
1.512147346736478e-08,8.024283409109005e-06
1.512809455451487e-08,8.165664227648623e-06
1.513551178174922e-08,8.72941992084687e-06
1.514275589087461e-08,1.003351568958617e-05
1.51463779454373e-08,1.083348898542143e-05
1.515e-08,1.178492699566104e-05
1.515214391549893e-08,1.346315246138028e-05
1.515490537660779e-08,1.380785440556836e-05
1.515757973905524e-08,1.420107617748182e-05
1.516245390658296e-08,1.468329482838842e-05
1.516782361120565e-08,1.625366755928676e-05
1.517138892891646e-08,1.865107542948039e-05
1.517412161026543e-08,2.058664403703301e-05
1.517705437434948e-08,2.373972117496003e-05
1.517985630357821e-08,2.690958430061575e-05
1.518366223037639e-08,3.509305013930203e-05
1.518473629154305e-08,4.359160505814426e-05
1.518553078143645e-08,4.657176617104418e-05
1.518644027733917e-08,5.304898466416163e-05
1.518738214240762e-08,5.400979060408324e-05
1.518849006866739e-08,5.507096619837315e-05
1.518947225364733e-08,4.853678479963642e-05
1.519028385491259e-08,4.267966755870207e-05
1.519092418329742e-08,3.547859140056945e-05
1.519185027119103e-08,2.801759659465117e-05
1.519290067299887e-08,1.995888235419295e-05
1.519381036094331e-08,1.68465622933911e-05
1.519476013244893e-08,1.312287490853575e-05
1.519584334734244e-08,1.198294064239944e-05
1.519734362543383e-08,9.372774094429645e-06
1.519948039233558e-08,9.088892361303318e-06
1.520209036545984e-08,7.542771524423321e-06
1.52055567695506e-08,8.142905987111339e-06
1.521060547737511e-08,7.07685572719063e-06
1.521769236449923e-08,7.963309188314965e-06
1.522791552563637e-08,7.03764581997087e-06
1.524471794866893e-08,7.963523479113699e-06
1.52753928857134e-08,7.038036930530316e-06
1.533674275980234e-08,7.963301817615125e-06
1.545944250798021e-08,7.038157016016669e-06
1.570484200433596e-08,7.963325950902333e-06
1.619564099704747e-08,7.038284240853362e-06
1.717723898247048e-08,7.963501015247439e-06
1.914043495331651e-08,7.038582395296534e-06
2.25e-08,7.963874744139099e-06
2.2509375e-08,8.860026772370114e-06
2.252444006169027e-08,8.768140906506213e-06
2.255457018507082e-08,9.089253427809712e-06
2.256200612830011e-08,1.056460694585248e-05
2.256817377547404e-08,1.266259876605457e-05
2.257270807278457e-08,1.533175837141847e-05
2.257854339474736e-08,1.890088119902069e-05
2.258297698906521e-08,2.243286789967368e-05
2.258802544554591e-08,2.619945560617363e-05
2.25901784198696e-08,2.864082870826014e-05
2.259097811470679e-08,2.821826165580813e-05
2.259182745475644e-08,3.107596822898329e-05
2.259249023409513e-08,3.0632216756385e-05
2.259381579277249e-08,3.459914354655801e-05
2.259625025131695e-08,3.821851146621863e-05
2.259821433559327e-08,4.69089430756859e-05
2.259919637773144e-08,4.942180953389392e-05
2.26001784198696e-08,5.557142037296806e-05
2.260039746555605e-08,5.682859332514608e-05
2.260080563870201e-08,5.807721329398766e-05
2.260117435589719e-08,5.920312151481849e-05
2.260191179028756e-08,6.102577386619955e-05
2.260338665906831e-08,6.45627644844925e-05
2.260532768546998e-08,7.237908897815113e-05
2.260698833896437e-08,7.954754253774382e-05
2.260829469738796e-08,8.22193311664304e-05
2.260968573797035e-08,8.183086152559161e-05
2.26113280273208e-08,8.084546301561331e-05
2.26127029099102e-08,8.872183696719806e-05
2.261347594625012e-08,8.780624172864539e-05
2.26143209589965e-08,9.209487657736e-05
2.261499138344866e-08,8.832930957008817e-05
2.261582215501305e-08,8.908343975946963e-05
2.261665558772835e-08,8.140482643614641e-05
2.26174997879785e-08,7.943332170436883e-05
2.261822084593658e-08,7.042658814712919e-05
2.261888779940834e-08,6.7182726604795e-05
2.261963980638662e-08,5.633801591713582e-05
2.262063154236277e-08,5.310156741958954e-05
2.262144461280597e-08,4.65318136412315e-05
2.262221700095779e-08,4.81013766760881e-05
2.262309112010113e-08,4.31353821372421e-05
2.262445791426098e-08,4.533578118111297e-05
2.262638847266176e-08,4.087538502768414e-05
2.262896097049746e-08,4.370397334092423e-05
2.263220954410021e-08,3.900891184688939e-05
2.263677206647433e-08,3.993103751651358e-05
2.264393277269901e-08,3.076610147111325e-05
2.265e-08,2.942341510018726e-05
2.265296368393448e-08,2.186080103758886e-05
2.265681816216463e-08,1.866746551052931e-05
2.266039007924791e-08,1.666906410020236e-05
2.266753391341446e-08,1.332164167129635e-05
2.267734310250427e-08,1.063943249470751e-05
2.269198941728604e-08,8.567612421923498e-06
2.270765149507988e-08,7.896196135443228e-06
2.272668244250054e-08,7.552695504270784e-06
2.275155206633459e-08,7.538713118571045e-06
2.279317258891863e-08,7.471968458661924e-06
2.286268434191226e-08,7.530841041983905e-06
2.300170784789953e-08,7.473670103088581e-06
2.327975485987407e-08,7.530316322501107e-06
2.383584888382315e-08,7.47387670740042e-06
2.494803693172131e-08,7.530223655209855e-06
2.717241302751764e-08,7.473920700680853e-06
3e-08,7.530198181999937e-06
3.003749999999999e-08,3.64103257244901e-06
3.004701157671104e-08,3.888554666124683e-06
3.006603473013312e-08,6.33973423852478e-06
3.007123608879834e-08,7.682607749572573e-06
3.007588276512959e-08,8.497539519286519e-06
3.008127508082029e-08,9.581984883796241e-06
3.008656042302203e-08,1.027373837088901e-05
3.009612341095724e-08,1.208227589352852e-05
3.009999046241758e-08,1.181098557290587e-05
3.010251747670177e-08,1.088838116961973e-05
3.01055261488014e-08,9.096233148473818e-06
3.010798371913742e-08,7.624089022488199e-06
