P_inst (Vbp=1.1) X,P_inst (Vbp=1.1) Y,P_inst (Vbp=1.2) X,P_inst (Vbp=1.2) Y,P_inst (Vbp=1.3) X,P_inst (Vbp=1.3) Y,P_inst (Vbp=1.5) X,P_inst (Vbp=1.5) Y
1e-06,2.828976452680844e-06,1e-06,2.828881392849756e-06,1e-06,2.828634819145374e-06,1e-06,2.828244379599364e-06
1.000069173534256e-06,2.83010028137341e-06,1.000069493981508e-06,2.829988600809685e-06,1.000068564750287e-06,2.829746658841249e-06,1.000075302551073e-06,2.829552150962026e-06
1.000152978984542e-06,2.96461696937961e-06,1.000155359928262e-06,2.989174513208535e-06,1.000155962205817e-06,2.995829622647395e-06,1.000172876800411e-06,3.350636628851596e-06
1.000194881709685e-06,4.74500593288082e-06,1.000198292901639e-06,5.112478563739819e-06,1.000199660933583e-06,5.27366333022778e-06,1.00022166392508e-06,8.887730185149986e-06
1.000213239295937e-06,7.359201114726788e-06,1.000215651317248e-06,7.809915792744019e-06,1.000217091365007e-06,8.084890734062163e-06,1.000241214191497e-06,1.288032914934655e-05
1.000227177347207e-06,1.021557173989365e-05,1.000229589619351e-06,1.073562048643073e-05,1.00023158496129e-06,1.11558357844954e-05,1.00026604967704e-06,1.518250317023309e-05
1.00024507474699e-06,1.373177562833367e-05,1.000246921618813e-06,1.401016988302924e-05,1.000249165032768e-06,1.430754274931664e-05,1.000284509827064e-06,2.68660001531754e-05
1.000259664172528e-06,1.519225664046635e-05,1.000262124957511e-06,1.5264442367623e-05,1.000265071421397e-06,1.529655190455709e-05,1.000294863493323e-06,6.419228840383327e-05
1.000282290855071e-06,2.243515573505731e-05,1.000279886684537e-06,1.958290628492929e-05,1.000277432507499e-06,1.760353566946178e-05,1.000308173415587e-06,0.0001248132256528082
1.000292789798589e-06,5.360977584964177e-05,1.000290341460442e-06,4.398491609944168e-05,1.000287765380491e-06,3.520919707932852e-05,1.000318039742689e-06,0.0001448600929045554
1.000301740677166e-06,9.759153683343341e-05,1.000299338539129e-06,8.640588062002147e-05,1.00029690138626e-06,7.432078358585913e-05,1.000329480435332e-06,0.0002644625935113811
1.00031075581941e-06,0.0001326580809428731,1.000308543649242e-06,0.0001265941884694385,1.000306422184355e-06,0.0001191362812604739,1.000334207032496e-06,0.0004093762711606535
1.000320885777537e-06,0.0001513326005870801,1.000318165877389e-06,0.0001455390823217021,1.000315837130555e-06,0.0001427374606207813,1.000339865478205e-06,0.0005456966752284253
1.000330347825228e-06,0.0002867954261490169,1.000328776565108e-06,0.0002448735487820096,1.000327072223654e-06,0.0002083722999080091,1.000344020220694e-06,0.0005903581104556306
1.000334507556647e-06,0.000416381854121835,1.000333266152338e-06,0.0003779268197939567,1.000332192734332e-06,0.0003428789610943632,1.000349357039206e-06,0.0005965379123278658
1.000339225243507e-06,0.0005331890332378792,1.000336934598611e-06,0.0004831078806427286,1.00033597375207e-06,0.0004571308830705309,1.000353559151342e-06,0.0005834696021566921
1.000342894326494e-06,0.0005817318834975839,1.00034052157823e-06,0.0005544104617844474,1.000339853915553e-06,0.000543604416527033,1.000357836190381e-06,0.0005834552407443915
1.000347524823335e-06,0.0005987152899072255,1.000344244882031e-06,0.0005903977979161113,1.000344826699998e-06,0.000594176543057286,1.00036100975068e-06,0.0006100492259292233
1.000351339973528e-06,0.0005910377899733176,1.0003482348322e-06,0.0005982150748349144,1.000349031685404e-06,0.0005979117958968062,1.000364482813029e-06,0.0006499454161044186
1.000355397297367e-06,0.0005793287434283909,1.000352257411533e-06,0.0005877090763603722,1.000353282648124e-06,0.0005849984043482937,1.000368395779621e-06,0.0006862589819338592
1.000358682638244e-06,0.0005873645680855461,1.000356268719391e-06,0.0005790256504767656,1.00035726819875e-06,0.0005806895660921432,1.000371429570351e-06,0.0007044048445459754
1.000361456526252e-06,0.0006145316894336308,1.00035945584492e-06,0.0005929605386812223,1.000360369345272e-06,0.0006012226507901203,1.000375702601643e-06,0.0007170467801504756
1.000364849022852e-06,0.0006536347295533996,1.000362325205884e-06,0.000624193991534717,1.000363448688282e-06,0.0006365126750837059,1.000382468438262e-06,0.0007128983722998669
1.00036765402093e-06,0.0006802634599591629,1.000364876747154e-06,0.0006534767515920645,1.000365981105746e-06,0.0006640951665529668,1.000393031470359e-06,0.0006704441749666434
1.000370510378054e-06,0.0006998611264674893,1.000367606761909e-06,0.0006794697584340459,1.000368739535165e-06,0.000687657343815801,1.000403838067146e-06,0.000606119947255647
1.000374278609896e-06,0.0007146236016307005,1.000370503065631e-06,0.0006993873618152831,1.000372004489316e-06,0.0007064518249698768,1.000415841226508e-06,0.0005301121029432405
1.000381069471478e-06,0.0007165200709042548,1.000374746463875e-06,0.0007155061256017685,1.000377081830991e-06,0.0007185484621703146,1.000429263649166e-06,0.0004490533100622206
1.000391665842243e-06,0.0006786997480400033,1.000381331192533e-06,0.0007158847152247334,1.000385934959034e-06,0.0007038733494798983,1.000446716986745e-06,0.0003536127633104644
1.000401777275839e-06,0.0006201160301484729,1.000392560083687e-06,0.0006743225096333625,1.000396485721951e-06,0.0006525391322163319,1.000470668662221e-06,0.000237251964296746
1.000412687156964e-06,0.0005509491651374361,1.000402901361008e-06,0.0006132104791317541,1.000407420538022e-06,0.0005849664081770721,1.0005e-06,0.0001175869240931115
1.000424457046778e-06,0.0004783239812113095,1.000414225362674e-06,0.0005413883895401106,1.000419087192428e-06,0.0005113821501953885,1.0005116721495e-06,9.478337893257978e-05
1.000439542629915e-06,0.0003924137828272132,1.000426420887221e-06,0.0004667115430143034,1.000432895901929e-06,0.0004296341674722988,1.000528012959582e-06,7.491370428840417e-05
1.000459717522036e-06,0.0002897306790828801,1.000442336198705e-06,0.0003775196850081178,1.000450996048115e-06,0.0003330112115381589,1.000543688857835e-06,6.80924516163675e-05
1.000479858761018e-06,0.0001963459743681049,1.000464155603077e-06,0.0002686032901724691,1.000476857197884e-06,0.0002102875226860605,1.000561122055145e-06,6.540728881900306e-05
1.0005e-06,0.0001177754120378379,1.000482077801539e-06,0.0001866244114556602,1.0005e-06,0.000118129855639237,1.000580687903792e-06,6.396662511503114e-05
1.000509244797114e-06,9.81506203943349e-05,1.0005e-06,0.0001176769180301695,1.000510146023512e-06,9.708059938506872e-05,1.000605380545821e-06,6.291990309431214e-05
1.000521387278161e-06,8.018424217771209e-05,1.000509688389135e-06,9.745050984578795e-05,1.000524234019003e-06,7.771984869030891e-05,1.000640899179879e-06,6.161927481777443e-05
1.000532837346995e-06,7.212307115613658e-05,1.000521500371535e-06,8.016870251292557e-05,1.000537317389909e-06,7.016408232014556e-05,1.000696822059051e-06,5.97274826404973e-05
1.000546129166919e-06,6.794841680231638e-05,1.000532758417753e-06,7.215944017513584e-05,1.000552322589748e-06,6.663991784171319e-05,1.000808294673719e-06,5.674419617086131e-05
1.000563689426755e-06,6.549947629374147e-05,1.000546289884966e-06,6.783207985308154e-05,1.000570578430992e-06,6.471752478903014e-05,1.000969761553606e-06,5.7395810089676e-05
1.000583026094614e-06,6.43133328874369e-05,1.000564327834253e-06,6.530689918622879e-05,1.000592399025922e-06,6.360522034471754e-05,1.001102523049111e-06,6.4135657584879e-05
1.000608310530082e-06,6.33626924690617e-05,1.000584161454328e-06,6.408626438429696e-05,1.000621250219861e-06,6.252461909609289e-05,1.001215437683328e-06,6.763672399750408e-05
1.000641757759741e-06,6.238301952934169e-05,1.000610053243082e-06,6.307156659092125e-05,1.00066275092554e-06,6.116813639021228e-05,1.00131688457658e-06,0.0001036137763051734
